recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Oct 6 2009 	 £ 4.50 small bottle WATER ! ! ! 	 pay £ 185 double room ok , certainly worth £ 185 . Breakfast would another £ 22 choose eat . go Marks Spencers 1 minute walk away buy lovely breakfast less £ 5 . fancy drink minibar , stop ! ! ! charge £ 4.50 small bottle mineral water £ 5 ! ! ! ! criminal ? suggest pop Sainsburys 1 min walk away buy one less £ 0.50p . wonder Paris afford buy undie Chanel . 
 Oct 1 2009 	 Unique Hilton 	 Historic , busy hotel , handy be catch Heathrow Express train . west end bit afieId . recall visit friend stay hotel become Hilton - improvement . bedroom pretty small pokey & amp ; whilst bedroom forgettable , executive lounge , although bit small , opposite . great view , elegant classy , lovely breakfast , good service . 
 Sep 30 2009 	 Great Hotel expensive ! 	 Hilton London Paddington hotel extremely convenient Heathrow Airport underground locate Paddington tube stop . exit tube station towards Paddington Rail Station look leave ( across ticket machine ) lift take two level rear entrance hotel . convenient ! Heathrow Express train platform literally step rear exit hotel . great get to / from Heathrow . we stay King Executive Room spacious - room could two king bed space spare . bathroom spacious bathtub seperate shower . bed firm , comfortable . hotel quiet window covering keep room dark morning . sleep well . room hotel clean . there starbuck atrium outside rear exit hotel . also , get Paddington train station tube station without go outdoors . train station area numerous place grab bite eat Sainsbury local store open midnight every night . my wife would stay hotel every time go London price not high ( twice willing pay ) . use reward point stay therefore price outstanding ! 
 Sep 28 2009 	 Impressive Hotel 	 impressive hotel great location . problem room breakfast good - something everyone . three month staying realise have leave pair shoe - ' ve retrieve leave property - bad eh ! 
 Sep 26 2009 	 stay filthy room Hilton Paddington 	 misfortune stay hotel 2008 . honestly say one dirty 4 star hotel stay long time . room stayed carpet , dirt visible carpet not clean since lay . take shower try touch tile shower curtain . stay hotel first refurbish . say fall long way since refurbish , recommend stay . hotel London tend dirty train staff , one bad respect other . other claim find hotel clean . perhaps room meet acceptable standard , not stay one . room service food expensive yet mediocre . 
 Sep 26 2009 	 Excellent stay family 	 family 4 ( two teen kid ) stay hotel deluxe Queen Suite 2 night . location incredibly convenient . take Heathrow Express train Heathrow airport walk hotel lobby within minute leave train platform . early morning room ready , however hotel staff ask we wait Executive Lounge . good breakfast serve lounge could see entire Paddington station large window . nice place relax . room ready 11 . excellent room , clean througout . staff courteous willing help we way possible , include local direction , name restaurant , tip etc . London Underground Tube right hotel , location convenient sightseeing . not even need step outside street . breakfast morning quite elaborate , certainly we enough hot cold choice available - fruit , porridge , choice bread , croissant , pastry , omelette , juice , coffee / tea etc . internet access pretty expensive ( GBP15 per 24 hour ) decide pass . overall , give high rating hotel . 
 Sep 22 2009 	 Clean Luxurious Somewhat Dysfunctional 	 one say Hilton not clean , pretty , well position , quiet . , poor water pressure due problematic shower hose work contort oddly . also , even climate control set cool fan high , room remain extremely & quot ; stuffy . & quot ; mean air feel humid stale , entire floor . stay one brief night close Paddington Station ( connect Paddington Station ) , can not reach internally early morning hour unfortunately . reasonable value London . 
 Sep 20 2009 	 Hotel lot convenience great sightseeing ! 	 Husband stay trip States see usual tourist sight . London , know get around chore - bus taxi available , part town really choke traffic , 's good idea book rail Tube transit available . line well other term connection , etc . , pay research . as other note adequately , hotel simply could easier reach Heathrow 'd amazed option even close , ease travel town . room within hour clear security , even stop refreshment , bag manage , etc . like many Hilton guest , book room use point - GLONP2 promotion give six free night Cat 5 6 hotel London . ( be great deal , lot point - check Hilton 's website detail . ) gold member , ' m eligible upgrade , not always receive every property . offer option upgrade , ask Lounge usage , hear usually Golds not get Paddington . helpful , friendly staffer Neil offer upgrade we Lounge usage Executive room - £ 30 night , US $ 50 . room retail US $ 400 , leapt chance . seem promotion will run , advert lobby . ( lounge access mean free Cokes / bottled water day , full breakfast buffet , etc . ) room HUGE London standard - king bed , dresser , full wardrobe - quiet , dark . wonderful - many hotel neglect detail like room - darken shade . ventilation , problem London , fine . bring small portable fan , like lot breeze night . 's ice machine near elevator fun touch , machine buff shoe ! free ! room clean relatively recently update - place not one ultra - trendy hotel sometimes find big city , basic cover . granite counter bathroom , new carpet , good lighting throughout room , etc . we couple issue - husband use cpap breathing machine need plug next bed . outlet near headboard old 5 - amp style , feature round pin flat variety common England . ( other room three - pin flat style . ) look converter hardware store avail , wound buy UK - compatible power strip run across room CPAP . work fine , since could also plug phone , IPods , etc . strip ease . as other note , internet expensive - £ 15 day , US $ 22 $ 23 current exchange rate , way standard States . yes , internet cafe nearby , 's bit pain walk quickly check email night . would nice option bit less costly . the bed fairly firm , feel like open - spring mattress - worried would really awful , not bad , especially long day sightseeing 's easy sleep ! pillow generous 's nice comforter , real issue . one thing note - look need laundry service . miss 9 cutoff , will wait two full day receive item - bring something 9:45 tell would 6 pm follow evening would return . seem unreasonable hotel cater traveler . absolute beauty place , though , convenience . be literally right top two late - night grocery , pharmacy , dozen restaurant , feature coffee stand open late . particularly like Costa Coffee & quot ; YO ! & quot ; Sushi , right outside door hotel station . fish fresh lot variety . ( be fantastic indian restaurant , Noor Jahan 2 , ten - minute walk away - good palak paneer ' ve ever , ' ve eat three continent . ) hotel amazingly easy Heathrow , be three separate Tube line - handy case one close . one line Circle , go directly Tower , Westminster , & amp ; London Eye . Bakerloo , & quot ; brown & quot ; line , handy Harrods , Buckingham Palace , etc . attend event O2 , east London , make half hour Jubilee line , transfer Baker Street . ( realize line stop run midnight need reach transfer station . ) would stay like shot , even not get amazing rate Hilton . staff really terrific - friendly , helpful . would like single server breakfast area Executive Lounge praise - really go way ask we trip make we feel welcome . Wish have catch name . we great stay would definitely recommend Hilton Paddington . 
 Sep 16 2009 	 worth pay little extra stay 	 spend week London , stay two budget hotel . aircon , disintereste staff bad location . different Hilton . room comparatively luxurious , nice aircon , mini - bar , ok bathroom ( over - bath shower ) , decent selection tv channel , often over - look ! complaint stay relate tv , watch channel , Sky Satellite receiver put & quot ; sleep & quot ; - call tried speak maintenance lie staff say something would do . even though explain impossible room not separate Sky box ! speak manager someone go restart Sky receiver . I stay Hilton Hhonors reward stay treat fly back London - Ideal hotel get Heathrow Airport . wish have stay night pay £ 50 extra per night . hotel right Paddington station ( British Rail , Heathrow Express London Underground ) well connect . area restaurant shop . my rate include cook breakfast well - receive week cold breakfast skip together . british back bacon delicious , well sausage Baked Beans - start get home - sick already ! room quiet ( internal courtyard ) rather large King Size bed . corridor perhaps need update great place stay London . 
 Sep 12 2009 	 Mediocre facility service excellent location 	 Seven night business . proximity train Heathrow Tube excellent . staff polite particularly competent . room low end price category -- break bathroom fixture go unrepaired , staccato burst scald water shower , unreliable internet connectivity ( unhelpful technical support ) , air conditioning appear disconnected thermostat , etc . clean quiet . 
 Sep 10 2009 	 outdate hotel great location 	 Weekend stopover stay . discomfort hotel see well time . room ( least mine ) small outdate . even net curtain , night curtain open ( usually want way daytime ) be expose ... expensive internet , nice pool small adequate gym . breakfast impress well location , right next Edgeware Rd Tube station minute walk Paddington Station Heatrow Express operate . 
 Sep 8 2009 	 Convenient Location Great Breakfast Large room 	 husband spend 2 night honeymoon really enjoy hotel location . fly Heathrow take express train directly Paddington Station extremely easy hotel directly adjoin station . get early ( maybe 10 am ) , allow we check - in right convenient . also , husband Hilton Gold member , upgrade we deluxe room nice size ( table 4 chair nice amount space ) . bathroom also nice size ( especially London 's standard ) . also add delicious breakfast complement reservation ( not know often , travel Hilton lot work , probably something ) . breakfast WONDERFUL . especially expect . sad leave early morning second day enjoy . Paddington Station , easily take train Windsor Castle , also take Tube number site within London . leave , leave Gatwick airport planning take train Victoria station , happend upon car transfer service across street charge 50 Euro get ( Gatwick hour outside city , regular taxi charge 100 Euro , also confirm price hotel tell we would little 100 Euro , well . even train along taxi would need pay early hour Victoria station would cost we . ) book car service arrive promptly deposit us airport without problem agree upon price . would highly recommend ( directly across street hotel ) . also , handy internet cafe directly across hotel , pub nice cold Guiness across street right . starbuck adjoin hotel , well , be look quick shot caffeine . overall , great time London hotel . 
 Sep 8 2009 	 nice stay 	 book hotel via lastminute.com ( day arrival late afternoon ) get good rate . the room ready clean arrive comfortable , well equip good size . staff helpful friendly . ( night ) shop , restaurant , pub around hotel opposite Paddington station , location suit we perfectly . really good time Hilton Paddington Hotel would definitely come next stay London . 
 Sep 4 2009 	 bit rough around edge 4 star 	 service fine well location minute walk station . room small need repair . okay choice ... great ! 
 Sep 1 2009 	 friendly hotel 	 wife come London last weekend son 's wedding wefound whole experience stay hotel really enjoyable . the location great adjoining Paddington station , part Bakerloo Line close due engineering work stay , find easy walk 6 - 7 minute Lancaster Gate Central Line . the hotel extremely well appoint comfortable really good size room not always find London every amenity could wish bedroom bathroom . also , although face Praed Street , double glaze cut street noise air conditioning perfect . public area bright clean nice touch modern combined traditional design . brasserie restaurant especially nice - bright modern feel nice touch actually show seat breakfast , serve promptly coffee juice ask meal everything ok . fact , encounter nothing friendly courteous service hotel staff right warm welcome reception concierge desk efficient friendly service brasserie breakfast . even pass corridor , staff would greet smile . we not take evening meal hotel standard cook breakfast excellent - one good hotel breakfast eat long time . even hotel busy , still sense able relax enjoy surrounding . if look hotel central London , would thoroughly recommend London Hilton Paddington really great convenient place stay . 
 Aug 29 2009 	 Great Location 	 great old hotel literally attach train station across street Tube . change airport London , make weekend ( 36 hour ) , reasonably early departure want right next station ( Heathrow Express go Paddington ) .The concierge breakfast lounge actually look train station , actually really cool . 
 Aug 26 2009 	 well Taken Care 	 family four recently spend three night hotel . check noon , room ready give temporary room could rest exhaust . return check room book , Rakesh ( sp ? ) suggest room think would appropriate take we see . right happy new room . seem surprised gratitude tell we job . we find hotel comfortable problem air conditioning , etc . experience noise night outside hotel enough affect stay . also enjoy executive lounge much . great able get breakfast quickly morning nice return later day chat traveler . think food good enjoy Hiltons stay , trip Europe . impressed Stephanie work lounge even chase we onto street return camera daughter leave behind . this great start holiday would certainly consider stay . 
 Aug 25 2009 	 Unexciting 	 stay proximity Paddington Station since enter London train Paddington & amp ; leave London Heathrow Express Paddington . hotel can not convenient transportation center hotel . I can not think reason would stay there . the room spacious & amp ; clean one relatively small window look wall result , feel dark , even sunny day . the hotel feel lack personality . I wait Concierge desk 15 minute ask restaurant recommendation . doorman take pity we & amp ; offer help . send we place doorman might like , not look for . I enjoy proximity Hyde Park morning walk . unless need catch train Paddington , would recommend stay interesting hotel interesting neighborhood . 
 Aug 24 2009 	 * * * do not stay * * * 	 7 night stay , Holiday , Air Conditioning Does'nt Work properly room , corridore HOT , HOT , HOTStaff Polite , SLOW , do not get back , Concierge say heathrow 1 hour flight depart international , ? imagine listen , Breakfast smorgasboard every day , change . ( fry egg 1 inch fat , ? ? ? ) Location Excellent - that s , ventilation bathroom , enjoy soggy toiletry moist condition , HOUSEKEEPING - Daily good have . in nut shell , get uncomforatable due lack fresh air / air conditioning , get frustraiting staff do not get back , breakfast daily 7 day horrible , concierge not know go on . strange thought HILTONMy wife never stay Hilton anywhere.top empty minibar request start stay still charge we leave , try sort overseasif stay , ENJOY LOCATION , be ALL/ BEWARE ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 19 2009 	 Airport direct express bed 	 long flight large que immigration , well option boarding heathrow direct ( cheap express ) take quick journey city , stop real stop ( tired confusion ) Paddington station . take luggage less 300 yard elevator walk lobby Hilton Paddington . relieve luggage expeditiously give key room bed shower . AHHHHHHH trust could not easy . the hotel great deal history aside fro carpet wear tear furniture not show . bed okay hotel expect Hilton . Clean well appoint good tv channel include kids channel business channel . resteraunt good recomend biz lounge upgrade cheap enough . take breakfast resteraunt though ! ! ! hotel train station mall area ( noise courtyard view suite ) across street london metro ( way get around ) many resteraunt bar nearby area adjoin mall / train station . U see internet cafe across street hotel wireless internet stick u rent 1/3 price hotel rippoff internet rate . the queen suite although layout practical 2 bathroom lot space family . the staff work hard please impressed service . as hilton 2 1 sale value money breaky biz lounge unparalled size room london make even well deal . if u get good price highlly reccomend hotel love door door convenience return regardless price ( within reason ) 
 Aug 19 2009 	 great hotel great location 	 choose hotel location easy access Heathrow . room gorgeous , spacious convenience except internet . would first choice know go Heathrow . 
 Aug 13 2009 	 Great Service 	 drop way home north plesently surprised value money hotel offer . service great bed comfortable . back 
 Aug 12 2009 	 Excellent value pay keep eye open ! 	 get 2 room & quot ; 2 1 & quot ; deal 100 GBP each . the room large , comfortable clean . the breakfast downstairs outstanding , everything dream of . this hotel location ! ! fly London late evening cheap flight Dublin , awesome get Heathrow Express , get 15 minute , walk lobby room . 3 day , reverse way home . taxi , hassle tagging along luggage ( free luggage chart train ramp ) .unfortunately , express check - in . wait long line 11 pm . one receptionist work , 2 other make busy damned paperwork stare blankly we , customer time time . the room mini - bar minuscule space put stuff like yogurt funky & quot ; hi - tech & quot ; warn remove move hotel supply drink get bill . so , take great care quake shake soda beer bottle , nevertheless get charge 16 GBP nothing . bill erase check - out without fuss ( clerk seem familiar & quot ; high - tech & quot ; system quirk , mean another stand line check - out . hide reason , receptionist could correct bill day , discover overcharge , neither give usual pre - dawn bill , usual U.S. Hilton property , really get mean ubiquitous express & quot ; check - out & quot ; box reception desk . Wifi offer 8.5 GBP business - center computer access 8.5 GBP per hour , real rip - off . favor cross street nice Internet caffe operate 10 pm offer computer access 2 gbp / hour . fortunately , concierge desk let access computer simple surfing , like airline check - in boarding pass printing find bus wherever want to . ask concierge also free London map . besides get orient , will get discount coupon tourist attraction ! 
 Aug 4 2009 	 impressive hotel fab location ! 	 stay 2 night room 529 2 night price 1 deal . executive lounge look sation great place people watch . take breakfast lounge 2nd morning rather restaurant . waitress ' Steffanie ' pleasant everyone nothing much trouble . could poach egg whatever want main restaurant . do not go casino night club opportunity want go . dont pringles MINIBAR unless PREPARD PAY £ 4.49 small TIN ! ! dirty tray outside door duration stay . overall good hotel though . 
 Aug 3 2009 	 good location Good Value 	 stay 1 night August , great location 2 tube station locate directly outside Paddington mainline station accessible hotel , 5 - 10 minute central London . clean room , ample size price breakfast bit pricey plenty option station . parking available onsite £ 20 - 30 night . 
 Aug 1 2009 	 convenient comfortable 	 use point stay one night Hilton London Paddington return flight Heathrow . know London well , bit leary staying area around station interesting . nonetheless , shortage taxi bus available doorstep . hotel locate rail station , easily access street via escalator within train station ( Heathrow Express also leave -- mere 15 mintue airport ) railway hotel , certainly exceed expectation . room clean well - appoint , bed comfortable room huge ( UK standard ) room service prompt efficient , front desk concierce top thing . gripe internet , spend 1/2 hour outside vendor help - line twice get internet working . numerous reset isp end , finaly able use internet , though terribly slow . check bill checkout , charge twice usage . charge remove bill minimal fuss . anything could want -- drink , bank machine , flower , newspaper , luggage , clothing , sandwich , sushi -- head Paddington station downstair be right without ever go outside ! great place spend last night early flight , not want give night town night . 
 Aug 1 2009 	 superbly convenient although pricey 	 recently take trip wife 2 - yr - old son . PROS=====Transportation convenience beat . hotel directly connect Paddington station ( train underground ) . be 15 minute Heathrow Paddington Heathrow Express , every 15 minute . Bakerloo , Circle , Hammersmith & amp ; City , District line stop Paddington . walk hotel tube / train without go outside . great convenience . because hotel connect Paddington Station , station amenity great , especially be travel child . importantly , pharmacy two grocery store ( one open 6 am midnight ) , great -- make couple emergency late evening run get supply ( diaper , fruit , milk ) without ever go outside . several cafe grab quick bite . whsmith bookstore , atm , currency exchange , medical center , . toddler , really appreciate convenience . the room nice , large , well - light . standard high - end chain room . lobby always bustle , live floor pretty quiet . the hotel 's location plus . 10 - minute walk Kensington Gardens , great little kid . 's playground right entrance close hotel . Diana Memorial fountain playground ( fantastic ! ) also short walk . could spend several day explore park ( Kensington + Hyde ) . kid , definitely go Diana fountain ( kid splash around ) Diana playground ( fun ! ) .lot restaurant area , include hidden gem . CONS=====It pricey . use Hilton point stay , previous business trip , recall rate quite high ( GBP ~200 ) , even corporate discount . breakfast buffet , good extensive , GBP 20 per person -- quite pricey ( mention though , several cafe step away ) .goe along pricey theme , internet service GBP 15 per day ( ouch ! ) .The hotel central London , get many central attraction ( e.g . museum ) somewhat hike ( ~15 - 30 - minute tube ride away ) . 
 Aug 1 2009 	 good 	 stay 2 night King Junior Suite july 09 , breakfast include . got good deal still be worth money . 's shame internet not include price kind room . have stay Hilton Paddington , much cheap room ( deluxe think ) value suite . would book deluxe room know King Suite actually much different deluxe room ( little big ) . be high ceiling deluxe room ! would prefer sofa suite , 2 chair . bed could well . pillow hard big taste . the bathroom small could hear neighbour good . window ceiling electric sunshade ! ( ? ) . 2 4 sunshade work . deluxe room window ceiling , much well . morning ( sunshade ) still get much light eye . good way wake up . I come hotel 2 pm ask early check . yes , lady say . ofcourse check first available . . say do 1 h. wait executive lounge . go back 50 min . later say room almost ready say could wait lounge key would deliver . nice , happen ? ! wait 40 min go desk room ready . lady speak , could not complain . good service , Hilton ! later day order food roomservice . fast food good . set tray outside room eat forgot door . , key stand outside room . find telephone outside elevator floor not go far . talk staff tell send someone help open door room lock . easy ! not not know room ! not easy check ? discussion say go send guy . saw maid ask open door , could not . stand shoe sock ! , not sure room ! could show passport get inside , . go . one maid walk pass ask , . help . 20 min . , finally guy come . start ask question say usually not open door stranger not know room . stand socks shoe ! tell could show passport , give name , open safe ( code ! ) . not answer finally open door leave . I think unprofessional . not eat breakfast executive lounge . much food choose & quot ; ordinary & quot ; breakfast - room . Hilton Paddington close Paddington Station . take train Heathrow Paddington minute get train Hotel lobby . take Heathrow Connect train , express . connect much cheap 's 10 minute slow Express . like : roomservicelocationbig balconyvery close Paddington stationdislike : unproffessional staffvery expensive internet pay - tvke Junior Suite worth money even discount rateke J Suite much different deluxe roomsmall bathroomI could hear neighbour goodwindow ceilinglow ceilingbedthis second stay Hilton Paddington , would prefer hotel next time . 
 Jul 31 2009 	 Great Hotel Great Location - West London Heathrow 	 Hilton Paddington definitely one good Hiltons UK one good hotel London . hotel regularly use base West London also overnight stay fly Heathrow . Heathrow Express , prefer hotel fly Heathrow Hilton Heathrow ; Heathrow property really work fly T4 case – pity HEx expensive – ' know justify fare – ' BAA / First Group Hilton ! check - in / out always friendly efficient . arrive early depart late friendly concierge staff efficient system luggage storage . the room large spacious art décor fixture fitting period reminder hotel ' history . tea coffee make facility always well stocked ( hotel give little milk ? ) coffee filter machine considerable improvement usual instant coffee provide hotel UK . bathroom standard Hilton UK , although bath tub little short side . large safe wardrobe secure laptop , document , etc ; however occasion find need battery replacement ought spot room check . a minor niggle room . many bathroom suffer poor water pressure problem water hot enough particularly morning . room dark side , nature hotel position . room poorly lay electric socket sometimes difficult find two outlet charge laptop mobile simultaneously . also seem hit miss whether get bathrobe , one always deliver call housekeeping . ' let put off . the Executive Lounge , overlook station concourse , one good Hilton Lounges world good service , drink food throughout day view hustle bustle busy London terminus station . the restaurant great ; think main problem poorly patronise therefore lack atmosphere . adjacent area serve coffee , pastry , etc always centre activity nice place entertain business colleague . order meal Executive Lounge room service efficient good quality food expensive side . 
 Jul 30 2009 	 Convenient Comfortable Hotel 	 room comfortable large London standard . bathroom also plenty room . hotel extremely convenient short quick stay take Heathrow Express , literally station . son broken ankle , crutche walk cast perfect we . complaint bed hard , thin spring mattress seem like leave WWII internet cost $ 25 24 hour . 
 Jul 26 2009 	 fantastic pricey 	 exactly would expect Hiton Hotel . great base fantastic location ( inside Paddington Station ) .The purpose trip romantic break break amazing - hotel certiainly high standard . book bed breakfast basis think well worth pay extra £ 6 breakfast bed ! 
 Jul 25 2009 	 Excellent Location attach Paddington Station 	 location hotel good asset hotel . attach Paddington Train Station . business London early flight Heathrow place stay . take approx 15 minute room ot Heathrow Express train . hotel could really use fresh - up . service ok really great . room average ( London ) size . great restaurant bar around hotel . 
 Jul 22 2009 	 great travel via Heathrow 	 busy hotel . breakfast adequate friendly staff . concierge bit grumpy ! close Hyde Park walking distance Oxford Street . would well internet free . 
