economical 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . Thought take dinner & amp ; great . location also decent one . definitely visit hotel whenever plan come back . 
 France love India 	 first visit India . one friend suggest take stay hotel . I book suit room internet . hotel arrange complimentary airport pickup . give classy service , room neat clean , mini bar thing need , restaurant good food awesome . interior room really good give positive attitude . staff hotel well train give good service . also enjoy internet service drawback location hotel i.e . karol bagh area crowd . despite drawback area really enjoy stay . I would like thank hotel staff cooperate give good service special thank go especially front office hotel charge printout take hotel computer . 
 hotelnanakrock 	 property convenient stay smooth . room clean service perfect . not take meal morning breakfast hygienic tasteful . location also decent one . definitely visit hotel whenever plan come back . 
 Oct 11 2009 	 quite happy 	 Hotel centrally locate main city . room wonderful , room service manage thing well . food quality mark . definitely good choice . 
 Oct 1 2009 	 bad place stay 	 force stay hotel come Manali small 4 year old child 6.30 am . I check hotel . the room rent far high amenity . the bed place carpet clean last one year . the hotel staff must rank unfriendly rude encounter . they insist pay cash pay 2 % pay card . they insist pay checking 6.30 morning . Hioweevr fight would reluctently agree charge anything extra . if want extra tea bag , fight . 
 Sep 29 2009 	 average 	 average hotel busy Carol Bagh area . not much describe except can not find another 3 star hotel Delhi city value . the restaurant great food ok.overall , advisable do not option except stay Carol Bagh .... ofcourse street shopper paradise . 
 Sep 6 2009 	 love hospitality 	 hotel parent Feb 3 , 09 - Feb 7 , 09 . travel Fiji Islands . the fantastic thing hotel hospitality . staff , even management helpful . run emergency amazed way help , especially management . another great thing like hotel location . right middle Karol Bagh accessible main shopping area . really enjoy stay . 
 Aug 31 2009 	 enjoy 	 Sri Nanak definitely one good 3 star property Delhi . hotel room & amp ; food excellent . perfect stay . 
 Aug 29 2009 	 nice stay 	 hotel perfect stay Delhi receive warm welcome hotel management . give nice room . room spacious well furnished . fact , thankful hotel management upgrade room without extra cost . bathroom clean . bath tub , also separate shower panel enjoy . also give complimentary soft beverage free laundry service . restaurant serve delicious food . would certainly recommend hotel traveler Delhi . 
 Aug 29 2009 	 well stay away 	 Sri Nanak Continental situate rather shabby neighbourhood New Delhi . we stay four different hotel trip , Sri Nanak far bad . we book & quot ; luxury room & quot ; .- room feature safe ( say include ) .- a / c old noisy , possible leave remove room key go , make room hot outside ( +40 c ) .The staff try scam we ask hotel taxi local market . couple block away , want r . 1500 ( ! ! ) . decline offer leave , hurry back we offer four hour sightseeing rp.800 ( still pretty expensive ) .We go see part India , leave hotel five day . ask check get refund period . staff decline refund , want we badly check . check , need room storage . , meantime , check , staff remove belonging hotel room unplugged refridgerator . get back , ask staff get stuff back . likely rent room go . unprofessional ! positive remark : - hotel give we free airport pick up.- give we three hour free internet access.- Liqour shop situate next hotel.- food restaurant ( continental breakfast ) ok.note : internet hotel must authenticated web frontend . page work Opera Mini standard Nokia web browser . summary : unprofessional dubious staff . stay away hotel . 
 Aug 22 2009 	 pretty poor might ok value money . 	 friend stay hotel visit India recently impression : room : Size somewhat small , opinion really bad . main room seem clean enough , bathroom disaster . dirty floor , somewhat smelly , stain toilet ( excrement , kind get never clean ) . towel bedsheet clean . hygene supply like soap , shampoo , shaver , shower scrub tooth brush / paste include , empty / use one not always replace unless ask it . Air Condition machine noisy work ok . staff : rather unfriendly service - minded . also seem helpless come thing daily routine . example , cheke , insist card decline . look display card reader say & quot ; check phone & quot ; . tell probably card problem , connection problem , yet insist card not work demand go get cash . nagging , get wiggle bit phone connector , hey presto , work . as usual , check , fight staff roll suitcase three meter room lift . get will also cram together luggage already small elevator , matter much tell . totally unnecessary opinion . tip ! ask hotel taxi 8 km ride want 1500 rupee . turn back leave , suddenly get well ( good , well ) deal . ( four hour free drive 800 r ) dissapointe first try hustle we like that . the two friend travel prepaid room , go unplanned trip tell staff would leave day . friend could get refund ( staff not even want try , repeat & quot ; refundable agreement & quot ; ) friend not check small trip . come back , belonging remove room . though get back , seem room rent meantime . food : good thing hotel . restaurant great indian dish . stay away continental breakfast ! internet : provide wifi , unfortunately user authorize somewhat dodgy web solution not work browser , might able use smart phone . 
 Aug 13 2009 	 poor organization 	 go India wife sightseen , country many thing see Taj Mahal defenitively good seven wonder . host Hotel Sri Nanak Continental point view hotel weak organization . we next problem due poor organization1.- request pick service airport , wait 30 minute , taxi never arrive , finally decide go ourself hotel.2.- even though questionaire feed back problem infrastructure service , seem do not read , air conditioner noisy , almost impossible sleep , temperature summer 40 ° c obviously necessary3.- Room clean drastically improved.4.- buy 3 day - tour Agra Jaipur travel desk hotel , explain due use room 2 night must pay , responsible explained hotel policy pay 2 night additional hotel Agra Jaipur . 5.- street noisy room design quiet enviroment . I recommend look different option , well hotel Delhi price . 
 Jul 20 2009 	 horrible horrible place - will stay ever ! 	 husband stay hotel one night . husband book place show top value hotel Trip advisor ! location great . main problem . arrive hotel long flight , staff rude extremely lazy .. hey take half hour check us service really really bad . finally take room . extremely small . although provide big collection supply bathroom etc . impressed LCD TV bcos overally hotel look quite horrible ! bathroom bad . smell cigarettes sure actually clean bathroom arrive . five minute check hotel , ask come reception passport . planning go watch movie , husband go downstairs . meet two police officer civil clothe . start ask we many question work etc . question good ten minute . become nice we find husband work apologise we . ask wanted question we tell we arountine check indian independance day come soon , guest room originally south asian country ! quite angry , even think police officer eventually nice we . idea want check we quite suspicious police officer come check we speak mother tongue often use north india .. make we even angry front office staff even apologise we even explain question .. husband stay many place go holiday month hotel worst stay .. husband actually argguement complain whole evening hotel : ) .. idea hotel show top value hotel trip advisor many many nice hotel . stay recommend anyone ! ! 
 Jun 14 2009 	 small convenient 	 small hotel neat .. good stay go shopping area delhi 
 May 27 2009 	 nice experience .... 	 hotel & amp ; service much helpfull first time visitor Delhi . feel easy move see various place around Delhi . good trip assistance , loyal driver cab take Haridwar+ Rishikesh+ Tajmahal . room & amp ; service satisfactory . 
 May 20 2009 	 avoid ! ! ! not stay hotel 	 room small unpleasent . dirty . unable sleep due loud noise street till 4 . hot water bathroom . arrival tell breakfast include , checkout charge 600 rhp breakfast . breakfast poor , service poor well . train station 10 minute walk , unpleasant area . hotel location faraway tourist ' attraction , area not look safe evening time . a / C noisy , hardly work , room hot . it bad hotel India . would stay . recommend hotel . bad experience . understand review . 
 May 3 2009 	 overall stay unpleasant though staff nice . 	 stay one night leave quickly next morning tour bit Delhi catch train Agra afternoon . room ok , clean . towel dirty phone not work , move room right away . can not say much location not explore much , busy narrow street fill moped , fruit stand , liveliness . would not recommend walk around solo dusk 2 , would probably ok . FYI -breakfast include since book online . would stay recommend hotel . additionally - arrive , coordinate car next day bit ordeal , work fine . beware 80 kilometer limit , exceed easily ( charge 7 rupee additional kilometer - actually not think terrible , like go limit . ) also , driver try tack extra 20 drop back hotel something , even though arrange end day train station . annoying obviously well communicate . 
 Mar 12 2009 	 brilliant service 	 short stay hotel would fully recommend anyone . train station near middle vibrant area . service good , bunty taxi driver great helpful . food good definately stay . good quality cheap hotel would stay . 
 Feb 9 2009 	 nice family run hotel 	 business traveler often come new delhi . book hotel via travel agent turn decent choice . nice , clean room facility . also rooftof restaurant serve delicious chicken item . travel desk & amp ; staff also prompt . 
 Feb 5 2009 	 Unlikely go back 	 , get good night sleep good washing facility important reason stay hotel . sadly hotel fail count . room tiny old style A.C. unit allow outside noise come , make impossible sleep . shower poor water flow , enough decent wash . arrive early , like , charge extra night . want stay night go without wash , guest . definitely we . 
 Jan 12 2009 	 much expect 	 old couple want neat room & amp ; secure place stay . spend numerous hour search hotel internet decide stay Sri Nanak . endless option internet realize difference arrive hotel .We book hotel directly get good deal , reply prompt . stay executive room newly renovate room & amp ; later upgrade we suite room since empty room nice gesture . nice LCD tv clean white linen uncommon hotel delhi price bracket . room thing expect 4 * hotel . satisfied staff help we time . also hotel travel desk go day agra tour * delhi local tour go perfect . overall would like recommend hotel traveler like share opinion other benefit . also hotel Wi - Fi Service fast & amp ; good part free . also desktop machine case laptop . & quot ; & quot ; 
 Jan 11 2009 	 Family Traveller44 	 first visit New Delhi , always book hotel Travel Agent time book hotel internet . see many review trip - advisor hotel decide stay hotel & amp ; book room hotel website . request hotel give discount refuse give discount offer Free Airport pickup complimentary breakfast . finally decide book hotel . hotel arrange nice luxury car pickup family come Singapore late night . hotel locate crowded area Karol Bagh feel safe stay . Hotel Sri Nanak nice , clean & amp ; comfortable daughter particular cleanliness bathroom happy shower panel bathroom 6 nozzle never expect kind hotel . hotel room small facility never think small luxury hotel stay many hotel India . recommend family traveler stay hotel atmosphere hotel look like home . 
 Dec 30 2008 	 Noisy Overpriced 	 stay night . room noisy 2 reasons:1 . a / c rumble like explode . switch eventually get really worried . 2 . night - long celebration chant / singe street outside ( Hotel 's fault , still make difficult sleep ) .Free wireless internet good . also give free newspaper expect budget hotel . hotel staff also reasonably helpful . complaint apart noise , overall hotel service spectacular either merit price charging . 
 Dec 29 2008 	 Mediocre Manageable 	 room incredibly small , bit dingy . staff nice , though , breakfast good . & quot ; aloo parata & quot ; good India . 
 Dec 16 2008 	 exellent experience 	 & quot ; stay 7 night hotel . must say really hard woke people . staff really helpful time . manager flexible late checkout time , ready pay charge . deny . also food , room service good . hotel wa travel desk offer good price . local Sightseeing also good one cover part ot delhi . would reccoamnde hotel & quot ; 
 Dec 10 2008 	 enjoy Hotel much 	 enjoy hotel much . nice family run hotel Sandeep & amp ; Karan .The hotel nice & amp ; Clean . near connaught place heart Delhi . stay 3 night really like stay hotel . 
 Dec 9 2008 	 problem overprice 	 stay three night absolutely problem , price 2590 rupee simply high kind accommodation . get similar room cottage yes please 900 / night ( would do , except yes please full time ) . real difference service quality think Sri Nanak leave newspaper outside door every morning . the location bit noisy . Gurudwara street broadcast prayer quite loudly certain time day evening . around hotel automotive - type shop lot motorbike place really grimy , especially air . see haze air look street . the main reason pay much free WiFi , need work . probably , cheap option available . 
 Dec 2 2008 	 great stay 	 nice time hotel , Rooms , staff , internet , clealiness good , much enjoy stay . 
 Nov 16 2008 	 Mixed Feelings 	 Staying Sri Nanak Continental two night first trip Delhi , compare accomodation - get impression price mid - range hotel somehow inflate . good thing Hotel rather quiet location ( least Karol Bagh district ) . taxi driver ask couple time ( may able read hotel sign address reservation ... ) . room less clean , strange selection new old ( well used ) furniture . room seem differ much , new flat screen tv bathroom , quite old installation . the rooftop restaurant produce surprisingly good dish , though order process reveal communication problem then . the check take quite long , Minibar Taxi pay cash . service efficient , however , wakeup call order taxi time . hotel also offer store luggage , e.g . leave round trip couple day . 
 Nov 8 2008 	 impressed ' m afraid 	 say impressed pay nearly $ 200 2 night hotel . when arrive room clean , gecko dropping bathroom , sheet dusty , half bottle previous occupant 's shampoo room , kettle work remnant previous sachet coffee last occupant , replacement sachet . milk powder sachet also 8 month past ' good ' date recommend drink date . the follow day ( today ) make many request - replacement sachet coffee , new kettle , one come clean room afternoon , request clean . do quite reluctantly . still receive replacement coffee sachet . the staff polite good manner reception desk helpful providing map , information shop matter . however , need improvement management hotel domestic standard . would expect 3 star Hotel . if pay $ 30 per night hotel either 1 0 star , would happy , come frill budget category . however , far far remove advert site worth amount money spend . 
 Oct 1 2008 	 good place 	 bad hotel stay India . staff friendly all . when ask pay euro try cheat we calculate chage rate ... room dirty keep close bathroom door due smell ... resturant fine even service slow . 
 Sep 5 2008 	 great budget place beware tourist operator attahce hotel 	 look good budget hotel Nanak great choice Delhi . 's location well , especially since tuck narrow street really car - friendly . service hotel excellent . staff friendly accommodate . room clean bathroom show curtain could well . food restaurant good complaint . complaint duration stay travel agency attach hotel . ridiculously overprice , driver take we back New Delhi railway station outright impolite care fact raining want wade pool water get entrance station . worried pay r . 100 A / c . second day stay take tour Delhi driver reluctant take we many place say crowded . look like travel comfort mind . please beware tourist OPERATORS . would well arrange Delhi tour another travel agency . call Mr. Karan Khandelwal hotel promise look matter apologetic never get call back email regard . overall hotel pleasant experience blot tourist operator . would recommend place otherwise . 
 Aug 12 2008 	 would recommend … 	 enroute home dead time Delhi August 1 . travel two young kid , decent lodge nap shower , imperative . book hotel directly contact property email . offer room INR 1500 8 hour , everything include except transfer . think INR 1500 bad deal thus consent offer . room clean worth price . bathroom good standard budget hotel India , toiletry acceptable quality . Wifi ok . far location consider , depend upon look . enjoy true hustle bustle India , perfect choice … congested , mainstream India salient feature . allergic crowd , hullaballoo want something silent calm , avoid hotel … rather avoid locality Karol Bagh altogether . hotel ask INR 700 taxi airport , quite unreasonable . air - condition radio taxi would cost INR 450 . course , much well alternative . however , short , would recommend hotel look something price class . general tip : try far practically possible , deal write , explicitly mention include ' . otherwise , bitterly surprised end . 
 Jul 19 2008 	 Nice Budget Alternative 	 first , clear visitor talk budget alternative property luxury segment . thus , would unreasonable irrational expect everything good . take rate account would say … 1 . hotel room adequately clean . 2 . toilet / bathroom = average3 . maharaja suit could nice option family travel young kid tight budget . location ideal one … bad either . conclusion : honestly speak Sri Nanak deserve well rate one currently hold ( 27 ) . 
 Jun 30 2008 	 Cosy Little Hotel 	 Sri Nanak cozy place busy Delhi location . be within walk distance much , will feel like be real Delhi . we stay twice , different room time . two room comfortable clean , one room definitely recently renovate other . on Christmas Day , treat free simple dinner restaurant upstairs . practicality : free internet access computer terminal . small grocery shop , pharmacy restaurant nearby . hotel staff courteous responsive need . hotel also feel safe . get detailed instruction get hotel taxi driver seem difficulty find . overall , great price . 
 Jun 11 2008 	 Comfortable Stay 	 though stay hotel night , find hotel comfortable peaceful . interior hotel room good . hotel locate heart city , Karol Bagh . staff co - operative helpful . would certainly recommend hotel relative friend . 
 Apr 26 2008 	 Excellent Stay 	 stay Hotel Sri Nanak March 08 . hotel great , service great . owner sandeep great , dinner us complimentary . manager helpful provide information city quite handy ! laptop , could browse high Speed Wi - fi quite useful . also carry notebook hotel provide free access desktop . food restaurant great serve excellent chicken tikka masala ( like spicy food ) . food good resist ! room nicely decorate & amp ; clean . bathroom equip late amenity room amazing . nicely decorate lobby basement shop . buy lovely pair elephant . stay hotel great & amp ; 's good deal ! Delhi , grab room here . happy travel ! 
 Apr 22 2008 	 clean cheap free wi - fi 	 hotel offer pick airport , 800 Rupees . arrange taxi airport 250 Rupees , take driver long time find hotel . would recommend map give driver direction . the location minute walk several lively street market metro station within 10 minute walk . the room small , basically furnish reasonably clean . staff helpful . a good value hotel Delhi . 
 Apr 20 2008 	 excellent location grat staff 	 choose Sri Nanak hotel 2 reason : location ( nearby place need go business ) review staff . new city always well reliable local information . expection infact exceed . the hotel clean provide average service indian standard 3 star . people reception outstanding . helped organize day way manage perfectly combine busine tourism . transport perfect , include pick airport . but special note restaurant : enjoyable indian food ; usual tourist stuff , authentic indian cuisine friendly environment . I sure come back next time Delhi . 
 Apr 14 2008 	 mixed feeling 	 first trip India first stay hotel . bore resemblance lavish review ' ve read site , clean thing work . charge 700 rupee & quot ; complimentary & quot ; pickup airport , must blame forget pickup suppose free . location awful , perhaps rest Delhi like ( go airport hotel back ) . also problem online reservation payment gateway not check total would pay twice suppose . not know quite rate hotel not see other Delhi , certainly not think hotel deserve praise reviewer cast . 
 Apr 12 2008 	 good occasional night 's stay 	 spend 4 night , 2 stay , March , different room . room small , little storage space , clean , bed firm adequate . air con work noisy , fridge not work . bathroom ' wet room ' take thong / flip - flop , hot water . staff friendly & amp ; helpful . unless already know , taxi will not able find - 's bury ' motor - cycle repair ' section bazaar . able find gurdwara : hotel close - gurdwara LHS , turn r 1 block , & amp ; vise versa . alternatively , arrange hotel send car meet station airport . dining room top floor attractive , although indian family birthday party - good sign . careful food - wife dose salmonella 2 day leave & amp ; convinced re - heated veg biryani . summary , be ok occasional night 's stay , be prepare live suitcase , & amp ; be inexpensive . reason would not take CR card payment insist cash . 
 Apr 7 2008 	 great hotel great family 	 excellent stay Hotel Sri Nanak . India one month volunteer work stay hotel entire time . family own hotel helpful even give we deal stay long time . anything need , try well get . power go day , luckily , hotel generator kick keep air conditioning light run . staff friendly help we need term direction . really , comfortable , friendly , indian run place . make guest happy comfortable . 
 Apr 1 2008 	 overprice location 	 partner arrive early morning . give detail flight email couple day nobody pick we . not big deal pre - pay taxi handy airport . when arrive , not room we believe might communication problem . totally exhausted , take suggestion stay staff 's room hour one guest check later morning . reception guy polite , helpful friendly . anyway , believe location quality suite stay , overpriced . stay next night another hotel Paharganj , half price little high quality ! would recommend traveller stay Paharganj area , close metro station , much cheaper interesting ! 
 Mar 31 2008 	 Average Beware Noise 	 pick hotel base tripadvisor review . sum , get pay . restaurant top average food . hotel room average . read review , expect hotel noisy . noisy . must woken 3 4 time night / early morning . noise street insane . almost glass . staff , helpful courteous . location , would recommend single woman traveller stay hotel . area not bad , sure heck ai not safe . manager say , old part New Delhi . in end , want average , . 
 Feb 19 2008 	 hard find good hotel New Delhi 	 book three room stay six night attend conference January 2008 . prior leave ask five hotel previously stay ( Ashok , Taj Mahal , Oberoi , Meriden , Claridges ) quote price four room six night , include taxis , know time year come back quote excess $ 10,000 one sure could fit we ! look Hotel Sri Nanak Continental probably problem , find good clean hotel New Delhi . use Google Earth Hotel Sri Nanak show locate New Delhi close meeting Dr. Kothari conference center . send email hotel book room state select base location . regular visitor India know way around New Delhi although 10 year . Hotel Sri Nanak Continental New Delhi Old Delhi rank 22 215 hotel New Delhi reflection sever lack good hotel . one first time visitor India put " one star hotel fringe ghetto " never see indian ghetto probably overly harsh . the location " mistake " mistake glad report correct . India know entrepreneurship rather take offense appear borderline dishonesty well take stride get problem fix . hotel pick we airport good car , hotel dirty part town believe safe . trip arrange Agra go well hotel taxi driver make cough overcharge due lack change ! finally grey towel eventually replace clean white towel . one party money steal store luggage despite " security " good idea leave money luggage anywhere world . all probably somewhat overprice location condition room may want consider negotiate side , despite basic appearance restaurant great . my advice owner : keep laundry clean fix roof area guest somewhere sit . advice guest – welcome India , keep cash safe go flow . 
 Feb 13 2008 	 great presidential room 	 presidential suite amazing ! great service accommodation ! 
 Feb 10 2008 	 Friendly 	 book hotel internet . first business trip . upon arrival , surprised check still traditional way recording security camera place . food fantastic staff always smile . room clean . important free broadband internet . 's nice place rest heart busy shop house . Alvin , Singapore 
 Feb 7 2008 	 do not like 	 extensive research web , Sri Nanak seem good bet , really disappointed . big problem room really dusty , constantly sneeze wipe nose . 2nd gripe bathroom disaster . can not understand do not use separator shower toilet . end effect shower entire bathroom wet ! . pity ... could really decent place take time clean ! plus side staff helpful , although raise suspicion sometime . however overall help train ticket booking taxi service . another plus pick airport , real help since inevitably get rip local taxi driver . location , bit run - down , that s India . another plus close Delhi Metro ( excellent ) , shopping arcade walk distance . 
 Jan 26 2008 	 great place begin end journey India 	 travel India family six , four age eighteen . fly Delhi Sri Nanak Hotel wait we - even though flight delay two hour middle night . service ! hotel staff friendly , supportive help we acclimate USA India . Mr. Sandeep Mr. Karan particularly helpful . make sure need address . arrange transportation Taj , friend 's house Delhi , airport travel . come back hotel two week country . stay several hotel , good service , good food , clean accomodation excellent management staff . come India future first last stop . give Sri Nanak high recommendation - value money , welcome respite busyness Delhi . Hats Mr. Sandeep Mr. Karan ! 
 Jan 13 2008 	 Luxury Hotel 's similar Motel 8 US 	 pick hotel base review price , hotel stay month long India trip , think one one like least . stay good room think worth price pay . will update review picture get pic upload . bed comfortable though linen look clean . bathroom average hotel India bathroom ( bathtub , shower bucket sink toilet ) . location hotel good . constant noise street : cat fight , dog fighting , car honking , engine roar ... pics street show unideal location really ... hotel price good room $ 50 usd / per night , think would fair price . hotel definitely charge $ 100 . positive note , staff seem helpful elevator work . unfortunately , since not stay Delhi hotel , can not recommend other . stay many hotel Golden Triangle Route recommend review area . 
 Dec 22 2007 	 terrible stay away 	 ever wonder seem one place seem plenty room short notice ? 's take reservation move different hotel choice , even personally email confirm reservation make via website . I arrive long haul flight , quite late evening discover move different hotel . room fine , even though bathroom dirty hot water . moreover locate middle motorcycle repair district market . probably need elaborate amount noise large number bike make morning ... much recommend booking room hotel . will not end anyway , go lot hasle get original booking fee refund . ( evidently , end pay hotel ) 
 Dec 21 2007 	 noisy busy surrounding 	 Hotel kindly arrange pick Airport , get approx 0130 . hotel locate busy market place would not recommend anyone want gentle introduction Delhi follow long plane journey . hotel clean , location spoilt experience . 's place get Tuk Tuk walk back hotel due gridlocked traffic . anyone not like bark dog call prayer early morning avoid . staff indifferent , place no - one want discuss India - Pakistan cricket game underway . well avoid unless can not get anywhere else particularly interested import export surround commerce ... 
 Dec 17 2007 	 good enough 	 take long time decide upon Hotel Sri Nanak Continental destination upon arrival New Delhi . reviewer note , seem dearth true mid - range lodging Delhi . many case necessary spend small fortune get might consider moderate hotel place . make reservation Sri Nanak Continental upgrade ( pay , complimentary ) suite . first experience airport pickup . walk arrival area see many driver sign , not see name . since flight arrive 20 minute early ( ! ) decide wait minute get worried . wait little hour call hotel . turn driver wait outside instead inside arrival hall . fine , would nice know ahead time would outside inside . meet , though , go well get hotel . check - in go quite smoothly . able grab quick bite eat restaurant . meal - adequate .... great , bad . restaurant little dismal side .... window rather dark . room nice enough - certainly clean . seem take long time water get hot . bed comfortable good selection station flatscreen tv . not see standard room look like , suite small sit area adjacent bed . like standard room US chain Comfort Inn - separate sitting room . staff courteous enough exception bellman attempt become little familiar ( solo woman ) make insulting remark . neighborhood congest noisy , metro convenient distance - maybe 10 minute walk . 
 Dec 12 2007 	 Overcharging Delhi Hotel 	 return 10 day stay India . unfortunately stay Sri nanak Continental Delhi . firstly free Airport pick come , late , 1 car 7 pasenger plus luggage . wait almost hour sort Taxi . I book expensive 3 room . large room show we , clean tidy . show we room choose much small room , bearable , do not realise bed hard mattress , pillow stank , bedsheet dirty , sheet pillow cover change room clean . dirty dusty window room shut properly spend 2 sleepless noisy night . do ask get Taxi 5 time expensive , taxi rank around corner , 3 minute walk cheap taxis . I see 2 people check , first one complain overcharging , second one extra charge Mini Bar . check charge large room although stay cheap room , complae manager cancel £ 4 food bill £ 20 extra room . charge 3 night , mistake , refunded 3rd night . the staff helpful time , restaurant actually cafe food good . also free internet times location good shopping . I would stay recommend hotel 
