Beautiful 	 spend four night two adjoining room 5th floor hotel last week could not happy . spacious well appoint room typically beyond comfortable Marriott bed bed large , though bit retro , bathroom . complaint , know prior arrive , would wi - fi room ( although breakfast pre - dinner drink executive lounge give we enough time laptop ) . staff helpful friendly ( lovely lady front desk go way accomodate request early check - in ) . within walking distance Shepard 's Market , Buckingham Palace , Oxford / Bond Street shopping convenient . would love chance go back stay ... 
 old grande dame get facelift . 	 stay Grosvenor several night conference November 2009 pleasantly surprise much improved previous stay 2002 . back , give tiny broom closet room bed old lumpy certain use Queen Victoria . hotel use look smell old lady see well day decade ago . Grosvenor apparently undergo major rehab glow polished . everything hotel nice , all - marble bath deluxe bed bath linen . room time huge super comfy King bed . despite large hotel , room extremely quiet . ' ve London dozen time stay different hotel new , improve Grosvenor hotel return . hotel bar really warm inviting . location short walk Oxford Street shopping . one tip : hotel Theatre Ticket service main lobby purchase theatre ticket immediately upon arrival . gentleman desk nice good recommendation . also get half - price , day theatre ticket Leicester Square , long walk hotel take chance ticket available . 
 great location Spacious Room 	 Grosvenor House , confused Marriott hotel also Park Lane , well situate across Hyde Park . historic hotel not offer many amenity ( think gym renovation ) , staff gracious helpful . arrive red - eye flight , well check - in time , promptly give room . excellent location major metropolitan city , surprised spacious room ( 820 ) . breakfast buffet grossly overprice ( 30 pound ) . Red Bar bit scene beautiful people London , complete Kevin Spacey sighting . 
 oct 8 2009 	 Genuine 5 star Park Lane 	 part large business group study tour London . room excellent decor large comfortable bed . classic London 5 star hotel service . can not beat location , across road Hyde park within striking distance major tourist attcraction two tube station . 
 Oct 8 2009 	 lovely hotel 	 beautiful hotel , extremely helpful staff conveniently locate many great tourist sight ! walk distance Hard Rock many beautiful park . concierge helpful many suggestion sightseeing . would definitely stay ! ! 
 Oct 8 2009 	 wonderful hotel many food option 	 stay May 2009 enjoy stay . everyone friendly late night food option minimal . restaurant expensive ( $ 25 club sandwich ) . , hotel great ! room beautiful ! 
 Oct 8 2009 	 Grosvenor Perfect 	 wonderful place ! use Marriott point well part trip . terrific location , comfortable bed true white sheet pillow . treat ! whole place good taste . 
 Oct 7 2009 	 great hotel staff 	 stay use Marriott point , still upgrade we superior room . great room big decent tv , big bathroom , super comfy bed , air work fine .. 6th floor quite street able open window night . it cost 35 us wi - fi access per day ... bummer thing , location ok , need walk tube , 5 -10 minute . staff great , freindly .. conserigie recommend seafresh resteraunt fish chip , go well fry seafood .. itis cool conserigie actually reccomend place & quot ; list & quot ; .. london walk ww.londonwalks.com , check well worth time , money , 
 Oct 3 2009 	 Nice hotel right near Hyde Park 	 book hotel Priceline & quot ; Pick price & quot ; get room $ 180 / night usd - bad rate ! overall nice hotel - room great , lot space bed comfy . be right near Hyde Park great walk around enjoy . also get ticket see Hairspray ticket guy hotel love show . although close metro line hotel much close ( intercontinental example ) depend close want station . 's also annoying charge WiFi - mean day ? ? ? get elevator Michael Keaton ( Batman ) stay floor get elevator we . apparently hotel get lot celebs kind exciting . overall nice hotel will fun London matter enjoy trip ! 
 oct 2 2009 	 age elegance still we 	 something classic 1920 , hotel give buzz . it , stylish , little old fashionedn great place stay . I book executive room include drink , soft alcoholic , breakfast , afternoon tea , well worth extra . I ask stay one thi classic room , none available immediatley upgrade suite . fantastic . ( recently redecorate room modern ) bed comfortable . breakfast good outstanding . the location great , within walkin distance Hyde Park , Oxford Street , Bond street , Harrods much more . service throughout hotel excellent . a great stay 
 Sep 30 2009 	 elegant upscale ritzy location . 	 first visit London impressed taxi drop we front hotel . park front Bentleys , Aston Martins , Class Mercedes , Land Rovers . hotel Park Lane , one upscale street London . the reception area immaculate . lobby beautiful chandelier floral display classy appeal . receive room key go room . however offer luggage assistance . bit surprised see bell hop sight consider class hotel . we find room impressive base size , décor , cleanliness . feel like back home . bed plush comfortable . bathroom spacious clean . Down hall us fitness center 1st floor . yoga room , cardio equipment multiple weight . satisfied fitness center . the concierge great . put we list top lounge London . sure advantage service . the hotel near Marble Arch Hyde Park . find many shop lebanese restaurant . Hyde Park minute walk great place relax get away busy city . however , pub club within walk distance need take taxi they . the hotel nice tuck away nice location . want happening , try stay Soho Mayfair area . 
 Sep 28 2009 	 Good Rooms Average Cleaning Standards Terrible Reception Staff 	 stay Grosvenor House Hotel become J. W. Marriott mixed expectation . last visit pre- refirbishment room look tired date still offer excellent service standard fanstastic central location . I book one night stay via priceline.co.uk , pay £ 116inc taxis / charge exclude breakfast . email hotel request non smoking room upon arrival allocate one without question . our taxi drop we Park Lane , front hotel , whereas reception rear courtyard style drop zone . not assistance door , clear direction main reception . the reception area beautiful . large floral display candle storm lantern crystal scatter around area series rich , gold red colour complete northern american touch parisian feel lobby . large wooden reception desk man one lady busy number crunch arrive front . minute keyboard bashing , look ' yes ? ' . start state reservation , interrupted request ' sirname ? ' . spell sirname continue type huge amount information add ' Credit Card ' . appear sentence require deal client establisment . card swipe , push card two key towards finalise transaction ' lift behind , floor 5 button ' . add workload confirm room non - smoking - ' of course ' , wave hand guesture punishment . again assistance baggage offer , bell boy sight . make way room . grosvenor rather hard navigate due 's odd design , not uncommon London due age building . would simple escorted room , like hotel class . the public area beautiful clean . colour may look rather garish photograph add feel luxury warmth hotel , something miss many modern interior hotel opt day . corridor new carpet wall covering . sign public area false , laminate plastic rather brass design look like . when find room impressed size , smell quality fixture . first inspection room look clean . bed high quality , clean . good selection pillow provide - include one GHH brand . end bed sit large LCD screen on - demand , local internation station course clunky tv internet service . special offer £ 20 unlimited movie , music tv internet current time . include wire internet port . not wireless signal room , 3 g work well 02 network . within tv cabinet mini bar honesty item , compelete corkscrew glass . not tea / coffee make facility room , although deliver room along ice . a lampe desk area leather chair home hotel information , write paper local information . also find comprehensive room service menu folder . price line 5 * hotel London also true well stock mini bar . room service pricing exclude £ 3.50 tray charge 12.5 % option service charge , pretty normal London . two ornate chair table magazine create nice feature two large window . room overlook side street due secondary glazing noise not issue . large wardobe ample storage full length mirror create feel space room . the bathroom good size , large sink mixer tap . good selection , premium brand , shampoo , conditioner lotion . two soap also provide , good quality nice scent . sink area appear clean well present . the toilet , bidet bath divide sink area . toilet dirty , seat rather loose . marble grout bath / shower area begin mould cover limescale . first indication cut corner housekeeping . shower mat also dirty start mould . due lack proper cleaning , seem ashame refirbishment high standard keeping standard also important . use desk area find pack open cracker sweet packet chair . room clearly hoover statisfactory manner . make wonder housekeeping team require clean room certain time , minimum . horror story clean glass dirty towel sink toilet brush medium London hotel , make wonder eye can not see skipped clean . the airconditione easy use , quiet operation night . not noise corridor adjoining room . we opt room breakfast choose continental option £ 21 per person . full english £ 27 healthy menu offer £ 25.50 . add service tray charge will not see much change £ 50 breakfast two . deliver time , item fresh drink correct temperature . staff excellent even move furniture around room could eat window . member reception staff check much friendly even help we take bag concierge storage day . could not provide email contact manager hotel still improvement check in . after explore London day use nearby Marble Arch Underground Station ( turn right front hotel head end road , past Marriott ) . return back hotel drink Bord'eaux . restaurant beautiful nice terrace look Park Lane Hyde Park . two coffee two coke bill come around £ 15 . location lovely , get cooler put large patio heater offer blanket shoulder . sit opposite Gary Rhodes speak highly food . a beautiful hotel , restore 's former glory . think 's current management unable continue keep standard accommodation impersonal approach reception staff need address order achieve ' upper level ' J. W. Marriott . an excellent stay 
 Sep 25 2009 	 Wonderful classy hotel 	 stay wonderful hotel 10 year wedding anniversary , return London visit honeymoon . stay Marriotts world among nice . beautiful location prestigous Mayfair area .. Nearest Tube station Marble Arch ( fair walk , bad ) . room beautiful swanky -- traditional furnishing , well appoint . helpful concierge staff ; coordinate nice guide tour we ; assist taxi advice regard catch Eurostar train Paris . mixup room upon checkin , staff handle situation professionally , approval . across Hyde Park . internet charge ridiculously high ( surprise -- come Marriott , charge internet style ) , pass ( use free internet nearby McDonalds Marble Arch ) . real glitch false fire alarm middle night . classy . 
 Sep 25 2009 	 luxurious hotel . 's plus minus 	 excellent hotel right smack fashionable fancy Mayfair . nicely redo lobby , room good size bathroom new spacious enough . bed fantastic . typical london 5 star hotel breakfast 21 pound plus , small breakfast cafe right outside main restaurant get breakfast item fraction cost . service good , professional friendly . Less tha ten minute walk Oxford Street ( main shopping street ) Marble Arch Bond Street tube station . several bus drop 1 minute walk away hotel . pro . con : internet service ridiculously price . tell GM like hotel offer free WiFi . swimming pool permanent health club close due dispute . Bummer . nice pool basement . get free privilege pool health club Marriott less 10 minute walk road , ! not go slightly far Marriott Edgeware Rd . , though , club good . & quot ; con & quot ; not stop stay Grosvenor House , particularly get good rate . 
 Sep 24 2009 	 great room great value ( be use Marriott point ! ) 	 really like place . room spacious nice large bathroom . bed super comfortable excellent linen . use point not get park view hotel quiet . tube bit walk either Marble Arch Hyde Park Corner . & quot ; upscale & quot ; hotel - charge mini - bar drink hotel lounge sick . want business ? 
 Sep 21 2009 	 Outstanding stay London 	 wife stay Grosvenor House 2 night early September . truly enjoyable experience every way . internet service price exception experience offer outstanding value . beautiful property helpful courteous staff prime location . recommend grand hotel would certainly return . 
 Sep 18 2009 	 Fantastic Hotel Location 	 hotel locate Mayfair , one good area London . locate right across High Park , convenient tube ( close station Marble Arch ) basically access hot spot walk ( not mind walk 20 30 min ) .The shower highlight room us - incredible rain shower ton pressure . size room enormous UK standard . true 5 star true north american king size bed . priceline.com - name price , get well deal anywhere else , make sure book soon available . pay $ 140 usd per nite , friend try book 2 week later price $ 375 usd per nite -so grab can . the negative internet access extremely expensive 50 pound per day need personal use , may want take laptop Starbucks Oxford St. our last nite end perfectly firework High Park see room . 
 Sep 10 2009 	 wonderful hotel great location 	 husband stay Grosvenor House 7 night , Aug. 30 . hotel lovely . fresh cut flower place throught - out hotel leave warm pleasant aroma . everyone , reception desk doorman , exceptionally warm pleaseant . breakfast include stay make even nice . room well appoint large enough two . turn - down service every night . location prefect across hyde park ( central london ) . within walking distance major shopping department store ( Harrod , etc . ) , shop , outside vendor restaurant . transportation also use tube Big Bus Company . , wonderful time London 
 Sep 10 2009 	 amazing location next Hyde Park - great spacious room - hiccup 	 family finish 2 night stay JW Marriott Hotel . absolutely love London 's one favorite city world . enjoy try different hotel city several different area . hotel get good review decide book long european holiday . arrive evening flight Milan . check easy check - in agent ( Chi Chi ) really friendly well colleague stand next happen Argentina chat bit they . we request baby crib 13 month baby we . say would send crib right . hotel really beautiful lobby elegant . fresh flower arrangement come back entrance . front entrance Park Lane taxi driver pick up / drop circular driveway back . bellboy friendly brought bag immediately ( ton bag Europe travel 6 week ) . book Superior Suite hiccup arrive room . electricity room . bellboy come bag say probably not hit right switch . joke probably spend time hotel see every possible switch hotel could possibly be . he comment never see work several year . course not help we stand dark 15 minute baby . ask we call front desk report . course take find phone pitch dark . wait 15 minute someone else come fix . sound like totally isolate incident not happen much bad luck . I comment wife due bad luck . literally perfect trip entire 6 week city city . light come really happy room . spacious big decorate well . front building face Park 6th floor . bathroom huge marble . nice bathtub shower well hair dryer scale always appreciate travel weigh bag . we request King bed bed comfortable keep mind 's two twin sized bed push together . not bother we people want true King bed important make sure request it . there big LCD tv desk chair work area . lots closet space well electronic safe spacious well . room also iron iron board always nice Europe hotel Europe not charge $ 15 iron shirt . internet access ? 20 ( $ 33 ) per day . Pricey almost hotel Europe expensive internet access . restaurant well bakery bottom hotel room service never eat , always opt dine out . a handyman bring baby crib pretty quickly say someone housekeeping going bring bedding sheet blanket crib . go dinner stop front desk tell girl go dinner maid never bring sheet baby could leave room . say would . when come back dinner walk around still not put sheet baby crib . call ask bring baby already asleep . wait 25 minute one bringing . frustrating . finally call spoke & quot ; Carlos & quot ; apologetic think personally bring . really nice wish would done beginning . 5 star hotel definitely need responsive . that two hiccup stay . everything else great . hotel big . something like 494 room hotel . make sure write room leave floor plan like maze . lots room per floor numbering scatter bit . the location amazing Park Lane . 2 block Marble Arch Metro Line . walk main entrance take right will run right . concierge always friendly map . we spend one day Hyde Park , directly across street . great peaceful . last day store bag check 12 pm store we driver come 6 pm . would recommend hotel 's beautiful room nice . thing could improve service response guest . hopefully situation isolate response electricity problem . 
 Sep 9 2009 	 wonderful find top - notch location 	 little worried property - tell standard room adequate size , bed divine , housekeep prompt excellent , powerful shower , well - than - expect restaurant - like - excellent HVAC / air conditioning bedroom . stay top - end hotel London , end warm room even though room supposedly & quot ; air condition . & quot ; downside , bill mess checkout ( internet charge never use example ! ) , swim pool nice heatlh club factilitie ( although supposedly build open 2010 ) toiletry room plain old standard - i.e. , would find Marriott hotel downtown USA property . general , though - solid property , beautiful environ , quiet , excellent location . walk everywhere right hotel . would stay without hesitation . 
 Sep 7 2009 	 beautiful hotel 	 wonderful hotel , absolutley stunning way . smell flower lobby gorgeous . stay corner suite one nice room would ever stayed do awful lot travel . the downside find price restaurant bar extremely price ( £ 6 toast ) would definatley stay 
 Sep 7 2009 	 great stay 	 spend weekend JW marriott Grosvenor House London . the hotel great location Mayfair reasonable walking distance attraction . the hotel really nice every way , everywhere clean well maintain . the service excellent . arrive early friday around noon . book nonsmoke superior room , non theese room available yet receptionist offer we option upgrade large suite smoking floor could wait non smoking room even change later think room smokey . opt suite do not smell much smoke since suite recently refurbish new carpet furnishing . suite massive beautiful large sitting room 42 inch flat screen really nice plush furniture . bedroom bathroom also large really nice . rate include breakfast average hotel standard , breakfast deliver room last day highly recommend . also 3 course meal include restaurant really nice . will stay next trip London . 
 Sep 1 2009 	 wonderful experience 	 wife spend five night please . soon enter atrtractive lobby feel would pleasant stay , fresh flower table give feel welcomeness . staff warm friendly moment arrive . enter room please decor spaciousness . bed comfortable room quiet . stay room immacculately clean orderly whenever return . concierge help we plan daily activity tour London provide valuable information use underground easily get around . 
 Aug 31 2009 	 great surprise London 	 's fair say picky traveller , point really important cleanliness , good interior decoration , comfort , service quietness . hotel measure respect . we change room upon arrival , request non - smoking room , whereas first appear matter , short time smell cigar smoke adjoining room overpower . first room also two connect door . the second room match expectation well , adjoining door , non - smoking floor , impressed quietness door closing system room door , although one important feature hotel design , appear lack many , ( even great hotel ) . room size typical London hotel , high expectation , disappoint . the staff courteous late wake several occasion disturb , room clean / make requested left , day 's programme whenever set , sometimes late 11.30 midday . we eat drink hotel , make use ice alcohol preprandial , quantity ice provide substantial , free deliver promptly . if price maintain current level - pay GBP158 per night inclusive twin room - would extremely interested use , perhaps recessionary blip , fleeting . the hotel 's recent refurbishment help enhance overall good impression receive , bed high standard , although comfortable , small , less firm preference , point adjust require . 
 Aug 26 2009 	 nice may five star property 	 lovely hotel , although not see five star hotel . care service not hotel lobby . positive : room lovely , extremely comfortable king size bed . receive turndown service night . request , extra towel toiletry , fill housekeeping staff . never hear another guest , although hotel busy . street noise drown use air conditioner / fan Breakfast morning Bour'deaux restauant one good part stay . restaurant staff always pleasant caring , food delicious . list price extremely expensive , pleasure include rate . location good . walk ten minute Marble Arch tube . the negative : concierge desk misdirect we several occassion . front desk staff helpful . ( lobby staff could learn much work Bour'deaux restaurant . ) television station selection limit . ( not visit London watch television . ) pool renovate , open stay . fitness center poor appear makeshift ; perhaps permanent fitness center renovate well . cost use business center ridiculous . plan go elsewhere check e - mail . see many internet cafe . 
 Aug 24 2009 	 good location nice room 	 great stay Marriott . upgrade corner room quite spacious quiet . bed big comfortable . be certainly much well another Marriott London ( Marriott Marble Arch ) stay trip . 
 Aug 22 2009 	 Awesome hotel ! ! ! 	 AWESOME Hotel ! ! staff outstanding food awesome ! ! close hard rock lot thing ! ! ! would go ever go back London ! 
 Aug 11 2009 	 AWFUL stay smoke fill noisy ROOM MATCHED terrible service - stay somewhere else ! 	 husband stay Grosvenor House Hotel 1st August 1 night celebrate special occasion . book back May choose hotel 's reputation Marriott Gold Elite Rewards member . time reservation , ask whether want smoking room miserable looking receptionist check advise we smoking room leave . non - smoker unhappy point actually pleasantly surprised get room , do not smell smoke decide keep room - big mistake ( apart choose hotel ! ) . guest stay room adjacent arrive back around 11.30pm . shortly , room start fill smoke realise come interconnect door , although shut , obviously do not fit properly . roll blanket towel wedge gap round door frame , open window air conditioning full still room smell absolutely disgusting . start pop champagne make lot noise 12 pm , obvious least 4 probably like 6 . noise get worse bad call reception ask security ask quieten . unfortunately , hour half five phone call later security check room yet get knock door ask we room make noise - even though even moment full blow party could heard corridor ! quieten security bother ask still go strong 2.30am . with room fill smoke noisy neighbour , sleep well ask complaint form another equally unfriendly receptionist check next morning . apparently Marriott customer comment form since return home , also do not customer service contact either take two day give phone number Ireland do not exist . call three time wait five hour anyone hotel call back promise investigate call within 2 day , didnt . this hotel could lovely rely reputation yesteryear , deserve . location great room small ordinary rack rate £ 260 per night , even include shower gel tea / coffee make facility . no - one open door , explain hotel facility , carry bag , show we room - welcome shape form one member staff smile entire time . service reception concierge terrible - inexcusable hotel - lack customer service time stay indeed since quite shocking . , like we , think Britain go smoke free - beware - law hotel quite different pub restaurant . nothing anywhere Grosvenor House website that s indicate choice smoke non - smoking would choose another hotel even slight hint may end smoking room . if look luxury stay , hotel look care guest try celebrate special occasion ( completely ruin ) , many hotel close one , would far well choose somewhere else ! 
 Aug 10 2009 	 Tiny Bathroom bedroom 	 stay point apparently upgrade suite , say disappointing Marriott upgrade receive sometime . suite nice living room , bathroom bedroom aweful . the bathroom beyond tiny zero counter space . bedroom small could get suitcase room . expect Category 8 Marriott property . shower hot water first night repair . door room would latch unless slam , cause house keeping accidentally leave door ajar day . amazed lose posession . door latch also repair . complain item request new & quot ; non - suite & quot ; room tell nothing else available good could repair fault . repair make , accomodation tolerable , expect . executive lounge minimal offering hotel class . like 24hr room service . location great , happy Marriott property . prefer much low cost Marriot Marble Arch . 
 Aug 7 2009 	 great location concierge bellman service fantastic . 	 upon check try put we smoking room even though specifically request non - smoking . oblige check refuse , whole floor room reek smoke . go back reception much discussion , non - smoking room suddenly available . concierge desk everyone service extremely helpful throughout stay . location near Marble Arch close bus route Tube , taxis plentiful . 
 Aug 7 2009 	 usual excellent Marriott standard 	 first time use Marriott UK 3 - day trip courtesy Marriott Rewards . we treat well receive good wish staff celebrate anniversary . even manage move big , well room first night . we enjoy proximity Hyde Park enjoy couple early morning run there . the buffet breakfast Bord'eaux yummy . 
 Aug 5 2009 	 over - rate 	 hotel like beautiful girl school nasty personality . the room public are beautiful , across street Hyde Park . service , however , good often condecende . decide stay dispite , also aware nickel dime everything . local call 1.25 lbs per minute , free Wi Fi , light breakfast run 20 pound ( that s 40 dollars0 per person . decide acceptible try get rate priceline @ 200 per night.and not afraid ask different room find put tiny one . 
 Jul 27 2009 	 miss money meet unprofessionalism - do not expect 5 - star service 	 intent purpose grosvenor house beautiful hotel . unfortunately service comparable 2 - star . envelope money somehow go missing room . be not even kicker . security take information tell we would contact we upon look matter . also say envelope recover would assist we file insurance claim . well , two week went still have not hear take upon send email . email meet & quot ; regret inform money recover . hope deter stay we again . & quot ; . email back ask insurance process . month ago . never respond . call crazy seem bit unacceptable & quot ; 5 - star & quot ; hotel . I ve never encounter unprofessionalism , honest feel personally insult would ignore matter way . needless say recommend grosvenor house anyone . stay , lock anything matter . really shame hotel beautiful 
 Jul 10 2009 	 good hotel . could great . 	 week long stay Grosvenor House London . the location pretty swell ( one would call good address ) hotel large property big meeting banquet room . the lobby public area spacious well furnished . I find physical plant great . we upgrade & quot ; deluxe & quot ; king room spacious . our room inner room sixth floor . this proved blessing several loud event Hyde Park stay hear thing . bathroom lage well furnish . wonderful thick towel bath product ( Nirvae - seem JW brand standard ) replace daily need ( sometimes turndown ) one area find hotel bit cheap selection product ( poor quality Nirvea brand ) lis one expect calibre hotel . both toilet bidet . plenty counter space . the powerful shwower treat . plenty storage space room large closet ( plenty hanger ) drawer . both case soft good great quality . bed comfy linen high quality . the thing miss light duvet ( blanket ) find Marriott duvet much heavy summer / warm weather . Air conditiong ( blessing ) work well - maybe little well fan , even low setting , pretty stong - making bit noisy nothing unbearable . elevator work well . I see might find trek room bite much we perfect . the negative encounter lack training amongst ( actually three ) frontline staff people . the rest staff great friendly . they mostly non - british seem unfamiliar city . we also find staff ( mean frontline ) less friendly / acommodating . with little work property could solid five star - now 4.5 bestI would stay property location good quality spacious room . 
 Jul 7 2009 	 Five Star Stay Grosvenor House 	 frequent visitor London enjoy stay many recognizable hotel quite simply , hospitality aspect provide guest relation team Grosvenor House stay nothing short outstanding . hotel meticulously well - appoint maintain , include common area actual guestroom . although hotel large undeniably warm comfortable feel place , extend Grosvenor staff , extremely accommodating . marriott team provide we excellent service without obtrusive -- balance always easily accomplish lodge industry . guest service attention detail superior , right coffee cookie deliver suite morning wake call . husband get sense staff really go extra mile make we comfortable . place stay London JW Marriott . go far plan schedule around Grosvenor hotel ' availability ! 
 Jul 6 2009 	 great room great bathroom - pretty good stay ! 	 check room 4th floor ( maze , get end ) immediately feel home - rare hotel . help attend function downstair Great Room evening . plus point : room size , comfortable bed , pleasant view street behind , good - sized bathroom include scale - rare treat ! lot storage space , clean well decorate . order delicious breakfast ( £ 27 , room service ) , include load pastry , jam , marmalade , butter toast , sausage , egg , bacon , mushroom , black pudding , tomatoes tomato ketchup . down side : many toiletry come expect five - star hotel , call reception quickly bring request toothbrush toothpaste . bar prohibitively expensive , least free bottled water . tv bit cumbersome navigate . long wait check arrival departure . 
 Jul 4 2009 	 Great Hotel - Hidden Gem ! ! 	 GREAT hotel . ' m continually impressed JW Marriotts worldwide . immediately upgrade arrive , get feel room , regardless price , fantastic . bathroom huge . comment , American , take 2 - 3 minute figure shower - 4 knob twist . however , location superb , staff friendly ( nice ever ) , property gorgeous ! 
