bad 	 stay three night Thanksgiving weekend . 's way downtown London , little town 's great -- lot delicious restaurant , inexpensive shopping , close fairly major highway . two room spare comfortable clean . bathroom fine . mattress sad , saggy lumpy , least rock hard sheet fit stay well . comforter perfect weight weather -- sleep well . be in - house restaurant room service , never chance use . la carte price reasonable , except buffet breakfast , high . be difficult find parking lot , figure one way street round - about , safe , adequate parking . would go back . nine pound night two people , be great bargain ! 
 May 28 2008 	 £ 19 family room ! ! 	 let start say ' ve give hotel average rating base fact cost £ 19 night four we . room large double bed ( matress bit soft ) ok sofa bed . plenty bedding , hot water , good shower , clean room . will say , £ 19 ! ! ! pay £ 70 might think could stay superior hotel like , say , Premier Inn price . not , pay £ 19 ( sorry , say ) price standard room superb . parking £ 5 night fine . Park second floor multi - story enter hotel door level . go reception ground floor time check pay fiver get slip paper dashboard . previous reviewer say move car 0900 . case , park checkout ( 1200 ) anyway not use ticket open barrier , drive without anyone check long ' ve . be read review be go Chessington World Adventures , easy 5 - 10 minute drive away . hotel top Marks Spencer , go breakfast provision CWofA make picnic room use knife borrow breakfast room ( see ) would perfect stay not decide Travelodge breakfast experience . think pay £ 6.50 online kid eat free . standard food passable not expect food even vaguely resemble photo bedroom literature , not expect food replenish without ask , not expect mug , bowl cutlery without harangue staff ( quite importantly , always find breakfast ) not expect table seat . get eight manage get table , ten minute later people mill around nowhere sit . whole restaurant woefully small , woefully understaffed , woeful really . but hey , skip breakfast get £ 19 deal ! 
 Jan 31 2008 	 good value money : ) 	 ok , 's travelodge 's frill particular job , bed shower , well enough main staff really lovely - couple outstanding one . bit disappointed find underneath sofa bed not clean ( will not tell know ! ) not need not problem . area family funeral fine . also , want get cab city ask staff number Top Cars , guy great far cheap other phone . , fine share room travelodge . 
 Dec 30 2007 	 's Travelodge 	 agreement review stay bad travelodge . one convenient quiet consider nearby a3.check - in staff helpful parking easy ( £ 5 per night ) .My gripe request non - smoking room yet room stank smoke arrival leave clothe little bit smokey follow morning . ask reception staff , assure we hotel non - smoking someone must ' have sneaky cig ' room . not suppose hold hotel someone disregard policy . 
 Sep 14 2007 	 Ok Money 	 stay option try get room near Twickenham gig . ok actually . I ve stay bad TL 's . check - in fine easy , parking free , £ 5 24hrs bad , Breakfast £ 7.50 be not good value convenient . food ok , nothing . otherwise caff road . Mincab fare Richmond £ 15 take 15mins , fine we , cab fare back Twickers £ 20 . room basic , comfortable , clean quiet . can not ask £ 60 night double . 
 Sep 12 2007 	 can not really go wrong Travelodge 	 need place stay one night catch flight back home Gatwick . friend suggest stay be far live since responsible drive we airport . we forget check 3 pm get around noon , luckily staff nice check see room ready we . luckily . room clean spacious . staff concierge cleaner friendly make we feel welcome . the thing not really like bed . not comfortable . could feel spring massage back . also feel like sleeping & quot ; waterbed & quot ; feel funny . sink right lie there . overall , get pay since Travelodge big name , can not go wrong since standard need follow . 
 Jul 28 2007 	 bad 	 Working area , ' ve struggle find B & amp ; Bs hotel ' ve happy . stay one night , reasonably happy . good sized family room spotless . bathroom good clean . staff reasonably friendly , particularly like fact cafe / bar hotel . reception area however grey dismal ( heavy rain condition stay not help atmosphere ) . hotel ugly 1960 's building , within area dense urban jungle , major interchange . difficulty find entry , car . park ( pay extra ) designate section multi storey car park - find designate space hard find ( be top deck ) . nothing interest walk nearby . sound insulation room poor . telephone room , nigh impossible ( apart physically go reception ) contact staff , problem ( eg illness , unruly guest next door ) develop , would hard get help . problem , think , degree experience subject luck day . travelodge , think accept much left device night . experience overall favourable . would stay , aware limitation . 
 May 10 2007 	 absolutely terrible ! 	 yes , ok , want somewhere cheap clean put head night , really not quite unpleasant ! check - in tell parking not free ( have advise ) 5 pound park multistorey - ok , . morning go breakfast pay waitress . minute later accuse pay breakfast criticise move car 9 am ( one tell we ! ) . staff rude . room tiny bathroom particularly new . oh not breakfast go - anyone make entire fry - up taste absolutely nothing not know ! 
 Nov 1 2006 	 Distant suburban 	 book hotel Travelodge website , give high price hotel generally London , attract 26 pound night special offer . the hotel average . cafe serve breakfast different usual t'lodge breakfast bag choice . room clean access hotel room secure . note toothbrush toothpaste provide standard t'lodge . bad point : hotel location leave lot desire . although Marks Spencer supermarket locate block , little else way shop around hotel save small Superdrug ten pin bowling alley near station . walk 30 minute get public gym pretty crap expensive . basically like surban hell - quiet depressing train city every 30mins till 1030pm . still get pay . next time travel London think pay bit something close city . get : catch train Waterloo station via Wimbledon Tolworth , take 30 min cost 6 pound return . hotel Tower office building visible station , 10 min walk . 
 Aug 13 2006 	 Family break Chessington world Adventures 	 stay travelodge along weekend viste Chessington world Adventures , book oline use web site get good rate £ 26.00 night room , supersaver . ( family room 2 adult 2 child 11 14 ) . book travelodge , look review member go Dec 2005 , give poor review , apprehensive staying , must say opposite . the room clean , towel bed linen spotless , like photo travelodge brochure , staff friendly . we eat lodge , price ok , lot place side eat . 
 Dec 8 2005 	 go elswhere anywhere ! 	 never write poor review hotel feel necessary establishment . hotel truly awful . room smell disgusting , towel bed linen dirty be careful will serious damage scold shower tap . child stay keep eye constantly . staff ok slow would prefer stay back room rather reception . would suggest find somewhere else need stay area . hotel must win award Worst Travelodge . 
