hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Aug 17 2009 	 will nickel dime everything possible 	 Hilton Chicago beautiful , historic hotel locate across street Grant Park . meet space stunning , full ornate detail . room average , unprepared extra cost associate stay . first , fitness center charge $ 15 / day use cardio weight . next , internet 24 - hour run $ 19.95 . also , need late check - out will charge $ 50 . order avoid fee , check leave bag baggage storage . guess ? $ 2 per bag fee . also problem lock door - come back dinner find door ajar . follow Security , professional come room inspect . however follow hotel regard safety , offer change lock , offer move different room . ' ve Chicago many time would definitely stay another hotel will not charge arm leg & quot ; extras . & quot ; 
 Aug 17 2009 	 Avoid Hotel be pay Dime 	 save grace hotel great location . 's strategically locate Michigan Avenue , convenient & quot ; L & quot ; public transportation , within walk distance major tourist spot . location , little going would stay someone else pay bill - case . hotel desperate need makeover : lobby dark dank , public area drably furnish , room tiny compact . two window room overlook building next door ; view . inspect sister hotel , Palmer House Hilton , find little make guest feel welcome . hotel appear clean , difficult tell surface . know check Chicago hotel rate frequently could do much well price - wise pay bill rather conglomerate pay . 
 Aug 14 2009 	 Chicago Hilton Michigan Avenue Fantastic 	 get back today week trip Chicago Hilton . place absolutely beautiful . 's history include ballroom 1940 's US Presidents visit . even not stay - go see Chicago . staff courteous . room plush comfortable bedding . day invite extra tea service turn - treat ? aquatic center $ 18 / day little pricey - skip walk city exercise . be across street Grant park walk lakefront less 5 minute . look great place eat - Wildfire Restaurant Martini Bar - 1/2 price app happy hour - nice relaxing set - service fantastic . 9 floor ( yes 9 ) Macy be within walking distance , art gallery , many restaurant . word caution : Airport Express Midway great airport , come back ( pre - pay round trip ) - leave we sit hour 15 minute wait passenger fill van - advise - get good taxi driver take care week airport ( get Henry - local ) . 
 Aug 12 2009 	 great hotel great location ! 	 boyfriend stay hotel first vacation away together . stay week . check - in till 3:00 , decide kill time wander O'Hare take blue line Loop ( Jackson ) walk hotel . get lose ( fault ) compass work ( not ) not far walk , even suitcase . check - in process quick staff friendly we ( 20 look close 16 , happy treat like adult ) . end arrive little early anyway ( around 2:30 ) let we room . the room small - ish enough room two people suitcase . the one thing like bathroom industrial - type flusher toilet ; prefer hotel homey feel like public washroom - style toilet ( toilet work fine though ) . bathroom enough counter space we . bathroom , however , fan , mirror always foggy shower . shower big enough , good waterflow . also , enough space edge tub soap holder , etc . shower stuff ( not , ledge counter right outside shower ) .The time could hear room next we bathroom , fine . however , Friday , lot noise hallway , drunk person knock door try get . also , people room smoke ( believe non - smoking floor ) . could smell hallway day smell crept room . staff deal issue friendly accommodate ( lady front desk walk us security kiosk noise complaint ) . hope mini - bar would fridge , cabinet munchie ( even offer key could see ) . also , bottled water room $ 7 , vitamin water $ 5 . needless say , drank tap water , Walgreens CVS everywhere could go buy 24x500ml bottle probably $ 10 . whatever , drink water provide room ! room service menu ridiculously expensive , add $ 4.50 in - room dining charge , want sandwich would cost $ 20 ! order , wonder $ 20 club sandwich taste like . the location awesome . attend Lollapalooza festival Grant Park , hotel close enough could go back use bathroom ( sit somewhere air - condition ) get back less 20 min ( use porta - potty ) . time walk Hancock Centre 40 min , 's easy catch bus train Magnificent Mile . the concierge lady talk useless . ask simple question ( leave hotel O'Hare 7:45 ? ) keep tell we leave 2 hour flight ( 9:45 ) . keep try explain international flight 2 hour early . eventually say could take & quot ; 20 min hour & quot ; decide catch cab around 6:30 safe . end airport 2.5 hour spare ( O'Hare big shopped explore ) . cab ride back cost we $ 45 tip take 1/2 hour-45 min . overall , like hotel , might stay get good deal . 
 Aug 2 2009 	 special chicago hilton experience 	 13 year old son go see yankee lose sox . hotel clean stately , pleasantly surprised son . service station right . concierge helpful late Friday early Saturday . help ticket obtain . remember concierge service long time attentive . food outstanding . Location Loop Michigan close Museums Lake . Room appear oversized critical 13 year old son think whole thing cool ( word , ) . great pool excerise room ( coild not believe quality , include run track cold weather ) 
 Aug 2 2009 	 Fantastic 	 arrive Sunday night 17th May Sydney , Australia live , go back home Edinburgh , Scotland visit family friend . United lose luggage LA Chicago , say would arrive next flight , clothe wear . next morning , still luggage arrive , go day tour beautiful city , come back late afternoon , still luggage . my wife phone United , say 2 suitcase , wait 3rd arrive would send hotel . well imagine wife say , insist least deliver 2 case change clothe etc , shaver , toothbrush etc.2nd day , still luggage , time , late night , wife tear , go Target buy underwear shirt etc , Peter bell captian come in . he impression United deliver 2 suitcase , inform still wait , , believe it . he straight phone United inform uncertain manner polite get case hotel soon possible , informed & quot ; company policy hold guest ransom suitcase & quot ; good Peter , go get we tooth paste , toothbrush , deodarant , shaving kit 2 voucher breakfast next morning . now call customer relation , nothing much trouble , & quot ; Hey Presto & quot ; luggage deliver hour later . thank Peter great job do , infact think wife give big kiss cheek next day . could fault hotel way , staff polite friendly helpfull , also Karen concierge ? help clothe wise , lovely hotel , like walk palace back home uk.will use hotel visit beautiful city [ , quick enough ] , fall love please please touch lovely old building , Sydney demolish there s , city could learn lot Chicago . I think Chicago friendly , polite , helpful people , ever come across clean city , ever visit , go New York afterwards assure get nothing Chicago , leave dead . I , vote get Olympics 2016William Lilian Scott . 
 Jul 28 2009 	 nice amazing 	 Hilton Chicago big hotel , someone usually stay independent hotel , shock system ! much number name , one would expect , many room . like hotel think let couple thing . the room nice , spacious feel old . tv remote not work entire time ( irritate want watch news 1/2 hour evening event etc ) tell , tell , oh yes , ; common fault , box reset , would need reprogramme tv ! member bell team buy luggage , decent tip overly familiar - use first name turn cartoon character 's name resemble - good first impression . the lift situation appalling - couple big conference go time wait first morning 35 minute get downstairs ( usually would walk stair presentation case 20 floor ! option ) lift continous problem everyone speak to . Kitty 's nice food service quick good . general hotel good service fine little thing make difference probably bell hop not help feel hotel . another thing - leave luggage charge - never charge life , therefore surprise ! 
 Jul 26 2009 	 lot place stay ..... pick one ! 	 location great lobby beautiful . room date , reasonably clean . everything true regard nickel dimed death . customer service real problem , though . room claim non - smoking room , reek stale cigarette smoke . call desk ask another room , tell could change room . also , concierge service poor . although huge place , often one concierge duty . son wait line behind two woman town business conference . concierge sell ticket launch myriad personal story show see year come town . go 10 minute , never acknowledge presence . eventually , two woman join line . several minute , another concierge appear immediately wait woman come behind we . explain wait long , 15 minute , ignore . third time protest , say , & quot ; oh , ' m sorry , not realize wait long , ' m wait now . & quot ; son promptly leave . original concierge still tell first group 5th time see Cirque de Soleil ! 
 Jul 23 2009 	 nice couple issue 	 first trip Chicago . Pampered Chef National Conference . companion stay two bed - two bath room spacious enough 4 we . issue room complete clean arrive . fridge previous guest 's leftover pizza dinner item leave inside . fridge also miss item also report want charge $ 3 miss Snickers bar . receive conference discount pay worth stay . however , would never pay full price room . expensive . eat recommend Diner 11 ( Eleven Diner ) block away . bed pillow soft mattress wonderful . nice view overlook park Lake Michigan . ask , worth view ! 
 Jul 22 2009 	 probably well hotel area / too pricey minor issue 	 Hilton perk , nice room , gorgeous decor around bldg , pretty good location , expensive hotel location still overprice good overprice irish restaurant / grill / bar Kitty O'Shea 's worth go 13 dollar cheeseburger almost . hear friend Kitty O'Shea 's really fun go weekend night , suggest enjoy pricey drink ( cheap beer top 5 dollar , full pint ) pricey bar food . burger good ( boyfriend ) ' ve ever .. cook request cook . not like Hilton ( ' ve stay other not feel way ) feel like hotel want rip getgo . 6 dollar bagel cream cheese room service , 7 dollar cereal , 17 dollar / day internet believe rate , fridge room yet replacement fridge cabinet look thing supposedly complimentary bottle water we ( Hilton Honors Members ) , could not even get open tag ( bottle , empty full , sight ) bottle water say 7 dollar .. take we three attempt call + getting transfer make sure getting charge ridiculous bottle water . also , drinker , sure bring alcohol advance . close two place ( carryout bar warehouse liquor store ) sell booze .. actual cheap one beer nice warehouse liquor store . carryout place 7 dollar 6er , whereas 20 dollar case Warehouse store .. anywho , side note .. lqqk area good deal go like Villain 's pretty close + good Sat . night speciail .. , pretty good time @ Hilton Blackhawks Convention weekend not bother . another thing beware pool situation . nice pool 3 divider people swimming lap .. also two hottub , course child crowd em even though anyone 16 allow hottub . , suck . sun deck really nice large , try go nice day . unfortunately , past July weekend produce sun hope . would ' ve enjoyable . and be working not believe pay 15 dollar / day use hotel fitness center , may hotel . 
 Jul 1 2009 	 nickel dime 	 old elegant hotel . pay top dollar hotel ( conference ) disappoint . charge additional $ 15 day use health club ( many hotel include ) also extremely petty charge upon checkout luggage need store hour ( charge per piece luggage ) . also charge wireless internet connection , many hotel complimentary . room nice enough although air conditioning work properly . , rather disappointed . 
 Jun 29 2009 	 great location beautiful building okay room . 	 book hotel thru priceline $ 85 dollar bargain seeing pay $ 55 overnite parking ! ! ! service nice , clean room . even though arrive exactly 3 , king room take offer executive room $ 50 , thank . get room two double bed two bathroom , nice . Crabtree & amp ; Evelyn product bathroom , plenty towel . room quiet even taste go outside right elevator . great restaurant within walking distance . 
 Jun 24 2009 	 Nice Stay 	 use Priceline place hotel $ 90 per night . location : right Michigan Ave . close museum Grant Park public transportation ( bus train ) . theater district mile away ( walked feel safe night ) .room : arrive late King bed available , place room double bed 2 bathroom . bed comfortable room well appoint . negative : hallway echo night wake several time late - nighter return room . would nice air - conditioning system would fan could use white - noise . parking $ 43 night . cheap parking garage near hotel . wireless $ 14 per night ( really fast ) .We enjoy learn history hotel well . old hotel , nice . 
 Jun 24 2009 	 Grand Old Hotel - need improvement 	 first - beautiful building architecture . check - in ok - friendly - overly . room nice - roomy clean . hotel old . period . the room update , wall , etc ... could use work . upside : great pool fitness center completely include stay ! grand old hotel architecture . downside : Grant park southside area little rough street west also little seedy night . downside : internet : 15.00 day / parking 45.00 day 
 Jun 22 2009 	 Staff steal ! ! ! 	 leave $ 130 flat iron ( hair straightener ) bathroom counter hot put bag . go carry check - out , give time cool . come home , unpacked realize leave counter ! ' ve call like crazy get bottom . ' ve speak HEAD Security , call Housekeeping- course , one see hear anything . speak lose find SPECIALIST , also see anything . also give lame excuse new guest room may turn . WTF ? ! new guest- ' m guess housekeeper would clean room ? housekeeper honest would handed in . if lose find specialist honest would say still try blame someone else . granted- dingbat forgot counter- heck give right take thing ? ! 36 hour since check ! know thief move fast- jeeze ... really ? ! could go buy new one- nickel dim everything ! even luggage hold / coat check , use fitness center print boarding pass ? ! WTF ? ! 
 Jun 21 2009 	 great hotel great value 	 hotel fabulous great value . right Michigan Ave . , locate across Grant Park heart city . room clean , well appoint , everything need . truly grand hotel old style elegance . staff helpful courteous . concierge recommend Miller ' Pub dinner ( short walk away ) perfect . definitely stay . 
 Jun 17 2009 	 hotel fine . 	 's nothing either bad good say hotel . fine . poor customer service , great customer service . decor date , clean . room small , nothing missing . go back Chicago , would probably choose another hotel , stay , would not complain either . be nothing exceptional . lot additional charge , internet three tier service ( sound like scam ) , low $ 15 / day . check bag two hour checkout $ 4 . lot nickel dim pretty expensive hotel room without lot feature . also , room quite noisy . even 14th floor , blackout curtain pull , lot street noise throughout day night . 
 Jun 16 2009 	 wedding anniversary get away 	 stay ok . couple thing like comfort bed room service good . thing not like ... check room type , want give we two double bed wedding anniversary . end pay $ 50 get room king bed . also next morning come back room breakfast door would open . guess key thing run batterys spend 1 hour fixing sit hallway . big disappointment . also park extra $ 54 dollar ready . lot around back $ 18 night uncover area small . guess overall expect well time 4 star hotel downtown Chicago . maybe bad luck ? ? ? 
 Jun 15 2009 	 Excellent stay corner suite 	 spouse need move home 24 hour & quot ; spring clean . & quot ; year , select Hilton welcome dog 75 pound . large , male Airedale 70 pound - , not allow & quot ; dog friendly & quot ; hotel . last minute , book one - bedroom suite 25th floor ( executive floor ) . entire experience Hilton excellent . moment arrive , staff accommodate - especially dog ! make sure Oliver dog bed , bowl , treat lot attention praise . even offer walk park across street ! suite update since corner ( south east ) suite , window two side - nice - lot light . bed comfortable well appoint plenty pillow . room service good - order dinner 8 pm 8:20pm arrive , hot well prepared . breakfast executive floor excellent - nice option ( include & quot ; take away & quot ; coffee cup lids ) friendly helpful service - especially concierge . overall , pleasantly surprised - not expect much since 's & quot ; old Hilton & quot ; - , since need night someplace welcome dog , expectation pretty moderate . Hilton greatly exceed expectation - would highly recommend hotel family kid dog - hotel staff go way make sure be welcome . finally , say , common area beautiful grand ( especially front , 2 story entrance ) . reasonable rate Hilton charge summer , can not go wrong - especially be out - of - town - location , across Grant Park , can not beat ! P.S . - sure check see upgrade room rate $ 10 / night allow indoor , attach parking ( usual rate ( not include room rate ) somewhere around $ 45 / night ! ) . 
 Jun 11 2009 	 Love hotel 	 stay hotel four time trip city . love , elegant friendly hotel underrated opinion . granddaughter love fluffy bed ballroom . 
 Jun 7 2009 	 Awesome location 	 book hotel Hotwire ( $ 76 per night ) please keep mind Hotwire know hotel get pay . we happy location hotel since within walk distance metro station , Soldier Field , cool site downtown Chicago . price location , awesome ! room good , comfortable bed , nice bed , two bathroom . main issue room could hear room next door bathroom , every flush shower . another lame point , almost expect , nickle dim every amenity , ie internet , business center , name it . oh yeah , nothing steal room : ) 
 Jun 4 2009 	 can not believe anyone give five star 	 room date poor housekeeping - towel replace , re extra shampoo , etc . room service expensive almost inedible -chicken like leather . extra charge internet , gym , luggage check , flight check etc drink bar v expensive . plus point - breakfast reasonable decent crispy bacon . pool shut refurbish lot building work . big soulless hotel try increase revenue top charge every extra service , decor ambience back . 
 Jun 3 2009 	 Bad Service Poor Housekeeping Standards expensive food drink 	 hotel recently 5 night - could cancel go elsewhere would . know bad sign go bathroom find woman 's long dark hair & quot ; clean sink & quot ; , & quot ; clean towel & quot ; nest hair still & quot ; clean shower floor . & quot ; low standard housekeeping ! housekeeping do not replace empty shampoo bottle unless ask . two day , pillowcase put pillow dirty allegedly change clean one . Guest service often do not answer phone . bar charge basic mixed drink ( $ 12 vodka cranberry ! ! ) would pay NYC high end bar - high end bar ... food quality mediocre good various restaurant , definitely high side run mill Hilton . send box via fed ex take 3 day get box fed ex contain luggage - 3 day ! expect pick day leave , reasonable expectation . silver level Hilton HHonors , quite frankly , never impressed hotel really , wonder evern give enough business silver level . overall , would recommmend hotel anyone , would return . 
 Jun 2 2009 	 good location 	 windy city , good place.amazing room service.everythe walk distance .An absolute must business trio ease conduct schedule meeting unbeatable . good decor impishly modern 
