pleasant 	 Westin Chicago River North well - run chain establishment centrally locate downtown Chicago . room , view Chicago River , mean over - the - top luxurious , well - design spacious , good light comfortable seating . quiet room Westin & quot ; Heavenly Bed & quot ; make excellent sleeping condition someone often sleep well even well hotel . service hotel polite efficient . what keep hotel receive top rating : ( 1 ) lack & quot ; wow & quot ; factor : room , comfortable , also generic ; ( 2 ) free wi - fi ; ( 3 ) food serve banquet room ( wedding ) fairly indifferent quality , even banquet food . still , price right , hotel offer good deal . 
 Oct 8 2009 	 Fantastic Hotel overprice especially extra 	 love Westin hotel . much Heavenly bed home . kid love watch boat river riverview room . location fantastic , lobby luxurious , room , decor , etc . everything expect Westin , even smell . free use computer iternet room nice touch club level room . however , pay extra club level . every time go club , employee hint charge we extra money ? apparently , tell pay extra club level expect two people party enjoy . two young child staying room , club employee make clear charge $ 12 / person snack time bring 2 people . therefore , even though pay extra club amenity , find tip club employee equivalent decent breakfast Panera . while would recommend hotel friend , recommend club experience . worth extra expense . 
 oct 8 2009 	 wonderful Hotel good location 	 Westin Hotel could accommodate . allow we early check late check . wedding help several request thing need make great suggestion thing eat . room extra clean spacious , comfortable lovely view river . criticism lobby lilttle dark . need little well lighting . would definitely stay well recommend . 
 oct 1 2009 	 good hotel location 	 spend Saturday night free part promo stay Starwood property . give we well average room , also give we access club floor , nice surprise . room quiet , excellent ventilation system . also clean comfortable bed . staff friendly . minus side , appear significant charge everything , even bottle water room . charge use computer lobby well , hotel tight budget . bagel place across street simple food cheap . location hotel excellent , couple block train airport . club floor usually cost another $ 30 room , probably good value , since continental breakfast evening snack generous . one thing note : hotel public space , could walk column trip easily . try room service - sushi , fine . would definitely stay , price right . 
 Sep 28 2009 	 nice hotel near Magnificent Mile 	 stay Westin Dearborn Ave one night last week happy . hotel great location , short walking distance Magnificent Mile main shopping drag city . room good size , king bed , chaise lounge , flat screen , computer setup , nice view river . good central location , nice lobby , helpful staff . would definitely stay . 
 Sep 14 2009 	 great family baby tow 	 ' ve never write review since stay property twice , feel like . recent stay even well one . use Starwood point figure would get less stellar room , give we river view room minibar fridge . use space minibar fridge store baby stuff need cool , use one hotel 's serviceable crib 4.5 month old . request crib make reservation front desk not info . problem , though , send crib straight . one doorman particular nice . wear glass course can not remember name . lobby great stroll sleepy baby need go sleep . even though conference city hotel entire weekend , never feel super crowded everyone friendly . 's great location annoying thing entrance hard see road . cabby know 's usually problem . oh internet not free room , believe lobby . overall lovely stay . 
 Sep 3 2009 	 Impressed 	 use Priceline get great deal Westin River North long weekend August . price , really complaint . , Westin , expect well . starwood member stay many Starwood property one feel par . call request King size bed , river view , fridge room , crib travel 2 year old . tell problem . get hotel wait long time check . long line two people working desk , one assist Starwood Gold member . give we room go upstairs . get King size bed , riverview , fridge crib room . way stop desk ask crib fridge tell would bring right . go visit friend go back four hour later still crib room . point cranky toddler need sleep ! call request crib finally bring we . not understand request crib three time ! end get fridge also . other , issue hotel except not feel like guest Starwood . use friendly staff people go way make stay comfortable not get impression . seem like lot go hotel weekend- least two wedding happen Saturday night- staff seem preoccupied . price , get great deal nice hotel . honest , always expect Starwood property not get feel hotel . also , surprised property pool ! 
 Aug 26 2009 	 great location wonderful service comfortable clean room 	 good value money -- room clean , quiet hotel well - situate . concierge helpful -- get us ticket CAF boat tour tell sell . everyone friendly pleasant . location terrific -- within walk distance Magnificent Mile , great restaurant . place stay Chicago ! 
 Aug 24 2009 	 great location ! 	 stay past weekend baby find relax hotel . build old , room big . location also fantastic . walk Navy Pier beautiful also Millenium Park Buckingham Fountain Magnificent Mile everything close . lot restaurant choose within walk distance area feel safe . also see lot family stroller 's definitely baby friendly city . not much time hang hotel can not comment facility , would definitely stay . 
 Aug 17 2009 	 Chi - town 	 get back 2 night stay Westin Chicago River North . book expedia disappoint . location ' top - drawer ' , staff friendly . room really nice clean well daily . eat on - site comment lot within close walking distance anything want Chicago . Lawry 's prime rib - awesome , architectural boat tour - awesome , Sears / Willis tower - awesome ( get fast pass ahead time ) . overall , happy WCRN , river - view disappointing mean actually get enjoy everything Chicago offer person . note , like little attitude , go Dick 's last resort across street , staff rude purpose like little rudeness / attitude , place , go , great view river , great drink give back feed fire ..... good fun take note ..... enjoy .... 
 Aug 14 2009 	 end Accident - Loved ! 	 excellent hotel ! stay Hyatt Regency overbooke sell room two night . lucky ? comparison Hyatt , Westin amazing hotel . friendly staff , date attractive room , great food restaurant - place . location also good , value money excellent . attention detail also amazing . room wonderfully fit , feel cosy invite . hotel also quiet look relax stay . overall , highly recommend hotel . 
 Aug 10 2009 	 ` ` ok '' hotel convenient great food ! 	 boyfriend spend 4 night Westin River North ABA Conference . bottom line would stay . first , however , mention positive aspect hotel . great location food nightlife ( short walk ton amazing restaurant cool bar ) . try Vong 's Thai Kitchen , Frontera Grill Mexican , Sushi Samba , Lou Malnati 's ( pizza / pasta ) ... AWESOME . also love Rockit Bar drink ! place short walk away Westin , happy . negative . even get Chicago , issue reservation department . book ABA 's travel people suppose & quot ; Deluxe & quot ; river view room , call confirm , reservation lady beyond rude tell book standard room nothing could . email Westin customer service people IMMEDIATELY notify room upgrade everything take care ... feel well . , get ( 45 minute check - in ) , room ready - fine - ask guy front desk long would , say idea could not even guarantee would ready normal check - in time ... already frustrate long trip problem reservation beforehand , not perfect way start stay . the room : outdated , disappointing & quot ; corner riverview room & quot ; - especially consider rate pay . even walk Renaissance across street ( LOVE Renaissance hotel btw ) see could switch room , book solid -- decide try stick . admit bed comfortable shower nice ... definitely nothing fancy though . concierge service : wait several time concierge even desk ... mixed emotion , one lady really great not seem care much help we . get good list restaurant though . : ) overall - would not recommend price . way high get . 
 Aug 8 2009 	 Nice hotel 	 great time Chicago great stay Westin . hotel within walking distance everything . time take cab go Museum Science . room large clean . view river gorgeous . they not serve breakfast disappointing since many 3 - star hotel include free . Einstein 's block way . also , in - room internet expensive ( another amenity many 3 - star hotel include free ) get free wi - fi lobby . disappointment elevator lobby 7th floor room locate . think someone may vomited carpets area . smell absolutely terrible . lucky room nearby lobby - can not imagine people near lobby deal ! could tell maid work every morning clear smell use sort citrus cleaner . mask smell citrus scent dissipate within 2 hour . 
 Aug 5 2009 	 great hotel fantastic city 	 really enjoy stay Westin Hotels exception . not give five ? two thing , one leave one type coffee room ( one decaf one regular ) , drink regular . first morning husband call request additional regular coffee bring ... 45 minute later , ready go , without coffee . say , fill comment card upon departure , email end day . needless say impressed . second reason , Executive Club floor , include breakfast . hotel get bit variety , . Cantaloupe , watermelon , bagel , hard boil egg . needless say eat breakfast two morning . now Chicago . fantastic city ! ! ! ! great time meet fantastic people . wine bar next InterContinental great wine great service . eat two restaurant recommend . one love can not remember name truly local place , buzz people know . 's italian literially right behind wine bar , flight stair . food fantastic would highly recommend . last night go Spring 10 - 15 minute taxi ride center Chicago . great food , lifeless Sunday night . would try busy night . great service . 
 Aug 3 2009 	 good location nothing special amenity wise 	 location convenient everything - whole lot walk could . room nothing special , although say bed comfortable ( albeit double bit small we ) . cable channel selection limit - wound watch dvd laptop . lack free internet , post charge $ 1.50 local call $ 8 bottled water create seem like & quot ; get & quot ; brand damaging atmosphere . grant none horrible , 's hotel nice look please rather nickel dimee you . I highly recommend visit Art Institute Millennium Park . blue line airport breeze use . 
 Jul 28 2009 	 keep sunny side 	 stay four night part convention . room quiet weekend , construction building front hotel entrance start 7 . ask room great 01 - 05 floor specifically request riverview . be convention , hotel accessible convention shuttle wait Harry Caray 's next bus . PS Einstein corner opposite Harry Caray 's convenient breakhast go . on plus side , hotel within walk distance River North restaurant . a note business travelre . business center shipping package FEDEX / UPS quite challenge . 
 Jul 24 2009 	 Excellent hotel every way ! 	 get hotel room $ 89 Priceline . could not please . close activity provide service need stay . pay $ 48 day privilege hotel , although never take car . Taxi 's convenient $ 10.00 way place like Field Museum Navy Pier make sense leave car . room absolutely wonderful . could not find fault picky . clean , comfortable bed , large bathroom giant tub shower . room chair arrange easy conversation window view river , large desk large hospitality refrigerator stuff full kind item . item pricey expect convenience . beautifully decorate room would definitely stay . front desk easy easy . honestly say never well experience travel world . think plan anything need . 
 Jul 24 2009 	 nice hotel issue .. 	 stay Westin sister 's bachelorette party . get great deal Priceline $ 80 / night per room awesome compare everything else area . despite good deal , issue hotel . for starter , check ask ID credit card . say anything charge card know , hand card back we say go thru first room deny second .. prepay online say anything charge card sister get little rude ask card even charge . say $ 200 charge per room incidental . not stay hotel often may common practice least tell we charge card ! upon arrive room realize give king bed request double bed . say would try accomidate request find hard believe every double bed room take 3 week prior arrival make request . when get back hotel later night ( late - abt 2:30 morn ) ask front desk extra blanket one person go sleep chaise . hour half later blanket arrive ... way front desk busy late night take hour half . our last complaint get woken room service & quot ; knocking & quot ; key twice could even answer door , come room get ready sister shower ! ! Overall give hotel 3 star . nicely decorate clean major issue hotel class . would not want one pay full price hotel kind problem . * * find parking block half away Self Park garage save we LOT money . ( Clark & amp ; LaSalle Kinzie ) $ 42 valet hotel parking garage cost we $ 16 . ( Night & amp ; weekend special ) 
 Jul 20 2009 	 Great Place 	 wife stay 4th July . hotel nice , clean , comfortable . everything expect Westin . negative maid knock door twice try clean room despite & quot ; disturb & quot ; sign door . hotel little beat path . cta bus two block away . not mind walk weather excellent . would definetly stay . 
 Jul 10 2009 	 worth seeing get Deal Hotel 	 base stay river view room . xx25 secure view , apparantly little big traditional room . hotel 's great place explore city . nice property , exceptionally clean , although hotel seem little gloomy enter lobby street - 's darken glass window . 's room . also privacy blind window , well curtain . can not really believe room offer much way view seem Westin 's tower property nearby . some roadnoise Dearborn Street bridge , way , quite mesmerise . room minibar extortionate price - plenty convenience store short distance away though , blue e station Clark Lake - bridge 5 minute walk direct line O'Hare Airport - $ 2.20 40 minute ride . it be hotel ' ve , be charge daily rate ( $ 10 per person ) use gym . disappointing . also charge internet access room business centre , although discrete sign reception say free wifi lobby lounge . offer room rate day $ 217 per night around $ 100 less good price booking advance Westin 's website . Pity have already prepay travel agent . obviously , like take gamble , get well price . 
 Jun 23 2009 	 Love Westin ! 	 husband stay weekend April disappoint . always fan Westin 's Heavenly Beds clean , trendy decor . Westin stay true name . location good sightseeing well . easy walk Magnificent Mile well Sears Tower Museum Campus . the negative concierge ... ask help recommend comedy club hand write phone number hand we phone . ( person desk ) hold 15 minute .... strange , ' m quite sure ! great hotel ! 
 Jun 8 2009 	 great business hotel really go extra mile . 	 Westin Chicago River North posh business hotel great location great amenity . room top - notch everything visit go smoothly . read detail : location : Westin Chicago River North locate outside northern end Loop , river , Dearborn Clark street . 5 minute walk Magnificent Mile , 10 minute Millennium Park , maybe 15 - 20 Art Institute museum district . driving , hotel completely subject vagary Chicago traffic , 's neighborhood 45 minute O'Hare airport typical traffic , 10 minute McCormick Place . cab fare O'Hare $ 42 exclude tip . property : Westin nice lobby bar , also Sushi Bar attach . full - service restaurant lobby . available computer terminal form sort mini - business - center next registration . main entrance hotel actually 2nd physical floor , two level lead River level meeting room ballroom , excellent condition . fitness center Mezanine level . guest room floor 3 20 , top two floor Westin Executive Club -- generally reserve suite , top room rate , high - level Starwood Preferred Guest member . Club Suite 20th floor serve complimentary breakfast morning , complimentary hor d'oeuvre afternoon , available guest stay Club floor . club also offer executive Business Center slightly functional computer cubicle lobby . ROOMS : room Westin exceptional . room fully equip Westin package , include heavenly Beds ( ! ) dual - head shower . Starwood Gold guest , receive complimentary upgrade club - level room upon check - in . westward - face room great view river , room large nearly floor - to - ceiling window , privacy shade black - out curtain . certain room amenity , club - level room also clock / radio include iPod dock , POD - type coffee brewer , complimentary wireless internet , flat - panel TV in - room electronic safe . STAFF : staff hotel wonderful . front desk staff friendly helpful , bellman guest service crew go way assist plan inside outside hotel , lobby bar crew expert serve business group -- attentive overbearing . other : anyone drive beware on - site parking hotel criminally expensive -- whop $ 42 per night valet parking in / out privilege ! 's definitely convenient park on - site , lot two block away ( believe ) Kinzie LaSalle Streets , overnight rate $ 22 . hotel staff actually tell we alternative lot , suspect many guest elect self - park there . in general , stay Westin exceptionally smooth productive . meeting river - level room go smoothly , room comfortable well - appoint , staff job well . would recommend hotel business group , also tourist get decent rate . hotel 's convenient location many popular downtown Chicago spot make fantastic option anyone ! 
 May 25 2009 	 Best Westin Chicagoland ! 	 stay hear apartment paint move Chicago work . get front desk ( SPG Gold member ) automatically upgrade corner river view room high floor . also access club upstairs . Great hor ' dourve free softdrink . basically dinner time leave . lovely night watch 4th July firework window . slept great left late check . next year go find quiet place talk phone let borrow conference room . amazing ! ! ! 
 may 23 2009 	 great Room View Location 	 book Westin Hotwire $ 81 ... fabulous deal mid - May . booking , call hotel kindly request King bed room river view . receive check - in room 626 , large corner room three huge window overlook Chicago River ! ( seem room end x24 - x27 river view room ) . hotel beautiful top bottom . location perfect , right river north loop . easy walk anywhere want downtown . room beautiful comfortable . bed outstanding , chaise lounge nice touch . Great LCD tv HD channel . huge workstation . complaint everything extra $ . charge internet , fitness center , ton valet parking . many downtown hotel charge also , still give WRN 5 star . plus , $ 81 ( regular $ 250 ) not much complain really . tip : drive , park car sterling garage Kinzie , Clark LaSalle . much cheap valet . 
 may 10 2009 	 great view spacious room need clean bathroom - yuck ! 	 return 2 night nice hotel , esp deluxe room face river - 2 bevel floor ceiling window offer panorama beautiful view . bed comfy . however , air ( staff ) stuffy . bathroom acrid smell - combo urine & amp ; moldy shower curtain . keep bathroom door shut . room clean enough , need deal lack fresh air really scrub floor . complaint way nickle dime every silly thing - nothing free , interent , bottle water $ 7.00 , $ .75 Kit Kat candy bar $ 5.60 . turn - think guest comfort much make much $ $ $ .. overall ambience bit high - end sterile , otherwise fine night two . close everything safe . 
 May 9 2009 	 good comfortable hotel centre city 	 overall pleasant experience . concierge knowledgeable give we lot good information attraction , restaurant help we book ticket bull game short notice . check staff courteous except slight discrepancy final bill not resolve time leave . hotel could makeover overall clean importantly quiet . service good nicely subdue . downside pay $ 10 use gym . not come free guest hotel ? bar service nicely understate polite staff . overall , recommend business personal travel . 
 May 4 2009 	 Nice Westin business orient 	 stay one night & quot ; staycation & quot ; . outside not offer much feel like business tower hotel . room public space however comfortable elegant . room typical Westin secure room south side tower overlook river great view large room . bathroom nice well . great location right river close everything . 
 May 3 2009 	 elegant . heavenly ! 	 love hotel . 's elegant , efficient , spacious , clean , modern , well locate across Chicago River Loop . staff exceptionally nice , lobby restaurant / sushi - bar cozy reasonably price , room tastefully decorate clean , course bed great . mid - size business hotel , really feel boutique - ish . expect nice - size room bathroom , nice touch everywhere ( like personal computer room , oversize room safe , pleasant color ) , generally feel much home . even hallway warm welcoming . 
 Apr 27 2009 	 Relaxing 	 Beautiful Hotel exceptional room . upgrade presidential floor free . kid really enjoy stay tv , great room service happy hour . view Chicago river beautiful room . close everything Chicago stand . walk distance Mag Mile , State St lot well know restaurant . 
 Apr 21 2009 	 Loved Westin 	 stay four night get good deal lastminute.com honestly could fault anyway , staff pleasent courteous ( concierge particular helpful book us river cruise ) , check swift hassle free , spacious partial river view room extremely comfortable bed excellent power shower , room comment hotel food Einstiens Bagels block away reasonable breakfast . in term location get blue line train terminal 3 O'Hare straight Park Lake ( 45mins ) hotel 5minute walk away , 10 minute walk mag mile one way shop North State Street ( Filenes , Old Navy , Macys etc ) .The house blue across road must see plenty bar restaurant close proximity 
 Apr 19 2009 	 special night wife 	 wife live Chicago , continue one favorite place special night together . spend wedding night like regularly spend night downtown connect . staff wonderful pay attention every detail . room nice wonderful view Chicago River . June , construction house , plan stay Westin two week . 
 Mar 30 2009 	 LOVE Westin ! 	 stay Westin one night tag along boyfriend business meeting . usually stay Westins definitely one nice one stay . location pretty easy miss due construction fantastic ( great shopping ) forget pair heel concierge direct we Nordstrom block away ( map we ) say Macy 's Filene 's Basement opposite direction believe block . concierge also make recommendation great italian restaurant within walking distance ( Coco Pazo ) make reservation we well . be friendly little chatty ... lobby open restaurant / bar entire area give trendy vibe . check - in quick , everyone friendly within minute suite . suite ( forget kind ) large - wetbar area , living room / office , seperate bedroom , huge bathroom . entry way / wetbar wall mirror lead living room . ample seating ( 3 person couch , chair ) flat panel tv , desk Mac desktop room large do not feel cramp . the bedroom kind bed , flat panel tv , seperate sit area chaise lounge still roomy . bedroom closet enough hanger ( ' m stickler ) bathroom huge - seperate stand shower , tub , bit counter space . enough towel bathroom two bathrobe . absolutely love Westin hope stay next time be Chicago ! 
 Mar 23 2009 	 true Westin theme . 	 second Westin stay , impress far . got great rate weekend , value worth pay time . room 14th floor , lot space ( especially good pack - in - play ! ) , decent view , quiet , clean room . service spot - on . location within walking distance ( 12 minute ) Michigan Ave , downtown shopping ( subway ) , business immediate neighborhood close early . hotel restaurant kind pricey ( not ? ) , good diversity , even contain healthy food option . parking pricey ( $ 42 per 24 hour ) - unexpected downtown location would stay . 
 Mar 13 2009 	 less expect 	 location good shopping dinner , not expect great reception , executive lounge charge drink - expensive small , good breakfast , 
 Mar 8 2009 	 good central location smart business hotel 	 Good hotel - easy check - in , check one receptionist could not get away customer help . no - one could ask come assist desk ? concierge door man disappear go find driver . room spacious , comfortable bed . water pressure shower ok , know well . much choice tv . room hotel quiet , Chicago Fire Ambulance service like siren . good central location next river couple minute ' walk metro OHare . 20 minute car ( Saturday 6.30pm ) ( Monday 11 am ) airport . close theatre , surprising lack choice diner nearby Saturday night . even Arby 's shut . Sunday ... 
 Mar 2 2009 	 Nice hotel good location could thorough clean ! 	 stay one night never stay Westin , not sure expect . pleasantly surprised style hotel entrance 's definitely upscale modern variety , like . service good reception , drink breakfast next morning . bedroom really good size , desk area chaise shower wide arc lot shower space , nice . comfy , quiet whole set point quality chain . real gripe really good sprinkle hair around tub / shower curtain - look like someone cut hair could not see miss . couple hair not mind , LOT hair . everything dusty , add feel need thorough clean post checkout . nothing major though certainly would not put go back try westin elsewhere . 
 Feb 21 2009 	 Perfect service outstanding room 	 ' ve -- conference , time business . , son live Chicago , , although fair bit away , still stay . people hotel extremely accommodating , helpful friendly . location great . room clean spacious . bed great . 
 Feb 17 2009 	 elegant beyond word ! ! 	 husband stay valentine 's weekend amazed whole experience ! lobby gorgeous , front desk friendly , can not say enough room ! ! stay room & quot ; heavenly & quot ; bed ( king - size ) , comfortable ! bathroom huge dual shower head tub . view directly front HOB 's rivver slightly right . restaurant nightlife around area great variety within walking distance . can not wait come back ! ! 
 Feb 4 2009 	 look 5 star 4 star 	 use stay Chicago pretty often business , ' ve see many downtown hotel . really think stay 5 - star hotel stay Westin . room really really nice , much large Intercontinental Marriott nearby . I think pay much Marriott IC , time thought get value money . really nothing complain room wonderful view river . place still within close distance theater district well northern part Michigan avenue . 
 Dec 3 2008 	 WOW ! good keep secret Chicago 	 hotel great . use Nikko operate JapanAirways although redone still high tech oriental flair . room overlook city , river both . the window glass wall panoramic wide vistasof city action . room large , quiet large bathroom magnificent shower . breakfast great . canopt traditional american breakfast order healthy spa selection . staff bellmen friendly helpful . starwood hotel own property run placevery well . special deal , shop corporate rate special . find place great bargain Chicago . the location 10 minute walk Michigan Ave . shopping . short taxi ride Rush street , Soldier Field Field Museum , Art Institute . place walk prone enjoy long interesting walk city . aremany fabulous restaurant part city . 
 Nov 17 2008 	 good room house corner look south west river 	 come town see Cubs playoff : - ( game find comfort spacious corner room 11th floor . enjoy bedding , always , coffee ( 1 - cup maker ) nice , nice bathroom , great workspace , awesome view ! everything hotel perfect I . great bar lobby , exceptional food . great location 
 Nov 9 2008 	 Great Location Great Rooms Great Stay 	 Great Hotel Chicago great location . stay partner April USA trip definately would stay again . Location downtown Chicago close major sightseeing shopping . hotel facility excellent , clean , room spacious , bed plain heaven , bathroom shower amazing staff friendly helpful . have great room overlook river . only let breakfast . 40 dollar two people quite steep consider get brekki lovley cafe near hotel half price . apart everything perfect . 
 Nov 5 2008 	 Loved ! ( except breakfast ) 	 good location , close Sears tower ( mile ) , Navy Pier ( 1/12 mile ) close free trolley take go Navy Pier museum : ) TClose business district quick ride Old Town . the hotel beautiful , super modern sleek . room 10th floor awesome view River . bed super comfy ! ' m think buy mattress site . big plasma tv , nice longe chair read window . bathroom double shower , immaculate . personnel really nice help we get orientate Chicago . since conference impress continental breakfast provide . blah ! go sushi bar , excellent ! : ) probably restaurant well breakfast . definitely stay . 
 Oct 21 2008 	 clean hotel fabulous location 	 stay attend wedding hotel . overall , positive experience . room fairly large , clean , give prime view Chicago River . hotel 's location one 's good asset . walk distance Millennium Park , Michigan Ave . , right across street House Blues . my complaint $ 42 charge overnight parking ( know 's downtown Chicago , come on ... 's high ) not - so - heavenly bed ( ' ve stay Westins , somehow bed not quite snuff ) . 
 Oct 13 2008 	 Great Location Great special best way see Chicago ! 	 search hour online different hotel , Westin make sense . call hotel directly instead buy online , wound get great deal . ask special ... woman help book wonderful , make note upgrade wife treat we VIP service ... sure enough arrive . upgrade club member status , give top level club suite . view slightly block Marina City Towers ( across street ) , look bedroom could look upon Chicago River bank hotel . room huge . suite , combination 2 room : living room door bedroom side . living room spacious couch flat - panel TV , along bar desk / office area iMac computer internet access ( helpful find thing ) . bedroom next room sexy chase lounge , comfortable bed , huge bathroom . bed comfortable look buy one - believe Westin claim sell - slap name , anyway fantastic . the location , probably one good feature hotel , familiar Chicago - right heart River North area , across street House Blues Marina City Towers . within walk everything , will not need waive taxi , pack comfortable pair shoe enjoy city ! 
 Sep 23 2008 	 Good 	 get room Westin Priceline 60 % less book direct . huge room 7th floor city view . spacious , clean comfortable . room dimly light option increase lighting ; wifi least freein lobby ( although unpredictable patchy connection ) - option breakfast hotel Starwood Club member ; fortunately Einstein Bagels one block north Dearborn great breakfast selection . ( Einstein also benefit strong free wifi connection hotel ..... ) hotel right water taxi stop ; also close enough walk along river ; Magnificient Mile . 3 block walk hotel Clark / Lake station . my real complaint take terribly long time tremendous amount waste water get hot water tap . least half bathful tap run hot . really turn water thermostat ! 
 Sep 1 2008 	 overall quite satisfy 	 stay 4 night business meeting . overall Hotel nice . complaint meeting room downstairs company hot . numerous complaint finally manage use A.C.Stayed Embassy Suites Downtown Lakefront 3 additional night ... WESTIN much nicer elegant . very good location also 
 Aug 21 2008 	 Excellent Hotel 	 nice , classy hotel . staff friendly helpful . the room clean , large comfortable . nice location . you must eat Sullivan 's - block away . I would stay instant . 
 Aug 18 2008 	 fire ? 	 stay starwood property constantly . use love service , one model customer - stay 30 + time per year , never complain , etc . , thing progressively deteriorate . recent problem Westin River North small , continue downward trend.1 . stay Starwood property close 30 night , try use point book personal stay - discover none . According & quot ; customer service & quot ; point go airline , claim authorize . ask proof - sign paper , email form , anything - refuse provide , refuse give point back . 2 . originally upgrade concierge level every stay - correct mistake airline begin collect actual starwood point real , upgrade stop . West River North , drop preferred level , regular level . reason , stop receive benefit supposedly earn regular customer - free water , free internet , free health club access - go . 3 . go Westin 's front desk let know minor housekeeping issue - i.e. , not get bottle water , soap throw away night , someone 's use hair tie go floor back hair supply ( ick ) . pretty nice - & quot ; 's FYI housekeeping staff . & quot ; attendant 's response roll eye , tell water mini - bar 's responsibility , ask complain soap throw away . ask whether ever hear environment ChicagoFor wonder , take 100 room * 2 bar soap per night * 365 day per year * number hotel Chicago , ask want water supply . ' ve stay hotel ( include Westin ) enough know usually not throw away soap person stay room . not huge , would not worth note $ 100 / night place . give obscene price , give competition valuable regular customer - surely well ? 
 Aug 14 2008 	 great location overall good 	 July business . room well appoint club level . non - smoking notice faint smell obviously previous visitor . great location river good breakfast serve day restaurant . would stay . 
 Aug 2 2008 	 Nice Westin good location 	 nice Westin good location . easy walk want , yet quiet ( Chicago ) . room clean , well appoint nice view river . service average . 
