phenomenal 	 everything stay flawless . bring check - in area , comparable large living room . sit ( stand check - in desk ) key card bring we , offer bottle champagne , wine water . a special thank go vanessa front desk ( hope ' remember name right ) … she go long way make stay special we ! room awesome . unbelievable view city , furnishing really cool . bed comfortable , bathroom sleek clean . I highly recommend check place , even one night … we ' want leave . 
 Aug 3 2009 	 hip chic cool design satisfy service 	 stay two night . when arrival , somebody sidewalk come we opend door we . since seem wear suit uniform , not recognize actually work hotel first little bit guard . due tireness late flight , not remind checking - in person room type . mistakenly give we smoking room . tireness busy schedule city keep ask smell late night . finally make call , front desk able tell whether really smoking room . night manager offer room change spread , tired uncomfortable let somebody move stuff . also buy lot heavy book trip , . not convince hotel could make mistake , front desk not know room type . besides major flaw , conversation encounter extremely comfortable pleasant term price hotel . attitude bad , act like bunch amateur . also , surprised know not scale guest weigh luggage . perhaps nowadays people travel light hotel build little bit longterm international travelor . Citterio 's design course good , soothe refreshing . color palette subdue one , grey , dary grey , white stain solid oak . curtain wall window nice , , whcih lot grand hotel could not have . yet complain lighting elevator . dim even hard time reading number . shower always water puddle , even beautiful glass ceramic tile chrome - plate fixture . haligen light bulbs bathroom hot shine anything , although sink one turnable . door still make noise . hear room . standard price level . for hotel comfortable , sometimes service still top priority . 
 Jul 27 2009 	 great stay Cooper Square 	 friendly staff ( morning staff friendly night staff ) , dog friendly hotel ! great hotel travel pet ! offer room service dog also dog walk service . modern hotel however room cozy , comfortable bed like sleep cloud . location hotel great neighborhood feel . check second floor patio great spot grab drink lounge . call Lombardi ' world famous pizza deliver patio chill . ' eat restaurant however busy night get crowd bar scene . also great breakfast head two block b Bar Grill wonderful brunch . look great place eat talk staff recommend really great place . overall great stay next time come back NYC stay . 
 Jul 23 2009 	 Cool School 	 mixed feeling hotel . love sleek ultra - modern look , annoyed detail . example : confusing entrance -- sign , street number , entry door weird angle street ; visible front desk , odd check - in process ; hall elevator cave - like dimness ; inadequate , hot halogen fixture sink ; non - functional light shower ; room phone indecipherable control ; turndown service leave one unripe plum instead usual chocolate ; hair dryer , slipper , extra roll tp silly little drawstre bag ; 3 robe 3 different fabric -- really , ! reaction : be try hard hip different -- cool school . the good thing : friendly , efficient personnel ; great roomy shower lovely big head , smooth control , perfect water pressure ; comfortable bed wonderful pillow ; clean quiet ; convenient location good neighborhood . my advice : not stay kind annoying detail note would spoil otherwise nice hotel . spoil . 
 Jul 5 2009 	 great front desk staff everything else mixed bag . 	 stay Cooper Square Hotel June 2009 affordable nice hotel price could find around favorite area NYC - Greenwich Village / SoHo / LES area . after fly California get hotel late afternoon . cab driver not know hotel go bit way . also , warn also sign outside hotel luckily recognize building far away picture . certainly incongruous additional low Manhattan skyline . the good - front desk downstair staff ( mostly ) incredible . friendly always go way help . husband stop ask could get dvd player room one pass downstairs personnel hear conversation stop volunteer . & quot ; mostly & quot ; come night staff front desk always seem bit brusque harry -- perhaps also juggle nightclub scene . bed indeed dreamy review say -- mattress topper TOP pillowtop mattress . water pressure room great double - pan window amazing job block noise . however , be low room beware 's busy street construction do next door Cooper Union building truck quite noisy . need utter silence bring earplug . the Bad - however , housekeeping staff seem nowhere near well - train & quot ; front house & quot ; staff . fact , experience bit odd . first night notice Disturb sign ( hip red / black leather bag , experience , seem get steal often ) miss room . call front desk ask one say would send housekeeping . not happen 45 minute call . brusquely swore tell housekeeping say would . well , Disturb finally arrive , hang door without knock would not know unless open door check . rather clumsy start stay , way know much front desk much housekeeping . oddity definitely housekeep though . 2nd night come back turn - down leave two orange . husband eat one not interested try tear rind without knife not eat mine . every night thereafter leave one piece fruit . not care , since usually stuff dinner , gather first night assume one person stay something without check ? ( two toothbrush notwithstanding ? ) third night turndown leave towel side bed . hotel usually slipper say towel be slipper . neat towel , not know , suppose use say prayer ? next night one pair slipper appear , towel . instead , wardrobe ? ! curiouser curiouser . finally next night towel slipper proper place still one pair even though two us staying room -- would assumed housekeeping could easily verify even dual toothbrush not tip - off . last day , spend hour late afternoon room , whereupon housekeeping knock three time -- thought have leave clean supply twice check room clean . not system check ? oh yes , matter many time turn heater would turn ( include night come back find thermostat set 45 degree f. kid . ) finally figure 2nd last day . I ' ve stay hotel ' ve meticulously train & quot ; front house & quot ; staff & quot ; back house & quot ; always amaze since color one 's experience sometimes front house . ( someday would also like discover another hotel , like one experience Canada , keep tab guest well soon go breakfast whisk fix room never come back afternoon sightseeing still find not clean room . oh well ; could not count even Peninsula Bangkok ... ) also , tip , come back room afternoon clean room not studio large room , will not able lounge bed . wipe top duvet cover presumably disinfectant , take well hour dry . other Details - yes , room tiny . square footage alone not begin describe reality . have book Cooper 3 get decide way could spend week room . enough room move around bed wardrobe space even store suitcase . also sneak suspicion get one bad Cooper 3 room get great deal Hotels.com -- though way prove course . website say & quot ; & quot ; room window seat certain not neither tub . bathroom look like could barely fit sink , toilet , shower . definitely look nothing like spacious bathroom photo use Cooper 1 , 2 , 3 , 4 site . could not imagine cramp Cooper 1 2 would . end accept offer upgrade Cooper 4 ( $ 100 night , make quite bit book Cooper 4 begin ) sheer weariness . cooper 4 corner room large entryway , enough room large wardrobe small table lounge chair , be still small . Hotel Rivington room small well , seem massive comparison . the tv great , iPod station . ( although another kind mp3 player sure bring connection . ) 's lot room around bathroom sink spread stuff , bring amenity kit hang . cooper 4 three bathrobe -- two terry silk . not remember Cooper 3 many choice . the area , say , absolute favorite . St. Marks Place , numerous restaurant favorite chinese massage / reflexology place two block away . close subway 4 - 5 block . would stay ? sure . price right , maybe , give choice immediate area unless go back Lower East Side . ( Bowery Hotel , another block , seem promise price never seem come even small room . ) certainly know expect stay , would make sure book large room call ahead clearly ask room amenity . review , also seem like ' ve continue refine hotel since ' ve open maybe next time will not experience glitch . I know sound like negative review 's really mixed one . stay positive . remember read magazine interview guy open hotel talk try bring new level service Cooper Square . suppose expect service close asian hotel result , get eclectic many hipper hotel ' ve -- -the Hotel Rivington , W , Morgans , etc . 
 Jun 29 2009 	 Location location location 	 stay four night CSH leave US three half week road . reason stay basically location chance get room view building overtop other nearby . upon arrival , check quick , professional supportive . book , get nice corner room 10th floor view towards Cooper Square Empire State Building . room wasn´t overwhelmingly spacious almost top floor window create nice , light - flood atmosphere stand necessary contrast extremely dark hallway hotel . comfortable bed , huge tv set 300 channels+ nice looking bathroom . much room store stuff though . needled bit pretente stylish appliance furniture . first sight look quite chic high quality - second look make clear , thing ) far something special - top notch ikea - ish good b ) make durability . i.e . one lightbulp bathroom sizzle time due questionable design construction lamp . certainly sound want hear electricity humidity involve . issue could solve electrician hotel . furniture black surface suffer soon usage look wear next year latest . solid restaurant site , nice bar terrace strange & quot ; embed & quot ; neighborhood . understand trouble around build Village ... overall : excellent location discover area , comfortable bed , spacious bathroom . try spend extra dollar get corner room floor 12 + within next 12 month nice stay . 
 Jun 28 2009 	 absolutely Disgusting ! ! 	 stay @ Cooper 27 June 2009 -- -The hotel awful , dirty , deeply uninspire room & amp ; utterly pretentious staff , check night ! ! ! never do hotel ..... begin , strong lack staff @ hotel -- -- whole 5 hr 's hole wall , maybe see 2 people actually work -- -the bellman , Nelson , show room , wait forever lobby someone ask last name .. actual check - in desk & amp ; random bell people lobby bring room key -- -no credit card swipe , I.D . request , nothing -- -very odd , extremely unsafe & amp ; really unheard ..... request tub room & amp ; call several time make sure would happen -- -- -of course room not tub ! ! -- -- figure ...... first room ( floor 10 , room 7 ) .. really hot , pubic hair bathroom , dead bug inside washcloth , tattered sink , dusty floor , poor design , mini bar refrigerator hot , stain near bed -- -the bed AWFUL -- -- -the mattress terrible -- -- shower close way , water leak everywhere -- -- light bathroom insanely bad , one light not work , robe utter joke -- -- extra small size -- -so seem -- -they like mini robe -- -terrible ! -- -also one robe miss -- -- -the room really tiny ( know NYC -- live & amp ; ' m quite accustomed small space , room really bed -- -it overtake vast majority room -- -- -the hotel website advertise fresh flower room -- -they never place room -- -- request turndown service -- -never happen -- -- suppose offer drink & amp ; snack arrival wait -- -- never happen -- -- -The staff really rude -- -- Samantha uppity & amp ; really seem like could care less problem -- -- offer send housekeeping room re - service -- -- -she inexperienced & amp ; obviously interest guest -- -- -- tell hotel fully commit & amp ; could not move -- -- -miraculously , complain Allison , manager , move Cooper 3 , tell upgrade Cooper 5 room -- -- yeah , ok -- -maybe upgrade view terrible & amp ; 10th floor -- -- could do much well ........ Alena , ( beleive name ) attitude , like Samantha -- -Allison move , see first room , try make small talk ( oh live , special plan tonight , -- -- -- -- -- -- -she like & quot ; oh goodness & quot ; bug wash cloth -- - & quot ; ? ! ? ! ? ! ..... seem fake , never check second room ) -- -the second room floor 10 , room 1 -- -- -the room pathetic , clean -- -- -- view even bad ( * cared ) -- -- -this room noisy A / C -- -- make tick sound every 5 minute sooo loud -- -- -the bed way soft , pillow ........ $ 265 worth trouble ........ conclude , room plug phone charge , etc ...... room gross & amp ; arrive 7PM & amp ; check 12:45am -- a / c loud & amp ; soo late ( not call engineering , etc ) -- -- -it bad -- -so check ! ! ! go back home apartment well thia utter nightmare hotel -- -- Scott , day manager , end charge 1/2 original rate -- -- nice , not really feel like pay , work hotel industry NYC & amp ; know norm -- -- never stay CSH RECOMMEND anyone -- -- -HANDS , bad HOTEL CITY NEW YORK -- -- disgust pathetic excuse hotel -- -- -go Standard Smyth instead -- amazing hotel NYC ! ! ! honestly , not make -- -- -do favor & amp ; go elsewhere -- -ny fill amazing hotel , not waste time @ joint ...... Patrick / NYC28 June 2009 
 Jun 25 2009 	 stay Cooper Square will not stay anywhere else NYC ! 	 get back five night stay Cooper Square June town work love every minute ! move London last year , use live East Village ( four block Cooper Sq ) nine year always love neighborhood . since move , come back NYC work three time trip every time ' ve stay different hotel always something miss . thankfully , Cooper Square not think stay anywhere else ! besides fantastic location close ton wonderful restaurant bar quick walk 6 train , bed good hotel bed ' ve ever sleep ( well Heavenly Bed ! ) . pillowtop ridiculously thick , sheet soft pillow perfect - hard soft . beware though , be cozy will not want get bed ! nice corner room face south floor ceiling window ton great light even though 6th floor pretty cloudy / rainy stay . huge room certainly spacious NYC standard . bathroom really great - huge glass shower great water pressure beautiful separate tub ' m sure would lovely time use . love tv room - 42 inch ( thereabout ) Sony LCD Time Warner Cable hundred channel ! gym Cooper Square give guest pass NY Health Raquet Club across street / square actually prefer get amenity full fledged gym class everything oppose dinky room half equipment break . $ 240 night can not beat ! ! ! can not wait go back ' m town work next month hopefully weather nicer able enjoy rooftop patio dining option ! 
 Jun 17 2009 	 cooper square stay 	 stay one night 5/30/09.the hotel unique staff friendly , clean.we recommend one , front desk yet , still work not miss desk staff right helpful.sharon & amp ; brian tom river , nj . 
 Jun 4 2009 	 Confusion reign 	 lifetime New Yorkers living country past two year . be 100 mile away go NY day often stay overnight . usually not splurge fairly expensive hotel purpose . husband 's birthday , seem like opportunity special night . pick hotel 's downtown location ( use live tribeca ) . also select CSH modern architecture attractive , sort like glass prow ship . from minute one , worried . could not find front door ! three different small canopy sign . apparently Bentley promotion night car pull right door . everyone distract car set party . rental chair cart wheel front door ! could management allow kind chaos middle day ? think show complete disregard guest . many people mill around could not tell doorman . also check counter . terrific corporate idea , reality , not know go . ny many terrific place stay feel welcome . clearly , not expect try . 
 May 31 2009 	 great design ... excellent service ... unique experience ... small room ... unique experience 	 stay three night pleasure ( follow two night different hotel business ) ... would highly recommend someone would like stylish modern hotel superior service convenient area ( may way someone look Time Square / Broadway show type experience ) .here summary : - interesting check experience ; front desk . do well unique , far know.- staff encounter helpful ... good job training since every single person encounter quite young.- Breakfast ( complementary ) nice .... self serve -- - usually pass hotel breakfast go eat case eat granola fruit go decadent breakfast -- - would content full breakfast hotel . ( though pastry appear little old ) btw , coffee ( espresso ) great brew coffee.- close subway . like explore city able get around easily , conveniently located.-wonderfully design room - modern . bathroom treat -- -- shy , not worry , one outside view bathroom window even though blind . -One possible problem room fairly small ( accord layout one small room # 1710 ) -- - mine queen size room two we , not lot room put stuff . alone , however , would plenty space . see room may issue King size room.- quiet .... hear outside noise . 
 May 30 2009 	 european modernsmall room minimalist stylegreat service 	 hotel unique open Dec 08 still work kink . check room size book . slight bit clostrophobic make sure get one large room . the small room room luggage , much closet space room 1 sm night stand . the large room slightly well still small US standard . make sure someone explain thing work ( radio , a / c , clock etc ) since minimalistic direction . the bathroom storage room prepare . there 2 hook wall hang thing . hotel dark ( take flash light elevator ) . access door signage not exist . ask staff show especially hunt rest room basement mark . the BIG positive staff friendly helpful . the bed sensational shower great . locate within brief walk Greenwich Village , SOHO , Little Italy , China Town low East Side . the bar hotel poorly stock . forget top brand expect menu item . give hotel time get thing work could good choice , careful . 
 may 20 2009 	 two happy stay recently Cooper Square 	 normally ' m fond modern style , hotel good looking , spare Zen - ish design , good attention feature . good shower tub , wifi work fine , location great . will stay , regular low Manhattan trip . 
 may 18 2009 	 cooper stay ! 	 originally book another hotel due open april . hotel happen te ready host guest upon arrival relocate Cooper Square Hotel . stay : fabulous ! thank hotel , 's location , facility mainly staff ! room : amazing ! room 19th floor corner dual view low Manhattan ! breathtake view ! location : convenient ! great neighboorhood lot happen , vibrant close several subway station walk distance . staff : great people ! encounter problem stay staff always take time listen understand problem . point room ready 5 pm . sit duty manager discuss happen . friend write postcard manager offer we glass champagne waiting room also take care postcard . later room bed dirty wet , manager come right away change bed minute ! offer bottle wine compensation . it be gift count personal investment . take time job talk customer value make satisfied ! one thing sure : know treat guest ! great thank staff ! guy make wan na come back sure ! ! ! 
 Apr 18 2009 	 brilliant stay ! 	 stay 3 night easter , pick hotel mainly due location do midtown want something bit different . location great could walk greenwich , soho , little italy etc easily hotel . hotel modern , room small New York . bed sooo comfy , big shower , great view , housekeep good well . bar quite small staff nice friendly drink generous . would definately stay . 
 Apr 13 2009 	 great Location Amazing view ! 	 stay 5 night CSH . visit NYC least every 4 month . usually stay 70 Park Ave Muse , big room , however , Cooper excellent choice wife ; walk distance shop , restaurant , bar . perfect location we . room tad small view amazing . ambiance fresh new amazing attention detail . stay Cooper 3 one King room , 17th floor view Empire State . reservation specialist meet need . make sure , high floor , get room away elevator . rent Penthouse floor special event get fairly loud . ' problem , take elevator could clearly hear noise . restaurant open yet , open May , think . staff arrange food , however , nearby eatery . 2nd floor lounge / bar open ; nice spot start evening city . staff get well : extremely professional , friendly , helpful . please stay . room little small taste money , everything else excellent . oh , ready get room soon get , happen . instead , ' glass wine , champagne , martini , whatever drink want prior . nice idea … so relax enjoy ! 
 Apr 10 2009 	 would recommend hotel . 	 let start say beautiful stylish hotel . near new property immediately draw eye . tall , sleek hotel tower many low building nearby . lobby sit area first floor well design comfortable . room small comfortable high floor offer great view . restaurant quite finish yet . still lot construction go area outside hotel not seem effect we much . say beautiful hotel , alone make hotel stay enjoyable . way treat staff . hotel struggle tremendously say least . I originally book online Cooper 3 Room night April 4th . partner stay city weekend anniversary . call hotel week prior confirm reservation request high floor shower / bathtub combo . week stay decide upgrade Cooper 5 Corner Room . call hotel couple day prior check - in confirm upgrade request separate shower bathtub instead shower / bathtub combo . time feel woman phone short bit annoyed request , decide disregard . valet car hotel around 1:00pm April 4th . take bag tell we room quite ready would give we call soon . give cell phone number go walk grab lunch explore neighborhood . receive call hotel decide go back 3:30pm check - in 3:00pm . get wait minute show we room 10th floor . immediately little disappointed seeing request high floor Cooper 5 Corner Rooms floor 9 - 20 . feel could do well 10th floor . show room first thing notice shower / bathtub combo unlike separate shower bathtub request . satisfied room . partner go lobby speak someone change room . tell would see could someone would get back we shortly . hour go response , go talk someone . tell would see could someone would get back we . one . get nowhere eventually give get comfortable room . night request preloade iPod docking station room . iPod work tell staff inform we replace . upon checkout next day ask stay . inform unhappy room experience staff . woman tell we would inform manager see may able we would want return future . leave number one ever get back we . couple day checkout charge appear hotel $ 22.00 . call hotel inquire charge tell usage mini bar . tell take anything mini bar please remove charge . tell would see could someone would get back shortly . absolutely ! one hotel get back we anything , would change . demand speak manager take care right away . eventually transfer manager tell way treat weekend . seem care . tell experience seem try speak say charge would go within hour quick get phone . 's 24 hour $ 22.00 charge still . never frustrate hotel Cooper Square . 
 Apr 5 2009 	 great location 	 stay Cooper Square hotel March 28 & amp ; 29 , 2009 . location great - East Village near NYU . place new , chic trendy . front desk -- instead seat lounge give drink host check make sure room ready , confuse first , really nice civilized . room pretty spacious ny clean , would nice soft chair sit read . bed good reading light thick & quot ; pillow top & quot ; mattress -- soft generally prefer nice . bathroom lot space toilettrie , etc . , light terrible put make - up ( attractive , trendy lighting fixture ! ) overall , hall elevator keep dim , may trendy make hard we age eye see floor button push elevator ! would trade aestetic light . big gripe lack internet service weekend lack available plug computer could plug -- either desk lamp phone unplugged want sit desk plug computer . ( second room configure differently , think may plug close enough reach desk ) . may seem like small gripe , business traveler , internet plug small deal . although leisure trip , work go local Starbucks order ! ( two within block , one stay open midnight -- would prefer know . ) could also brush maid service . room make 4 p.m. even though day time two day visit maid take away empty glass carry welcome drink . the continental breakfast terrific assortment food include yogurt , cheese meat , fresh juice , good coffee good service , serve bar . take food buffet perch trendy , low , little stool use teeny cocktail table coffee cup , lap available plate . also two sofa & quot ; pit & quot ; coffee table occupy day ( prime location , go fast ! ) . work hotel hopefully future include comfortable spot enjoy delicious breakfast . notwithstanding drawback , would recommend hotel good deal great location try hard . multitude & quot ; host & quot ; mill around anxious help friendly ( apologetic lack internet service ) . hotel offer valet parking $ 45 night ( ) . 
 Mar 29 2009 	 Place stay NYC ! 	 love hotel ! check ( noon Friday ) greet we immediately take we Cooper 5 , corner king room . enter room first thing see glorious soak tub ever see ! bathroom cozy chic time . shower hold soak tub tile floor ceiling beautiful blue glass tile shower bath fixture easy operate . bath feel pamper . provide Red Flower bath product wonderfully musky aroma fabulous ceramic hair dryer . large assortment towels~ hate run towel hotel ! , step around corner see sweeping view skyline ; could see Brooklyn Bridge way around room Empire State Building ! sheers blackout drape window could natural light , complete darkness magnificent wrap around view . think could not get well , fabulous helper Klausen inform we window could open fresh air ! ! ! ! bed , king size oasis , take room . apparently hotel recently replace feather bed receive complaint other prickly . bed super comfortable complaint pillow king - sized super fluffy , make bit hard get cozy . mini bar entertaining explore , everything personal oxygen tank wide assortment top shelf liquor . snack drink choose typical honor bar pricing . night arrive back room turn - down bed plate fresh fruit bedside table . wonder outside room ..... morning treat scrumptious continental breakfast second floor . freshly squeeze juice , coffee , bottled Fiji water , pastry , bagel , fresh fruit , granola , yogurt .... heaven ! ! ! lobby ( Living Room ) fireplace always ablaze , assortment daily paper library book choose . also honor bar complimentary nut , almond , cheese pretzel set table around room . absolute bliss pop quick snack fire , warm heading room back explore city . staff top notch , many call we name course 4 day visit . someone always answer question , help computer print direction information . in - house restaurant provide room service , facilitate order assortment local place . amazing combination funky boutique - chic feeling completely home . wonderful experience definitely return ! 
