mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Aug 28 2009 	 bad 	 stay two night early August . okay . Reception & quot ; polite & quot ; British typically . warmth friendliness . business . room long , long hallway , stair , close door etc . room was'nt . spacious enough , comfortable , CREAKIEST floor - word ! ! definetly take getting use . not London hotel fold luggage rack one put one 's suitcase ? also drawer store anything . grant two night way organise belonging . lay suitcase across chair room otherwise would floor . 's husband 's stay . come ! bathroom spacious , clean , water pressure good . internet expensive - 20 pound day - live without ! say , room charm quite comfortable . love hotel 's location , tube right , lot restaurant vicinity nice pub across street . close everything . loved ! would stay - sure , right price . 
 Aug 24 2009 	 Comfortable ! 	 husband travel 2 kid request adjacent room , child , hotel gladly honor . staff helpful responsive , room clean , bed comfortable scrimp towel ( love big bath sheet ! ) . room husband share bit small trip suitcase bit , understand unusual european hotel . other point , decor could use upgrade ( new carpet , wallpaper etc . ) , appear bit warn mean shabby , bother we since entertain trip , Infact lobby small charming beautiful grand staircase . eat hotel breakfast seem popular . hotel well locate across tube station several market , store , restaurant within block . 
 Aug 20 2009 	 great location see London 	 stay 3 night Baileys would . room clean , quiet roomy enough move around . location ideal Gloucester Road tube ( underground ) stop right across street . purchase breakfast package room well worth . great breakfast buffet . 
 Aug 20 2009 	 Great Hotel 	 stay hotel cruise , final night holiday . know much hotel prior book wonder would side door unlock - great surprise amazing big room ! little entrance area dress table bathroom . big bedroom ' ve ever sleep ! bed amazingly comfortable could fault hotel . shower great pressure everything lovely . cost bit internet access seem normal day . interactive tv room without computer well . room quiet double insulated window . checkout 12 noon incredible bonus we late flight evening . sleep late due quietness darkness room ( think 8 am open drape ! ) overall , would highly recommend hotel - especially directly across road Glochester Road underground give we direct rail connection Heathrow ! fantastic . 
 Aug 10 2009 	 Excellent Location Staff Price 	 wife spend 4 day Millennium Bailey 's Hotel upon arrival London . great safe neighborhood , across street Gloucester Rd . Underground make easy travel anywhere London througout UK . staff wonderful helpful concierge staff second none . restaurant bit pricey reasonably price good place nearby . Pickup London tour backside block ... always hear small London hotel room Bailey 's spacious well appoint large full bath plenty hot water , flat screen tv , internet . floor creak bit new hotel . pleased selection MBH . take advantage excellent special rate return . 
 Aug 9 2009 	 good location value 	 outside Gloucester Rd railway station , line Heathrow , make great location . hotel room good size , clean quiet , fair hike lift . hotel start look tired need refurbishing shortly . overall great spot stay London . 
 Aug 2 2009 	 wonderful stay great location 	 wife stay 9 day July love ! location can not beat . right across street Gloucester Road Underground station ( 3 line ) direct ride many London sight Heathrow Airport . number 49 bus stop right front hotel tourist Big Bus . restaurant , cafe , pub even supermarket close . hotel warm comfortable even little worn . nice bar restaurant . recommend highly . 
 Aug 1 2009 	 good 4 star rate London 	 quick review recommend hotel . 4 star comfort would hope . location perfect museum . room large , fully equip well furnish . staff friendly welcoming , include towards 5 year old son . only negative , see another reviewer mention , extra cost - think make room rate reasonable , extra - internet usage cost fortune ! overall , perfect 4 star comfort quality 3 star price . say , special occassion would happily pay stay . 
 Jul 30 2009 	 Perfect location 	 's hard find well locate hotel Baileys . be right across tube stop within walk distance shopping site available South Kensington . room look busy street , not hear sound . although room small , lobby 's sweeping staircase first floor make feel like home hotel . 
 Jul 30 2009 	 one direct train heathrow . 10metre Tube 	 first stop 4 week trip London . find way hotel easily london tube . one direct train take ard 45mins.when get Gloucester Rd Station , motion wife cross road hotel . go & quot ; can not stay ... waaay .. & quot ; - indicate hotel certain opulence beyond budget . nod , smile take bag , cross little road walk hotel . first impression - grandeur . charming flight stair lead upper level . nice floral bouquet foyer reception . the room small , europe , comfortable . mod con u imagine . flat screen tv , safe , fridge ... etc . highlight would wake morning smell fresh bread pastry ! be right , hotel serve hearty breakfast buffet ( additional cost ) . mini baguette , danish , croissant ... baked bean , bacon , fruit , cereal .. lovely decorate dining room sit slightly road level . be lucky enough sit window , would able watch early morning crowd saunter past . great hotel . expensive location - wonderful little onsite restaurant . one stop high street kensington museum also buckingham palace . Tascos nearby . safe , highly recommend ! 
 Jul 29 2009 	 lovely great location value 	 4th trip London Bailey 's great find . wonderful location - just across street tube heart Kennsington . hotel attractive room nice European Standard size . nice bar restaraunt site breakfast great . staff also helpful allow check early . would definitely stay . 
 Jul 28 2009 	 Great Location 	 nice neighborhood style hotel right across street Gloucester Rd . tube stop three intersect line - District , Circle Picadilly Lines go direclty major site well Heathrow Airport . convenient ! place litle farther City Center price difference worth . room decorate like country B & amp ; B . bathroom nice . room small , however typical Europe . staff friendly helpful . Breakfast include . 
 Jul 27 2009 	 good hotel fantastic location 	 stay eight night standard room 5th floor really like . room clean , bed comfortable , air - conditioning work well good sized flat screen tv . great bath tub could soak weary muscle end long day ' walking . catch tube Heathrow Gloucester Road easy . eat hotel one evening food fine however favourite restaurant Dim short walk away serve delicious asian food . would recommend hotel love location find good value money . 
 Jul 27 2009 	 not meet expectation 	 reading review confident stay would good one . we stay Friday Sunday . visit London many time , stay many different area always great accomodation . always use trip advisor first time feel need write review . check rather rude receptionist . get room . twin double request . reporting tell push bed together . ask could send somebody sort never happen . would expect four star hotel . room airy clean stay much well much less cost . breakfast good staff rude . allocate table time get breakfast inform give someone else usher sit bar . ask coffee tea arrive twenty minute later milk sugar . way waitress looked ask could ' turn milk sour ' . needless say not receive end fetch breakfast milk glass ! location great tube bus route good restaurant shop close . we fussy , hard pleae family expect decent hotel friendly helpful staff make stay pleasant . not not would return . 
 Jul 23 2009 	 lovely hotel great location 	 stay first overseas holiday happy location , directly across road tube , lovely area . room good bathroom quite large , tell would small UK . able walk many tourist spot take tube find staff friendly helpful . 
 Jul 22 2009 	 pretty good hotel - watch extra fee ! 	 ' ve stay Baileys many time business pleasure year . reasonably nice hotel locate conveniently right next Gloucester Rd tube . comfortable bed amenity . minor annoyance : creaky floor mean people upstairs wake come home late ! major annoyance high cost internet room ( 20 pound day 8 pound hour ! ) . word wise : negotiate front check - maybe upgrade room include internet . can not believe get away ! also , breakfast dining room quite expensive consider get many nearby location 6 pound . all , though , be careful avoid trap nice experience . 
 Jul 15 2009 	 great location 	 go London 2/3 time per year would not normally stay part town prefer close west end . however convenient Heathrow museum , Hyde Park road . hotel directly across road tube station area around hotel well serve bar , restaurant , service . hotel slightly fade clean overall . breakfast poor have upgrade large room , cancel breakfast eat locally morning hungry . staff nice efficient . luxurious good place stay , within reach major tourist attraction . would stay . 
 Jul 13 2009 	 excellent location base tour London 	 Location & amp ; access : hotel locate Kensington directly opposite Gloucester Road Underground Station . Circle District Lines afford easy access West end nearly main railway termini . a15 minute walk Kensington Gardens / Hyde Park , museum Royal Albert Hall . car parking – difficult use car recommend . vicinity plenty convenience store , include Tesco Waitrose . good selection eat place , bar pub , fast food take away upmarket option . area general well keep feel safe . overview : Architecturally hotel late victorian early edwardian construction ; 5 floor reminiscent many " mansion " block area . Reception Public Areas : large well maintain space small seat area complimentary newspaper . open grand staircase . desk staff efficient friendly . also grind floor bar " olive " dining room attempt make retain traditional architectural feature contemporary mix design furnish . public area clean well maintain although somewhat disconcertingly observe plate room service lie floor corridor 12 hour . note garden outside space sit . Food & amp ; drink : breakfast buffet plentiful full selection cook item , pastry , croissant great range fresh fruit salad . coffee good hotel time ! restaurant comprehensive room service menu . expect pay £ 15 + . bedroom : third floor – view adjacent hotel immense conservatory roof . book single checking receptionist assure one " large " single room . tiny well form would description . small wardrobe hanger also contain iron board , trouser press safe . traditional " antique style " wooden furniture , combine cream decor simple drape . light reasonable . find bed pillow comfortable . air conditioning effective . deep pile carpet could disguise noise creaking floorboard building age . mini bar tea / coffee making . large flat screen tv compliment interactive service efficient easy use multitude channel several language . cable internet access . charge telephone internet quite exorbitant ! comparison bedroom white tile bathroom " victorian " style fitting large full size bath shower , unusually , huge frosted glass window make light space . basic range complimentary toiletry . little irritation – poor lighting control , security tag mini bar , bang door nearby room , clock . overview : stay early July hotel well patronise . London four star rating right find reasonably price convenient hotel class location . ideal base anyone stay London day . 
 Jul 9 2009 	 Good Location - Bad Hotel 	 stay Baileys four night overall impression bad . recap , upon checkin offer upgrade room ( club room ) internet access extra 20 pound per night take ( internet fee 20 pound , internet upgrade room 20 pound seem like deal ) . even club room little cramp , ' m sure upgrade , standard room would even small . also , air conditioner work 's full potential seem .... call front desk technician check tell we work fine ( trust not ) bring we table - top fan . bathroom small , barely enough room take shower , bummer . one day hairdryer stop work ( fix wall could not try another outlet ) , housekeeping bring replacement , also several power outlet working room charge laptop , camera do one outlet . , opinion , strength hotel 's location , be literally across Gloucester road underground station , plenty restaurant around place , grocery shop , etc , etc . 
 Jul 8 2009 	 23 pound five minute local phone call 	 Yep , be right . hotel charge 23 pound five minute phone call business less six mile away . make matter bad , not even bother list fee phone call next phone like hotel know be get . bad , known ask . otherwise , hotel excellent location 's right subway station get place subway 15 - 20 minute . within one block , internet cafe , several coffee shop , several fast food place , Tesco , post office , currency exchange service , restaurant pub . hotel within walk distance main tourist attraction , three subway line run station right outside hotel 's door . room bad price large tv comfy bed . floor creaky true hear neighbor wall . say , ridiculous gouge phone charge , would stay price right . 
 Jul 8 2009 	 Perfect Location - Comfortable Room 	 return three week vacation England , one week hotel London . happy discover perfectly situated hotel . convenient , right next Gloucester Street tube station , mean right next door ! get anywhere London station hectic like other . additionally , take London Express Heathrow Paddington Station get Circle District tube line four stop hotel . truly not get anymore convenient ! hotel clean , room good size price . get room rate web travel planner average abotu 100 night . good deal . think however room pricier go hotel website . room perfect one person . comfortable single bed great pillow large screen tv love watch Wimbledon . air conditioning god send hot London , 95 degree hot . Believe come back hotel day 's walk pleasant experience say least . room quiet , one next elevator ! sleep like dream . bathroom bit cramp , not mind clean well appoint . the hotel staff friendly helpful , not use much eat outside everyday never hotel . can not comment food , although charge 50 % rate hotel guest breakfast . not appreciate really , eat site . overall would recommend hotel good friend . really love , enjoy stay immensely . 
 Jun 29 2009 	 comfortable room - great location 	 stay hotel 4 night . find room comfortable spacious . location fantastic . arrive Heathrow , take tube straight hotel . could not eari . long day explore London , nice hotel directly accross street Tube . find staff helpful . request room change arrive 2nd floor room small flight stair exit elevator . mother stair , quickly give room w/o stiair . 
 Jun 28 2009 	 good location 	 Grand look reception area , service slow , ask move room several time different occasion . noise unsatisfactory bathroom decor finish , i.e stain etc .. breakfast good , dinner expensive , wine also expensive . 
 Jun 22 2009 	 Excellent stay 	 friend book hotel top secret hotel website , get we really good deal , stay twice past know hotel would . staff polite professional . room time much large anything give . 2 bed bed comfortable room light clean . least another 2 single bed could fit plenty room clothe . closet contain 2 towelling robe hairdyer mini safe . bathroom also clean great condition . lobby bar area tastefully decorate breakfast room , food standard breakfast fare enjoyable . even corridor go thru fresh smell well decorate , often bit musty smell definate sign wear tear hotel . hotel location perfect , tube station opposite hotel front door , handy raining , step onto pavement cross street straight station . also side road mini tesco , great grab drink snack . garfunkle right tube station little arcade , often handy eat busy part town may long wait seated . a enjoyable stay . 
 Jun 22 2009 	 good location 	 great location . hotel nice clean room small , even London standard . friendly staff helpful . nice breakfast buffet . 
 Jun 21 2009 	 Satisfactory . 	 stay Millenium Bailey 's 6 night June . hotel respectable price location overall satisfactory experience . our flight arrive early morning hotel prepare accomodate we early checkin ... quite pleased initially check . staff polite courteous . superior room enough space comfortable queen size bed small sit area - key amenity available room . hotel old furniture decor show sign wear , room clean . gripe , us major turnoff , bathroom . upon initial inspection bathroom , tub toilet well maintain ... bathtub . break tile tub expose bare plywood window tub mold buildup around window sill . would like give hotel benefit doubt , read complaint bathroom , really leave negative feeling room experience . try breakfast buffet first day - come breakfast room 7 am ( open 7 am ) - variety good , food okay - hot food particular cold / luke warm well seem like sit awhile . choose check cafe restaurant area follow morning , find get well variety meal overall . we say shine light hotel location - number restaurant , cafe , convenience store immediate area , across street tube 3 main line . ' ve many discussion experience Bailey 's ask would stay .. put location convenience priority give clean maintained bathroom , likely ... 
 Jun 19 2009 	 Great stay- would stay ! 	 spend 4 night Bailey 's 's luxury hotel lot amenity , great hotel price . lovely look restaurant / lounge ( not eat ) lobby . important thing look hotel cleanliness , location , accessibility sight want visit . Bailey be perfect . Gloucester Road station directly across street access Piccadilly Line ( other ) Heathrow- not pay taxi airport ! quiet , safe area close Natural History Museum . able grab quick , inexpensive breakfast Burger King across street ( several restaurant nearby also ) , head Tube . bed comfortable , room adequate size , include safe , able fit 3 suitcase quite nicely . bathroom adequate european standard always hot water decent water pressure . yes , place could use new carpeting paint place town sight - see enjoy London hang hotel . luxury want go somewhere else , clean , comfortable easy accessibility , Bailey be nicely ! 
 Jun 18 2009 	 great location nice 	 hotel across street Gloucester tube station area numerous restaurant pub . not want take tube , tourist attraction within three - mile walk . hotel nice , clean comfortable . stay standard room adequate . breakfast buffet standard English fare ... sausage , scramble egg , toast , bacon , ham , pastry , baked tomato , bean , cereal , can fruit etc . staff member helpful friendly . would stay without hesitation . 
 Jun 15 2009 	 great hotel great location good value 	 stay Baileys read positive review Fodors . say pleased hotel . stay two night , book Londontown.com receive good rate , close time go considerably , not delay think price go . room good size London , bathroom huge , heat towel rail . staff helpful friendly location , right opposite Gloucester Road Tube station could beaten . terrific cafe practically next door call Forum cafe mean breakfast . negative room face internal courtyard dark additional lighting provide , bedside light ( actually one bed side light , desk ) one small downlight . stay length time darkness room would bit depressing . also air conditioning not seem work . blow warm air . night actually quite warm lucky great weather aircon effective enough . not like cold airconditioning , fact not even like air conditioning window would not stay open . mention leave hopefully & quot ; room & quot ; fault could fix . we not eat breakfast dinner hotel comment restaurant . overall pleased . 
 Jun 10 2009 	 FABULOUS HOTEL - GREAT LOCATION 	 return 5 night stay Bailey 's Hotel . delight . location beat . right across tube station . admit , not cheap reserve tiny room , reserve non - smoking Deluxe Queen really King . room huge , super clean , smoke smell . bathroom enormous . water always hot shower pressure always strong . floor hallway little creaky , never hear peep door close . inside room , would never know crowded hotel ( 3rd floor people ) . also arrange buffet breakfast . let tell , well worth extra 7.75 pound per person . variety juice , cereal , egg , pastry , fruit , coffee , tea , sausage , bacon , potato , mushroom , tomato , cheese , meat , . really great able stop way sightsee terrific balanced breakfast . staff courteous food replenish every minute . one day ask banana cereal think someone actually run store buy bunch . 's service . hotel locate conveniently near tube , grocery store convenience store . bar downstairs nice place late night cocktail retire long day tour around London . hotel staff helpful every turn . ask assist restaurant reservation , direction , etc . room come free internet access free mini - bar . not even know check . internet available television room . although incredibly slow keyboard finicky . still ... free free . carpet stair little threadbare spot , qualify hotel run way . charm whole place definitely make little wear tear . room inlcude breakfast two taxis $ 200 / night . exactly budget price standard , ' m New Yorker could never get room location breakfast less double New York place London matter . would recommend hotel wholeheartedly . obvioiusly mixed review , guess hit miss sometimes , ' m thankful stay hit . 
 Jun 10 2009 	 London Surprise 	 prepare stay tourist hotel small dying - to - be - refurbish room . contrary , spacious ( hotel standard , include Asia hotel room generally big ) well maintain room Millennium Bailey 's . service standard , happy victorian building , grand staircase , high ceiling . good part location . be right next Gloucester Road Underground Station make move around ( come home long day -- count ' ve walk hour ) convenient . 
 Jun 7 2009 	 excellent location lousy attitude customer 's health 	 Booked room 1 month advance ask non - smoking via online site . give non - smoking room . first night tired notice second night come back late change room - realise breathing smoke fill room via ventilation 2 night . 3rd night , ask change room , reply non - smoking room available ' non - smoking ' preference on - line booking guarantee - repeat several time well rehearse standard reply . give Britain pass law ban smoking confine space like restaurant shop , management hotel willfully poision guest something beyond comprehension . insistence offer move we another room additional 20 pound charge per night - decline pay finally agree move we without extra charge ( money pittance attitude hotel do not hold responsibility matter guest pay solution management problem supremely gall ) .Never encounter management policy travel . CK Singapore 
 Jun 3 2009 	 LOCATION LOCATION LOCATION 	 location hotel beyond compare ! ! ! right across street tube station . ( not hear noise hotel ) . also acrss street affordable restaurant . staff pleasant room nice small . bed super comfy . would stay would recommend other . 
 Jun 3 2009 	 good choice 	 spend two night Chelsea Flower show . convenient right outside exit Gloucester tube station . hotel elegant old world way . twin room big , double room much small . lot cafe bar outside street . would certainly consider . 
