high 	 hotel nice quaint room . stay one face park . not know suppose quiet side since trolley car busy street right . view lovely though . lot people stand around serve price . valet park . man stand outside rude not sure title condescend husband . valet parking attendant drive vehicle like 's drag race every time go get car wait long time find tip everytime . desk clerk fail tell we coffee downstair lobby 5 am 7 am not coffee maker room , microwave , refrigerator . 's room bed shower perk . want order coffee kitchen 's $ 13 tip delivery fee well plan go without unless want spend $ 20 cup coffee . also deliver ice want cold drink plan tip ice delivery . also tip door person , bell hop , housekeeping bring extra roll way bed etc . idea much end spending stay have stay midlevel hotel sure have least get cup coffee ! will not back hotel . unsatisfied lack amenity . hard include coffee maker room ? could not make $ 20 per cup guess . the pool spa close 9 pm well . never even see since go dinner city . one reason stay daughter like swim . child not allow pool 16 year old . 
 oct 8 2009 	 Great Location Great Staff 	 love arrive hotel greate door . staff friendly always smile face . arrive early morning gracious enough get room soon one become available . hotel close main attraction , cable car right infront hotel short walk Union Square ( though walk back weak , hill ! ) spa property great perk . able sit balcony sun great lunch drink . relax . loved spot would definitely come back . 
 oct 8 2009 	 Outstanding 	 Superior room , service view . lovely pool swim . warm welcome every time return hotel . complementary driver within - city destination . 
 Oct 5 2009 	 Excellent Hotel staff facility wonderful location 	 wonderful experience hotel although bit pricey . California street cable car stop outside block Powell / Mason cable car run Fisherman 's wharf Market St Union Square . spa facility excellent nice start day Steam / Sauna / Whirlpool bath swim . room large well appoint good view city , bed large comfortable . spend five day provide great end holiday . advice would try book early get good deal 
 Oct 2 2009 	 Top hill 	 stay May 10 night really like almost everything it . first pleasant surprise booking rate ( via Internet hotel - booking site ) , stunningly low .... low not gut write , beacuse already make colleague jealous . also upgrade easily big room extra bed . room contain mixture nice ( real ! ) antique furniture , big plus , compare somewhat old carpet bathroom . the service staff spa excellent . receive warm welcome upon arrival complimentary coffee cookie tray , daily newspaper shoeshine service . this hotel worthwhile ! ! 
 Oct 1 2009 	 Best Luxury hotel San Francisco 	 hotel wonderful ambiance , service large tastfully appoint room . large deluxe hotel can not compare privacy service small gem . good spa San Francisco . 
 Sep 29 2009 	 Excellent hotel stay location experience 	 wife stay 2 year anniversary . automatically upgrade . stay suite huge . room beautifully decorate comfortable beyond belief . view city also breathtake . location central enough know climb Union Square tough one . spa amazing clean . hotel graceful well appoint . Nob Hill Cafe great well inexpensive italian food local . 
 Sep 29 2009 	 will not stay anywhere else SF . 	 stay two night weekend mother birthday , book Huntington base TA review . disappointed ! ! ! ' ve stay full range hotel nicest one ' ve yet . arrive , greet nice doorman , reception staff friendly efficient . advise have upgrade ( sssscore ! ) deluxe luxury suite , without even ask ( ' m shy ask thing usually anyway ... ) bag bring we suite . suite look though renovate day , gorgeous ! ( room 606 ) . spacious luxurious , carpet feel like chenille foot , room requirement , fluffy bathrobe L'Occitane toiletry . suite face side street ; not sweep view city , nice view cathedral kitty - corner hotel . laptop hotel ; wireless fee $ 9.94 per 24 hour connection quick . also , receive newspaper every morning , room service serve right time morning friendly staff . we not dinner hotel drink twice big 4 Restaurant / Lounge . not fool , even though look like ' old school ' place ( dark lot wood old charm ) place pack Friday Saturday night 30 - something . gin tonics pack real punch ( ' m complain ) would think order double not necessary . when check leave luggage reception day , come back , free use spa change room change , freshen , repack thing head airport . impressed staff ; everyone look though really enjoy work . hotel impressive know will back ! 
 Sep 27 2009 	 first stop honeymoon 	 stay 5 night Honeymoon California . beautful hotel . locate top San Fran prepare good walk ! 5 block union square hill hard ! ! ! concierge porter extremly friendly helpful . knowledgable area always recommend we good restaurant bar . Nob hill cafe one block away really cute italian cafe . one drawback hotel food expensive - particularly room service . breakfast one morning . pool spa area lovely clean . honeymoon couple management treat we bottle champer lovely letter congratulation . would recommend hotel . great rooom .. great staff ... great stay ! ! 
 Sep 25 2009 	 lovely hotel 	 stay Huntington 4nights part honeymoon . beautiful room overlook park . room spacious extremely clean . not eat hotel quite expensive want experience SF . restaurant & amp ; hotel bar look quite dark wood panel wall dim lighting not really ' cup tea ' look quite cosy guest seem enjoy it . the Nob Hill Spa beautiful free use Huntington guest . use swimming pool , jacuzzi , steam room sauna treatment additional quite expensive . balcony sunbed amazing view city - enjoy hour rest relaxation ! hotel really central Union square , Fishermans Wharf , Pier 39 , Alcatraz etc . tram run staright outside hotel hotel chauffer drive car available guest first come first service basis . we really enjoy stay Huntington would recommend everyone ! 
 Sep 18 2009 	 faded ' old money ' top city 	 surprise around one ! perhaps big pay $ 375 rack rate demand call book , would somewhat underwhelme . however , $ 165 / night obtain via internet booking site courtesy Trip Advisor feel comfortable slightly fade venerable old place top Nob Hill cathedral . entrance entertainment area nice . however , get onto accommodation floor , carpet off - colour room far luxurious whilst adequate . bathroom big grand old marble sink ( & amp ; ! ) . shocked find room clearly design part suite gap join door big enough ( 1 & quot ; ) hear speech , . God know neighbour think we ! 's useful small ' business centre ' computer printer . bar ground floor dark panel wood light fire even September tinkle pianist although human seem repeat like loop tape . Adjoining , restaurant dark bit off - putting breakfast , query whether little daylight help psyche wake met & quot ; Goodness SIr , . historic restaurant ! & quot ; . actually wait staff could not efficient charming , cook great . the facility spa ( pool , sauna , steam room , exercise room etc ) ) available inclusive hotel guest great perk . nice indeed , somewhat compact . overall , lover old style hotel , place certainly please , do not pay full rate . remember , foot , certainly will not need spa 's exercise room stiff climb Nob Hill ! 
 Sep 15 2009 	 great hotel 	 stay 5 day August , fabulous hotel quiet location . upgrade room huge . separate seat area really comfy sofa , massive bed . large bathroom double sink separate toilet bathroom . clean , modern tasteful . turn service every day extra bottle water come really useful . the hotel great location , quiet , nice walk Union Sq , chinatown tram ride Fishermans Wharf . service great , doorman helpful arrival tell we facility . use pool couple time , facility excellent . 
 Sep 5 2009 	 people make difference 	 town wedding weary day miss flight east coast , first contact Huntington professional friendly doorman bell staff . throughout week , , without exception , friendly , helpful earth , call we name week . find tip well often . hotel build 1926 C.P Huntington , one & quot ; Big 4 & quot ; railroad tycoon along Hopkins , Stanford Crocker . spend career Mr. Huntington 's shipyard Virginia , choice natural . disappointed . hotel historic , update respect . Smaller Nob Hill hotel , lobby intimate dining choice limit & quot ; Big Four & quot ; Restaurant , highly rate Zagat . dinner good expensive ... & quot ; special occasion & quot ; venue unless expense account . also follow doorman 's recommendation Nob Hill Cafe , quick 2 block ( horizontal ! ) walk . excellent choice good food reasonable price . book one standard room Expedia $ 121 per night ... bargain standard . king bed comfortable room immaculate . bathroom look newly renovate wall wall mirrors window could open let bay breeze . caffeine addict , annoy in - room coffee maker . free coffee available lobby 5 - 7 ... ok businessman , be vacation . miss deadline , be $ 3 8 oz paper cup restaurant . internet access $ 9.95 day , end 1 pm . free WiFi become accustomed . another minor annoyance lack ice machine . call bellman deliver .. minibar empty , not use anyway ... handy store leftover . another unexpected bonus ... Huntington agreement Hertz rental car ... paperwork complete concierge fax Hertz . additional $ 20 , car wait front door hotel return , hand key doorman walk . make reservation ahead time ensure 's car available . conveniently locate cable car line ( $ 5 per person ) , find convenient take cab everywhere ... $ 8 Fisherman 's Wharf $ 10 Museum . cab safe driver friendliest find . , pleased stay left feeling like friend rather customer ... everyone helpful front desk doorman housekeeper . even leave 3:30 catch flight back home ! 
 Sep 3 2009 	 classy hotel 	 Hungtington Hotel beautiful , classy hotel . tranquil reserve atmosphere . get marvellous deal online apprehensive room would get . stunning ! believe one yet renovate love decor space . bathroom little date ( l'occitane toiletry ! ) rest super . Jetlagged , 5 am pool area morning . find breakfast area bar decor little dark food service superb . this really lovely hotel . would highly recommend . warn - climb Union Square hotel almost vertical ! u need super - fit / bionic walk , figure cost cab cable car choose stay top Nob Hill . 
 Aug 28 2009 	 Huntington Hotel offer perfect San Francisco experience - would not stay anywhere else ! 	 Huntington rate much high - definitely among top 3 hotel San Francisco . hotel elegant , clean update . not feel look like run - of - the - mill commercial hotel akin hit - or - miss boutique . 's really good world - clean upscale service hotel charm hospitality small San Francisco boutique . take note wonderful staff Huntington . service staff efficient down - to - earth ( surprise pillow every night ) , doorman , bell concierge fantastic . arrive , front desk give we warm welcome even offer great suggestion Hawaii vacation ( plus get upgrade room ! ) . front desk ( wish name ) truly , truly wonderful great personality . the hotel 's location perfect . 's gracefully situate beautiful quiet neighborhood Nob Hill , one desirable area city . use car service get around , cable car ( California ) right outside front entrance , China Town Union Square within walk distance . trouble walk steep street Nob Hill - actually quite fun part whole San Francisco experience ! room overlook Huntington Park Grace Cathedral . Peet 's Coffee locate Cathedral , famous Sears Fine Foods far . morning , join Chinese Tai Chi class park , swim hotel infinity pool , take advantage yoga class spa offering hotel 's Nob Hill Spa . this great hotel . research dozens hotel happily find Huntington . ' ve research many hotel San Francisco still undecided , would say stop look book Huntington . stay Huntington refreshing make whole San Francisco vacation enjoyable relax . love ! 
 Aug 24 2009 	 sure hotel not rate high ? love ! 	 ' m guess review good room hotel bad one . able get good room please stay Huntington . get great deal hotels.com ( $ 99 $ 225 room ) , figure would one bad room . check , ask possible get room city view give complimentary upgrade . room spacious ( ' ve see apartment small ) sit area , tv , desk , fridge , etc . view great ! could see Coit Tower window . hotel top Nob Hill , one incredibly steep hill San Francisco know . luckily cable car stop right front hotel taxi 's easy affordable way get around . Nob Hill quiet neighborhood old world luxury hotel . Intercontinental Mark Hopkins Fairmont square Huntington . hotel way luxurious , Huntington great bargain beautiful part San Francisco . there not much nightlife Nob Hill , two great hotel bar want grab drink long day hill climb sightseeing . top Mark fabulous place lot class charm . nightly entertainment , night go swing band . amazement , large number people dance floor swing dancing ( folk not mess around ! ) . couple range age early 30 's late 70 's . feel like step back time . delicious martini 's even dance bit , lot fun . hotel bar great Tonga Fairmont . also nightly entertainment - Island Groove , band play reggae rock hit . tonga set like Tiki Hut stage band middle pool . cocktail island theme . delicious banana daiquiri ! Huntington hotel bar call big 4 play piano music . scene much subdue 's dark . not go , not look quite lively two bar area . one last note parking - 's expensive hotel ! park Grace Cathedral garage across street $ 27 / night ( hotel charge $ 40 ) . drop bag front hotel self park save money . for price pay , would definitely stay Huntington . not know would recommend pay $ 225 night though , since ' m sure could find great deal money elsewhere . 
 Aug 15 2009 	 excellent old world hotel great location 	 honeymoon hotel great . book special rate 125 dollar per night . either alpharoom booking.com . evening bar nice busy great atmosphere help piano play background . food excellent . room perfect preferred hotel hotel , four seson Las Vegas tell great place . free business center first floor handy look site see go day . 
 Aug 10 2009 	 Best SF ! class Elegance Superior Service 	 ' imagine anyone give hotel bad review . want commercialize luxury cheesy lounge act extremely overpriced drink stay Mark Hopkins two block . want step back time place classic luxury grace , personalize service , welcome staff , people remember day one , stay Huntington . spend weekend Huntington husband 55th birthday upgrade suite arrive . living room spacious , furniture adorable , ' believe view . fun get morning watch folk park yoga watch sun set bay evening . realize current culture new , new , new reviewer may feel need use term like " date " etc . want get away quiet comfort , enjoy spectacular view room bring back 1930 's , place ( rumor place many famous name also choose time time ) . jetted tub , kitschy nonsense bathroom . building build nineteen - twenty ' suppose look way – nothing kill build ' full Historic Charm outside lobby , look like ritzy Holiday Inn step inside room . extremely deep soak tub bathroom shower stand luxurious spray watch park open window . overstuff chairs couch read lamp place dark woods transport world Greta Garbo Clark Gable might meet come stair . hotel walk distance many fantastic attraction cable car right front door . ' " party " atmosphere want 400 bell hop beck call severe " " complex , ' beg stay away treasure hotel , ' get bad review people narrow vision ' appreciate San Francisco ' amazing history . if want greet fantastic ( dare say handsome charming ) group gentleman door every morning every evening ; want come back room end long night greet two fresh water bottle , bed ' turn , robe hang room temperature ' adjust anticipate comfort sleep ; want evening person desk make sure Tums need couple glass wine ; want Danny recommend gospel choir Glide ( sp ? ) church ; want Trey bar mix amazing drink special touch ' even think like fresh melon ; want hang classy bar glass wine regular live city 40 + year ; want hotel cater want get explore city come back relax spa ( excellent spa staff well , forgot swimsuit kind enough provide one ) ; Huntington experience ' soon forget . Huntington truly unique . experience take back bygone era enough class luxury keep feel pampered . even make little adjustment year go hope never lose feel authenticity desire pamper guest . sum ' say nice stay hotel ' recommend buy bathrobe closet $ 130 . Huntington treat like guest charge card . give 5 star . hotel veer away culture adoloscent & quot ; amuse & quot ; mentality cater sophisticated audience . great romantic weekend , girl getaway ( will love spa lady ) , anyone want experience San Francisco way mean . 
 Jul 15 2009 	 still King 	 say , love Huntington . always . first visit several year disappoint . come since first come family ' 70 ' , still classy place SF . old school charm mix modern elegance . perfect service knowledgeable veteran concierge . cruise rockin ' Big Four music late night manhattan still way end day , although disappointed ' get grab steak . room solid ; ' believe update bathroom . l ' Occitane product twice size one get Four season . Nob Hill interesting area stay , enjoy Fairmont Mark Hopkins , Huntington still king . 
 Jun 10 2009 	 Great SF Hotel 	 wife return visit San Francisco . love stay Huntington Hotel . would return hotel heartbeat return trip . positive : -- service = front desk , doorman , courtesy driver ( great job Ursula ! ) , maid , beyond courteous helpful . give upgrade check - in ( always help ) . love nice hotel pretentious attitude among staff . friendly ( especially doorman ) . -- location = really hotel excel . sit atop Nob Hill ( safe beautiful ) , overlook beautiful park Cathedral , sit next main Cable car line , central basically everything . hotel claim would Fairmont Mark Hopkins . would want stay anywhere else San Fran besides Nob Hill . -- room = room recently update . probably slight disappointment we . bed comfy great . room nice clean . , decor ( bit modern ) not fit rest hotel ( traditional ) . true bathroom . bathroom bite small 4 * hotel . shower nice size , water get everywhere ( serious design flaw ) , absolutely vanity . modern looking sink . nowhere put toiletry , etc . obviously plan fit modern decor , inconvenient . -- overall = hotel great stay anyone visit San Fran . feel , location , people , cleanliness far outweigh poorly design bathroom . look forward return soon . 
 Jun 5 2009 	 nice old school hotel ; exceed every expectation 	 nice , old school hotel . People snobbish . book thru hotels.com Saturday night visit . rate amazing - $ 125 . work end early Sacramento Fri . call hotel ( hotels.com ) give rate Friday . great start . check , find give we room 8th floor ( bldg . 11 storey ) overlook park SF Bay . amazing view . room spacious , clean , tastefully decorate huge bathroom . pleasantly surprise stuck dumpster look alley . point , least stay , appear distinguish hotels.com guest . bar old school pleasant . forget bartender 's name , upstate NY pleasant . work ( think ) Fri . Sat . night . also , Jason bellhop ( Chicago ) nice / helpful , concierge , direct Hyde ( Hyde Calif. ) solid gin mill catch Celtics game pint . finally , one cool thing cable car stop right front . sum would say upscale hotel without upscale attitude . exceed every expectation . 
 May 29 2009 	 excellent central hotel 	 stay week business trip would like share experience . hotel staff great ! ! doorman warm helpful . room ( suite ) great , great bed lot space . housekeeping staff great job provide lot little treat ( massage cream great fall asleep ) , restaurant slightly expensive , food great . good spa , pool / sauna / steam jacuzzi locate excellent location overlook SF . overall , back next time sf.great job ! 
 may 27 2009 	 Classic hotel w/ polish service note follow ... 	 stay 5 night ( Sat - We d ) choose Nob Hill due scenic hill location , fairly safe neighborhood walk night , proximity downtown & amp ; conference center day . official nightly rate hotel 's website generic search range $ 200 - 300 night , book stay HOTWIRE mere $ 102 night ( definitely great deal ... list hotel Nob Hill near Grace Cathedral ) . another couple travel also book 5 night $ 105 / night . note , check early day , room not clean give courtesy upgrade place giant suite include scenic view separate spacious kitchen . check give standard room ( * 03 , 103 , 203 , 303 ) - small accord room layout locate proximal open staircase elevator . wall soundproof hardly hear elevator / stairway sound . room classically decorate desk sit area , lack coffee maker ( could go downstairs restaurant purchase coffee $ 4.50 go across street FAIRMONT Hotel 's Illy Coffee Shop get cup $ 4 ) furnish old model television . note , coverlet bedspread wear several prominent stain , chambermaid come nightly fold spread turn sheet ( leave 2 complimentary water bottle ) , not press issue . bathroom well equip full bath / shower , thick cotton towel , vanity basic shampoo / conditioner / lotion / cotton ball / and sewing kit . highly recommend wrap thick cotton robe ! room locate front side hotel , face courtyard Grace Cathedral . 's relatively quiet compare hotel deeply embed business district / Market Street area . our stay quite nice , note follow : -parke fee hotel 's underground lot $ 40 night ; attendant briskly point street inquire option - if park street , note color paint curb - white curbside indicate drop - off zone ( i.e . parking ) adjacent facility open ; therefore , can not park front hotel time except loading / unloading ... park front Grace Cathedral overnight church hour - however , must move car promptly open hour avoid ticket tow . everyone say quite prompt ticketing & amp ; tow , beware ! also , choose park street , check carefully day street cleaning occur ( various day , start 7 ) , also ticket parking restrict hour . -The neighbor underground lot along block charge $ 47 dollar nightly parking . * * * find street parking circle 30 minute 11 pm , get move 7 . mostly use shuttle / cab walk , rent car two day far travel . one night actually return car dealership Fisherman 's Wharf walk 17 block hil back hotel 10 pm - nice 30 minute walk great workout relatively safe neighborhood = ) * INTERNET ACCESS come price : ( 1 ) business center locate second floor two desktop computer . be free use printer station , be nail - bitingly slow connection . hook laptop , see guest use fashion . hour 's locked , front desk unlock room . ( 2 ) pay $ 9.95 + tax 24 hour service wireless internet room account , start end 1:00 pm . therefore , check 11 pm night , pay night internet , would pay $ 9.95 + tax next 14 hour , pay service 1 pm next day . manage fine wait odd hour use business center office print boarding pass there . overall , location safe easy access site . walk block catch Cable Car Fisherman 's Wharf ( Powell / Hyde ) walk Pier 39 see Sea Lions . California St. Cable car run front hotel . able spend several hour walk hotel business district , Chinatown , back neighborhood hotel day hour . never make hotel restaurant sample food outside ( go House Nanking , Americanized / hype - up tasty chinese restaurant Chinatown ... also go Stinking Rose , GREAT restaurant Columbus Ave specialize garlic dish - lasagna short rib delicious , definitely try specialty item , ROASTED GARLIC ICECREAM ! ) . * note taxi 's cab : understand YELLOW cabs equip credit card reader , taxi cab company must cash pay fareenjoy hope tip help ! 
 May 25 2009 	 Classic 	 always want stay one Nob Hill hotel get chance courtesy great deal Expedia . Huntington old fashion incredibly gracious . room huge . furnishing bite out - of - date compare trendy hotel , nothing chip stain often case ' ve get deal hotel level . one complaint wall extremely thin -- could hear every toliet flush room . 
 may 22 2009 	 Decent spectacular 	 check Huntington , not regular room leave , give suite , nice . auxiliary room suite amazingly big , nicely furnish . however , room whole not luxurious one might expect , feel little bit date . bathroom nice , marble , small . 's suite like , would imagine regular room would bit disappointment . 
 May 18 2009 	 Unforgettable Stay ! 	 book hotel Hotels.com stay San Francisco cousin 's wedding . 18 year niece join three night trip . arrive delay flight room ready two bed request . tired accepted room since clean spacious . next day offer two bed room upgrade city view ! transition new room seamless . we take advantage gym free yoga / Pilates class . also , use complimentary drop car service . location optimal sightseeing feel safe walking night . the staff kind courteous answered question . doorman even walk we corner point we right direction . clean staff polite room immaculate . go restaurant hear good could hear people enjoy piano bar . the spa great enjoy previous visit ! around corner leave , hill Fairmount great coffee shop ! 
 May 16 2009 	 Fading Fast 	 since death patriarch family own Huntington Hotel , seem pride hotel die well . stay hotel many occasion - four time per year , witness steady decline . room shabby well , dry food furniture , greasy body print bed , crayon armoire , mold along bathroom window . Big Four Restaurant long open lunch , first time sixty year . attitude management really take cake , General Manager concierge / assistant manager give veil suggestion stay elsewhere ! Big Four Restaurant still reason come , otherwise would recommend stay elsewhere . rumor owner try sell .... 
 may 11 2009 	 Lots Charm 	 stay last month ... get great deal Expedia.com . room corner room -- newly renovate Bathroom decorate straight Pottery Barn Catalog . staff fabulous . hotel small health club beautiful pool spa . complaint not enhance lighting restaurant day . seem little dark breakfast . back . Fabulous Doormen ! 
 Apr 14 2009 	 Small highly - personalize luxury hotel 	 Huntington member & quot ; Small Luxury Hotels & quot ; - deserve well . name - tag bear business guest , style , classic charme highly - personalize service . breathtake pool spa area ! one good 5 - star hotel bet San Francisco . location : top Nob Hill , across Huntington Park . short walking distance ( cable car ) Union Square restaurant . neighborhood location can not well . building / public area : classic grandeur , antique oil painting lobby . San Francisco 's good bar ( popular local ) .Rooms : freshly renovate , mint - color room spacious , two - room marble bathroom modern amenity . Pool spa : beautiful . indoor pool could little large , wonderful area great view , outside terrace , gas fireplace , complimentary beverage fruit throughout day , sauna , steam room .. everything want . service : love Huntington 's service . everybody welcome . always chat bell boy give we good tip . extra - wish easily satisfied . dining : chance dine Big 4 restaurant , breakfast always excellent . bar . bar ! bar ! ! Outstanding . value : get room unbelievably good rate . Valet parking convenient expensive . want save $ 7 per night , park car one two adjacent public garage . WiFi cost $ 9.95 per 24 hour . 
 Apr 13 2009 	 Love hotel 	 hotel beautiful much charming . also love think little thing , like iPod dock , sell NYTimes front desk , fanstastic staff ( especially Jason doorman give great advice place visit around city ) , yoga Pilates 8 am gym first floor , beautiful pool balcony overlook city . not forget bathe suit . we upgrade room high floor overlook city - incredible . there be piano player Big 4 restaurant every evening ; be great spot get drink though be cheap . there not lot restaurant shop immediately around hotel , be central across beautiful park , Union Pacific club Grace Church Cathedral ( Peet 's Coffee basement across street Huntington ) . 
 Apr 4 2009 	 absolute jewel 	 never stay anywhere else visit & quot ; City & quot ; . everything perfect bellman spa . 
 Mar 30 2009 	 Old World Charm Elegance 	 love Nob Hill location .... hotel one San Francisco favorite .... understate charm elegance maintain atmosphere early era high tech amenity today . automatically upgrade large room without even ask . staff friendly . big 4 bar great way end evening nightcap . 
 Mar 22 2009 	 great Stay ! 	 husband stay 15th wedding anniversary trip . book superior room , arrive check take . upgrade we park - view suite ! totally make whole week - end . room fantastic . hotel beautiful . lobby intimate inviting . staff really warm friendly . location good city , right across street park Grace Cathedral top Nob Hill . would absolutely stay . even not get fantastic room , staff , location , warm decor make wonderful hotel . 
 Mar 14 2009 	 Charming hotel good service much noise 	 enjoy stay hotel , find wall room surprisingly thin hear lot noise neighboring room . even get upgrade suite ( noise ) find could hear neighbor 's phone conversation tv usage . hotel nice relaxing otherwise . 
 Mar 6 2009 	 be little forgiving 's charming . 	 book last minute move Westin Market ( generic upscale hotel ) . get room $ 150 night breakfast , incredible deal . Huntington Nob Hill really set apart neighborhood quiet . love since around Market hotel rather rough busy contend homeless . yes , carpet fade closet door issue . main complaint bed . really need replace . list new - look , huge flat screen tv . overlook flaw , see charm restaurant lobby , unique room , view , outstanding staff . staff & quot ; mature & quot ; , really know service . also impress housekeeper keep room clean . even vacuum ! not something hotel daily basis anymore . go Huntington open mind appreciation character present - day generic luxe take hotel world , enjoy quirky charming Huntington . oh , person complain remote & quot ; hill & quot ; right ; however , free car service take twice ! also directly cable car line ! 
 Feb 28 2009 	 Loved every second 	 hotel gem ! right top Nob Hill find small individually run place . good staff . everybody extremely friendly helpful . even though stay 2 night , everybody front hall new name - make difference , feel instantly home . good pancake ( raspberry ) age breakfast . bar live piano music , give small hotel real & quot ; grand & quot ; feel . room good size traditional decor . well however spa , hotel guest free access . outside terrace overlook San Francisco 's skyline . use pool and/or jacuzzi , steam room , sauna relax . , staff incredibly helpful order good comfort food salad , even offer extensive drink menu . Heaven ! wait go back ... 
 Jan 8 2009 	 overexpensive 	 choice hotel Hilton . review internet warn hotels downtown , decide Huntington . still , millionaire , will go downtown anyway . Huntington hotel inconvenient high hill . I really regret choice ... could choose , would choose hotel downtown . about hotel : room good luxurious 4 star hotel . lobby rather small swimming pool tiny . staff nice , tip - search behavior kind tire . Watch - out : tax 14 % ! ! ! ! 
 Dec 18 2008 	 expect 	 SF meeting stay Huntington 4 night . hotel definitely & quot ; fade glory & quot ; worth $ 315 price tag . room ( deluxe ) spacious one would get Marriott bathroom nice . however furnishing old worn . carpet common area room wear stain . always doorman get door . build old SF charm . since meet 7 10 pm , opportunity use spa probably mark . would prefer base price use spa add . even SF room justify price . 
 Sep 24 2008 	 Nice stay Huntington 	 Happy return Huntington several year overnight stay . locate right Nob Hill , centrally locate shopping , site restaurant . catch cable car right front . room clean well furnished , large bathroom . fiend enjoy spa service , though bit pricey . recheck website travel website travel , price change time time . 
