disappointment 	 high expectation hotel give reputation , really wow architecture upon enter . thing go mostly downhill . staff lack warmth willingness assist would expect four season . obvious moment check , get worse notify front desk hot water . say would flip switch get hot water run , happen . call , finally send repairman ( rather simply send we room hot water ) . still get fix . call one time getting blow , shiver rest visit ( snow outside ) . small issue , one would expect hotel : dirty dish stack abandon tray next us restaurant ; 45 - minute wait room service bring granola coffee , explanation offer . room big NY standard course location great , St. Regis Ritz - Carlton far superior term appointment room service area . 
 May 6 2009 	 Four Seasons New York - Worth ! 	 recently stay four season NYC really enjoy ! really good location bring close everything need New York . for excellent dining experience also try TAO right next hotel . highly recommend ! 
 Apr 15 2009 	 elegant worth every dime 	 three day business trip . take wife along end uo stay three day business convention do . take shopping , blast ! highly recommend benz bed package , Newyork crowd overrall great time romance eachother reminder day . fine cuisine , excellent staff . 
 Apr 1 2009 	 big room good food good location ... great kid 	 take daughter NYC shop . toddler research hotel look family friendly one . this claim family friendly . all fantanstic ... except room service great .. often forget small item & quot ; child menu order & quot ; spoon could actually fit mouth , sippy cup , breakfast area morning , lovely , fill primarily business professional . real stand out . the crib room large , provide nice kid set shampoo , baby wash . diaper genie provide dirty ... yuckoverall , would stay .. maybe try different hotel family experience 
 Feb 4 2009 	 great Room Awesome View Good Service 	 husband stay 2 night January . late twenty . first experience stay four Seasons Property . visit one Bora Bora May 2009 . front desk professional friendly . bell boy give we thorough run hotel room . 45th floor great view Central Park . nice bottle Champagne chocolate cover strawberry room arrive . we not order room service use spa . city time . room clean functional . need iron bring promptly replacement hair dryer request . we love bathroom tub fill 60 second . 2 day husband take 4 bath ! imagine ! overall great stay Four Seasons , sure would return since many great hotel NYC neighborhood would love experience . 
 Jan 29 2009 	 Typical Wonderful Four season 	 stay Four Season New York three day prior trip Anguilla , another day way back . hotel typical Four Seasons -- - impeccable service , great bar food , wonderful room . concierge service among well ever utilize four Seasons . get we good restaurant short notice , easily arrange limo service , even handle get prescription fill . Emmanuel get raise ! bar terrific make great people watch . plus , martinis sensational . workout room spa satisfied need . the room good ever , view 49th floor unmatched . Chris , bellman , could not do we . special thank Liz help get reservation take care . not think would ever consider hotel Four Seasons subsequent trip New York . 
 Jan 12 2009 	 Great Hotel ... issue 	 stay New York many time hotel far good ! room amazing lot space light pour direction . could live bathroom big ! flat screen tv counter , soak tub watch news every morning ! lobby grand impressive love light focus right concierge desk . bellman give we great suggestion go Carniege Deli lunch one day .. wow ! ! bring back half sandwhich . now negitive ... front desk cold feel like could approach . not know professional New York attitude shine . bartender also straightfoward , chit- chat make drink move . pay $ 20 martini expect little smile least . cold welcome particular area hotel great . 
 Jan 1 2009 	 Fabulous Stay ! 	 stay FS - ny absolute perfection . Liz , executive assistant regional VP FS , come greet husband check - personally escort suite - overlooks central park many high rise building . shop Chanel , Dior , Jacob & amp ; Co ... delight , everyone aware come shop greet Chanel champagne Dior handbag look await ... hubby come back FS evening , since bday , favorite cake fruit await we ... next morning ... late night since NYE guest manager call ask we would like late checkout much need late night ! service spectacular room immaculate cozy especially NYC . hotel def much well service orient Beverly Wilshire . def staying ! ! 
 Dec 24 2008 	 one Best Hotels New York 	 Four Seasons New York live FS standard . arrive LaGuardia via limo greet name smile face place never stay . early therefore naturally room not ready , offer we complimentary drink Bar , five minute tell we room ready . decide first adjorn L'Atelier de Joel Robouchon ( hotel 's signature restaurant ) lunch go room . room ( actually suite ) spectacular . high floor view city Central Park . bathroom one nice ever see . spa gorgeous rest hotel , five floor ground though tad scary go . masseuse great massage really relaxed ! 57 another good restaurant Brunch Sunday breakfast . hotel excellant location ( across street Turnbull Asser 57 btw . Madison Park ) close good restaurant shopping ) would definatly go back future ! 
 Dec 21 2008 	 Bare Feet Restaurant ! 	 well , normally eat breakfast fsh great experience apparently dress code change . morning -- Sunday , December 21 , 2008 -- four we sit right next guy ugly shirt , wrinkle pant BARE foot . yes , read right . come restaurant shoe take , come restaurant shoe spread across floor everyone could enjoy foot . one restaurant say thing -- customer -- be JOB -- none STAFF MANAGEMENT even APPROACHED . leave , tell one staff wait shirtless Sundays . really , really , bad form $ 250 breakfast . Guess Four Seasons really need business . 
 Dec 14 2008 	 disappointing 	 world stay many Four Seasons . New York Four Seasons even league fellow FS hotel . expect absolute cleanliness , minimum , FS property . case NY . carpet hallway date , stained , sew place 15th floor stay . air stale , fill old smoke fill hotel room smell . room need thorough dusting . let us frank , ' ve get money stay FS , home probably flat screen , big bathroom , nice furniture lighting . leave home leisure time not get superlative experience personal attention , perfect cleanliness , bit pampering ? be look kind experience Four Season property , go Jackson Hole Vancouver spot . will stay Peninsula Ritz Carlton next time ..... probably Peninsula pool new spa opening couple week . sad ........ 
 Oct 25 2008 	 complete Four Seasons chain 	 book hotel 's website . simple easy . leave limo front , someone take bag another open door . four season always perfect service . the lobby beautiful marble - look feel . remind calm , cozy coffee shop hotel - style . check - in simple go straight room . there pool though , kind disappointment . , spa lavish staff extremely friendly . ' ve stay many Four Seasons definately top 5 . favorite include Las Vegas ( quiet sanctuary crazy city ) , Miami ( relax atmosphere ocean ) , Bora Bora ( cultural journey ) , Beverley wilshire ( classic stay ) . NY complete pack ( sophisticated warming ) 
 Aug 25 2008 	 Classic perfection modern setting 	 first rate amid hustle bustle NYC , thoughtful ( umbrella guest take rain ) great Restaurant . room picture perfect . 
 Aug 16 2008 	 Pure Perfection 	 let start say expectation surpass 2 night stay . birthday weekend greet wonderful cake bottle champagne room . room immaculately maintain , spacious , quiet clean . Yevgeniy ( bellman ) assist luggage , wonderful job go everything room . kind efficient . hotel restaurant nice , amazing food , one kind chef Nick 's star ! truly know wow people ; level service , friendliness , professionalism . friend treat like royalty . service impeccable genuine ; perfect balance formality familiarity . thank everything ! 
 Aug 4 2008 	 Fabulous Weekend NYC 	 husband celebrate anniversary weekend stay Four Seasons New York . indulgent treat many way - beautiful spacious park suite , luxurious room amenity , incredible view ... sign great hotel . another sign - gracious attentive staff . spa staff , bellman , front desk , concierge , room service , housekeeping - deserve high praise . wonderful experience start finish . next time , perhaps will chance try restaurant . Saturday night , opt one closeby ( 61st ) call Aureole , phenomenal . thank concierge suggest . 
 Jul 25 2008 	 everything work four Season NYC 	 pleasant stay July Four Seasons New York . arrival get upgrade room balcony , wonderful , although floor 10 , traffic noise not bother . in - room breakfast deliver quickly deliciuos . actually nice eat breakfast reastaurant , bit crowd . location good indeed , many thing within walking distance . consierge service impeccable . problem charge mobile , take care , book us table restaurant Village nearly impoosible get table , many way able help polite friendly attitude . professional ! impressed spa service though . spa area nice tidy , though . late flight , allow use spa facility whole check day , nice . I feel front desk staff also frendly efficient . want everything work fine like trust & quot ; hotel help & quot ; , go four season nyc . 
 Jul 20 2008 	 Perfect location 	 stay last December exceptional stay . spacious room , masse wardrobe space , huge perfect bathroom , fantastic view helpful staff & amp ; concierge I ve ever meet . fantastic location - absolubtly everything good hotel be . only negative - Joel Robuchon restaurant , food be not bad portion tiny despite order twice reccomende amount do not stumble across single dish would rave . disaster - abundance well place . would not go back atelier - would return hotel anytime . 
 Jul 17 2008 	 great ! ! ! ! 	 really poor normally excellent chain hotel . room although big uncomfortable hear everything hallway . rude reception staff , obviously big enough mover shaker . return far well hotel stay . 
 Jun 25 2008 	 disappointment ... 	 stay four night FSNY June 2008 . check quick take room front desk rep . good start . room date good . bedspread need replace put away rest stay . room furnishing wear ( leather chair scratch , etc ... ) bathroom peel paint ceiling shower handle fall call maintenance fix . terrace much mold floor ( Room 705 ) could outside without shoe . terrace table cover dirt unusable . weed grow corner terrace . room service late every time even include water . price , dirty tablecloth room service tray acceptable . hallway full mark luggage , etc .. need repaint . housekeep good . bathroom date hotel general . room lobby sit unless eat one restaurant . location great , house car ( silver Phantom ) lucky enough snag it . this hotel league Mandarin St. Regis . service maintenance . price par good New York Hotels , however . 
 Jun 25 2008 	 Save Money ! ! ! worth ! ! ! 	 stay Four season New York 2 night , say .... not ever stay . think bad four season bad hotel ever stay . room spacious , dirty , wood lamp room peel crack , paste substance know come crack sofa . management help . offer small discount , price pay , $ 900 night , least worth . staff helpful . merely apologize . lobby nice clean food decent , not judge book 's cover hotel . 
 Jun 8 2008 	 never go back 	 return two day stay four Seasons Manhatton . bad 5 star hotel experience ever . would stay room free . upon arrive room , discover room reserve . call manager , say nice room . tell nice room certainly room request promise . small room ( call suite ) . living room , dining room bedroom one common space . , common space big . room cost $ 2995 night . when ask room specifically reserve , tell room available -- -it give someone else . however , like use car salesman , manager say could room sort like reserve additional $ 1200 per night . never felt violate life . Shame Four Seasons . that bad start , get much bad . 95 degree outside . notice hot room report front desk . say , problem fix . bedtime first night , 88 degress room sleep much . next morning report problem three time leave day , confusion problem . return room 11:30 pm evening find room 88 degress . call manager , said & quot ; correct early & quot ; . time ask please come room see . , appal A / c work . somewhere around 1:00 pm , air conditioner work . 9 filght next day , much fun . aslo , time , also discover housekeeping clean coffee pot ( day old filter coffee still coffee maker ) . , housekeeping neglect leave single wastecan . simple request plenty extra water ignore day . there several thing wrong , would take hour explain experiece . I think since new ownership , try cut corner expense customer . also seem fall accomodate foreign customer fine . american , stay hotel not appreciate domestic traveler . I never stay Four Seasons ( certainly NY ) . overprice not deliver service justifys price tag . Gary W . 
 Jun 7 2008 	 Start Spreadin ' News -- good hotel NYC 	 quintessential NYC experience . 44th floor view incredible city , specifically , Central Park . simply bad service experience four season hotel exception . nice people , go way make we feel important welcome experience . room large tastefully decorate . tub fill 50 second . large head shower like shower waterfall . the location hotel wonderful short walk Central Park 57th , 5th , Madison Park Avenues . the hotel buzz important place investment banker lawyer prevalent lobbyist DC . clientele also cosmopolitan set corner world . there swanky bar serve cool drink , NYC , one feel like cool day . the surprise upon check , give $ 100 towards breakfast seem deal . receive bill , egg bowl fruit two adult two little kid come $ 200 . breakfast become expensive meal ! , great stay will back return NYC . 
 Jun 2 2008 	 one night enough ... 	 wish could stay long , live NYC stay hotel something be condition hail cab dinner ( hotel 's L'Atelier de Joel Robuchon exceptional ) : -deverything check - in room service concierge assignment flawless . room , corner City View Tower Room , spacious one night , would probably prefer something tad big stay extra night . spotless bright , UES view 37th floor . always , everything request stay deliver instantly not anything negative add even anything suggest make place well . doubt will ever get experience NYC location one night , be 'd possible review property bit well , stand right , stay perfect . 
 Jun 2 2008 	 wonderful weekend stay 	 return weekend wonderful Four Seasons Hotel , New York City . 's good hotel ? fabulous location , beautiful physical property incredible staff service . truly enjoy oversized room , amazingly comfortable bed sheet glorious bathroom . flaw experience hotel charge $ 8 per page print boarding pass ... insignificant consider bill stay , , irritate nonetheless . 
 May 31 2008 	 fantastic always ..... 	 usual , stay Four season way back Hamptons . great service always , really make stay special help we find & quot ; special protection company & quot ; NYC help we get around . company work seamlessly hotel cater special protective need . since chauffer / bodyguard unavailable weekend due family situation . not like travel w/o protection family . , contact company call & quot ; Verdad Investigations & amp ; Protection , Inc. & quot ; . apparently use , evidence professional service . deal wonderful man name Sean Noonan ( executive VP Verdad ) . attentive need quite frankly , would use service NYC . hotel even work directly concierge service . great experience , always . -- Preston 
 May 9 2008 	 four season NYC good world bar none 	 book two room wife 's 50th birthday , one love , one three child . since , close NYC , opt use Airbrook limo service get back . reason parking Manhattan , especially valet parking extremely dear . actually save money use limo service . our experience Four Seasons begin Philadelphia . one daughter university . decide spend weekend Four Seasons philly , move - in satisfied , place stay philly . ManhattanThe second arrive , treat like honor family . observe people take excellent service due . , opinion , snotty , self - indulgent rude . actually see old couple wear mink coat , LOL . , staff always good . I book balconey suite , though January NYC . check , offer 50th floor south suite . one spectacular hotel room world . ' m sure 51st Penthouse 52nd floor superior . view well . say , well city view world . could see flash camera Empire State Building observation desk . east balcony view range Conn. statue Liberty . west balcony view Alpine Long Island . ServiceSuperb , fantastic , else say . wife receive extraordinary birthday favor deliver room . Champagne , chocolate cover fruit , robe , slipper , heat bathroom floor . etc . by way , tub sign say fill 2 minute ! restaurantl'atelier , need new mortgage eat , well worth . foodie truly enjoy tasting dinner . the concierge arrange pre - theatre dinner Rainbow Room ( tourist trap ) want . easy reservation procure , especially day . on hand , ' m smoker spend alot time hang doorman outside . epitome real care New Yorkers . staff superb , impressed level service . my kid want list star famous people saw meet . would say saw guest . , ' m dummy . no well place city world . unless company , prepare indulge love life . worth , mine . 
 Apr 23 2008 	 enjoyable splurge 	 stay 3 wonderful night late last month use certificate free 3rd night Four Seasons graciously send . stay 10 year ago little seem change public area . former 5757 restaurant hot L'Atelier de Joel Robuchon , TY lounge unused space , area opposite reception area , small art gallery rotate exhibit . hotel modern , design I. M. Pei , build ground . entry / lobby grand , high & quot ; wow & quot ; factor . service top notch . I give considerable room upgrade deluxe premium -- corner room 24th floor ( 52 floor ) huge window 2 side . room quite large seem sparsely furnish really lack anything . line clean , modern , simple . room dress area panel blond wood , bath marble , tub really fill 60 second widely tout . my package include breakfast -- $ 100 could spend anywhere . Breakfast serve 3 venue downstairs , plus 's room service . needless say , everything expensive , $ 100 adequately feed 2 people . spa / fitness center , 4 level ground , smallish need amenity -- spa , steam room , sauna , etc . I shoulder problem , able sleep well -- great bed ! give luxurious surrounding , plus include breakfast , find get city nearly early prior NYC visit . not leave hotel 10 , good 2 - 3 hour later usual . it well known NYC high hotel room rate , Four season surely one expensive , thoroughly enjoyable , decadent splurge . 
 Apr 5 2008 	 poor service - especially give price 	 Staff not even know two breakfast location ! make reservation meet friend . ask breakfast serve . tell one place reservation . meanwhile friend wait second location - reservation name . at exhorbitant price Four Seasons charge staff knowledgeable well train reservation not show suggest alternative location . and despite leave phone number manager call explain embarasse snafu . four Seasons pride superior service fail miserably . and breakfast not good use either . 
 Mar 14 2008 	 luxurious Break ( wallet ! ) 	 yet , lovely weekend wear corporate wife hat . ' m try sleep way around Four Seasons chain - girl ambition ! ( NB husband hotel though ) corner room 21st floor - lot room , much furniture . Felt bit empty first get use space . bed wonderfully comfortable , comfy sofa table , desk etc - although worn patch sofa ( tut tut 4s - less perfection ) .bee typical Brit desperate tea morning . room facility , £ 11 cuppa ... twitching fly back . the bathrooom - fabulous ! big deep bath - fill 60 second . lovely soap & amp ; stuff ( sorry guy , keep pinch night lot take home ) . big wonderful shower . fluffy fluffy towel . know 's irresponsible , bath every evning ! staff soo friendly . breakfast wonderful ( cheap ) emphasis quality , quality . american hotel get hang make tea ? ? ? try spa ( tell play corporate wife ) - pleasant surrounding , friendly staff , bit $ $ , even Londoner ! convenient location - ' m great shopper 's thing , will love 4S . easy wander Central Park bit greenery , museum . would happily return - even pay ! 
 Feb 25 2008 	 Winter wonderland 	 really fantastic hotel . upgrade arrival ( thank ! ) room absolutely huge . previous stay NYC generally involve tiny room , time . say , eye - wateringly expensive . one grumble . order cheese tomato omlette breakfast , would think could source well cheese & quot ; Squeeze Cheese & quot ; . Yurgh . one final thing , concierge master ! 
 Feb 15 2008 	 perfect stay ! 	 arrive Four Seasons New York love . arrival , receive well room one reserve . reception give we room # 2805 , 28th floor , face 57th St. Woowww ! corner room , view ! advice , observe 24th floor , building height face . check photo . pair window make room full light . it closet , big bathroom . the service quick concierge veeerrrryyyy helpful . the negative note breakfast , either room not value pay for . certainly , recomend return hotel , stay 6 night . 
 Feb 12 2008 	 incredible room wonderful hotel 	 wonderful time Four Seasons New York . boyfriend spend 2 night late January , hotel perfect location look top line shop incredible restaurant ( mention Central Park ! ) room huge -- could believe size NYC hotel , even 5 star level usually small side compare rest world . room definitely top line -- comfortable bed , amazing pillow , flat screen tv also flat screen bathroom . bathroom huge clean , well appoint . bathtub fill 60 second good tub relax bath . bar serve great drink ( $ 22 drink ) , great menu choose . front desk personnel professional , doormen fun talk to . I would definitely recommend hotel anyone look luxury , relaxation , ton entertainment right outside door . 
 Jan 24 2008 	 can not get enough Four season 	 stay Four season NY , son 's birthday celebration . be hard like place , pamper endlessly , even be celebrity . during Christmas season , 's & quot ; beany baby & quot ; tree lobby , kid get pick every meal , walk . ( hotel own Ty Warner , creator Beanie Babies ) always opt include breakfast rate , eat extra 60 $ charge include . stay 2 night , get 1 free , almost make reasonable cost . the location great be look stay near park , shop extremely close well . whenever afford , be four season St. Regis we ! 
 Jan 13 2008 	 Beautiful Hotel wireless internet ? 	 hotel asian flare . expansive Lobby comfy bed . Doormen Concierge world class . hotel still wireless internet . possible 5 star hotel 2008 ? closet size first apartment . like spoil , stay Four Seasons visit spa not plan curl bed get work do . hard wire ethernet desk . 600 threadcount wireless = average . 
 Jan 13 2008 	 Astonishing Palace - Wonderful Four Seasons 	 wonderful stay Four Seasons Hotel New York far fine Hotel ever stay . experience amazing value physical feature Hotel ( include interior exterior design / architecture ) well quality service receive staff , commence doorman arrival . hotel 52 - story building premier location 57 East 57 Street , Park Madison Avenue . reason – masonry building punch window – reflect perfect tradition New York fit gorgeously , whereas different way stand alone : flat building light limestone cascade create invite scale main entrance . corner set lantern night create invitation outside . light honey colour limestone tower give sense well inside surprise . LobbyImpressive , high ceiling column , onyx limestone compose foyer open onto terrace lobby lounge side . one side 57 Restaurant side TY Bar . Front Office / ConciergeThe reception locate past Concierge ' desk , front main entrance . staff excellent – kind prompt friendly – always come smile . check - in quick although Hotel fully commit wait room ready . concierge arrange couple sightseeing plus book 2 dinner experience insightful knowledge . RoomLarger average Deluxe Room , even ny standard plenty space comfortable sit area divan , armchair – seat 3 people large coffee table . fs bed marvellous world , would love buy one home . large oval table serve either working desk either dining table . desk cable Internet connection , printer / fax / scanner disposal electrical device laptop . table face huge glass window , overlook bustle 57th Street . even stay top floor – 28th – would definitely enjoy stunning view city . upgradeon seventh last night , upgrade enormous 93 square metre studio - one - bedroom suite 50th floor ( see picture ) . enjoy breathtaking view Manhattan either day night also private terrace – unfortunately - take advantage tight working schedule . baggage pack unpacked room move , authorize . BathroomHuge full marble bathroom ample space . feature : englasse walk - in shower separate bath - tub really fill - in within 60 second , promise – perfect last minute relax bath long day work sightseeing . luxurious Bulgari Amenities replenish twice daily . excellent turn service per picture nice touch plasma tv screen . restaurantswe dine outstanding l ' Atelier de Joel Robuchon experience excellent service . ambience sophisticated elegant yet casual . kitchen open onto dining area see Chef work , basically mean word " Atelier " . dish tasteful – even french cuisine fan – presentation top notch . even choose less formal dining option Express Menu enjoy fairly reasonable price usd 54 . look something less ambitious 57 restaurant good well overlook main lobby . great business breakfast and/or lunch . TY Bar choose among wide range Martinis appetizer cocktail . face main lobby , nice fireplace . breakfast : buffet , course , choose among sophisticated combination cold hot dish accord low fat diet , choose Breafast Menu American / Continental / Japanese / Central Park : love Central Park Menu also try japanese one fine grill salmon green tea ever try . approximately USD 30 , except japanese usd 47 , much include . one breakfast menu sufficient 2 person even three . fitness centre:500 square metre space daily routine complimentary juice / water cut fruit . wonderful experience start end day city , well combine spa . spa : Whirlpool , Jacuzzi turkish bath perfect relax tranquil environment . massage / treatment judge quality service certainly overprice . negative : swimming pool spa area need much air open space . room featuresi would choose parquet floor , instead carpet , give much elegance room fitting . Room Service : Overpriced , fact dish inclusive service charge , delivery charge , 17 % tax sale tax - course - tip waiter . budget , go la carte breakfast restaurant . Business Centre : fee expensive ( i.e . 10 usd access + 1 usd per min + taxis ) therefore , 1 hour check e - mail print page come 70 usd . charge offer complimentary . overall experienceThis definitely place stay New York City . 
 Jan 4 2008 	 wonderful service Four season 	 stay three night December husband , business . room wonderful , closet space bathroom enormous nothing could fault apart fact seem housekeeping schedule leave room 3.30pm day . really quite annoying come back morning find room still do . my complaint portion anything room service enough two three people feel like terrible waste . expect though would real plus lot people . apart late housekeeping service really quite outstanding . treat like value , long term client despite first stay really make want go back - soon . main restaurant Joel Rebochon wonderful home Monaco good New York . eat lunch dinner - highly recommend ! price tag high ( $ 1,100 per night ) serious value money . 
 Dec 17 2007 	 Disapointment + 	 decide give hotel try many review , write up quite frankly , Four Seasons name . disapointment ! first , make sure room high - modern hotel - street noise terrible . check room 7th floor - long , narrow , sterile , average furnishing , bedding . nexy day front desk accomodate we move - however , ask move happen would rush get ready event return hotel - do , wait bag , hear sort excuse . skip room service - arrive state time , time one cold egg ( nice job $ 100 / breakfast two ) . business centre total ripoff - $ 10 log $ 1 / min . location great shopping . gym great ( really good thing hotel ) .Although penninsula perfect - least value stay - also roof top bar load fun summer . take business back here . obviously four Seasons chain not keep & quot ; standard & quot ; . George V amazing , call Whistler Four Seasons home away home - New York , disapoint . 
 Dec 13 2007 	 ummm ? ? 	 good location , average room huge price tag . be go to spend kinda money night , NY well hotel offer . 
 Nov 17 2007 	 expectation 	 big four season Fan , stay many hotel . stay NY property business trip disappoint . room first assign oddly configure extremely small ( even NY standard ) . ask different room , graciously move , new room lack charm . find cold unwelcoming . also dark evening , even light make difficult work room . please not take wrong , hotel still Four Season location . staff wonderful , clean definitely luxury hotel . compare properties city class ( ie Peninsula ) , think Four Season team could do much well ( ) . want see do right , visit Chicago property ( well yet , Maui one ) . 
 Nov 15 2007 	 expensive New York Favorite 	 stay Four season New York 5 night November , 2007 . probably 6th stay past 5 year . room rate restaurant price increase stay expensive . however , hotel remain favorite New York . facility service outstanding location 57th Madison & amp ; Park . staff encounter high level . room large spacious . there room per floor room quiet . little muffled street noise , sound adjoining room . usually elevator yourself . I eat second time l'ateli restaurant expensive adventure gourmet taste . convenient Lexington Avenue subway 59th & amp ; 53rd Street station . as indulgence , hotel hard beat . 
