good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Nov 7 2009 	 Supurb Choise 	 stay South Point 3 night read review Trip Advisor . please hotel . hotel medium sized hotel short taxi drive strip . hire car travel LA - park hotel car park free could easily drive strip park large hotel strip free . room clean , large comfortable . hotel spa good - relax choice place eat hotel also good . buffet - eat , good reasonably proce . another reasonably price resturant , 2 expensive dining room . the casino smoky bad casino strip . we pay £ 65 per night feel hotel excellent value money honest travel around do not think well alternative unless want stay one big hotel strip . 
 Nov 7 2009 	 Outstanding Hotel 	 Cleanliness excellent staff friendly . hotel locate away Vegas strip , be short cab ride area . casino staff friendly professional every way . wile business trip , ' m anxious return leisure trip . 
 Nov 6 2009 	 Beautiful Rooms 	 good thing hotel , Strip price . 3rd trip Vegas , someone book strip South Point . room beautiful ( view though ) , lot hotel , movie , bowling , gamble etc ) .It $ 30.00 cab ride one way strip , strip every day , complaint ! 
 Nov 4 2009 	 Impressed 	 stay couple night August . check early go pool , bad Las Vegas wind storm . do not stay long pool , go dinner mexican place , bad . think coolest thing Friday night happy hour 5 - 10 . place pack , sat withsome great local geat time . next day wind die able relax pool , say pool heat beware jump . look lot young woman . lot famile young one . alll place great vaule do not mind way strip . need R & amp ; r work . 
 Nov 3 2009 	 Second Visit 	 visit property last January outstanding experience . spend 6 day Hotel surprised see difference short time . first visit notice smoking problem casino . time smoke bad go casino . room times excellent service restuarant good . not mind strip Hotel ok . issue smoke , might consider another location . 
 Nov 1 2009 	 South Point Awsome 	 husband & amp ; love Oster Bar waiter kind make feel special . food good town , one particular waiter name James bend backwards make meal dining experience special , kind polite tell friend family Oster bar South Point always take guest town never ever bad experience , everyone great , like seafood good , resturant great also eat , bartender professional always kind make feel welcome , husband give staff , food , casino 10 fun place great time dine . 
 Nov 1 2009 	 nice place 	 south point nice hotel , clean , friendly & amp ; helpful staff . check breeze . carpet hall need redone , nice place . buffet good actually southern white gravy hard find Vegas . comp well casino find Vegas . side cost $ 25 - 30 get strip , way , nothing close walk . much quieter atmosphere strip casino , not see drunk patron whole 5 day . also real shopping like casino . 
 Oct 29 2009 	 Smokey 	 wife stay Southpoint Hotel October 22nd 24th advice friend . hotel similiar Orleans Hotel Casino Las Vegas previously stay . wish go back Orleans Southpoint Hotel Casino noticable smell smoke cigarett throughout facility . many guest smoke right front sign elevator elsewhere say & quot ; smoking & quot ; . one wonder thi HVAC system work properly even try enforce & quot ; non - smoking & quot ; area . room rate jump $ 70 per night week $ 129 week - end find high Vegas especially consider today economy . the smell smoke really affect stay negative way . Casinos Vegas able clense air well Southpoint . 
 Oct 29 2009 	 well expect ! 	 pick hotel rating Tripadvisor . ' ve stay fancy hotel strip bite nervous strip low price . ok stay everything fine lock twice room error front desk . acknowledge mistake make effort apologize error . overall satisfactory stay . will go back price right . 
 Oct 28 2009 	 nice place beat path 	 stay 3 night nice well room strip . could stay hotel entire time decide shop outlet mall hit casino north end . go Fremont St. another day . buffet good . cafe hit miss , early , early ( midnight ) breakfast good cheap ( hamburger good also ) another night cold like leave breakfast keep refrigerator ! slot loose enough we keep play slot casino take $ $ . finally figure bus system plus since pick we hotel 's valet parking -- $ 7 day pass , $ 1.75 go outlet mall . shuttle to / from airport well ! take taxi airport , prepare shell $ 28 fare ! ! room casino clean . view mountain look stable arena . pool look nice . nice strip , away crowd surround casino . would definitely stay . fortunately get one night free book 2 night . 
 Oct 28 2009 	 Excellent Hotel Super Low Rates 	 book 2 night $ 35 per night ( $ 70 buy 1 night get 1 night free ) reservation match hotels.com rate . try check early sell previous night wait hour HK could clean room . drive 8 hour Napa , CA overnight exhausted not care happy Vegas . , breakfast buffet impress check room . not get view room huge ! I m sure think lady check give upgrade suite since 1 clean . 4 hour nap comfortable king size bed , check casino conveniently design well staff , consist mostly hot cocktail waitress mixed race & quot ; over - the - hill & quot ; one . valet staff excellent asian girl help personable welcoming . late night dinner cheesecake cafe make buffet early . overall nice hotel awesome location ( 5 minute strip ) awesome servce . 
 Oct 25 2009 	 Great value spacious Clean 	 stay South Point Casino spa two night feel lot clean large hotel ' ve stay strip . even though non - smoking floor , hard avoid smoke EVERYWHERE - rough non - smoker . nice view mountain room nice watch sunset . since car rent quick go strip enjoy trapping , also content South Point offer ( relatively good winning ) one good spa treatment massage remember ( thank Carla spa ... sleep like boneless chicken ) hot stone massage reflexology treatment . lot cowboy roam place since equestrian arena attach casino . would stay value , good spa treatment year winning . 
 Oct 24 2009 	 nice property ............ 	 room bright spacious ............. mattresse hard side ........... need sleep ! well appoint design large bathroom . 
 Oct 24 2009 	 good off - strip value 	 stay two night early week , trade show , first trip casino pleasure traveler . would rank quality room get new wing somewhere around Marriott Hilton , though little bit big . get smoking room could puff stogie check email , could not detect tobacco smoke . crowd casino ... interesting . image small - town Wal - mart people play slot machine instead shop . crowd little energetic average Station casino . buffet middling , might impress someone be use eat Golden Corral , not impress . plus side , quick attentive staff , great location . 
 oct 22 2009 	 SMOKEY 	 room nice stench smoke permeate entire complex , even & quot ; non - smoking & quot ; room . also $ 13 day internet access ridiculous ! ! ! stay 3 night October base TA review . 
 Oct 21 2009 	 beware bed BUGS 	 shack airline due fact flight cancel . excellent value ( Bellagio Ceasars usually stay good ) . nice big room LCD TV 's place seem relatively new . quite nice pool think stay 50 buck night can not go wrong ! food good buffet absolutely horrible 24 hour restaurant . surprised not end food poisoning . oh way strip think stay cheap taxi strip happen . 28 dollar cab ride airport opposite direction main strip . price daily rental car might well stay imperial palace something . but take advice check bed SLEEP ( see internet instruction ) .I sleep 6th floor ( joke ) even 5 hour flight leave morning BITTEN 20 time ; yes 20 time ! ! ! ! 
 Oct 20 2009 	 Awesome 	 stay South Point september 4 day , start long trip around nevada . a good shuttle service airport , know hotel remote , did'nt mind , hotel lovely stay around hotel first 4 day trip , room spacious comfortable , pool area lovely . Buffet good , friday night sea food night excellent value , buffet use booklet money offer great help . Delli also good quick snack . eat mexican well mexican food . slot good cocktail waitress come round often , $ 25 free play give join player club welcoming . 
 Oct 17 2009 	 enjoyable stay 	 stay five day South Point September really enjoy stay . room nice , bed comfortable flat screen tv . especially enjoy pool , nice size liesurely swimming . eat buffet , other speak highly prime rib restaurant second floor . actual casino seem little small size place . drive Vegas , find location great . south Point freeway Las Vegas Blvd , make travel fairly easy . overall really good spot people not need Strip . 
 Oct 17 2009 	 Vegas baby ! love hotel .. 	 second time stay Southpoint Hotel / Casino / Spa . limo driver Vegas 10 year , would much rather stay Strip really get money . real 4 - Star Hotel . food good , even buffet not usually care buffet . receive coupon book upon arrival good 2 1 buffet , even get complimentary bottle wine . pool area wonderful well . absolute favorite place eat Vito 's .. even get coupon free desert . much right hotel , must go Strip , 10 minute away . far . enjoy , nice place stay .. upon arrival Airport , might well grab Limo .. company offer real fare price . price quote one HOUR , might well driver give little tour drop .. not forget & quot ; Tip & quot ; server .. everyone Vegas work & quot ; Tips & quot ; .. bus driver ( tour shuttle , even bus take car rental area ) always leave & quot ; tip & quot ; buffet . tip door man , taxi driver , ever people give service sort . enjoy ! 
 Oct 15 2009 	 Great Hotel 	 love stay South point every one friendly room great , will not repaeat everything else already say , add even T.P . fantastic ! 
 Oct 15 2009 	 good basic economical hotel conference center 	 location good basic hotel casino . nice restaurant basic amenity . convenient bus stop go strip . room nice service good . 
 Oct 15 2009 	 Hotel Great ! 	 great location ! quiet end strip , less traffic . wow ! excellent value price . 
 Oct 11 2009 	 Great Value strip 	 South Point fairly new hotel offer incredible deal . self - contain casino hotel approximately 10 - 15 minute car Las Vegas strip . south Point bowling alley , 16 - theater movie place ( nice ) , casino , 8 restaurant , spa , beautiful pool facility , barber shop , . rent hotel price value , rent car go action strip . would recommend place stay plan rent car visit Las Vegas . 
 oct 9 2009 	 Awesome 	 hotel $ 28 cab ride strip well worth . although love strip 's nice hotel quieter still amenity would find strip . 
 oct 9 2009 	 Great Value ... esp car : ) 	 hotel nice -- check - in breeze . room really nice update modern bathroom . toilet shower separate mirror sink , make get ready easy among friend . close strip , need car friend car fully explore Las Vegas . 
 Oct 8 2009 	 great hotel great price ! 	 Hotel Strip Clean , comfortable elegant . room oversize 46 Inch flat screen tv 's . bed comfortable clean look brand new . great view desert skyline 10th floor . would take hotel overprice & quot ; Strip & quot ; hotel . 
 Oct 8 2009 	 Beatiful pool great service 	 wonderful staff - everyone meet friendly customer service orient . hotel beautiful , clean comfortable . Access Las Vegas strip easy rental car . not rental car will need take bus cab . bus city bus , access across street hotel . cab fare $ 25 strip ( one - way ) one co - worker ... hotel , however , excellent . business wish time explore strip enjoy pool hotel . can not wait return vacation . would definitely stay ! 
 Oct 8 2009 	 Best Bargain Vegas ! 	 extremely picky hotel room stay . search reasonably price hotel strip , think bargain price find South Point must certainly good true . deluxe room hope -- clean roomy , well decorate . bed extremely comfy fabulous linen . service good . quite long wait bellman deliver luggage , request extra coffee next morning , flash . lovely room incredible price , highly recommend everyone . 
 Oct 8 2009 	 good deal . 	 even though location main street , hotel full positive thing , well quality / price , clean room , open beautiful view , etc . not want middle main street , one . 
 Oct 6 2009 	 good deal vehicle 	 find discount rate $ 49 $ 120 Friday nite serching use Kayak chece review TripAdviser . huge room wall mount tv . pay $ 12.99 day internet ok since one we not gambler . service ok - one day miss make room phone towell arrive promptly . nice facility good casino location quite south strip , really need car ( try carrentals.com ) . use valet parking bell staff minimize hassle getting park luggage room . great service Bell Valet staff , cost decide tip . 
 oct 2 2009 	 Awesome Time 	 great place , stay right next door . go south point gamble . cash treat like high roller 200 pocket . 
 oct 2 2009 	 good deal get holiday ! 	 recently stay one night fly Las Vegas drive L.A next day want somewhere cheap rest long drive hotel perfect everyway . stay plenty 4 * hotel UK well vast majority . well know book hotel south end strip need car reasonably hefty cab ride get action however regular shuttle run hotel free really handy . room good size , spotless pack everything need . pool area excellent attentive drink staff . also pass book arrival complete voucher casino free play , voucher use get buffet $ 10 , would highly reccomend buffet i m honest although not glam Bellagio one stay second week food choice honestly think South Point use well quality produce . superb hotel . 
 Oct 1 2009 	 excellent - find new home ! 	 away make point stay somewhere different time go Vegas - anymore . Southpoint ! room huge , staff amentie super - buck . the restaurant great - hugh sandwhich Deli ice cream super ! ! ! ! enjoy breakfast buffet well . can not wait get back South Point ! 
 Sep 30 2009 	 Past airport worth drive 	 South point lovely . stay vacation Utah Arizona enjoy much . bit way car , well worth trip car . 's RT . 15 , convenient airport , quiet . hotel new , room large clean , breakfast buffet outstanding , whole experience great . room rate low week . gambler not know loose slot . equestrian event hall sort show present . 64 lane bowling center large bingo hall . 
 Sep 30 2009 	 comfortable stay strip good price 	 Comfortable Hotel strip . other mention , need car . be $ 30 cab fare ( tell another guest take cab ) way strip .. shuttle strip attraction . free shuttle airport , however shuttle not start till 6:00am airport , inconvenient . room large , thought bed comfortable , sheet even soft & amp ; Pillows ok . good night rest . end hall nice cuz traffic room quiet . pool ok , get full splashing kid weekend bit annoying , try relax . weekday pool nice though & amp ; crowd . Garden Buffet great deal ... coupon check 2 1 price weekday ... $ 6.95 begin . Buffet go $ 13.95 Sat / Sun . think buffet good .. large selection many different item .. honestly can not find something like , maybe fussy . think good . deli bit price , Vegas . Movie Theater good . love Happy Hour Marguarita special Miguels Tequila Bar 5 - 7 pm .. $ 2 marguarita ... can not beat ! ! want try restaurant never get around it . the problem time key would not work ... 2 key usually one key would work , convenient not together time . on several occasion one we could not get , key would not work , call & amp ; wait someone come let we .. run way desk & amp ; get replacement . annoying & amp ; inconvenient . all good stay .. reasonably price . 
 Sep 28 2009 	 Excellent Hotel would stay 	 excellent experience . room clean , nice size , bed comfortable , stay way . casino also wonderful buffet wonderful , also good sport bar . search , probably good value ! slight complaint distance strip downtown shuttle run regularly . would stay . 
 Sep 25 2009 	 great ! 	 every one positive review right . think hotel new everything spotless , bright shiny . room large beautiful outstanding accessible shower . love coffee room , buy alcohol gift shop really save money bar drink . every imaginable drink Chambord Champagne , wall wine . check Saturday night admit jam kid newborn teen . stroller everywhere . husband refuse try pool many kid . however , noon Sunday go away . find several slot blast gamble 12 hour concept time . food wonderful tough , dry pancake cafe Sunday afternoon . night good prime rib life cafe ( $ 12.95 ! ! ! ) , complaint . show affordable terrific , aminitie great service fast , friendly efficient . like much not think will ever stay strip ! 
 Sep 25 2009 	 South Point ` ` Tale Two Casinos '' 	 South Point Hotel Casino good thing bad ! room nice , maid service bad : product , even towel not leave unless specially ask . great coffee maker room , would well coffee cup , Equal Splenda maybe ... coffee . spend week ask every day . day maid early , day not bother show late afternoon . always keep finger cross return day trip room would clean . ( put card door ask service ignore ) service area . food great restaurant quite good other . little consistency thru hotel . employee pleasant , other board rude . ( Gift Shop particularly ) one annoying thing bother WYFII free South Point . ( use & amp ; affect , think bit tacky since even Starbucks offer free internet buy coffee ) sure would recommend , return hotel many good hotel Las Vegas settle & quot ; Dickens Tale & quot ; Casino . 
 Sep 22 2009 	 huge room ... great view ! 	 strip , turn , place fabulous . never food issue involve . terrific bath ammenitie . comfortable bed spacious pool . good native habitat view poolside friendly cocktail server . hallway get bit dirty end Saturday ... place stay Vegas along group represent ! 
 Sep 15 2009 	 spazmatically Awesome 1st time @ South Point ( good bang buck far ) ! ! ! 	 totally rad experience able stay hotel ( South Point ) Spazmatics concert . price affordable perk expensive Las Vegas hotel . ( visit many last 5 year ) group friend , ( age 35 ( ? ) 46 & amp ; 1/2 ) meet Las Vegas every year see Spazmatics ! dress part ... yes , crazy colored frizzy hairstyle , peg legge jeans legging leg warmer , etc.etc . ( come back style ya know ? ) freak FUN ! everything want right casino , blast never leave hotel except head mall shop ... duh , group 5 woman , ' expect ! ! ! take Salsa lesson eat diner meet terrific people ( New Orleans ) seem enjoy , way much try ... Alan ! ! ( shameful ) .The room large , bed comfy , food great everything clean . the staff pleasant helpful ... mostly Miss long front desk ! plan annual vacation South Point ; even decide price might able hook twice year . 
 Sep 15 2009 	 GREAT ALL - in - one PLACE 	 Hotel offer little bit everything great price ! husband enjoy gambling enjoy relaxation get away home . not attend show & quot ; strip & quot ; , would need even leave Hotel . location offer gambling , large sport book , many dining option , bowling , movie theatre , beautiful pool area spa . highly recommend suitable place Vegas bring child . 
 Sep 14 2009 	 nice place - kinda smokey casino 	 book Southpoint base upon book - a - night - get - one - night - free promo gnenerally happy facility . maid service fall ice bucket ignore room freshen plastic bag replace . room bed excellent - possible thing fault refrigerator . the casino always reek cigarette smoke - even 09:00 people . 's enough keep we booking - find Texas Station much nicer . blackjack table week always $ 5 least one always double - deck restriction . well far center Strip casino . we eat 24 - hour coffee shop ( Coronado ) please service food . 
 Sep 14 2009 	 deal ... 	 Vegas one night . dinner , show , gamble leave . since already pay room Arizona , didi not want pay much not want stay dump either . check review decide South Point . short , love place . yes long way centre strip . , car , not go . staff friendly . dealer friendly . cleaning staff give friendly , & quot ; good morning & quot ; . even pit boss friendly . eat Garden Buffet food good wait staff friendly . swam lay pool area nice . not use fitness facility check match anything ' ve use big name placesroom huge . clean . bed comfortable . nice new flat screen tv . high grade soap , shampoo etc . $ 40 ! ! ! ( reserve website ) sure like weekend love fact could play $ 5 BJ Craps anytime want . these people earn business next time . Hope ' m back soon . mention staff friendly ? 
 Sep 1 2009 	 Awesome Awesome say Awesome ? 	 third time visit South Point , time husband take friend . 40 - year four time year Vegas Visitors find new & quot ; home away home & quot ; stay anywhere else , love location right freeway without battle traffic town . destination resort want casino hop car crowd strip .. get Wednesday come health problem send hospital ER . security valet staff top helpful direct we . fact , employee everywhere top nice considerate . as usual room impeccable food everywhere top notch . husband enjoy movie whilst friend must play every slot place ! blast cocktail server sweet rapid drink awesome . we sleep well room quiet ever stay . one word negative side .. extend trip include Friday night boy oh boy could see demographic change eye day Friday . 50 prefer subdue , well dressed old crowd Friday young rowdy came shout bad word insult cocktail server dress & quot ; costume & quot ; way put kinda make seem trashy . , advice want party rowdy young folk make sure stay weekend prefer old classier crowd keep stay mid week . shall go back soon .. weekday . 
 Aug 31 2009 	 nice - need car though be far strip 	 great bed - nice shampoo , conditioner , etc - flat screen tv - courteous staff . price unbeatable great value . lot bowling movie well gambling . pretty nice pool area . food 24 hour cafe good , late night special real deal . going try mexican restaurant , close Monday Tuesday . only couple complaint - casino seem full cigarette smoke time . view room parking garage . hotel good choice not car . far walk casino . would stay - pleased overall . 
 Aug 29 2009 	 really Nice Place 	 first visit Las Vegas ( stop - over California ) decide stay main strip . stay South Point Hotel two day impressed room size ( 500 sq.ft ) , cleanliness . hotel several restaurant site . eat two location food delicious price reasonable . upon return California ( another stop - over Las Vegas ) return South Point spend additional night . definitely stay hotel go back Las Vegas . 
 Aug 27 2009 	 nice room blah food 	 stay 4 night South Point last week boyfriend . first time Las Vegas fourth time , free contest free night play poker online . first impression little disappointed hotel far away strip . also find lobby casino part hotel kind blah . not much look , unlike hotel / casino strip . room , however , nice . spacious , comfortable bed , new flat screen tv wall , roomy bathroom great shower . also keep tidy clean . pool area also extremely nice- even cocktail waitress bring around drink pool beach chair . we unfortunately find food hotel nothing mediocre . service fine though . thing particularly like hotel : -there refridgerator room- would nice keep snack drink cold . -there substantial charge use fitness facility . think kind tacky . like use gym travel , not want spend $ 15 per day ! plenty activity keep one busy hotel , nice . movie theater , bowling alley , arcade kid ( slot table game adult course ) . friend mine describe hotel & quot ; locals casino & quot ; , would agree . someone town look typical & quot ; Vegas experience & quot ; , wouild not recommend stay . Vegas conference kid will great time . : - ) 
 Aug 27 2009 	 Terrific 	 try find something wrong South Point , not anything . room big well place ' ve stay Strip . staff friendly . value unbeatable . big downside , course , 15 minute drive Strip . people car Vegas , not always issue . huge casino South Point , gamble right . 
 Aug 26 2009 	 play stay future - great clean place 	 get back yearly trip Vegas decide venture strip year area see . Stopped Hotel / Casino love place . compare strip place - crowed , right amount gambler , clean , smoke not kill dealer nice ! $ casino time go , lose $ strip . definately place check stay future . 
 Aug 21 2009 	 good great rate rent car 	 live LV 6 year move back midwest 3 year ago . always stay Southpoint go back . rate great hotel elegant service always good . great restaurant not clean wallet . as far strip , people really get casino little see country around Vegas . Valley Fire gorgeous everyond least go Hoover Dam . car rental rate usually cheap taxisthe strip casino great . short drive road top - notch easy get around . ( snow freezing make pot hole small casino well payer too . there great restaurant strip . 
 Aug 21 2009 	 far away ! $ 60 get Strip ! 	 first , hotel look like good value many way . clean large room relatively new . staff polite helpful . however , do away shuttle use go strip . taxi fare back $ 55- $ 65 round trip ! really boost effective cost room not car . say take city bus $ 4 day unlimited pass , wait sun arrive must change bus get strip . whole process take hour way ! much time waste vacation . think much well value hooter Hotel amazing $ 16 night week one block strip . 
 Aug 13 2009 	 negative people never Las Vegas 	 go reiterate pro room size , etc . service good . good pool area , lot , casino 2,270 slot / video poker machine large strip casino . my wife go Las Vegas several year spend least 30 - 40 night per year various strip hotel . Paris regular strip hotel . my main reason write review point complaint location , lack tv channel , charge internet spa totally bogus . first , complaint location absurd . want strip stay strip . intelligent person well aware South Point close refer & quot ; Strip & quot ; . aware suggest check next time . almost casino hotel offer much way tv channel . purpose not want sit room watch tv . south point . charge internet gym / spa standard casino / hotel . want lot tv channel free internet access stay non - casino hotel . least South Point not charge mandatory amenity charge become common Las Vegas casino hotel . 
 Aug 13 2009 	 Comfort lush food convienient fabulous ! 	 think South Point fabulous ! stay first week ever Las Vegas amazed offer ! hotel always clean , food always hot plenty ! ! ! hire car like explore around little find South Point hotel centre everywhere . fantastic store location direction ! hotel provide shuttle bus run every 10 - 15 minute take Mandalay Bay hotel . 5 - 10 minute drive free hotel guest . I would definately stay South Point hotel even visit strip , although not directly strip 's close enough nice crowd time ! ! ! ! 
 Aug 10 2009 	 Great Value Money -- -- -- ............ 	 four star rate hotel , expect average around experience . not get wrong -- -the room clean , nicely appoint , bed comfortable . could not beat room rate , judge quality room overall condition hotel . food good -- great .. negative could not help notice consistently type people guest . affordable rate many guest normally would not frequent 4 5 star quality hotel . lobby night especially overload bling wear , tattooed , baggy pant , backward baseball cap wearing , young people ! & quot ; traditionally & quot ; dress people , definitely minority . appear California & quot ; wuz , wuz happenin ' & quot ; kind crowd . cup tea . however , would probably stay reasonable rate , room quality , 6 - 7 mile distance strip , find actually advantage . 
 Aug 9 2009 	 Great Resort Excellent Value Stay ! 	 like many other , book extremely low rate ; disappointed . room might describe large standard room Luxor , large luxurous Mandalay Bay . overall excellent value , already plan another extended weekend hotel . the room clean comfortable , quiet hotel ever stay . hear absolutely nothing wall floor entire stay , except run water early mid - morning , audible bathroom . in - room safe nice convenience , though leave diamond stud expensive jewelry bundle cash home ( kidding ) .The food good restaurant visit , particular note prime rib primarily Prime Rib , crab leg clam chowder Big Sur Oyster Bar , biscuit gravy Coronado Cafe , anything Del Mar Deli . turnover equivalent one - half fruit pie , embarrassed admit many flaky pasterie eat stay . also , sandwich seem little high price , huge ! pool ( whole resort ) family friendly . main pool area actually three overlapping / connected pool . recall correctly , two end graduate 3 foot deep max , center pool 5 foot max . lot family , not feel crowded . one day , spend afternoon multi - screen theater ( senior get 3 pm everyday $ 3 , use Club Card ) . nice break casino activity . also , 60 lane bowling alley next theater ( upstairs casino floor ) , kind tournament going look , bleacher seat set two people bowl . also , small arcade right outside bowling alley , pretty good , limited assortment usual game . if not need excitement strip , car not mind drive 5 minute get action , might resort . long consider Harrah 's , Luxor Mandalay Bay Las Vegas plan , South Point destination hotel choice . 
