5 	 travel 13 hour trip abroad decide stay London night . look online hotel near Angel station one nice one could see price range . arrive hotel 10:15 intention dropping case well check time . mention staff 13 hour flight find room let check could get rest freshen . felt go bit extra make day . room lovely , spacious clean . everything need comfortable reasonable price . 
 Sep 19 2009 	 Nice hotel great hotel parking 	 need go London business trip . HQ book we hotel . 's easy find drive avoid try get around 5 pm . take 1 1/2 hrs drive 6 mile . hotel parking , 3 temporary space drop case drive 1/2 mile pay car park cost £ 18 night . walk back hotel . rainign nice suit ..... hotel however fine . large clean spacious room quiet location . Air Con mean not roast death like travel lodge window open 3 cms . conveniently situated near Angel tube station want go city evening . breakfast superb ! every food imaginable fruit fry . could stay morning eat .... would stay . 
 Sep 11 2009 	 excellent way 	 say describe jurys excellent .. room grand clean .. actually amazed breakfast fresh convienent lovely bacon well ever ... wee lady centre breakfast dock chatty mybe get bad day staff friendly .... handy o2 islington daughter go see paramore ... eat 2 night jurys bar food faultless thank staff .. little thing say manager /laundry ... bad complaint towel let lovely room greyish hotel fluffy standard mybe litttle softner /whitner advise laundry .... back handy tube london thank xxx 
 Sep 2 2009 	 clean safe friendly ! 	 stay young daughter 's new building , little soulless , 's clean staff ( nearly ) helpful . adequate sized room A / c . Buffet breakfast good . turn full breakfast & quot ; Continental & quot ; affair careful , although tell 's £ 2.50 upgrade . handy Angel tube station safe area . recommend . 
 Sep 2 2009 	 excellent location sadler Wells night town 	 room comfortable reasonable size . Bathroom date , clean . water not run away sink well , report leave . good choice breakfast waitress happy get kitchen make porridge husband . excellent location stay London go Sadlers Wells Theatre . 
 Sep 1 2009 	 sad insitutional smelly 	 outside appearance- modern city hotel . past reception , decor 1970 's insitutional smell disinfectant , permeate corridor room , remind one Salvation Army hostel Stepney . stained carpet , dirty towel noise slam door night add impression . accept London hotesls always expensive , still poor value even capital city . 
 Aug 24 2009 	 Tired date 	 spend one night really disappointed room . Jury Inn standard faulty fixture fitting . move another room whb plug would not budge closed position ( reception open use brute force suggesetd , stay one night , close ) .she , however , agree move we explain consider solution unacceptable . car parking good 5 minute away costly - £ 30 overnight stay ! good location close trendy Islington would wait promise re - fit use hotel ! 
 Aug 18 2009 	 good hotel 2nd visit 	 stay feb theatre trip , august 2 night , great location good travel underground nice clean hotel , lovely bathroom soft white towel change daily , shampoo shower gel good supply , tea coffee supply , ice make machine corridor , air conditioning keep room lovely cool . go back 3rd visit .have stay hotel charge near good one . 
 Aug 15 2009 	 great location service 	 hotel greatly locate . Islington lively area London . Lot 's restaurant , bar nice shop . trendy artsy , snob feel around neighborhood . we take subway Heathrow way Angel Station ( 2 block hotel ) .The room nicely decorate clean . service excellent . front desk staff give we great tip bus , restaurant thing ( two favorite place eat : Origano italian restaurant - great pizza pasta - real deal Le Mercury super affordable great french restaurant ) bus stop across street hotel convenient want hop one many bus go around townthere cable tv room go London watch tv ? breakfast buffet hotel good . we recommend go friend , partner kid 
 Jul 31 2009 	 Excellent location . attentive service 	 stay weekend find place perfect need . front staff helpful room suit we well . email ahead time request quiet room get one overlook center parking / utility lot incredibly quiet . room double single bed spacious enough three us . place spotless . breakfast bit chaotic include good selection food ( cereal , yougurt , fresh fruit , cheese , bread , egg , meat , bean , tomato , etc ) . rate include full breakfast three us 90 pound per night . half party arrive via Eurostar go Paris way end weekend location great . hotel close Angel stop , often require transfer get may wish go , since be block away , safe neighborhood , fine . king cross / pancra stop long walk still convenient . ( arrive luggage though , definitely transfer get Angel walk less baggage ! ) would definitely stay future trip London . property offer lot money . 
 Jul 27 2009 	 good hotel - quite pleased ! 	 stay 2 night last weekend . location great us - right near Angel Tube - lot place eat drink near ! book last Minute get one mystery hotel - £ 138 2 night . room good size . clean bathroom could possibly bit revamp . complaint enough pillow ask kettle replace , front desk organise we . when come check , early ( 8.30am ) - really want leave baggage room available able check fantastic we ! front desk brilliant . can not complain really - would consider stay ! 
 Jul 23 2009 	 good basic clean room fantastic location 	 stay Jury 's Inn Islington part Trafalgar tour , one night begin tour second night end tour , experience two different room . lobby nice ; room typical UK , small side rather stiff bed , clean . wall thin , wall hotel stay throughout UK , window first room would not close properly street noise pub early hour . regular continental breakfast not good either . minor occurrence , satisfied hotel . the pub locate hotel good , food reasonably price . first timer UK , want food drink pub , need order bar . usually number table will want let bartender know number food bring table . the good part hotel location . angel underground station two block away , leave hotel , turn left go two block light , will see Angel station leave . Assistance Desk clerk tube assist we buy ticket . neighborhood Islington much offer , block away will find every type restaurant imaginable , asian cuisine , vegetarian , italian , mexican , sandwich , etc . several pub within walk distance well , Angel Street . one thing would recommend manager , although hotel WiFi internet access available laptop , central computer visitor could use . hotel stay one find convenient . overall , hotel meet need would definitely stay . 
 Jul 20 2009 	 Jury 's Islington Good ... 	 visit Jury 's Islington June 2009 , two teen we , kind enough accomodate foldaway bed , quickly , effeciently cost , good job . location : -good location handy St Pancras ( Eurostar ) Euston Kings Cross walk distance 15 minute Euston / king Cross , taxi St Pancras 10 GBP . get Central London get taxi time use Tube Angel ( Northern Line ) much use , well yet go king Cross Tube access central London tube . hotel : -clean , newish , nice lobby , parking front short stay load . reception quick effecient helpful need . room : small , two double bed , good bathroom , plenty towel request , tv room poor upgrade flat screen , furniture ok . enough room four 4 person room . restaurant : breakfast good value , full English 8.50 GBP , perhaps little steep would recommend get good value price ( load ) , numerous local pub / cafe full English 6 GBP less , shop around not stumble restaurant , keep clean throughout staff good job keep everything clean tidying guest . overall good stay , useful business visitor , downside often stack Tour party overrun restaurant breakfast , though not happen stay . 
 Jul 6 2009 	 good hotel 	 stay work - easy find tube station - room large clean - breakfast good - lot choice - bar hotel pleasant . 
 Jul 6 2009 	 50 th birthday trip 	 husband stay 2 wks ago 2 NIGHTS.i dissappointe size roomsmy husband step shower , close bathroom door , get toilet situtate behind door.we book expedia breakfast , feel room BOX.it be not special offer . 
 Jul 1 2009 	 bargain ! 	 hotel one night day ago . get deal £ 90 include breakfast 2 people ) could believe could got bargain central hotel . room spotless , although could witha bit revamp . say definately back hotel 6 week return home . staff first class way ! ! ! 
 Jun 25 2009 	 Perfect location friendly staff 	 stay Jurys Inn Islington hotel due marriage friend mine . location perfect ( least we ) . far city centre , important : area around hotel nice one . restaurant bar locate minute walk hotel . breakfast suit well busy day . english breakfast hotel know what s part english breakfast . last least : staff hotel friendly helpful . 
 Jun 12 2009 	 Pretty good ! 	 Jury 's Inn first stay trip around Europe . pretty good stay ! package deal come along Arsenal Match day ticket . good location close Angel station . advice people say walk king Cross Station , dont ! particulary long flight ! much well head Angel . room quite comfy , problem ! listen around package come continental package instead breakfast . staff tell much upgrade buffet , need ask ( cheap ) worth ! Nice Brekky ! downer want stay time London Jury 's cost get much . all - round pretty good ! 
 Jun 11 2009 	 great stay ! 	 Stayed Jurys Inn last week must say exceed expectation term perception 3 star budget hotel . although room date find one spacious , clean , well maintain quiet - bear mind busy part london . plenty restaurant bar area eat two night dinner Hotel one night . take bus Angel Tube stop nearby take we Picadilly Oxford Street within 25 minute . would definately stay next visit ! 
 Jun 10 2009 	 good need pay 	 two major thing look good location comfortable safe place sleep leave belonging . location excellent , be close Angel tube stop 15 minute walk king Cross . internet cafe right street use frequently Sainsbury ( large grocery store ) many restaurant / shop nearby . room fine , nothing spectacular , clean comfortable . apparently room couch / day bed type thing , nice would somewhere sit besides bed watch tv reading . furniture bit date , pay , pleased . room pretty spacious ( lot room put belonging shelve ) , though not know 3 adult 2 adult 2 kid could share comfortably , website advertise . overall room clean ( bed , furniture , carpet , bathroom ) . thing not glass coffee cup provide , use styrofoam cup provide next ice machine . ice machine floor break first day , tell hotel staff not fix leave ( stay 6 night ) , inconvenient . in - room safe , safes lobby guest use ( accessible 24 hour key hotel give ) . never try restaurant , sleep shower . staff friendly . overall , would say 's par La Quinta Ramada Inn . , pay want hotel , pleased . 
 May 19 2009 	 watch coach party ! 	 histaye Sunday 17th Monday 18th May . I use Jurys Inns quite frequently ( particularly Newcastle ) generally impressed . this first last time particular hotel . positive : friendly staffreasonable location ( less 10 minute nice bar / restaurant ) Decent size roomsnegative : dowdy barThin wall room , lead everything hear adjacent room noisy neighbour ( bad Travel Inn type room though ) main concern : 2 night stay two coachload foreign visitor stay , effectively & quot ; took & quot ; restaurant breakfast time . appalling table manner , shout across restaurant repeatedly leave food strew table spilt floor make pleasant relax breakfast experience . in fairness , appear restaurant staff well cope situation two day stay , ultmately appear little could do . fellow guest ( part coach party ) openly voice discontent , feel alone concern . ultimately , believe hotel need make concious decision whether want attract repeat business traveller also individual / small group private traveller , whether intend seek revenue accommodate large group rowdy , poorly behave coach party . my recommendation : avoid 
 May 19 2009 	 great location comfy room attentive staff -- stay ! 	 mix - purpose visit we -- husband business meeting go mother , brother use occasion mini - reunion . hotel perfect we -- centrally locate , reasonably price friendly staff . friend join we adjoining pub couple occasion find surprisingly pleasant cozy . breakfast also surprise -- usually go breakfast be stay London , eat almost every morning . great selection continental hot breakfast . overall , hotel superb value money . would definitely recommend ! negative critique would price high - speed internet . 6 night £ 10 / day choose use much would like . weekly rate would appreciate . 
 May 16 2009 	 Nice Clean Hotel .. Friendly Helpful Staff .. Great Location 	 visit family stay London Islington area , hopeful find reasonable price hotel particular area . fortunately , hotel meet location requirement . find clean extremely helpful staff . management front desk staff top - notch . appear truly want enjoyable stay ( ! ) . hotel conveniently locate Angel tube stop . highly recommend establishment . stay , opportunity meet manager , impressed . thank everyone Jurys Inn Islington make visit enjoyable ! 
 May 14 2009 	 Disappointing 	 handy king cross/ St Pancras . room grubby look , top bed cover want cleaning also carpet , least good hoover . tv , tea / coffee making , bathroom OK . meal adjoining restaurant , good reasonably price , breakfast quite good . staff pleasant . Booked Superbreak , pay £ 117 B & amp ; b two people + £ 17.50 p.p upgrade DB & amp ; B , tell allowance £ 15 p.p , usually pay advance save money , warn . 
 may 5 2009 	 awful - need upgrade 	 appreciate London hotel little pricey , hotel need revamp . room date . the first room check toilet roll dirty surface . room look like not hoover . management give another room - least clean ! two minute walk tube . bar even though not busy plate glass empty table - whole place could done good clean ! ! would not stop 
 May 5 2009 	 CHEAP NASTY 	 everything Jury 's Inn Islington cheap nasty room overlook car - park really noisy , furniture outdate . the staff friendly open bottle wine friendly also location close Angel tube station 
 Apr 19 2009 	 great hotel great location 	 10 we book hotel 2 night 15th April 17th . bit confusion check midnight appear one room accidentally cancel sort reasonably quickly . room quite big double room appear double bed single bed room , surprising since hear room London generally quite small . one room family room 2 adult 2 child separate floor first night quite lot noise football supporter stay floor . next morning complain move straight away different floor much large room , complaint . hotel two minute walk near train station , bus stop right around corner quite cafe bar close location excellent . hotel bar also quite nice sit grab bite eat . overall pleased hotel would stay . ( small ) complaint breakfast bit pricey , not include rate 89 pound per room per night , since quite pleased price not really mind much breakfast cafe close instead . 
 Apr 15 2009 	 clean comfortable great location 	 room 542 presently can not complain ! idea people complain . simply decorate room , clean comfy modern . infact , bargain comfort London town . front desk staff brilliant . I wander outside hotel grab food see happen bustle high street shop , market cheap eatery . one mention , finish quaff Tortilla , kind mexican Subway . yummy cheap burritos half cost . the cinema 5 min walk , buslte shop include Karen Milen , Gap etc . the quarm , internet access £ 10 24hrs . lucky I m business work pay get back . great hotel great location . come partner pleasure point soon . 
 Apr 14 2009 	 close Parking Decor resemble old people Home ! 	 do not stay purpose London sight , close proximity Islington nice little area . nevertheless know would not parking advise parking & quot ; Nearby & quot ; [ ha ] arrival ' pop ' ask exactly ' nearby ' parking give direction ' around block ' [ ha ] two wrong turning take we length breadth Islington eventually find underground car park display sign & quot ; Full & quot ; ... great . proceed look alternative- could not find one , decide give last one try ... success . wear , stress forlorn walk way back Hotel bags- ten minute walk . something want encounter 2 hour journey London Traffic . reception staff sympathetic .. anything find little dilemma amusing .We spend night previously Copthorne Hotel Windsor £ 56 , price absolutely fantastic , include car park site , beautiful room etc . which , door Jurys lift open could not believe . walk time warp Old Peoples Home decor intend ? completely agree critique ihearttravel79 really resemble coridoor hospital prison ! ! room even bad ! - decorate 1987 ? spoil fact put extra ' put ' double bed floor next small double bed cover old primative cream blanket ... look awkward floor .I must admit I ve stay well travelodge less money can not understand hotel charge consider even really centre town . nvertheless breakfast indeed excellent make previous gripe , preparation painful walk back car ............. 
 Mar 31 2009 	 would recommend 	 first impression hotel great . good location near Angel tube , amenitie High St Islington near king X / St Pancras station ( £ 5 - 6 ) cab , also lobby area nicely furnish marble floor large chandelier . past lobby however , different story . we step lift onto corridor , immediately say reminded prison hopsital corridoe .... carpet old fashioned wall tatty tired , room door paint nasty green colour really do not look good . the room much well , bright red , old carpet greet we well room desperate need make . corner room see well day term old , shabby decor . bathroom clean , towel seem ilke year old , grey , thin hard , well quite small . it type room would like go back ' enjoy ' relax evening , want get out . have problem hairdryer keep cut second use ( overheating assume ) , wait age ' click ' could use , cut - call reception , promptly bring plug dryer ( one roomwa wire drawer ) , plug switch blew smoke hand drop floor cntinued smoking smell burn electrical ! ! great ! ! staff reception seem concerned , however new dryer room return day out . overall , great . good location , room leave lot desire especially give price cheap . Premier Inns use much well price , modern decor etc . 
 Mar 29 2009 	 Brilliant hotel - staff room first class 	 wife stay Jurys Inn Islington 2006 extra four night Trafalgar tour . could happy room service . 2007 stay two night pre extra four night post Trafalgar tour . service change could fault room . put corner room top floor lovely outlook towards London Eye . staff always pleasant nothing much trouble . location great tube bus almost outside front door . complaint breakfast morning meal Pub evening first class . last year unfortunately stay another hotel chain prior tour stay London tour disappointed hotel . we go tour August next year ( 2010 ) Trafalgar tour definatey spend another week post tour Jurys Inn Islington Trafalgar tour week London . keep good work definately look forward stay hotel next year . 
 Mar 29 2009 	 nice hotel recommend anyone 	 stay one night ( theatre package SHOW stay could find nothing complain , book two room , fine , clean comfortable . drink bar theatre show , price reasonable bar really cosy nice . would recommend anyone stay . 
 Mar 13 2009 	 Perfect value money great 	 compare staff british hotel price range , staff Jurys Inn Islington simply great ; fast , efficient , friendly helpful . would definitely stay . 
 Mar 8 2009 	 Excellent Hotel Great Location Modern Clean ! ! recommend ! 	 stay hotel 5th-7th March . visit London visit theatre see sight : - ) choose Jurys Inn Islington mostly due location . 5 minute walk Angel tube station one tube stop king Cross St Pancras perfect . local area good , sainsbury near good snack ! lot good shop like boot , starbuck , Macdonalds . little shopping area nearby . well & quot ; Angel & quot ; weatherspoon pub good cheap good quality food especially breakfast hotel much expensive ! ! staff hotel friendly helpful ! check - in quick . room be not ready arrive 1 pm able leave luggage come back later good . room modern double single bed . clean usual facility like phone , tv , hairdryer ( basic would take ! ! ! ) . bed comfy : ) shower greatttt ! ! overall good hotel would defo recommend ! : - ) go back next time visit London ! 
 Feb 10 2009 	 Standard Jurys Fare 	 standard Jurys Hotel . ' ve stay Jury 's similar rest they . large room , clean bathroom , decent air conditioning . breakfast help buffet style , food always look fresh . the bar show sport show request right channel , price would expect pay London . some room bite noisy day , go quiet night . it be ideal business leisure . the reason book 's location Islington . 's far tube station stop City . 's also handy king cross Euston Stations . Islington good part London stay plenty place eat drink decent bar find . I ' ve stay many time doubt stay future . 
 Feb 8 2009 	 4 star .... 	 stay Jury 's Islington Feb 2009 near gig go evening old school friend . book twin room , arrange meet friend town . first impression good ( nice lobby speedy check - in ) . however , thing go downhill .. room nasty musty smell , twin bed turn z - bed put - you - up ( complete grim - look pair sock frame ! ) , one set towel ... friend try check later , tell two set room key ( not ) , leave bag reception . post gig , find z bed not come bedding , wait housekeeping sort out . definately bad value money premier travel inn ( usually clean smell - free ) 
 Jan 27 2009 	 definitely go back ! 	 stay sister triple room January year January last year three night time . find hotel ideally locate , clean , comfortable perfect want . year even check room hour early problem . staff helpful . bar food gorgeous although never use restaurant . definitely go back ! 
 Jan 24 2009 	 good hotel good price ! ! 	 stay Jury 's Inn Islington one night problem .... check staff helpful , friendly , efficient job good deal customer request . room clean , spacious , tidy well serve purpose . breakfast good quality restaurant staff helpful . Business Design Centre literally 5 minute walk away perfectly position need for . would definately use hotel ! ! 
 Jan 16 2009 	 Value money 	 stay hotel twice find excellent value money , expecially city like London ( book superbreak time ) .The staff encontere pleasant efficient , room good size spotlessly clean , bathroom pretty basic job . there good choice cook continetal Breakfast buffett ( slightly haphazard though slow replenish item run ) location couple minute walk Angel Tube ten king cross plenty bar , restaurant , shop cafe close proximity 
 Dec 27 2008 	 great hotel 	 lovely hotel nice room . be expensive everything London . room lovely . not huge room normal standard big would normally get London . staff excellent . able get room hour check benefit . 's far Angel tube station 's quiet hotel . 
 Dec 7 2008 	 good service affordable price 	 room clean staff friendly . overall would say probably one good hotel London price Pound 70.00 pernight . 
 Nov 17 2008 	 weekend break 	 book week - end superbreak . hotel excellent room clean comfortable . the breakfast adequate plenty choice continental full english . we find staff pleasant helpful enjoy stay . hotel well place public transport central london . would certainly stay . 
 Nov 17 2008 	 clean hotel 	 stay Jurys fron 14th 16th November . find room clean price £ 99 2 night good . check inn do not find female receptionint friendly speak 3 male receptionist find nice professional . problem shower report sort straight away . bar clean staff friendly chatty wait 15 minute order food go elsewhere . would recommend basic accomodation planning go shopping 
 Nov 17 2008 	 Nice Hotel shame poor service 	 nice clean Hotel friendly staff . ask quiet room get one back Hotel , albeit overlook big pile bin bag place staff stand around smoke . the plug hand basin one metal one integrate plug hole annoyingly keep getting stick solid . hotel handyman free get stick five minute leave . end use bath wash hand ! last day room not clean . leave room go shop 10.00am say good morning chamber maid leave . return 4.00pm find chamber maid greet leave not service room ! call reception ask room service . reception call back say & quot ; disturb & quot ; sign door room not service . point correct insist room clean offer another room ! persist room clean , apologetic housekeeper turn clean sort room . decide go hotel bar drink room clean . the bar empty apart family enjoy fish chip . empty glass bar table . bar staff sight . wait wait , pop head around door despite three staff reception enjoy social chit chat handyman , one seem want come serve we . gave sit reception waiting room clean . so want clean basic Hotel poor service go , want Hotel make feel welcome go somewhere else ! 
 Nov 14 2008 	 handy pleasant hotel London 	 although next busy road quiet place request room back good idea even quieter ! spacious accommodation double room table chair . nice public area good restuarant area breakfast . adequate continetal breakfast although husband like coffee . & quot ; pub & quot ; food good , rather bland long wait simple dish fish chip ! walk road get 73 bus king Cross Euston , arrive every minute drop back hotel return journey . handy restaurant general travel London . free wi fi cheap internet cafe road . 
 Nov 14 2008 	 say tin .. 	 stay Jury 's inn night November , business , normal hotel fully book . Front desk service polite , excellent efficient . in general exactly expect - normal standard 3 * hotel room , basic ensuite tea coffee facility . want base without luxury frill , place you . the complaint noise air - con system use heat room switch want sleep . eat attach pub night , food fine , typical pub fayre overprice context capital . handy tube station ( Angel ) road equal distance Euston / King Cross City leave perfectly place requirement . all would recommend suitable trip short business / leisure trip concerned frill ! 
 Oct 31 2008 	 room overlook office worker ! 	 Booked Superbreak - expect Jurys bog standard , ensuite , tv kettle type room , want . clean tidy usual thing supply . the breakfast buffet style , continental cook choose , although odd arrangement token give cook breakfast give back man issue - sure point ? anyway food good plenty it . only real problem room cold air conditioning unit complicated work - lot symbol proper instruction encourage heat rather freeze air blast room . towel bit scratchy sink crack - could live that . what really shock morning open curtain ( arrive night - curtain already closed ) directly opposite huge glass front office - people face look ! net curtain room absolutly privacy . luckily wear clothe ! ! must room back build idea face ? would return room front building . 
 Oct 28 2008 	 clean quiet hotel 	 stay one night impressed . 2 minute walk Angel tube station . room quiet side hotel ( overlook office car park ) clean offer everything need . bed really comfortable , shower first class breakfast good quality good value money . overall good value hotel would highly recommend . 
 Oct 27 2008 	 highly reccomended 	 great deal London , would go .. 
 Oct 7 2008 	 great 	 great hotel . clean . close Angel tube . good Breakfast . recommend especially reasonable price . 
 Oct 5 2008 	 Nice Hotel 	 know go get Jurys Hotel one good . the hotel clean , decent location less 5 min walk Angel tube 10 min walk king Cross . you get Central London 10/15 min tube . the room good , usual Jurys standard . price usually good get deal , always possible . book hotelconnect.co.uk . the breakfast selection also good , book continental breakfast include , get full hot breakfast additional 2.50 , good . not want eat hotel , lot place locally eat drink . I would encourage anybody stay , adequate London hotel . 
 Sep 24 2008 	 Excellent value get deal 	 get great deal otel.com 20 pound cheap per night price jury 's inn website . price great value money . large size room London full size ensuite bath . Continental Breakfast include fine , cheap upgrade cook breakfast require . location great , far angel tube . plenty bus also direction . for price pay great value - pay much less King 's Cross . staff helpful room spotless day . 
 Sep 17 2008 	 exactly want 	 travel London July year girl weekend shop , see show touristy stuff . we get good deal triple room Jurys please find reasonably spacious , comfy bed good powerful shower - must - have 3 girl holiday together ! ! hotel nice leafy area city close tube station , Angel , minute walk away . also nice bar next door roof terrace . we not breakfast hotel want explore nearby cafe . the reception staff helpful bar staff . I would recommend hotel would easy get rip London place strike balance cost comfort . 
 Sep 15 2008 	 Visiting Capital 	 stay hotel 2 night August . hotel good location 10 minute walk king Cross Station . room fresh , spacious , well equip clean . hotel nice quiet . breakfast buffet food nice plenty . rate ticket service breakfast make feel impersonal . would prefer traditional table service rather buffet price complain ! overall pleasant stay Jurys Inn consider stay one hotel go city break . 
 Aug 25 2008 	 Fab Hotel Fab Staff Fab Location Stay ! ! ! ! 	 dear , please do not put comment , return 2 night break hotel , say totally happy stay beginnng endwe arrive saturday approx 12 noon , check quick efficient , greet amit reception desk , book husband 2 night friend 1 night , arrive early checkin 2 pm , ask could room time 12 pm , firstly tell room available , yes could room time , really please we go matinee perfomance dirty dancing need freshen , 2nd floor , room lovely , spacious , clean , air con blessing , bed clean fresh , towel clean bed comfy ! ! staff pleasant anything help , location brill min walk angel tube , feel .safe locationthe downside would say cost breakfast £ 9.95 ea normally would not pay , hey ho London ! think include breakfast like xpress hol inn never mind really enjoyed cook can not complain reallyall great hotel great location would not hesitate return jurys islington , infact hotel would stay London ! ! ! well do Jurys ! : - ) back ! Dawn Webb , Yorkshire 
