great 	 Location ideal , right Old Town close great street restuarant , museum . hotel old well keep . suite small view brick wall , get bargain deal . would come , much character modern hotel near McGill . 
 Aug 6 2009 	 pleasantly surprised 	 far good Springhill Suites ever stay . 's much look outside -- look like old warehouse small sign . location wonderful . two teenage daughter we . we really enjoy stay old Montreal . inside , room quite nice . girl enjoy free internet . think breakfast good . ( egg , meat , hash brown , waffle station , pastry , muffin , bagle , cereal , yogurt , fruit , etc ... get crowd always find seat . would recommend go later . say end 9:30 , People still eat 10 . Auberge St. Germaine , connect back hotel , cool restaurant . expensive , nice terrace drink . daughter enjoy shop St. Catherines . not really thrilled shopping St. Denis . rent bike port go along canal . fun . also enjoy view top Mont Royal . ( recommend drive ) 
 Aug 4 2009 	 pleased ... 	 stay SpringHill Suites past weekend . although location fantastic , pleased service . room defective air conditioning unit ( central air room ) become hot air turn low noisy turn high . also , pay cash room take credit card incidental . still hold card full value complete stay still release . aggravate travel . 
 Jul 31 2009 	 location service accomodation beat ! 	 stay Springhill Suites last week must say meet family 's expectation ! room clean , modern spacious hotel middle major city . front desk personnel know much local eatery helpful could ( also true work nearby souvenir shop ) ! continental breakfast always well stock offer variety food choose . room remodel clean . one step lobby put middle wonderful historic town . downfall : remember get everything car valet park ( although accessing car difficult ) . breakfast area could become crowded certain time . air - conditioning system waayy loud ! still wonderful stay ! 
 Jul 23 2009 	 Nice hotel fantastic location 	 hotel locate heart Old Montreal great . stay definitely right want close everything Old Montreal . room nice . breakfast free ok though busy therefore really pleasant eat . 
 Jul 17 2009 	 Excellent position 	 hotel little tricky find cell call city give good direction . room spacious seperate living / kitchen - office / sleeping area share balcony . however noisy due nearby construction venting fan . the breakfast like football game - little space , horrible scratch plaes plastic cutlery . food uninspire staff quite surly . good pure tourist never montreal little far shop . also lot resteraunt charge ' tourist ' price . probably would stay . 
 Jun 30 2009 	 thank find return baby 's ' blankie ' ! 	 stay Place D'Arme first night Old Montreal HAPPY move close port family friendly hotel . suite clean love opening window hearing seagull morning ! importantly , panic leave behind baby 's ' blankie ' . thinking would sneakily find replacement , chambermaid find Guillame front desk Fed Ex have ! make we grateful . the location can not beat , crepe rental bike front door ! enjoy la belle province ! 
 Jun 25 2009 	 great Stay Historic Montreal 	 travel site advise miss Rue St. Paul area Montreal , find new hotel area , book . happy choice ! hotel appear new , learn recently completely remodel . lovely . bed pillow wonderful . 3 college kid we plenty room 5 we . lot mirror - two sink nice bathroom make get ready morning go well . complimentary breakfast standard fare bonus item throw - hard boil egg hot oatmeal . lot dining option around ... stay open late . beautiful restaurant attach hotel , pricey . parking garage next door . easy walk Notre Dame . subway pretty close well . hotel staff business professional , not go way engage , friendly suggest tourist info . hotel tricky find ... garmin really struggle get we ! 's kind alley , not feel unsafe . great stay would go back . 
 Jun 15 2009 	 good choice right heart old town 	 Springhill Suites not look much outside , room big well - appoint . view , within second walk be heart quaint old Montreal . breakfast great although not try , waffle seem big hit . see another reviewer say not visit Montreal be diet . boy , case ! ' ve never see concentration restaurant one town -- food fantastic ! 
 Jun 8 2009 	 great find ! 	 unclaimed jewel middle Old Montreal . walk small side street Rue Notre Dame wife get second thought . say .... & quot ; liking & quot ; . well , admit wrong enter hide away crowd hotel relax smile enter recently re - do foyer . room , small clean well stock towel . hide - a - bed couch well work station free internet ! ! yeah ! ! ! ! ! mini fridge microwave well . pool hot tub also small , not swim . hotel perfectly locate literally minute almost anything want see old town . try many restaurant inexpensive expensive say hotel , part Mariott chain always top list . room rate reasonable well . , great find ! 
 Jun 8 2009 	 Gem Old Montreal 	 get back spend 4 night Springhill Suites Old Montreal . little hidden gem perfect location enjoy Montreal , also happen good Springhill Suite stay far ( stay number ) . room reserve ( standard w / king bed ) ready arrive ' upgrade ' high floor similar sized room balcony overlook front entrance . room spacious enough 3 guest stay comfortably . always , Springhill Suites provide small refrigerator microwave room , convenient revisit item could not possible finish one many fine restaurant ( later ) . two room separate common wall flat screen tv face room . room air conditioning / heating unit . wire internet connection large work desk free , connect seamlessly . also two walk - up internet station printer business center available courtesy guest . complimentary breakfast mezzanine level popular guest , offer full selection beverage , sausage / ham egg , belgian waffle , assortment breakfast danish roll . self - service , staff duty attentive . hotel staff front lobby courteous attentive well , speak English well French . provide excellent walk map local surround area . the hotel entrance Rue Ste - Jean - Baptiste -- narrow street ( almost alley ) lot street repair open trench , well access ( car foot ) short connector Rue Le Royer Boul . St. Laurent . leave car adjoining parking garage 4 day never miss . hotel within walk Metro distance almost major tourist attraction . Vieux Montreal ( old town ) , convention center , Chinatown , downtown within safe 15 min . walk day night . near Metro stop Saint - Laurent , 10 - min . walk north . literally hundred restaurant within 10 - min . walk hotel within Old Town across Chinatown . advise good visit diet -- culinary experience one highlight city miss ! take 20 - min . tour Basilica Notre Dame , one large cathedral North America . multimedia show evening bit letdown perhaps expectation base . one unique thing Montreal number pay - as - you - go bicycle rental station ( Bixi.com ) city . easy rent bicycle credit card , first 30 min . usage ' free ' ( although ' access fee ' ) , return bicycle station within city . rent couple bike ride waterfront along Old Port blast ! another highlight take Metro Olympic Stadium park visit Biodome . wonder science kid , age . sure bring camera -- zoo , aquarium , aviary , botanical garden one roof . all , excellent hotel charming city visit .... little slice France North America . definitely plan return one day . 
 Jun 6 2009 	 hide secret heart old town 	 wife stay one nite see Cirque du Soliel performance old port . fantastic choice ! ! ! hotel hide side street Rue St. Paul Old Montreal . walk almost everwhere .... ! convenient sight attraction Montreal ... staff accomodate go way attain dinner reservation nearby restaurant we . although room bit compact ; amenetie could need . imagine old port weekend nite may bit noisy ; confortable , quiet nite 's sleep . breakfast buffet plentiful two people work make sure enough food buffet everyone . would definitely stay .... even well full service Marriott downtown Montreal . 
 May 11 2009 	 Montreal Mothers Day Holiday 	 go Spring Hill past Mothers Day weekend . weather rather crummy , stay Marriott enjoyable . the Room room huge . parent , sister bed double ( slightly small queen ) still enough space . think large sofa pull could sleep , really need . however charge $ 30 extra dollar per ( extra two ) people per night . room clean , towel ample ( ask 4 ) big screen plasma tv substantial amount english channel . many amenity include work fridge , microwave , coffee peculator coffee provide well iron board . heater work could open window . clean comfortable . food complimentary continental breakfast great ! doubt mind . Eggs , muffin , cereal ( hot cold ) waffle , toast , sweet bread hashbrown . plentifull enjoyable . could take room eat restaurant style mezanin . a+parking parking $ 20 night . well worth . parking lot across street look sketchy hearing theft issue decide park underground parking . well worth . able take car parking guy nice . location location great . tuck away middle old Montreal essentially walk anywhere hotel . countless eclectic french restaurant area well many familiar chain fast food place . McDonald 's Tim Horton right around corner . withe 2 minute walking distance water pretty much every local attraction . Language Barrier not even worry . everyone seem bilingual happy accommodate . flaw disappoint hotel wireless internet connection iTouch . though hotel great little business room computer , fax , internet etc . also room connection bring laptop . gym advertise gym site . 's picture . hopeful . get see really great shot fully equip gym treadmill , elliptical machine , free weight machine . get looked really run . elliptical horrid tred look like well day . go equipment . really look nothing like picture . great disappointment hotel . also , pool dingy . look really bad . hot tub well - gross . really enjoy ! would go . 
 May 2 2009 	 great place get rest 	 even be hide , 's wonderful place stay . buffet breakfast practically everything could think , staff friendly location great . there numerous restaurant nearby satisfy every traveler 's taste , pub patio fast food high end steakhouse . subway station roughly 5 minute walk away too . the value wonderful kitchenette , fitness centre , high speed internet , pool top breakfast , be much one could ask . 
 Apr 28 2009 	 great find Old Montreal 	 hotel great find . superb location Old Montreal within easy walk Cirque du Soleil , subway , chinatown tourist destination . suite plenty large 4 we . bring cot free , not pay crazy $ 30 surcharge second adult . indoor pool small nice kid , bike path Old Montreal step away . parking easy moderately price large city standard . breakfast good thing like waffle . noisy group teenager school trip party next door , one call front desk resolve issue . 
 Feb 20 2009 	 Outstanding service 	 stay hotel weekend February 13th . travel arrangement change last minute end arrive 3 hrs early request check 11 am . call around 4 am inquire early check already request early check . clerk could guarantee ask we inquire upon arrival room available . unknown we get , clerk already notify clerk next shift room ready arrive . feel beyond whoever night auditor early morning hour Feb13 , thank much . service amazing . hotel , complaint . terrific stay . 
 Feb 13 2009 	 absolutely fabulous ! ! 	 stay 5 night conference February . choose hotel great review TA proximity conference centre Old Montreal . little worried taxi driver airport hear road ' . turn out- ' one- fact one taxi driver know , check directions- take hotel address ! ' narrow one - way road lead old port , 1 2 block away Notre Dame Cathedral . I absolutely delight every aspect hotel fault way . see 4 - 5 reception staff stay pleasant extremely helpful booking taxi , transportation shopping sight , restaurant recommendation , etc . ' huge plus hotel too- proximity many fantastic restaurant . my suite spacious desk chair , sofa , armchair coffee table small kitchen area ( fridge , microwave , kettle sink ) lead onto king - size bed side wash area separate toilet shower bath . there plenty choice breakfast – love waffle - maker ! hotel also business centre desktop printer enter time room key- handy checking on - line print boarding pass . ' also adjoin spa offer discount ' stay hotel time book . body wrap treatment massage face cleanser absolutely heavenly ! ask Tatiana ! ! massage get taxi head airport- feel great- till get airport ! ! ' moan Montreal airport- ' print boarding pass , hand luggage end queue 1.5 hour million people get security . airport deal international travel- ' might expect see develop country- expect ' never see develop country airport badly - organise . allow plenty time ! ! ! 
 Jan 28 2009 	 superb location good hotel 	 Excellent location . hotel convenient , room big ( upgrade suite 2 double bed 2 adult ... ) . pool old though ... business centre free internet good . breakfast ok . staff friendly certainly helpful . parking charge promptly remove tell use free outside parking space ( rent car mind -20C / 5F : p ) . 
 Oct 16 2008 	 Good Value 	 stay Aug 2008 . want make Old Montreal centerpiece Montreal stay , place perfectly situate . Exterior blend locally , interior american style , new & amp ; good quality , well sound - proof . think front desk staff acceptable exceptional , verbal exchange get confusing ( language barrier ) . ultimately , hotel well - run high quality . supposedly & quot ; old inn North America - 1754 & quot ; connect hotel lobby . walked look old stately , opportunity eat . parking garage connect hotel , issue unlike unfortunate poster . room clean , appoint expect class hotel . little drawer space would nice , big issue . the problem hotel buffet breakfast . whole week , try variety day . , summer , base crowded lobby hallway appear , hotel seem 50 % occupy . yet , time try utilize breakfast buffet , jammed . egg go empty , take replacement food bring . , despite extra cost , opt eat out . eat breakfast american - style Old Montreal present challenge . breakfast place simply croissant , fruit like . whole Old Montreal , find three place offer american - style breakfast . nice place Le Saint Sulpice hotel , block away . two nearby , well , diner quality . when , conveniently heart Old Montreal , street busy . Old Port , church museum destination block direction . cool thing rent Segways . segway rental place Old Port , last pier north end port . also long firework festival every summer . , go pier area north end Old Port afford good view . for dining , number & quot ; historical & quot ; place besides place hotel lobby one eat , Gibby 's Restaurant Place St - Paul . strangely , wife think every glass wine drink poor quality . thought would awash high quality french wine , either canadian taste wine non - existent , french ship low - quality product . touristy area , food somewhat overprice , fair amount good - quality place find . one thing look Old Montreal complete lack bank atm . plenty fly - by - night ATMs , bank ATMs - zero . luck would , bank debit card finicky function cheap atm , venture Old Montreal , cash real atm.bottom line : overall , hotel good value , good location , get least expect , . 
 Sep 29 2008 	 Center Old Montreal 	 love SpringHill Suites Old Montreal hotel one nice Marriotts stay . 2 bedroom suite roomy enough three we . room clean bed comfortable . breakfast miss good & quot ; free & quot ; breakfast recall hotel . business center like lounge 2 computer . parking valet efficient responsive car always wait we need . SpringHill center Old Montreal shop , art gallery restaurant easy stroll away . Jacques - Cartier Place ony block one direction Notre - Dame Basilica block direction . eat , would highly recommend nearby Chez Suzette ( crepe , fondue , soup , etc . ) , Jardin Nelson ( music , open air courtyard ) . Maple Delights shop evrythe 's name suggest ! wonderful time help celebrate daughter 's 21st Birthday ! 
 Sep 12 2008 	 great find ! 	 not expect much except clean room good location . think location great - Old Montreal right . walk right hotel many restaurant , shop , & amp ; bar within 10 minute walk . Notra Dame Basillica short walk away along Metro . staff friendly helpful getting around town , Metro , sight see , & amp ; drive direction . morning breakfast thought would hot egg , waffle , yogurt , fruit , bagel , cereal good coffee . drawback get crowded weekend may wait table . take tray option bring back room . pool & amp ; hot tub small , little disappointing fitness room also small treadmill , cross trainer weight . drive keep eye peel street . 's tiny street Rue Notre Dame & amp ; block past Rue St Laurant . look like alley way . miss twice . street sign building . studio king suite . expect . bed comfortable . bathroom sizeable vanity sink separate , great 2 people stay . tv swivel could turn face bed sofa . desk near kitchenette , sink , mini - fridge , microwave . perfect store snack drink . not mind relax room , comfortable enjoy much . also offer AAA discount . 
 Sep 7 2008 	 average Springhill Suite 	 stay three night first week September vacation . seem like european boutique hotel low end Marriott . staff helpful friendly , hotel room clean , breakfast good location excellent . would certainly go back . 
 Sep 5 2008 	 horrible experience ! beware ` ` secure '' parking ! 	 stay SpringHill Suites Marriott Old Montreal fair first . hotel nothing spectacular centrally locate . pool small even complete one lap , room say fit 3 individual small even 2 . trip take nose dive park car & quot ; secure & quot ; parking garage next door - Seville Parking . checking go pick car notice huge dent front fender yellow paint wheel side car . confront attendant deny responsibility provide business card Leo Garlick , garage director . live New York , check Sunday , possibility discuss incident director person . call NY next day , leave several message garage , finally contact cell phone ! garage hotel claim responsibility accident . yet , hotel one process charge garage . ask garage director record car move garage still receive documentation . discuss hotel manager , Christine Marchand , situation rudely brush say would talk tot parking garage director get back . never call back . Marriott Seville Parking employee unresponsive extremely unhelpful . would recommend either anyone . 
 Aug 25 2008 	 great stay Great Location ! 	 hotel great location Old Montreal within easy walk distance Metro , Old Port , Place Jacque - Cartier , La Basilica Notre - Dame great restaurant . 4 kid ( age 10 - 15 ) love stay Montreal . lobby clean update , bi - lingual hotel staff friendly accomodate , suite clean comfortable . small & quot ; kitchen & quot ; area w/ sink , fridge microwave huge plus family . one small negative pull sofa look like would pull double bed , one person could sleep comfortably . indoor pool small . breakfast buffet good well stock could get busy difficult time get seating provide carry container disposable utensil make convienient carry back room . overall , great stay would highly recommend ! 
 Aug 15 2008 	 enjoy Stay 	 want hotel Old Montreal reasonably price . check TripAdvisor base favorable review recommendation , book stay three night . location excellent even though hotel hide side street , interior update nice clean . breakfast buffet good well include price . staff bilingual attempt answer question good ability . parking right next door staff efficient . take car 2 time day - problem . housekeeping service great . stay hotel definitely add enjoyment city . 
 Aug 13 2008 	 Good Choice 	 book room Marriott happy choice several perspective . location good respect nearby site , proximity subway ( 5 - 10 minute walk ) necessary choice restaurant -- abundant vicinity . the staff friendly helpful . room , overly large , comfortable , quiet clean . family 3 feel particularly cramp . breakfast considerable , include cost room . internet access easy two free computer available Business Center exercise room appreciate , though rather small . overall , regret would stay . 
 Jul 29 2008 	 Great Hotel heart Old Montreal 	 stay 3 night July . want stay Old Montreal pick hotel base Tripadvisor review . location excellent ; could walk everything : shop , restaruant , Notre Dame , waterfront . talk Grayline double decker bus tour Baton Mouche 60 minute boat ride . walk everywhere else . the front desk staff helpful answer question provide recommendation map . waffle maker hotel breakfast popular item morning addition full continental breakfast item offer . there also small indoor pool gym site . would defininitely stay . 
 Jul 27 2008 	 Great Location 	 hotel wonderful location Old Montreal . 10 block IGA supermarket , suggest go first buy food keep fridge hotel . food expensive . $ 17 2 meal Mcdonalds 4 block away . subway also 4 block away . call large Dominos pie $ 20 . take 30 minute horse buggy ride $ 45 . do not think worth . driver take we path walk around ! make sure ask scenic route . Metro around 10 block away . Bkft hotel waffle , bagel , pastry , cereal , muffin , fruit orange . take Bateau Mouche boatride enjoy . 60min ride instead 90min . serve drink snack , little pricey . take train olympic park . interesting would recommend athlete family . even go swim small charge pool use Montreal Olympics ! movie theatre alongside park want spend extra time shopping ! hotel staff polite helpful , even order Dominos ! Umbrellas avl rain . internet work great . charge 800 number room . problem loud a / c . one indoor / outdoor one even shut , hear neighbor . do not need car get around . taxis $ 35 arpt hotel order one need . 
 Jun 17 2008 	 Great Location go back 	 great convenient hotel . like boutique hotel Marriott . efficient , friendly , knowledgeable , bilingual front desk clerk . suite 3 adult - $ 200 . full breakfast serve . Room micro , fridge , coffee pot , iron board , iron , tv , clock / radio , sit area , dining table , sofa ( sofa bed ? ? ) . room clean , bed comfortable . quiet room . comfortable lobby nice reading people watch . there garage valet parking , inquire pricing . convenient many activity sight . Basilica 5 block , archeology museum 5 block , gallery shop around corner . many eatery pub area . flat rate taxi fare airport $ 35 - check front desk schedule . shuttle airport $ 15 per person . close cruise pier , could walk , probably easy take taxi . 
 Jun 2 2008 	 Decent staff helpful tourist 	 staff helpful tourist . felt like bother ask map insider travel tip beyond generic tourist spot . be early 30 's look boutique shop , cool live music spot , hotel staff helpful . maybe be seem guest 65 yrs old . our suite decent , generic decoration . want something special w/ charm , check boutique hotel nearby spend little money . room pool ( like large bathtub ) . clean , large room . minifridge . room door patio enclose wall , seem nice first little scary security since one window unlock check in . Dislikes - 1 . window not drape cover whole window , good thing not sunny would not able sleep in.2 . staff helpful tourist look beat path info . like - 1 . waffle maker continental breakfast2 . Valet easy3 . CarsEatFree promotion , free valet parking $ 25 gas gift card per night ( gas card could use petrol canada gas station though , hotel give we direction wrong gas station checkout - good thing GPS help we find right gas station chain ! ) 4 . location good touristy museum old montreal , next time may stay near downtown area close nightlife ... near little portugal part town st . laurent hip funky boutique SOHO - NYC style neighborhood . 
 May 21 2008 	 great stay we ! 	 stay five night early May happy hotel . room large two people well lay , impeccably clean , extremely comfortable , location perfect . come train , taxi hotel cost $ 10 include tip , Metro block away . Personnel every level helpful polite . pool hot tub small , not trouble find time use one else . breakfast plentiful ; attendant re - stock constantly , although hot selection mostly day . ( eat restaurant affiliated hotel meal . ) complaint would make -- something hotel control -- freight train run close waterfront , several block away . come 6 couple morning rather startling , especially realize . otherwise , even though & quot ; first & quot ; floor ( street level ) , front building , right near elevator , floor pool , aware noise issue . would definitely recommend hotel happily stay . 
 Apr 29 2008 	 complaint 	 stay Marriott SpringHill Suites 5 night satisfied . room spacious clean . although tight , enough room two double bed , open sofa bed roll away bed . bathroom also large . room include microwave , mini - fridge kitchen sink , clean . first night roll away bed uncomfortable replacement much well . our bathtub back first night , quickly repair call front desk . internet access fast ethernet . WiFi available breakfast area , reliable . also business center two computer printer . the fitness center small include treadmill , elliptical machine , bench dumbbell 25 lbs . pool clean small shallow . 's design also bit unappeale . breakfast impressive . include waffle maker , egg dish , hash brown , bagel , bread , muffin , variety pastry , cereal yogurt . coffee juice also available . chance try egg good . breakfast available 9:30 week slightly later weekend . the front desk nice helpful . request quickly act upon . also helpful give direction attraction . the hotel good location . 2 block away waterfront park right heart Old Montreal . bar , shop restaurant right street . complaint location proximity Metro , 15 minute walk away . wish hotel provide shuttle . small issue housekeeping staff . approach one maid hallway ask extra towel . ask room obnoxiously joke extra charge tell many people staying room . hotel fully aware number people stay room fact charge extra towel . appreciate . check , noticed left camera battery charger room . call hotel promise mail item . tell would charge long shipping cost $ 10 , otherwise would pay . receive package yet , early expect . 
 Apr 4 2008 	 wonderful experience MontreaL - go back ... 	 wife 2 night Springhill Suites Hotel Old Montreal school raffle . since live Maryland , not really see 2 free night big deal - get cheap airfare internet ... SpringHill Suites ( Marriott ) non - smoking hotel , locate small side street around corner Cathedral de Notre Dame Old Montreal . hundred foot street hotel door cobble stone street Rue St. Paul . take direct taxi Int ' l airport ( YUL ) downtown trip fix $ 35.we room 501 , & quot ; deluxe & quot ; suite corner room . 2 we spacious . previous review good job describe various amenity ; large bathroom , microwave , fridge , etc . front desk staff friendly helpful . speak French & amp ; English interchangeably . breakfast step Hampton Inn fare . wafflemaker fresh batter , always one hot quiche ( egg ) dish , sausage , large variety upscale muffin , bagel , pastry . hundred room hotel , lot seating , 10:00am Sunday , place pack ... lunch La Marche de LaVillette , several block Rue St. Paul . stereotypical & quot ; French Bistro & quot ; food great - recommend ham & amp ; cheese crepe - great place overall . dinner Pub St. Paul - hamburger fine , beer fresh , old pub atmosphere nice , underwhelmed . since hotel Old Montreal , Rue de St. Catherine shopping area 10 minute walk , armed guidebook ( Fodor 's ) map take . last Saturday temperature 32 fahrenheit , wind chill put temp way teen . blast explore various part Underground City - block block , fascinating ... Sunday , buy all - day Touriste Metro card $ 9 explore part city ( include casino ) much far away . got way Rue St. Denis go Scwartz 's Deli & quot ; Smoked Meat & quot ; sandwich ( medium fat ) . 's pastrami - really something else entirely - miss ! share table 3 & quot ; sixty - something & quot ; french canadian lady speak french English equal aplomb - & quot ; eh ? & quot ; overall , - not pay room , nice suite understand rate reasonable . go back Montreal , would definitely stay , even pay time ! 
 Mar 4 2008 	 really pleasant stay 	 extra Marriott point instead head south February break head north Montreal . end pay one three night stay Springhill , would stay base nice stay . use google map find come u .. S. map dead . be little , narrow street , drivethrough entrance hook leave . park entrance , take bag check w / in 5 minute . nice , efficient front desk answer question stay remarkably well . speak french english great w/ restaurant selection . room big , huge suite one kid stay pullout couch every night . bathroom large unremarkable . room always clean , maid respond well couple extra need shower hot . pool hot tub small ( clean ) manageable people . workout room tiny well . room overlook narrow street hear wake evey night drunk two , constant stream car people . breakfast good , great although selection good . serve 3 hour , find crowd 3 time eat able use take container every day cranky teenager sleep every day . terrific restaurant w / in walking distance . favorite far ( open 8 - 5 , dinner ) cafe / bistro Marche de LaVillette funniest french waiter , atmosphere terrific , music loud make place fun , casual really great family look respite cold even make teenager eat salad laugh ( drag away friend home . ) walk underground shop several downtown area take 10 - 15 minute . checkout great . parking garage bring car finally approach stand outside say car battery dead . be Suburban w/o problem last 5 year must kill somehow lot negotiation , able jumpstart . $ 24 per day , underwhelme . Springhill provide really pleasant experience locale Old Montreal unbeatable . Loved Marche de LaVillette ( 4 block away St. Paul street ) would eat every day fun laugh . 
 Jan 25 2008 	 Galleries 	 love location Old Montreal . gallery , museum Science Museum within short walk hotel . Rue St - Paul many gallery browse several cafés nearby try croissant . hotel great facility gear towards business traveler . nonetheless , family enjoy pool , hot tub delicious breakfast buffet . babysitting need reserve 5 hour inadvance front desk . 
 Jan 23 2008 	 Little Gem Old Montreal 	 excellent property , well full Service Marriotts ' ve stay . location supberb lot restaurant minute hotel . room large clean , staff friendly helpful - great value money . 
