nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Oct 17 2009 	 fantastic place stay 	 Stayed Novotel 10th 15th October daughter two friend . although NY many time find hotel excellent value . like big city especially NY room small although occasion pleasantly surprise size room . fault hotel except ask wifi password use iphone tell would $ 10 per day . return Barbados password free although hotel 2 computer could use . location excellent breakfast . room clean view window excellent . back definitely stay hotel . 
 Oct 16 2009 	 great location 	 return rom six night stay hotel . would agree previous report decor bit tired location make . 2 teenage kid room tight manage fine- day case . breakfast great value kid 16 cos not pay good selection choose . arrive noon able go straight room . ian reception lovely give we good tip . would definately stay again . we would recommend Juniors 45th 8th broadway snack massive bit cheesecake ( big choice ) go early go lunch cos really popular local . also go Ellens Diner Saturday night . line get huge although entertainment good , food terrible none we eat meal . save grace son milkshake . go , prepare throw money regularly night bucket well pay 18 % service charge add bill . 
 Oct 16 2009 	 central clean comfy perferct see sight NY 	 book Novotel New York trip boyfriend 30th birthday , read review Tripadvisor booking know central Times Square . hotel exactly want , ie ; clean room base see New York , staff always helpful pleasant attentive hold ever check school party 30 odd kid . couple place mention eating find previous review helpful going ; stage delhi breakfast 2 block Novotel , Stardust Diner Times Square staff brilliant possibly future star Broadway , also go Rosie Gradys pub lunch whoch lovely also Jack Dempseys Empire State Building . Novotel exactly need planning sightsee , hardly room much see wer everything need inc hairdryer , iron ironing board etc . thing like hotel failure pass message gift request friend family whilst find return friend tell we rude hotel staff . 
 Oct 14 2009 	 Location say 	 3rd - 10th October 2009 ! check nice smooth ! problem room straight away bed not fix properly , matress bed base not wooden box , house keeping come fix . spend 30 min put back together 1st not feel safe sleeping ! ! ! room size ok 4 people room think would pretty crowd plus would not enough storage space put clothe two we ok ! ! bath room bite small clean . need freshen fine we ! ! wicked place eat boardway call Ellen Stardust Diner , buzz singer dancer trying get onto fame ! cheap . get energy sing day night ask say vocal muscle get strong ! another nice place eat Olive Gardens Time Square . Rosie O'Grady nice also get way much food ! ! enough two ! tube alot rail work go moment weekend ! Definitive worth get day pass like we 7 day pass cost $ 2.25 per trip otherwise ! never get head around network system . like shop international visitor take passport Macys Bloomingdales get 10 % plus tax free ! Top Rock cool especially twilight ! Empire State think short line till go around another corner worth wait ! ! go World Trade Center Tribute Tour give insight regard 9/11 ever know often survivor tour ! ! stay hotel ! 
 Oct 14 2009 	 fabulous location - service variable ! 	 stay 3 night - room 29th floor - big enough clean . ny sight see literally hotel room sleep . majority staff front desk helpful - dismissive generally ok . view bar / restaurant great - do not eat hotel - hugely expensive . irish coffee bar night poor quality expensive . good deli road breakfast . doorman really helpful info decent local cafe etc . tea coffee facility room shame especially first thing . overall though location alone would return step door everything need right front . brilliant first visit NY 
 Oct 14 2009 	 great location sadly shabbiest Novotel stay . 	 Location great . arrive 930am expect drop bag , immediately give room . 15hr flight , much appreciate ! Requested get Times Sq view , wow ! staff good , nice bar , useful free internet accessusual retractable clothe line bath = good . anchor point instal upside line drop laden = not good . tea / coffee make facility room disappoint Novetel . room corridor tired , almost shabby . overdue refurbishment standard great lobby . 
 Oct 11 2009 	 great stay great location first time NYC visitor 	 stay 11 night Novotel Times Square New York City , room 30th floor view toward Times Square . room clean spacious , Cafe Nicole great place start day breakfast , although ton alternative choice local deli within minute hotel . hotel outdoor terrace real plus drink sit take view . criticism would staff reception desk could little helpful , free wifi , overall pleasant experience . 
 oct 9 2009 	 Excellent location - perfect Times Square experience ! 	 since first time New York not sure stay . end perfect location enjoy Times Square offer . room fancy clean . lobby nice restaurant bar not chance try since try go see much New York possible . always seem busy think good sign . would definitely stay return New York . 
 oct 9 2009 	 great location 	 know trip advisor map hotel close time square do not realise close , view room hotel balcony amazing especially night ! room spacious clean daily . problem whatsoever lift rude staff . eat hotel last evening , truthfully unimpressed overprice apart would stay heartbeat recommend 
 Oct 8 2009 	 Great Location 	 Midtown excellent location . research hotel area find Novotel good feature price . arrive hotel 10 Friday , fully expect leave bag check - in time . however , allow check , also receive upgrade high floor Times Square view . front desk personnel great . eat site , drink bar . little pricey opinion ; draft beer $ 7.00 mixed drink $ 13.00 . lounge nice , outside terrace lovely . location wonderful ! 10 minute walk north Central Park , five minute walk south Times Square . Felt completey safe street hour . dining , try Hells Kitchen area 9th Avenue & quot ; Resturant Row & quot ; 46th Street . avoid franchise place Times Square since eat establishment back home . 
 Oct 8 2009 	 LOCATION LOCATION LOCATION ! ! ! 	 travel DC NYC teenage son . Novotel Hotel centrally locate heart Times Square . waste time get destination . theater , restaurant , shop tour bus stop within second front door . room attractive , clean great view . would recommend traveler . Teenager love revolving front doo ! ! ! 
 Oct 8 2009 	 Excellent 	 go July 2009 . really friendly hotel help we get back airport help we stay knowledge NYC . get expect . location brilliant lovely view times square balcony . really happy stay would go heartbeat . 
 Oct 7 2009 	 great location trendy room excellent bar staff 	 stay Novotel partner friend . partner first trip Big Apple warn room normally quite compact . however , pleasantly surprised . give special access room recently update amazing wet room really comfy bed . creak neck window , could even see Times Square . the hotel bar quite expensive great staff ( thank Gerard Heather ) . terrace overlook Times Square amazing setting ( biased partner propose ) , although bit windy sit outside ! ! ! check brief curtious . concierge helpful although not tell that s $ 1 leave bag bellman waie round flight ! want cheap brekkie turn leave come hotel head Cosmic Diner . however , fancy splashing would thoroughly recommend Brooklyn Diner ( 2 , 1 time Square one near Central Park ) . diner recommede we New Yorker not disappoint . perfect poach egg . comment food hotel not try . want treat , go Michael Jordans Steakhouse Grand Central station . good steak ever amazing location ..... warn expensive ! overall , great trip yet New York . oh live : ) 
 Oct 7 2009 	 Shabby Hote . 	 lobby good part hotel . room really shabby nothing work . hot water day staff friendly . busy talk help guest . location hotel great good thing say . stay well hotel New York will not go back . room even smell must . price bar expensive even dearer Time Square forget lift never work . 
 oct 1 2009 	 location beat 	 couple year since stay beat location handy theatre Times Square good restaurant close by . the last time New Years Eve actually manage stand outside balcony outside bar area good view possible look Broadway Times Square see ball drop midnight . the hotel restaurant serve good food reasonable price , bar drink quite expensive give free nut / appetiser table . bedroom large clean little date would benefit makeover much time really spend bedroom New York ? 
 oct 1 2009 	 Great Value money 	 recently stay Novotel & amp ; find hotel great location price ! do not really anything negative say apart room service dish sit outside another room door day little poor however do not directly affect we . the bed comfortable , massive window overlook Times Square room & amp ; bathroom spacious ! definetely stay next time visit New York - can not beat cleanliness & amp ; price ! 
 Sep 30 2009 	 brilliant 	 fantastic hotel , problem , wait lift , great view 29th floor jersey , friendly staff.i stay return new york 
 Sep 29 2009 	 make excellent choice 	 stay 6 night believe hotel writer last 2 review . staff helpful . room excellent - plenty space amount luggage people stay New York . bed comfy room keep clean tidy . plenty hot water . amazing view Broadway Times Square . reception area partly redocorate evening go programme updating seem action large hotel . come back one night find one lift work take room ( 28th floor ) member staff service elevator . facility make coffee room would good not use restaurant comment . think charge leave luggage porter bit cheek . if intend use hop hop bus would recomment City Sights NY ( blue bus red one ) price , route less crowd - especially afternoon . excellent French Restaurant , book info . centre Broadway give we 10 % discount well . agree Cosmic diner Starlight restaurant excellent meal day , much choice need stay long . the Church Times Square ( build hotel ) truly amazing Sunday try . 
 Sep 28 2009 	 Dump 	 Hotel advertise 2 * hotel 4 * . room corridor filthy need renovation . staff rude ask question shug shoulder . hot water day time . good thing hotel location . stay well 2 * hotel . lift slow say least , evening 40 minute wait lift room , 4 lift 1 work . price drink bar outrageous . leave luggage porter cost $ 5 , first time ever change service . would not recommend Hotel , last time NY stay Hemsley much well hotel . 
 Sep 24 2009 	 Fantastic : ) 	 hotel FAB .. stay mother law 60th birthday . it great moment enter hotel , make welcome give fantasic view times square . nothing difficult member staff curtious . my mother law recieve birthday cake morning birthday nice personal touch .. head back birthday 28th november year . I totally reccomme hotel everything ... 
 Sep 21 2009 	 not take many clothe 	 stay 6 night early September sail back UK 2 fairly full case . Wardrobe / hang space almost non existent , super room floor 29 , load space move around , great view Times Square , lovely hot shower , could not fault except leave clothe case . such shame , load empty wall space could easily convert wardrobe drawer space . would still go back , tavel light ! 
 Sep 17 2009 	 Superb ! 	 amazing hotel , clean , spacious , perfect location , wonderful staff , yummy breakfast , excellent value money.only downside , 2008 2 computer available guest check airport online . group teenager use computer long time mean wait would finish take half hour afternoon could shop ! ! ! 
 Sep 16 2009 	 Amazin ! ! ! 	 hotel AMAZIN ! ! location fantastic , right heart Times Square ! ! ! hotel bright spacious , reception bar area lovely . sit restaurant sky bar give fab view Times Square . staff friendly helpful . give room 32nd floor , view fantastic , room spacious , even sofa coffee table . decor lovely , modern ! ! bathroom nice well . fantastic stay New York 30th birthday ! ! tourist thing ! ! Rockafella Top Rock superb ! ! ! Red Sightseeing Buses really great value find much info , guide great . another highlight see Naked Cowboy Times Square ! ! would love go back ! ! Fantastic Hotel xx 
 Sep 9 2009 	 amazing trip 	 stay Novotel end August 7 night . location hotel perfect us - Empire State , Central Park , Rockefellar Centre , subway within easy walk distance . room locate 10th floor overlook Times Square really happy . room really quiet - could not hear traffic . real noise would mention pipe night ! not eat hotel always eat couple drink rooftop bar would recommend - great view Times Square . also nice relax lounger hour long day sightseeing . although room tea / coffee facility use pop Cosmic Diner across street ( corner 52nd 9th ) tea coffee cost $ 3 great way start day . I would recommend Circle Line bus tour . $ 54 get 48 hour pass include downtown tour , uptown tour , Brooklyn tour , night tour , boat tour , $ 10 meal Planet Hollywood free pass Museum American History - downtown tour first real view Manhatten nice see sight learn bit history tour guide . we Empire State Rockefellar although preferred Rockefellar view well - can not go New York go Empire State Buiding ! fantastic trip . 
 Sep 5 2009 	 recommend hotel 	 fantastic location , near bus , subway , shop , diner , other . nice large room 2 big twin bed lot storage place , 27th floor beautiful view Times Square . like use 2 elevator get floor , get use . tell , free coffee lobby early morning ( 6 7 ) . also office guest 2 computer printer free charge , usuall already token , except early morning hour . staff pleasant helpful . first day ask fridge cost extra money send dirty old rust fridge , ask return manage somehow put stuff minibar . day leave , husband find piece glass floor , show clean room well . offer come clean room evening , convenient we , pack . would expect sincere apology . could hurt .. twice get clean towel . pleased room hotel . 14 night . 
 Sep 4 2009 	 Novotel Times Square 	 hotel easily bookable line , prepayable . stay couple year ago & amp ; decide go back hotel well locate & amp ; room large lot hotel NYC.Hotel well place corner West 52nd / Broadway ideally locate Broadway , Times Sq , 5th Ave shop , Central Park & amp ; main musuem around area . hotel room clean , spacious & amp ; functional , opinion look tired term decor ( not remember last time stay maybe well room 2 yr ago ) . however still good base & amp ; clean . there room tea / coffee make facility disappointing . need book breakfast hotel expensive . would highly recommend Ellens Starlight Diner one block away . 50 style diner singing waiter / waitress bud broadway star good voice . food good & amp ; broad choice . 
 Sep 3 2009 	 Fantastic Location Amazing View 	 stay 5 Nights end August , say fantasic view Times Square Hudson River . stay room 3105 big , clean room comfy size bed plasma tv good sized bathroom . clean everyday good standard . location make hotel worth Empire State Building , Macys , Central Park Rockafella centre easy walk distance . the bar within hotel great outside view Times Square . would recommend stay hotel . staff whole professional friendly . we couple problem safe room problem solve quickly . 
 Sep 2 2009 	 fantastic location 	 travel New York summer like , certainly not want spend much time hotel room . first trip Big Apple Novotel Times Square perfect hotel . location brilliant room able see Times Square Buzz Broadway . room clean , staff hotel friendly helpful enjoy Skydeck well view great . evening dine Hells Kitchen ( close hotel 9th Avenue ) lot attraction within walk distance ( Central Park , Times Square , 5th Avenue , etc . ) . definitely recommend hotel would return next trip New York . 
 Sep 2 2009 	 Perfect location great price ok room 	 stay Novotel Times Square 4 night end Aug , party consist good lady 2 teenager . hotel ideally locate 2 subway different line , great help seem spend lot time go manhatta . layout hotel tad odd entrance contain two lift use get lobby walk across lobby get another set lift get room . room was'nt huge , 2 double room probably do not help . clean adequate . bathroom sizeable clean , grumble , seem american thing , heat mirror bathroom fan do not seem work therefore shower wanted hair room oppose bathroom . room lcd tv , almost impossible use channel selection sooooo slow . fridge room , however , fill hotel drink candy therefore room goody . good hotel great location reasonable price , would consider stay . 
 Aug 28 2009 	 Great Location . 	 hotel great location 52nd , entrance round corner time square . check smooth room nice , little dim even lamp still nice good size . little disappointed first Television pay per view new york not room much anyway . eat hotel first morning breakfast nice selection continental breakfast open eating area great view time square however opt eat charge $ 75 3 breakfast without tip . overall would recommend hotel other purely location . 
 Aug 23 2009 	 Excellent location time square . load show pick 	 go NY 40th , upgrade room 33rd floor look time square amazing ! ! novotel great base theatre close by . I go mama - mia , brill ! ! never eat hotel plenty good eating place close - by . gripe room tea / coffee maiking facility room however serve coffee loby free charge 8 am ( that s ok early ) . 's macdonald round corner coffee go ! ! use blue sightseeing bus first day fab way find everything . liberty island must - its amazing ! rockafellar centre well view empire good . a good eating place include Dermott O'leary be across road , planet hollywood , dave & amp ; buster ( 10min walk ) . lot pizza / pasta place cheap . would def stay novotel . ( hopefully next year ) 
 Aug 23 2009 	 great view Time Square 	 enjoy hotel 5 day : 300 m time square ( 52street , Broadway ) , excellent view bedroom , big breakfast room . inside hotel , everything clean oldish , opposite many hotel city . you can not hear noise street ( time square yet ) , room not quiet hear neighbour . anyway , bed really comfortable , room big , well furnished , staff quick repair AC , reception desk billingual ( french English ) ... sure relax hotel . be careful , everything really nice credit card may suffer bit ! 
 Aug 22 2009 	 Great Location 	 Novotel conveniently locate . walk distance Times Square , Rockefeller Plaza , Broadway Theatres , far Central Park . subway 10 minute walk away . Sky Bar probably nice feature hotel . enjoy drink one evening overlook light activity Times Square . room 20th floor ( 2006 ) excellent view Times Square . room quiet , bed comfortable room could use update . need paint clean sufficient long weekend trip . checkin staff bell staff helpful . overall , hotel satisfactory . 
 Aug 9 2009 	 amazing hotel / amazing location . 	 stay novotel february 5 night partner 5 family member , dream holiday I ve always want go new york well ever imagine . get subway hotel airport , luckily brother life meet we know stop get etc , HOTEL- arrive greet friendly staff , willing help way . ( although one incident happen tiny give we room upgrade beautiful view free breakfast morning , room extremely spacious ( hear new york hotel room like shoe box ) enough room suitcase clothe , bathroom clean view time square world , location- location fantasitc , empire state block away ( 10 min walk ) 5th ave , central park , broadway show doorstep bloke hooter 2 block away ! ! ! food- breakfast every morning hotel tasty , egg / bacon / sausage / bagel / pancake / fruit / cereal mush much , find alot breakfast would fill we till evening even though walk day hour time . eat hard rock one evening lovely even though busy do not wait food , OVERALL- would reccommend hotel anyone , I m plan go back feb 2010 definatley stay hotel without doubt , although hardly ever room view reflection see book new york stay memory forever 
 Aug 6 2009 	 absolutely positively Best Hotel ! ! 	 great hotel . problem reservation Steve Lopez , Asst . Desk Mgr . take care quickly make sure get room guarantee make reservation directly hotel . friendly staff , great view Times Square 31st floor room , size room large king size bed pull - out sofa , bathroom good size , room bathroom clean , safe room plus leave valuable money , elevator service good experienced delay get ground floor two elevator 5th floor lobby four elevator lobby level go quickly room hotel completely sell time , bellman friendly humerous give we good story , not eat restaurant visit bar terrace outside give great view Times Square eat drink , hotel great location access several various subway station five minute walk away , one block away Gershwin Theater Wicked playing , good deli 's cheap price close restaurant . also little gift shop good price various item , also provide free USA Today newspaper Monday Friday , spot lobby area 5th floor kid play video game always use seem . this second time ' ve stay Novotel two trip NYC would not think stay anywhere else . can not beat view Times Square everyone stay seem walk around smile face . A++ grade hotel ! ! 
 Jul 31 2009 	 Love love love 	 stay first trip New York back 4 time since try different hotel around Times Square time none live experience Novotel . location excellent , bar welcome staff super . got great value also book Ebookers . ' ve recommend friend many time enjoy experience much . can not wait go back New York Novotel 
 Jul 28 2009 	 Fab Time 	 take hubby 40th birthday , not plan stay much hotel perfect . fab location , right middle Times Square , could walk attraction , Empire State , Rockafella Centre , Central Park , Bloomingdales , Maceys load . buy ticket Greyline bus great , tour guide every bus give info district . load nice place eat ( Cosmic Diner round corner really good value money ) . hotel bit pricey food not need eat , much choice Times Square . bartender , Bertrand mad Man Utd fan love english footie , talk day . hotel staff really friendly helpful . would deffinatly go back . 
 Jul 21 2009 	 ok -- -- NYC 	 find stay Novotel NYC ok budget traveler . travel alarmed review american traveler stay hotel , seem rather harsh Europeans seem rate accomodation substantially high . good book room directly hotel , go travel site might ene get shaft room location . room perfect view times square , book directly hotel ask room good view . room little dusty ok price location . hotel close two 24 hour drug store ( Duane Reed ) purchase small snack item go ahead opt room fridge soda thing need keep cold . also several cool diner deli area , ( cosmic diner & quot ; Great Pancakes & quot ; , really pizza spot block away , mc donald stardust diner , stardust 50 's theme provide live entertainment breakfast thru late evening dinner . several theater near ( 7/2009 show Billy Elliot , Mama Mia , Wicked Lion King close proximity hotel , able take short hike broadway show be not bad walk . several bank near Chase B name ) .If read review know 3:00 rule - serious see several pple check wait till three take possession room . coordinate flight accordingly . LGA close airport , find super shuttle reasonable thing smoke LGA . Super shuttle 11 seater van close proximity passenger plan time accordingly super shuttle stop several hotel trip maybe close hour half depend maybe go area . overall room adequate would stay agian could get rate before . beware double decker bus , window obscure able really take good photo low deck ( greyline customer service weak , citysite sure ) grey line go see city upper deck time bus come seat upper deck . People really answer question street , ( know go ) - get lie land ride tour bus , get street map hotel get subway map airport soon get plane . airport lot & quot ; Things Brochures map & quot ; get stuff there . they two computer always line intenet service . workoutroom good , never crow . the Hamburgers , Fries Mashed Potatoes good hotel resturant ( like southern flare ) french hotel cook french style . happy Traveling 
 Jul 19 2009 	 nice location Average Hotel 	 go 9 night NYC girlfriend holiday . hotel 100 m walk centre Times Square ideal location ! room clean staff also ok . 
 Jul 16 2009 	 would happily return ! 	 room clean find staff helpful . go without say location top notch . on side , cleaner knock 7.30am one morning . put disturb sign leave room . otherwise great experience . 
 Jul 14 2009 	 fantastic location ideal hotel visit New York 	 go 5 night NY friend holiday . get taxi Newark airport hotel cost $ 80 ( include toll tip ) . hotel 100 m walk centre Times Square ideal location ! although not pay extra view Times Sq , could still see part good view anyway . coupel metro station close hotel take anywhere Manhattan . pay $ 27 7 day metro pass well worth . hotel lobby 5th floor modern inviting . large restaurant ( Cafe Nicole ) outdoor terrace overlook Times Square fashionably style . end enjoy drink night rather bother bar . definitely one good view bar Manhattan . our room spacious . ask twin room comprise 2 double bed ( double bed ! ! ) large bathroom . bed comfortable room clean daily . new flatscreen tv load channel option pay movie . also large wardrobe , powerful hairdryer bathroom iron ironing board . ever slight problem shower slightly erratic still quite powerful . although overlook busy road edge Times Square , windows soundproof sleep soundly whole time . air conditone lovely cool . not pay rather extortionate price $ 20 per day breakfast ; instead go place 50 metre road call ' Cosmic Diner ' every day breakfast . reasonably price everything could imagine breakfast . overall would definitely stay hotel come New York . 
 Jul 12 2009 	 fantastic location Ok hotel horrible staff 	 Novotel Times Square probably well locate hotel NYC , since NYC important city world , mean well locate hotel world ? philosophical contemplation aside , basically close possible ts without dump middle horde . when arrive hotel 5:00 , one front desk . try shout back room pretend hear we . eventually bar tender appear go room shout drag sleepy employee clearly want help we . book two room two double bed : get two room king . go back front desk complain different guy appear rudest , cold , disnterested clerk ever encounter . let us say request not meet put king rest stay . another request not get meet least one room overlook TS , happy side - effect get near unobstructed view 4th July firework . as room , clean ( quite large NYC ) , desperate need renovation . bed cover old colored variety , think phase hotel least year ago . furniture wall scuff , dent , nicked , general really tired . gap appear cheap - look ceiling panel , fill ugly paste make ceiling look bad ! least tv new . another annoyance internet connection would cut every 2 minute . bathroom also large well - appoint , look pretty tired mold start grow shower . the nice amenity hotel 7th floor terrace overlook Times Square . bring company chill evening watch Times Square go light darkness . seat comfy seem good selection drink be that . after previous experience staff , scared try restaurant , know breakfast outrageously expensive ( think $ 20 per person ) give option doorstep . want coffee good pastry , try starbuck across street - cost $ 20 family 4 ! give price pay , not think get bad deal , can not recommend stay renovation not happen soon . however think will try nearby Hampton Inn next time . 
 Jul 8 2009 	 Excellent location 	 stay 5 night 6 day friend . booked room two double bed website . check early around 1 - 30pm problem staff friendly helpful . lobby actually ground level , need take lift reach . flight late evening , hotel minded luggage $ 1 per bag ready collect . also suggest car take we Newark airport $ 75 include toll take , would probably get taxi instead not much different ! find last day traveller cheque exchange cash without commission charge ( provide $ 200 / room / day ) . room little date clean comfortable . room 16th floor overlook Broadway Times Square ( put cheek window ! ) not breakfast could comment , lovely pancake egg morning Cosmic Diner corner 52nd 8th Ave . hotel nice outdoor bar overlook times square Broadway . evening ' happy hour ' ( usually 5 - 7pm ) certain spirit 2 1 , Absolut Vodka . sometimes struggle get seat , staff helpful rearrange chair provide somewhere sit . location excellent , within 2 minute Times Square easy reach several theatre . also several Metro station nearby ( 50th / Broadway , 50th/8th Ave , 53rd/7th Ave , Times Square 42nd Street ) provide excellent link around city . buy 7 day metro card ~ $ 28 well use . would not bother go tkts booth Times Square , often see queue stretch hour . visit TKTS office near South Street Sea Port queue approx 10 minute still selection musical show offer . bit way , visit Statue Liberty / Ellis Island etc , not far go ! 
 Jul 7 2009 	 Excellent Stay Novotel 	 stay 4 night hotel enjoyable experience . reception grand , queue . Frank serve we friendly helpful . room not ready first one come available speak great . husband birthday give we free drink pass nice . room 28th floor .. fantastic view times square ( book ) . disappointed . breathtaking . room grand . nice comfortable . need bit update happy room . problem hairdryer someone come straight away repair . Maids also friendly . not eat hotel experience .. . drink expensive hotel prepare . go across ellens diner across road bite eat , sing eat . subway also outside . great location . 2nd time new York would recommend hotel other would return . 
 Jul 6 2009 	 Novotel New York 	 spend 4 night , 5 day New York stay Novotel . Booked Standard twin bedded room turn twin double bedded room ensuite . clean , comfortable bed , bathroom bath shower great . hotel staff friendly happy help anything , nothing much trouble . courteous polite . location safe 50 metre walk Times Square . eat Hotel use local outlet , love fresh fruit breakfast . find portion size enormous daughter often order one meal two plate . city safe environment , many Police security visible street . use subway , great find dirty basic comparision London Underground system , cheap way travel , Times Square Statue Liberty subway $ 4.50 two equal approx £ 3 . loved shop naturally , designer clothing little cheap however Maceys Blomingdales lot offer . get visitor card store give additional 10 per price include sale item . need form i d like passport driving licence get discount card . definitely go . Flew BA comfortable hassel flight way . meal board o.k . Recommend Hotel would definitely go back . 
 Jul 1 2009 	 okay Hotel Awesome Location 	 visit hotel two night four night trip NYC . room ready we arrive 2 pm , though front desk staff overly welcome friendly make first move ' cheer ' . room overlook Broadway could see Times Square far right , locate 18th floor . smoking room , burn mark , include blackout curtain would glow like star sky morning sun would rise . coffee maker room . decor quite tired dated , feel kind ' dingy ' , kind carpet want walk around bare foot . good thing - tv nice flat panel , minibar nice ( expensive course ) . nice window open . front desk say hotel completely book , room notice noise hallway room around we ; nice quiet . the 2 lift lobby street level often busy , would use stair congested . not think would stay unless get great deal . right complain time either since pay $ 159 night , know great deal ( two night stay two night Millenium Broadway price , compare two , Millenium far superior aspect ) . 
 Jul 1 2009 	 Perfect location ! 	 book hotel procure great price night . need near Rockefeller hotel close could get within budget . good decision make ! place PERFECT location ! Times Square street block two , Broadway right outside hotel door plenty place eat around . Duane Reade right outside door well . yes , room small need update , two adult , infant 12 year old , fine . staff friendly , accommodate helpful ! may become go hotel go forward ! oh treat Crumbs Bakery across street ... great place scrumptious snack ! 
