fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Sep 8 2009 	 love location accommodation fine 	 stay family vacation see sight San Francisco . free room night able reserve problem . love location -right chinatown block walk Columbus Street italian restaurant . nice area feel like real neighborhood , rather chaos somewhere like Fisherman 's Wharf . close enough easily get wharf , Alcatraz sight without drive car . one day take city tour pick right hotel ; concierge provide detail one good fit need ( 1 day rather 2 day tour company ) .The room fine comfortable bed , although typical small room big city . think hotel quiet , sound nearby room , despite tour business group stay . issue find room two queen bed small accommodate rollaway well , problem two kid can not share bed . luckily , small lounge bench ( sort like contemporary version & quot ; faint couch ) room long enough accommodate short teen . hotel promptly provide extra mattress pad , sheet comforter sleep fine . two tall teen expect rollaway , room would problem . like coffee stand variety coffee drink pastry right lobby . also go small restaurant ( front door leave across small alley ) next door good economical breakfast , include chinese noodle prefer egg pancake . we save parking use public parking garage directly across street rather hotel 's pricey valet parking . next trip back San Francisco would stay hesitation . 
 Sep 7 2009 	 Nice hotel ` ` Thin Walls '' 	 take family SF see site . the hotel well decorate room well appoint . unfortunately , wall thin hear everything next room . the room next door extremely loud guest must party . extremely noisy around 2:00 am.be - aware connector room .... thin part next door party .. people contently attempt open .. lucky lock side . 
 Sep 5 2009 	 good location great view 	 read review noise , bit concerned ; however , glad ignore . issue noise hotel . view overlook bay simply splendid . be short , pleasant walk shopping , restaurant . downside - restaurant horrible . service non - existent ( actually & quot ; guess & quot ; bill leave money table server never return . also , zero 10 pm hotel look nightcap , need walk irish Pub behind hotel . 
 Sep 4 2009 	 Poor Service small room good location 	 stay hotel become Hilton , choose hotel mainly location , ( easy get Liberty Square , Fishermans Wharf China Town ) . arrival hotel chaotic , people mill around lobby check not efficient would expect . the room small adequate facility . one thing disappoint service especially service coffee shop / wine bar . ask coffee 4 pm , even though sign state coffee bar , treat scorn derision server customer explain coffee bar close midday turn wine bar . contact manager nothing unhelpful not even apology rudeness staff . want coffee ! shame , rather tainted view hotel although previously recomende hotel , never stay stay Hilton . 
 Sep 4 2009 	 good place stay city 	 overall satisfied stay . room clean everything work ! thing bother business center pretty expensive . allow limited amout work do charge . location good . avoid take supershuttle , since seem last stop drop . 
 Sep 1 2009 	 Next chinatown great room . 	 tourist dream . minor problem faulty soda machine break bed , 8th floor street noise night . large room , far attraction . problem get Fisherman 's Wharf 9x bus Chinatown across street . 
 Aug 29 2009 	 Great Value room ... Great Location . 	 room service expensive . breakfast almost bad , 5 buck warm filter coffee , 6 buck crappy grapefruit juice . continental breakfast good though , nice selection . 
 Aug 28 2009 	 ' Super ' Comfy Bed 	 4 night stay clean comfortable room . bed pillow fantastically comfortable good night sleep every night . nice view city building room . hotel locate close china town small walk catch tram fisherman 's wharf . bad side would fridge room , miss that . if ' ve never San Francisco , like we , lot steep street , walk good workout leg . I would definately recommend hotel , however , would consider next time stay little close fisherman 's wharf area . 
 Aug 26 2009 	 good value middle downtown San Francisco 	 stay two night room face Coit Tower bay . try get room high floor . room clean also free Wifi . sight within walk distance staff helpful . help we find great restaurant guide we . parking expensive , middle San Francisco ok . strange thing bathroom door , wood glass slide door . definitely enough privacy . great good value money . 
 Aug 26 2009 	 great location great view basic room 	 stay hotel 3 night . get deal , email hotel room upgrade get king size bed room 22nd floor beautiful view bay ! nice , clean room . basic size , enough be spend lot time room . bed pillow comfortable ! ! get great sleep trip ! absolutely beautiful view bay Coit tower . location perfect we central everything , since first time San Francisco want see everything really like location . downside experience stand line half hour check , two attendant 10 party wait check , otherwise really enjoy stay hotel would stay recommend friend . 
 Aug 24 2009 	 Excellent value price pay 	 really good rate hotel book early pay £ 70 per night 6 - 9 August . really like location right next Chinatown close North Beach . nice room comfortable kingsize bed - good shower , though would prefer shower gel rather soap . not bother breakfast hotel expensive eat every morning Garden Restaurant next door excellent value . review mention hotel noisy not really find case . overall , hotel excellent value price pay would not want pay full rate . 
 Aug 22 2009 	 suitable 	 stay Hilton one night work . great view Coit Tower . room clean chair sit , tv flat screen , room small , location great financial district 's attractive street abut Chinatown . free internet , though . stay Fairmont week $ 100 room three time well full time . 
 Aug 20 2009 	 Nice hotel .... 	 hotel fabulously decorate . hotel staff bit snooty however conceirge Eric good conceirge ever come across . travel 3 other stay 24th floor one king suit overlook Bay . view spectacular ! room spacious nice little wet bar plenty refrigerator , counter cupboard space ( however not microwave find odd ) . great spacious bathroom nice rainfall showerhead . since stay one luxury floor receive complimentary continental breakfast coupon . breakfast good however , beware also full american breakfast buffet locate right next not clearly mark . make mistake first day eat since host never tell we could first table , second . , went grab food buffet line ( literally 3 step away ) sit . host come tell we coupon good table leave end charge $ 7 per person ( without coupon would $ 22 american Buffet $ 16 Continental ) . learn lesson day day , watch guest make mistake get pretty upset . elevator hotel horrible . 4 elevator 27 floor . time would stop every floor pretty annoying , although visit busy time year tourist . the location hotel great . locate right Financial District Chinatown easy mile walk Union Square , Fisherman 's Wharf , many fun place . 
 Aug 19 2009 	 good choice - excellent service 	 would recommend Hilton anyone look well locate decent price hotel . 2 interconnect room spacious bed comfortable . arrival one room not ready give we complimentary breakfast next day . v nice save we hunt around somewhere eat first morning . want compliment hotel amazing concierge staff . really could not enough we . book we Toads tour short notice go well beyond call duty husband lose passport . provide we support , reassurance helpful advice . luckily passport turn stressful experience make bearable 2 amazingly helpful member concierge team . like location hotel literally hop skip away Chinatown spend lot time shopping , eat drink tea little tea shop . chinatown not , may prefer nearer Union Sq suit we really well . noisy night hey , stay busy city . not keep we awake . , good solid choice accommodation 
 Aug 18 2009 	 Good Location Comfortable Room 	 book three night stay SF marathon . arrive early offer queen room early check could wait king . Glad take queen great view . room pretty standard , bathroom spacious ( possibly accessable room ? ) bed extremely comfortable . never hear noise guest room hallway . location easy walk Chinatown , Little Italy bit pier . end leave day early front desk staff helpful accomodating . book quite early get consider GREAT price , happy stay . 
 Aug 17 2009 	 overbooke somehow despite financial crisis 	 arrive 10 - hour trip around 1:30pm , 3 pm check - in time . problem wait 3 pm room say clean . Staff let we store luggage go lunch great chinese restaurant . however , come back 2:55 find least 10 party front we want check . get desk , tell different story : room assign we vacate , availability room class . tell would get upgrade luxury level ( 27 floor ) bay view . give room number card key , tell wait lobby clean . 45 min later , go back desk ask status . tell initial room free , would get another room , downgrade , would throw complimentary breakfast stay . 30 min later , finally get room . inconsistent , clearly bad way . during wait lobby , realize alone . lot people boat . get different version story room not ready . one couple travel Australia 's 36 hour travel time . offer free drink bar , husband say politely thing would make happy place lie ! lobby ugly place afternoon . want think hotel staff bunch liar , time sympathetic situation overbooke computer problem . never explanation offer , however . the next morning , ton people free breakfast voucher ( recognize lobby night ) wait space cafeteria . would wait , hostess & quot ; upgrade & quot ; we luxury side lounge . still take forever carafe coffee - get sit , get serve . room clean modern . lot noise , 's normal hotel city . dislike slide door bathroom - offer & quot ; visual & quot ; privacy . 's space - save compromise poorly do . mildew tile bath , clean 2 day . safe hold laptop computer complimentary . WiFi internet . great point hotel . 
 Aug 13 2009 	 reliable comfortable nice view 	 choose stay instead Palace Hotel conference hold price reasonable . check late - midnight everything around hotel close . room clean comfortable beautiful view Bay . agree previous review bathroom door - not offer much privacy not lock . odd design . hotel offer free internet nice . unfortunately , fax 3 page document business center cost $ 13 . be pretty ridiculous . we find service restaurant pitiful . arrive evening light meal drink , wait almost 15 minute server take order . restaurant crowd . order arrive , server never come back . end guess amount bill leave table . breakfast , not service . see get buffet - want drink coffee , tea orange juice ( water ) , one wait you . the bellhop try get take car service instead cab . get kickback . aware . I recommend hotel location comfort - plan eat drink elsewhere . 
 Aug 11 2009 	 Good Hotel Nice view city . 	 Hotel friendly service . locate easy walk distance public transportation . try walk Fisherman 's Wharf ... far ... uphill ... oop . 
 Aug 10 2009 	 large hotel - feel nice - sleep great ! 	 great property wonderful location . like walk , would place you . since large property , host number conference one . room clean not large . bathroom cute double door , nice different Hilton . another plus Starbucks lobby ...... ' proudly serve Starbucks ' real Starbucks ! plan accordingly morning - line everyone want / need coffee ! 
 Aug 9 2009 	 great location comfortable plain vanilla hotel . 	 get good rate hotel Hotwire . hotel old nothing special term luxury . would call standard business class hotel comfortable safe .. hotwire list 4 star . location excellent sightseeing since literally across street Chinatown block North Beach . Fisherman 's Wharf easy bus cab ride . room flat - panel TV . one old CRT model . one thing recommend drive hotel . free on - street parking parking hotel cost dearly . also , refrigerator room cost $ 25 night . hotel free wireless internet . 
 Aug 7 2009 	 real surprise 	 get wonderful rate include parking . ( park easy easy ) apprehensive room , even though Hilton . joyful surprise . comfortable bed pillow , huge fluffy bath towel , great shower head , wall thick enough avoid tell - tale neighbor lot accessible outlet room . location hub Union Square . lobby huge really buzz activity . really pleasant stay . 
 Aug 7 2009 	 Nice hotel not expect favor 	 Hilton Diamond member high hope hotel contact advance Guest Services Manager ask special request . ask upgrade base Diamond status ask would fridge room . Manager reply back would upgrade bay view room fridge available , $ 15 charge per day . decide go fridge seem quite high ' ve never charge one 4 + year travel regularly business . hotel Pros:1 . location close Chinatown lot restaurant shop . also close North Beach italian area also lot restaurant . easily walk Embarcadero Union Square well . muni station 6 block away cab fairly easily accessible . little planning , avoid daunt hills.2 . spa hotel . decide check even though ' ve never do another hotel . check - in receive notice 20 % discount spa package room key . seem pretty decent enjoy experience thoroughly.3 . Diamond member , complimentary continental breakfast , okay , someone mention Hilton hotel well agree . $ 5 could upgrade ' full ' breakfast buffet , include scramble egg , meat , potato waffle . once.4 . Free wi - Fi room . Hotel Cons:1 . Noise . agree many reviewer . 24th floor quite high street level . sort contruction occur several night go well past midnight . lot beep contruction equipment noise . thermostat control allow turn fan another guest mention . 2 . one night tired not feel like going go convenience store street buy bag popcorn eat room . go front desk ask anywhere could use microwave . tell go check restaurant . go restaurant , seem confused front desk would tell go informed could bring outside food kitchen , would contaminate ! really - bag popcorn ? go back front desk ask anywhere hotel , employee break room , anything could pop popcorn tell & quot ; & quot ; . not know offer microwave charge room , offer option either , ' no ' . feel unreasonable request extremely frustrated could simple thing popcorn . instead , leave hotel ( certainly not give business outrageously price room service ) find food.3 . Business Center - 3 - 4 computer available , require credit card use . not know stay back end month . ' m leave average rating saying would recommend , recommend friend , would tell everything mention . 
 Aug 4 2009 	 Excellent Value Convenient 	 great location downtown , clean hotel staff friendly helpful . room little late ready due oversold situation , graciously ' compe ' we meal hardly notice delay get room ready . food restaurant excellent excellent hot breakfast buffet . noise mention , hey , middle downtown ! ' Kansas ' anymore location ! get high help , really keep we awake . right next chinatown block two different Cable car line . easy safe walk find public transportation around town . would highly recommend mainly helpful staff . 
 Jul 29 2009 	 GREAT HOTEL .................... 	 let begin say beautiful hotel . location perfect majority employee friendly . PROS : comfy bed , great view , clean , free WIFI , great housekeeping . con : Glass slide bathroom door awkward allow enough privacy . bad design . noisy street room come earplug . Room come two bottled water drink , charge $ 5.50 per bottle ! old style television , Hilton standard . here personal issue : Hilton employee . book room 6 night take daughter special birthday trip . get Hilton employee discount , San Francisco , still steep . I contact someone hotel week prior arrival ask upgrade bit professional courtesy . Hilton employee , accustomed receive request always try oblige . told & quot ; see do . & quot ; response assume incorrectly make possible we . upon arrival , informed front desk agent ( Carlos ) correspondence employee quick say nothing record nothing could . cold demeanor , effort remedy situation . tell want charge $ 50 per day incidental charge turn incidental room would use ( ie.pay per view movie etc . ) proceed charge top full amount week inform card decline . ask , claim idea ( even though , know look screen ) yet apology . correct card go thru . next day email General Manager voice disappointment . response . guess hotel work whole lot friendly roll red carpet Hilton employee book hotel . take little effort . look free ride , simply upgrade expensive stay . advice : Hilton employee , expect special treatment hotel . interested build kind relationship . General Manager property would certainly handle personally . 
 Jul 29 2009 	 nickel dimed death 	 stay Hilton conference . first room nice , clean , comfortable quiet . clean everyday . conference week long not take long everyone realize continental breakfast afternoon refreshment limit . not get early not get anything . even coffee hot water scarce . also everything extra $ 15.00 day . internet access $ 15.00 day . work gym $ 15.00 day . spa way price , massage start $ 165.00 . hotel restaurant way price bar / grill type facility . cost $ 88.00 lunch 4 . yike . disappoint consider Hilton price room . three day stay contact manager state room need emergent repair . going move two room suite free internet . upgrade really disappointing . bed small less comfortable . bathroom small old . view great . oh item mini bar $ 2.00 high mini bar old room . soda $ 7.00 . come ! ! ! check restaurant city . amazing . favorite Santorini 's right across street . good Mediterranean food ! Alcatraz , Golden Gate Bridge , Trolley , Redwood Forest wine country . awesome ! Fisherman 's wharf good ! 
 Jul 28 2009 	 well expect ! 	 must admit , see exterior Hilton , little put drab concrete facade , be beautiful inside ! remodel building year ago fantastic job ! feel like brand new hotel . San Francisco San Francisco Marathon . Hilton 3/4 mile away Marathon Start line . husband also use Hilton 's fitness center day lead Marathon say really nice . book really far advance get room $ 100 , perfect ! could not believe find great deal ! give we room corner small window , not care get great deal . great view Telegraph Hill Alcatraz . could hear street noise , be expect hotel heart downtown San Francisco . want mask street noise , turn fan thermostat . work like charm ! breakfast hotel one morning hurry 's extremely price ! Venture city breakfast ... Mama 's , Cafe Divine , Sears couple recommendation within walk distance hotel . Hilton prime location , within walk distance almost everything ... China Town , Cable Cars , Embarcadero , restaurant , etc . room nicely appoint , hotel really clean , staff personable . , be great hotel ! ! ! would stay . 
 Jul 26 2009 	 Good Solid Hotel 	 good hotel . room nice , small city ! staff super nice helpful . kep luggage day check help we get Bart go airport . location great sightseeing close everything . room right next ice machine not hear thing . 
 Jul 24 2009 	 good Hilton experience ... 	 try Hilton O'Farrell Street San Francisco trepidation ... Hilton Kearny Street repair damage ... everything work like clock work ... hitch check room nicely appoint modern amenity ( flat panel tv , bank electrical outlet ( cell phone , laptop ) , mp3 radio , etc . ) ... breakfast card retrieve breakfast serve time ... check effortless well ... thing would expect Hilton disappoint ... 
 Jul 24 2009 	 good value + good location 	 pay £ 80 night three night Hilton Financial District . hotel locate edge China Town centrally locate many main site SF . block away city landmark - Transamerica Pyramid . hotel within 30 minute walk Fisherman 's Wharf , walk Union Square 20 minute . would expect , locate close China Town North Beach , many restaurant area around hotel . our room disappointingly small clean facility would expect Hilton . bed particularly comfortable ! view city great - would however recommend request room overlook bay since view spectacular . 
 Jul 21 2009 	 Nice Hilton property 	 stay wife daughter 4 night . read review previous traveler go open mind . rate decent city hotel get around $ 100ish good value . ' m Hilton Diamond member ' ve stay quite 's think . check late first night problem although see line time pass lobby . clean , open lobby bar middle . get upgrade bayview room ( odd numbered room face Coit Tower / Wharf ) 21st floor . even fog view morning fantastic . room nice big desk line window . great pillow top bed nicely decorate . tv old school would come SF watch tv ? odd thing slide door bathroom seem due small bathroom elimination door swing . aside small room two double bed serve purpose . noise : read street noise yes certainly quite bit especially construction site next door . unfortunately A / C unit not hum loud enough mask noise . wake early Sat morning partier street along horn honking not last long . one solution - wife download & quot ; White Noise & quot ; application iPhone solve noise problem remain night . receive HHonors breakfast coupon continental could & quot ; upgrade & quot ; hot breakfast $ 5 bad . also give we appetizer coupon happy hour never use . good selection breakfast . parking - couple option cheap , much , Hilton garage . across street city lot $ 27 overnight Wash St small lot negotiate rate overnight $ 17 . street meter tough nab Sunday free grab one can . overall , think nice Hilton fantastic location near Chinatown , North Beach Financial District . get good rate recommend property nice room , staff location . 
 Jul 20 2009 	 Spectacular View Noisy Executive Lounge 	 hotel great location business sightseeing . upper - floor room north side spectacular view Telegraph Hill , Alcatraz bay . however , room quite small unfortunately noisy next - door room ( could hear alarm go morning ) street noise 1:30 morning ! addition , executive lounge Gold / Diamond member . instead , give ticket snack charge outrageously high price soda juice . tell hotel try cut cost economy . also housekkepe mediocre . several time need ask thing provide without ask . without view would recommend hotel ; view be probably worth get good rate ( pay $ 120 - 160 / night ) . 
 Jul 15 2009 	 lot Pillows make happy ! 	 room clean bed oh comfortable ! second room quite nice : drink glass ice bucket , track maid get say clean one , would bring later , . however , 30 minute upon leave , discover leave waterbottle , expensive one room , upon return room , bottle miss , even though room clean yet , never see turn . kind disappointing . guess people quite honest . 
 Jul 13 2009 	 's hilton expect ? 	 Hiltons always nice hotel . rate ok , kind expensive leisure traveler . splitting room two people , not bad . stay two night . hotel huge , room nice . hard find room however , since lot floor elevator confusing . also hard find people take we room , finally get . bathroom good clean . go ahead hide key minibar like . everything purchase Walgreens nearby much cheap . wire internet room , not know beforehand pay extra use wireless network . starbuck downstairs near lobby . I think wireless internet include bill . would stay money . 
 Jul 10 2009 	 compromise guest information 	 busy hotel . our stay pleasant get bill check - out . turn someone dine restaurant & amp ; order lot drink use room number . unsettling person sign last name charge slip ! make we doubt security keep guest information . front desk manager could care less & amp ; want we check - out quickly . keep close eye credit stay . ' return . 
 Jul 10 2009 	 loud 	 extremly loud . worth hassle even get good deal . 
