view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 oct 2 2009 	 top Mark anymore 	 love San Francisco keep go back , time ' ve try different hotel different area range Fishermans Wharf Market Street / Union Square area , time opt Nob Hill . so stay Mark Hopkins 3 night long September weekend ; platinum IHG Priority Club member use point pay stay . can not really comment rate ; except say use money SF accommodation would probably choose somewhere else . let us start pro : first , Mark Hopkins not bad hotel , 's grand old lady , convention business type hotel . still nice character feature charm , antique postal chute elevator , location pretty good , depend reason visit SF thing accessible ; 2 cable car line intersect block hotel . bed pretty comfortable , always important consideration like we ' ve travel 15 hour , totally different time zone . staff also fairly friendly , particularly porter helpful always seem good spirit . however , we also unfortunate con : soundproof room not good . often disturb guest flush toilet , people walk past corridor ; plus room fairly low floor , overlook front hotel porter use loud whistle attract taxis guest , would disturb we late evening , early morning . the room fairly small US standard , little storage guest reasonable amount luggage ( SF start 2 week vacation we ) . guess 's due age hotel ; mention early platinum Priority Club member one perk upgrade room ; small would imagine standard room would even small . Breakfast Top Mark disappointing element whole stay though . happened go foggy morning , course hotel fault , not obviously get famed view accompaniment breakfast . however without anything view blanket white look window , bring breakfast much sharp contrast . breakfast average buffet ; travel business 's breakfast will time time every chain hotel . not go particularly late breakfast , little left , clearly time . selection face almost feel like leftover people not want . also feel price charge way high . charge breakfast anywhere California , include individually prepared gourmet breakfast ( gourmet coffee freshly squeeze OJ ) five star resort Napa Valley - not exactly know 's good value . last gripe breakfast , along bill come ' guide gratuity international guest ' suggest 18 - 20 % gratuity top already high bill . really not problem tip good service , fully aware service staff US rely tip make low wage ; find offensive suggest gratuity level ordinary buffet - nothing prepare fresh we , no - one take order we , bring anything table us busboy fill coffee actual ' service ' involve . a block away hotel hill towards Union Square bit cliche charming nonetheless , 50 's style diner , prepare fresh food , friendly efficient service ; blow away breakfast Top Mark . mention cost half much . us comparison . if choose stay Mark Hopkins , one tip : buy muni card duration stay advise economical way use cable car avoid walk steep hill area . however September weekend , cable car major tourist attraction really reliable method public transport . would wait cable car stop age age , whilst car car would go completely full people . terminus Market queue would often region hour wait . be almost like rely ' Pirates carribbean ' ride Disneyland transportation . end use 3 day muni pass two cable car trip , walk hill every time ; not turn great value we have hope . luckily fit enough problem , be we , happen like walk . 
 Sep 28 2009 	 good location excellent view good room lack something 	 stay MH week girl friend attend convention across street fairmont . satisfied everything , except communication IHC mention ambassador level guest ( loyalty program ) get free complementary fruit basket newspaper everyday , never get . the thing hotel lack good lobby - particularly compare Fairmont . , thing well fairmont - view Top Mark ( bar / restaurant / cafe top floor ) outstanding - particularly face north . 
 Sep 25 2009 	 San Francisco Bay area 	 stay Intercontinental Mark Hopkins top Nob Hill - really nice hotel fantastic breakfast view . stay San Francisco 3 day enough us - usual tourist trip great fun - downside find many local quite rude abrupt dealing tourist little shocking . would go back do not think would . 
 Sep 22 2009 	 Comfort Convenience Secure Pleasant- hotel experience . 	 last minute whim decide attend opening day 2009 Baseball season San Francisco . even wet weather visit SF , stay Mark Hopkins make thing comfortable . also everyone meet hotel , check clerk concierge nice could . go low season height economic downturn able get reasonable rate . even upgrade junior suite upon arrival . whatever reasoning , appreciate space well - lay , decor mix modern vintage , well care . like hotel feature & quot ; traditional & quot ; decor . bed great tv bedroom well . bathroom also decorative almost feel like home . please see pic . , pleasant couple day . enjoy learn history hotel view nice well . know one place feel secure - meaning & quot ; safe & quot ; warm friendly environment . will stay future room available . sense fortunate able travel America stay home . staff seem appreciative choose hotel host stay . Oh- street car accessible- like right corner hotel ( remember ) make visit much convenient . 
 Sep 20 2009 	 Faint echo luxury 	 New Yorker live LA , ' m embarasse say never San Fransisco . go recently , rely heavily tripadvisor . overall , review gave turn good representation get Hopkins . good thing say location fabulous pretty much anywhere need get ( case medical center UCSF ) beautifully compact city . but Hopkins dowager last leg , analogous pre - apartment Plaza New York , not upgrade decade , good limping along much fade reputation glamour prestige . ' Top Mark ' guess 's know , gustatory embarrassment . stay far away . staff , though pleasant people , like rest hotel definitely possession crispness , pretension hauteur , cut edge , big dollar hotel . that say though , place definite abundance character , fade may , appeal . make sure realize go get current five star luxury , rather distant echo hostelry . one night stay , $ 129 ( pay AMEX point ) , say would similar non - vaction business stay . travel corporate dime , look luxiorous spot pleasurable stay , , place stay . 
 Sep 17 2009 	 spot bad terrible would check one 	 Good Lord , begin , check major miscommunication staff feel necissary take responsibility . room promise , doorbell broken rang stay , housekeeping show first day , cover tail trying tell we refuse service hour leave room house keeping show maid audacity ask could take break first , 8:00 night , long day sightweee want roomservice bed . wait Club Room , ask would like drink wait , give US bill . would like treat like royalty , stay Holiday Inn , treat well & quot ; 4 star & quot ; hotel . letter General Manager Home office , get , & quot ; sorry stay suck , make sure future never happen & quot ; help US ? treat sister 40th birthday , something wonderful remember huh ? however San Francisco amazing , go , do not bother hotel . 
 Sep 17 2009 	 Great value -- definitely Bed Bugs Us 	 bit concerned read someone 's experience bed bug . happy report three separate room single bug ! room extremely clean hotel great . concierge helpful booking car we steer we toward good restaurant . elegant old hotel beautiful view classic room . water pressure great bath product make ! 
 Sep 17 2009 	 grand old hotel quirk 	 second stay Mark Hopkins . truly landmark wonderful location , not mind gruele walk workout hill . staff quite friendly helpful interior past . one complaint echo say tripadvisor contributor : pipe noisy ! change room first night due noise pipe . noise go beyond hear flush toilet minor compare plumb moans groan wall . second room well flawless . musical accompaniment bathroom wall , room lovely really enjoy able open window get fresh air . wonderful italian coffee shop one block away back Fairmont Hotel oasis , great breakfast afternoon coffee . really enjoy close Chinatown Northbeach , either hoofing trolley . would return hotel , maybe good earplug . 
 Sep 12 2009 	 friendly classic elegant hotel without pretentious 	 Mark Hopkins beautiful gracious hotel without pretention price top range hotel . find staff super friendly , courteous professional . room expansive view San Francisco downtown , Alcatraz Golden Gate bridge . bed , linen pillow super luxurious room spotless well maintain . hotel show small sign age find aspect add ambience . husband , 9 yr old daughter enjoy hotel immensely feel transport another period soon step magnificent foyer . hotel provide free car transportation downtown district week , however enjoy short walk Union Sqare get close look area . definitely one experience stay period hotel . would recommend anyone visit San Francisco . 
 Sep 9 2009 	 Excellent Hotel 	 say ' m amazed review . everyone entitle opinion , stay various hotel San Fran year , definitely one nice ' ve see . room suite ( huge sitting room , large King bed , rather large bathroom ) . past experience SF , know usually fitting Queen bed hotel require shoehorn room amenity . view unbeatable ! yes , noise street - car outside , , SF 's historic hotel cable line . notice noise room , especially bathroom . on last stay SF , stay hill another historic hotel . though back side noise nearly unbearable . comparison ( apple apple ) , noise bad , room much large comfortable . look forward next stay Mark Hopkins . 
 Aug 31 2009 	 nice room - plumbing issue may bedbug 	 room big , bathroom closet . happy room , agree completely review toilet loud . not think would care much except loud long hold handle , would hope would flush way - consistently . also , plumb shower spotty sometimes water pressure great . bedbug , could not find , husband bite back sleep one night can not think anywhere else could get . location nice , high hill get walk shoe . 
 Aug 26 2009 	 's intercontinental go wrong ? 	 girlfriend stay 2 night August . the hotel locate pretty nice part town , however pretty close proximity setchy area . easy walk big famous square ( name escape right ) easy access main amenity San Fran . the hotel apparently historic hotel , tell architecture . the lobby nothing special , room large elegant . room good location ( 2nd floor right main entrance ) everything work okay . ask front desk move fully book . oh well . Overall Intercontinental live name . staff friendly / knowledgeable , always recommend great restaurant . we get nice room $ 135 / night , superb value . would say anything $ 180 would good value place . * please note : parking cost arm leg restaurant hotel . 
 Aug 26 2009 	 good stay great price 	 book MH Intercontinental anniversary trip get great price ( $ 114 per night . ) call hotel let know anniversary nice card chocolate room we . nice would prefer wine champagne , gift usually provide Intercontinental hotel stay significant event . husband platinum priority club ambassador upgrade large room disappoint high floor . view still pretty good . the room little musty window open little take care . nice able open window let street noise , mainly cable car . the bathroom small , typical old hotel . towel high quality accustom hotel brand fine . room furnishing attractive enough drawer space 2 people 3 night . end hang clothe hanger , provide right away call . the tv old model ( flat screen ) work fine . also clock radio / cd player room . the location hotel nice , Nob Hill beautiful quiet cable car stop right street hotel .... note mean hill way home ! much immediate area shop restaurant close . preferred area Union Square Fisheman 's Wharf , seem touristy crowded . we experience issue hotel staff , find everyone friendly helpful . enjoy drink Top Mark seat right away friendly hostess . concierge provide good info get muni pass . doorman hail cab . one complaint neighbor room service cart dirty dish sit hall 12 hour . overall enjoy stay would stay provide price $ 200 . 
 Aug 11 2009 	 rude people mediocre hotel 	 hotel severely lack courteous people . seem far chain command get , ruder people become . bell man jovial friendly helpful , . hotel mess reservation finally straighten , send we room ninth floor , smoking floor . huge deal we since we smoker imagine someone hate smell cigarette smoke would displeased . room , find champagne feeling properly mollify mistake rudeness desk ... someone show little later take champagne back ! ( already pour toast lovely view ) . say need champagne back somebody else put room accidentally ! ! friend incredibly insult nerve ask back ! aside warm welcome , room pleasant clean . housekeeping staff , however , seem insult would ask disturb actually come change towel everything anyway . wind really whip floor incredibly loud , kind off - putting . find hilarious another reviewer remark rudeness woman work desk Top Mark exact experience . woman haughty actually roll eye speak manner ensure we insult even speak . ask party could seat without rest call we we run back downstairs , actually laugh insult laugh tell we , & quot ; fine well hurry . & quot ; ' m sure think put sour tone whole experience bar , nice music enjoyable . really 360 view though , want picky . bit old crowd expect , young people , late 20 's early 30 's . check find charge quite bit local call , include call TOP MARK . toss another 5 dollar order pizza street call bar inside hotel . fully expect charge champagne accidentally receive luckily not . good experience price . 
 Aug 11 2009 	 Location not make attitude noise 	 recently spend long weekend InterContinental girlfriend bachelorette party . book travel site May , follow book several phone call ensure request receive ( nothing earth shattering , 2 bed room , non smoking - connect incredibly important ) . know something amiss time call , rang 10 time . assure would problem time . show check - woman front desk say absolutely notes file book two king bed , smoke room ! much attitude , manager come - give attitude say way could get we two double bed room smoking floor . ridiculous . room bad term size decoration . unfortunately , wall paper thin wake several time & quot ; neighbor & quot ; flush toilet showering . loud room feel like room , shower . view spectacular room pretty much 's save grace . decide want housekeeping room crowd luggage want someone else thing . leave room first day , housekeeper start yell we , ask we not want room ! unbelievable ! case miss point , kind enough repeat accusation second day . conceirge non - existent stay , nice people seem encounter doormen . bell hop rather rude try ask hold luggage day departure , rude employee year award go unholy # & amp ; ! $ ! work desk Top Mark . could not get answer front desk anyone answer phone take elevator ask question person . not dress go bar yet , looks receive definitely say feel . incredibly rude , unwilling answer question cut we middle every sentence . try voice issue front desk check simply say & quot ; sorry hear & quot ; move onto next customer . 's attitude be go get every turn . traveler tip : -The hike hill hotel ridiculous . take trolley get day pass . 's well worth ! -The close & quot ; store & quot ; location E & amp ; E Fine Foods pay & quot ; convenience & quot ; beware ! -Do not even use phone call Top Mark . local call $ 1.25 - even bill we call restaurant ! -Avoid Top Mark - view spectacular , wait service worth . be 50 , 's & quot ; hot spot & quot ; ! 
 Aug 10 2009 	 worth money 	 place way expensive .. wall thin meaning noisey . 9th floor could hear side like room . toilet flush loud would think boeing 747 taking bathroom . someone hall way flush tiolet could also hear . lady work behind counter top mark either hate job rude b * & amp ; tch . either way put final nail coffin . I stay king george less half price much pleasurable experiecne . 
 Aug 10 2009 	 wonderful stay worth hike ! ! ! 	 husband return 5 wonderful night Mark Hopkins . Sincce never San Francisco , use combination Trip Advisor AARP select hotel . excellent package include breakfast parking ( lot reviewer complain cost ) , book directly hotel good rate package . every staff member attentive friendly . room 15th floor face south , wonderful view . didnot top mark night , bar scene , breakfast morning . king bed , comfy . room service reasonable quick ( order pizza return night alcatraz tour - also must need book early leave home ) .Concierge help we book city tour . definitely buy city pass muni pass go wherever whenever , tire walking . find August height tourist season , patient , may wait line Cable car trolleys- remember vacation relax , Mark Hopins great . 
 Aug 8 2009 	 Paled comparison 	 San Francisco conference , stay several day . conference Fairmont , oversell last night stay , book last night Mark Hopkins across street . excited stay hotel , also one grand hotel Nob Hill . location wonderful , 4 night Fairmont , Mark Hopkins disappointment . when check , room ready surprise noon , check luggage go lunch / sightseeing . return , show upgrade luxury terrace suite 15th floor . sit room , bedroom , lovely bath glass terrace fantastic view . upon inspection , room poorly lay . bedroom bureau small narrow tv top , surface put anything . desk , cocktail table lamp table . tv old style , even flat screen , let alone hd like Fairmont . book room , specify extra feather pillow , check , request . finally call 1:30 , not , bed hard uncomfortable , could sleep without extra pillow . marble granite bath lovely separate shower whirlpool tub use . however , bath equip water saver shower sink , cause lack water pressure volume make shower unpleasant . hotel seem somewhat understaffed , although price identical Fairmont , ( room price , breakfast buffet , drink price ) huge difference two , Mark Hopkins pale comparison . 
 Jul 26 2009 	 clean bright great view bar expensive 	 's typical modern business centric hotel . well bad large chain . ' ve stay twice family upgrade one occasion . honest upgrade room slightly big well view major difference apart . really top one hill therefore climb pretty steep . be next couple tram line mitigate easily enough . have drink bar top hotel view SF fantastic , worth trip even stay there . fairly expensive though , would look somewhere cheap future . btw - usual type big hotel internet connectivity extra find absurd small hotel give away free . 
 Jul 23 2009 	 get walk Shoes ! 	 boyfriend surprised weekend San Francisco Mark Hopkins . hotel service excellent check - in concierge able get reservation preferred restaurant . room beautiful although would recommend specific view . room service breakfast morning service fast food excellent . the famous Top Mark bar bit disappointment . first night go drink , wound bar wonderful time meet other town take view . second night come back theatre , dressed nine , hope dance . find greet friendly fashion . hostess . hostess find us table ( plenty sure big fuss go past see seat bar ) , surprised see many inside entirely casual attire nightclub ( e.g. , short , flip flop ) . take little bit lustre . overall , hotel good . great location want lots exercise walk Nob Hill , , cable car close . 
 Jul 23 2009 	 Disappointed 	 Booked hotel repute good bar San Francisco & quot ; Top Mark & quot ; 19th floor . whilst view great bar , queue resident get ! bar service extremely poor take 20 minute get drink . outside , entrance hotel small cope arrival car . room , Junior Suite , expect nothing special . mini bar refill ring room service . Sunday breakfast - wait 20 minute get table follow slow service ( breakfast near foyer Sunday prepare Top Mark brunch enough table ) . plus side , business centre good , bell staff attentive . visit several Intercontinental hotel world , first one disappointed . go back Mark Hopkins . 
 Jul 20 2009 	 good value hotel - grand old ldame San Francisco 	 somewhat concerned booking read many bad review . fabulous room view , $ 165 night couple free decadent breakfast every morning . staff exceptionally nice terrific value luxury & quot ; grand old dame & quot ; hotel . could not nicer stay . highly recommend . 
 Jul 17 2009 	 love hill 	 first trip San Francisco , 1 afternoon spend year ago . get really good deal IC hotel website . meet family weekend , live South . really concerned would & quot ; big city & quot ; . travel Bart stop hotel little sketchy ; mom stop homeless people stand around try & quot ; guide & quot ; fee , random guy try pick sister . lesson there - try look like tourist , exactly family look . Mark Hopkins really quite hike hill , love . good workout ! reach top , however , see beautiful view city - fog morning , rainbow even one night . check - in easy , nice room 8th floor nice hotel bathroom ' ve see yet . everyone hotel pleasant , include Concierge . give map direction specific request . walk easy , never use public transportation exception Bart way hotel . walk hotel Farmers Market ( highly recommend ! ) Fisherman 's Wharf back Hyde California get back hotel . definitely hilly , come , ' ve warn someone come San Francisco , appreciate ! one funny note - go hallway late Saturday night take phone call , hear everything happen elevator . spook bit ! would recommend stay find good price like exercise . worth city view . 
 Jul 12 2009 	 Excellent Stay ... Great Room 	 arrive hour early check - in airport , informed upgrade corner suite , would ready couple hour . seem reasonable trade - off , store luggage browse Nob Hill grab late lunch recommend nearby cafe . return , suite ready definitely worth extra wait . suite 10th floor , one - bedroom corner view financial district Bay Bridge beyond . well furnish comfortable king bed marble bath ... nice ! since locate end hallway , experience elevator noise other mention . hotel quiet , staff mention large business group stay three - night stay . the location perfect need . car , thus avoid pricey parking fee , rely walking , cab cable car . walk hotel entertain recommend fit . however , hotel locate one block main cable car line crossing , easy access available Chinatown , Union Square , Fisherman 's Wharf area allow escape throng tourist end day . immediate area also excellent cafe . the desk staff pleasant courteous , although concierge less helpful inquire city tour ... something different mind Gray Line depart Fisherman 's Wharf . prodding , arrange small - group tour excellent . bottom line press want something . room service prompt good . we feel room great value , watch add - ons . indicate previously , parking pricey , internet fee . top Mark must - see incedible 360 - degree view , food drink expensive . still , must try least once . I understand opinion express other hotel may bit past prime , maintain certain class elegance miss small , highly tout & quot ; boutique inn & quot ; around city . may stuffy pricy hotel Nob Hill ( think Fairmont Ritz ) , feel Mark repesent well overall value definitely recommend other plan stay visit wonderful San Francisco . 
 Jul 7 2009 	 excellent location amazing view 	 second time ' ve stay hotel San Francisco ( SF ) . location excellent Union Square ( 4 block ) Ghirardelli / Fish Market Square ( take trolley catch across street hotel Union Square although sure distance , be close ) . hotel sit top one high ( high ) hill SF view amazing ( go Sunday brunch / bar location call Top Mark see 360 view city ... Sunday brunch although nice surprisingly pricey $ 70 / person suggest drink instead ) . exterior hotel high - end room spacious / nice / adequate ( bathoom favorite part room marble ) . feel get money 's worth ( reasonably price primarily location decent room ) . 
 Jul 7 2009 	 find well location well value 	 Mark Hopkins one great hotel building San Francisco , currently milk Intercontinental . physical structure prime shape , five star room six star suite , service weak poor . close restaurant year ago convert & quot ; club , & quot ; gain access around $ 60 day extra . serve & quot ; continental breakfast plus & quot ; , half selection free breakfast Holiday Inn Express . ( , ' m exaggerate . ) convert bar upstairs restaurant breakfast buffet princely sum $ 25 person , offer nothing way egg except one silver bin scramble egg cook , case , 20 story kitchen defunct restaurant . ( think limited service buffet bad ? tack 15 % tip anyway : negotiate contract waiter union , negotiate away right set tip percentage . ) course , be room service , limited hour around breakfast dinner . ' ve close room service night day . stay five - star bed breakfast . internet access expensive severely limit . advertize wireless speed 56 time slow home , higher - price ethernet speed 14 time slow . 's advertized speed . speed measure even slow . $ 14 $ 16 day , around $ 450 month . , compare Holiday Inn Express 's rate $ 0 per month . the speed internet fairly wizze compare water . instal ultra - low - flow fixture mainly pump air + noise , rather , old day , water . stopwatche fill bathroom sink : literally take 4 minute 13 second fill overflow line . shower bad . location , course , key , carry mountain - goat gene , love ! atop one San Francisco 's seven hill public transportation cable car . cable car , course , delightful , depend regular transportation ruinous $ 5.00 per person way . there plenty great hotel flat part San Francisco , include least two hotel great great history Mark Hopkins . check St. Francis , right Union Square truly elegant , grand old Palace Hotel , whose history go back 1800s . aware , though , Palace Hotel also clutch Intercontinental . would well call first find room service extend beyond narrow time window , may need bring water . 
 Jun 30 2009 	 Way way overprice ! 	 book one night Mark Hopkins pre - cruise . nice location nice view . 's get . parking $ 50 per night . wish travel agent warn we . would go best western something . we ask front desk question friendly , clueless . 
 Jun 30 2009 	 ugh 	 Intercontinental Atlanta London disappoint Mark Hopkins . wife end bed bug . bad bed obnious staff . people need go hotel great service learn . mad low price . it be always sad see former great hotel run ground . Nelson 
 Jun 30 2009 	 great rate great stay ( beware stay elevator ) 	 husband stay three night visit sister . Priority Club member fantastic rate ( $ 119 ) . arrive upgrade suite . lovely suite clean well appoint . wrinkle room next elevator . noisy . debate change room , ultimately stay would rather listen elevator another couple . find staff pleasant , not use much not find staff helpful would rather . ask restaurant suggestion ( great ) . also ask map Napa ( went taste one day ) . already know want go , not need plan anything . one thing think important mention hotel tippy top Nob Hill . fit people mind huff puff hill every day . however , elderly injure part party , would suggest different hotel . 
 Jun 25 2009 	 Toss Arrogance Incompetence 	 Hopkins offer great rate know . staff rude overcharge we anyway . politely dispute charge checkout tell nobody could help front desk - checkout time . give number . call number . tell could not help need review tape phone conversation see verified say quote ( one night $ 179 two $ 129 ) . call back later say review tape right sorry . would credit $ 50 $ 600 bill . fine . receive credit card bill $ 50 credit . call third time put hold 15 minute finally hang frustration ( non - toll - free number ) . travel fair amount . understand mix - up happen . not understand treat poorly , take four attempt ( counting ) rectify bill , frankly , Mark Hopkins still open . disappointment otherwise great vacation . 
 Jun 25 2009 	 Great Hotel - Good Value 	 love hotel , room great service outstanding . ( main concierge always seem put ask advice . ) agree reader , restaurant expensive walk block nice , inexpensive restaurant . great room always clean time . even nice turn service . 
 Jun 24 2009 	 Luxurious 	 spend one night Intecontinental Mark Hopkins . reach hotel early check staff nice let we check though room smoking floor . however , rather wait couple hour decide take . complaint . smell smoke faint someone conveniently leave bathroom window air place good . great location able cross street get trolley car go everywhere . pricey , worth . 
 Jun 22 2009 	 ineptitude attitude 	 first last time hotel . open door first room give , another couple inside . second room give still dirty ; bed make food desk use towel bathroom . ask new room give quite bit attitude . finally agree , ask move bag run late dinner . get back later night ... still bag new room . cap experience , go check next day , try charge we internet access never use . there dozen great hotel SF . one . 
 Jun 17 2009 	 Overpriced 	 book hotel discover Trip Advisor forgive make mistake ! location hotel superb commanding view bay howver room nothing write home price . big disappointment restaurant breakfeast - excellent though - bill always $ 150 , wife 3 child age 15 , 13 8 . seem complete rip family hotel do not seem reasonable alternative within close range 
 Jun 16 2009 	 Luxury fair price 	 Beautiful hotel historic building locate swankiest San Fran neighborhood . conveniently locate tour city foot . top Mark wonderful place drink check beautiful skyline . wave steep cover be stay hotel . room face busy street low floor , noise not problem . actually open window weather nice . staff helpful courteous , room well appoint . short , luxury hotel reasonable rate SF . would definitely stay . 
 Jun 14 2009 	 nice place stay SF 	 get pretty good rate priceline hotel . located top hill , little bit walk ( downhill ) main downtown area . hotel grand old building . got room decent view , course , view top floor great ! ( fog clear ) . pricey internet . 
