location 	 totally shocked hotel price central London , come across Bermondsey Square hotel superbreak decent price . hotel modern stylish . breakfast , include price good although drink bar pricey , find hotel . must admit preconception Bermondsey would like totally wrong area trendy cafe shop . the downside hotel location respect tube station , 10 minute walk fine us weather dry would not like walk rain . also mean stay whole day rather return hotel get change evening . however northern line mean handy king Cross go O2 , handy Jubilee line well . review comment regular bus service be not familiar bus route London always use tube . would stay hotel value money , do not think get much well . 
 Jul 27 2009 	 great hotel 	 stay twice year ( weekend open ) , early month . times brilliant service , excellent value money love bedroom facility provide . love shower bathroom , comfy bed , pod dock speaker , apple mac ( though may bring mouse next time ) , fridge stock expensive alcohol fresh milk water , fact pop square buy anything , bar , breakfast next morning , fact could take dog want , Bermondsey area 's rejuvination . love back soon . 
 Jul 23 2009 	 Tip Top - love 	 stay week two day . hotel lovely one good ' ve stay business - find invite alot much modern 's set room . 's 10 min walk max London Bridge plenty little bar delis nearby area . this place stay ! 
 Jul 10 2009 	 excellent modern hotel upcoming area 	 stay recent business trip London mature demographic say suitable young traveller ! hotel new , well appoint room everything need . location far fast develop London Bridge area , multinational staff go way helpful , include sort arrange refund misunderstood extra night 's stay ( fault ) . good rate website . 
 Jul 9 2009 	 great Stay 	 newly open hotel ( April ) , highly recommend ! stay one night Lily suite , superb , balcony hammock ! ( plus WiFi , Ipod dock sound system , computer . ) find staff helpful keen please , would hope . breakfast good , everyone restaurant around us complimentary , food hotel . we walk hotel local tube station , not problem central . ( not notice safe room . ) 
 Jul 7 2009 	 great hotel - love ! 	 love hotel . sister stay 2 separate room . location fine - close London Bridge . reception welcoming . room lovely - bed amazingly comfortable everything feel / look new clean . bathroom lovely shower gorgeous . tv work perfectly ask keyboard arrive immediately work perfectly . love fresh milk tea / coffee rather usual uht small container complementary water fridge perfect . sister visit spa impress Daisy lovely job nail manage thing . think also excellent value money would definitely recommend . 
 Jul 1 2009 	 love hotel ! 	 ' ve stay twice , would really recommend hotel . room really good size , modern stylish . Love Mac TV ! staff really friendly . restaurant quite find , always busy local , good sign . delicious breakfast lunch , well drink funky bar ( , busy local ) . be easy 10 minute walk Borough Market , nearby Bermondsey St cute daytime cafe . 
 Jun 18 2009 	 funky place probably well young - ish traveller 	 stay 4 night week think great . walk tube 15 minute , daunt big suitcase , walk whole way completely fine ! hotel really like , design conscious nice bar hang . room comfortable , huge good work ( i.e . quiet , good desk light ) . like good neighbourhood . London many time , great non touristy area , trendy come . lot great restaurant around discover . I would definately recommend friend , parent ( due young - ish nature neighbourhood walk tube ) 
 Jun 1 2009 	 stylish Room uneven service poor location London newbie 	 make reservation mess ask twin room rather one single double bed . email correct receive confirmation move . nevertheless arrive still give twin room , option move another room ( full day ) . give option move another room follow night , staff combine bed somehow . want avoid hassle move choose latter option . imagine shock come back room second day find luggage miss ! turn overzealous staff move we ( without permission ! ) another room . sure convenient , would nice warn beforehand could pack unmentionable secure valuable . second time mess request ... upon check - in pre - authorize total room charge credit card , plus £ 50 per day deposit , make sure enough credit room shopping . credit card expert confuse difference pre - authorization actual charge , bit put - open deposit . inquire front desk twice . second time explanation sprinkle & quot ; like tell yesterday & quot ; , combine expression face make feel like try patience and/or talk . friendly . the room stylish small side -- hardly space lie 3 piece luggage still able comfortably walk around . twin room closet , one half - sized drawer . bathroom soap shampoo , toothbrush / toothpaste , bring . requisite tiny cooler , closet , iron / ironing board , safe . twin room miss iPod dock ( really cared ) . in - room free wi - fi unreliable -- download 500kb PDF instantaneous one time , take minute next . third half web page load time . not even bother voip.the restaurant downstair medicore breakfast buffet . dinner well expensive -- expect typical hotel restaurant price -- quality varied . order dish two separate occasion though basic ingredient still style preparation different enough look like another dish . lastly , automatically add % 12.5 service charge , wi - fi not work . overall would not eat unless ( like we ) be tired go restaurant - hunting elsewhere , lead we ... location : besides grocery surround area devoid anything interesting . nearby restaurant , shop , bar , row dreary tenement . antique market Friday morning practically hotel doorstep , worth maybe 15 minute look . as distance tourist spot : know trouble airport shuttle driver ask choose hotel far away ( also mean drop last ) . web site review make sound like not far , near Tube station 15 + minute walk away , big deal be come home tired hungry 's cold raining . exception -- notably Tower London -- tourist spot hour away , 's lot walk . like take bus not like hoofing , ' London UK native figure bus system take effort not want spend vacation , especially need research route unreliable in - room wi - fi . take bus also little nerve - wracking since route bus stop location change ( encounter case ) . also bus sloooow . traffic , also endless series traffic light seemingly every intersection . Overall Bermondsey Square decent hotel , especially never need interact front desk . still ' recommend inconvenient location . one final note : since flight leave late ask front desk hold bag check shop around . end store bag ( along bunch other ) rest room ! final impression hotel image toilet bowl surround luggage ... 
 May 28 2009 	 Smart Chic hotel great friendly staff 	 arrive late , problem , even manage get drink Alfie 's bar . love decor , bedroom really nice , lay diagonally - include bathroom . twin double , bed exceptionally comfy ( do 15hr day ..... maybe biased : ) ) breakfast great , make order ( rather hot buffet ) allow bit time service , good fresh coffee ( ' m particular coffee ) , fresh orange juice . staff really friendly , lot diverse nationality speak excellent English especially lithuanian barmaid , UK 7 month ! planning use regular basis near City London overseas client visit office . 
 May 26 2009 	 Fab Funky 	 arrive late helpful staff , clean hotel lovely room . room airconditione temperature set constant temp 19 degreeswhich warm husband could not change ( though fair do not ask reception ) love . lent keyboard connect internet would not work despite 3 change , however staff really try help we find information require feel ' blip ' whole enjoyable experience would definately go back 
 May 19 2009 	 would return 	 ' Bermonday Square Hotel May 2009 . leisure travel wife . I ' positively impressed hotel . well furnished , clean calm . atmosphere relax there . the bath clean big shower . the area completely restore building square recently build , ' near Tower Bridge . if want find negative aspect hotel may distance underground station , quite far . definitely would return . 
 may 18 2009 	 stylish hotel trendy area 	 sytlish hotel high spec room good price . 15 min walk London Bridge come Bermondsey Square area cluster restaurant , bar shop doorstep . friendly staff help . 
 May 17 2009 	 nice boutique hotel 	 have originally book secret hotel Lastminute.com ( not find hotel ' ve book ) , turn Hilton London Tower Bridge Tooley Street . day check - in , flood Tooley Street think mean guest hotel relocate . offer another Hilton , Docklands , not centrally locate mixed review . luckily not leave London , time think . ask alternative , offer we Bermondsey Square instead . the hotel 15 minute walk London Bridge tube rail station . be slightly close small Borough tube station ( Northern Line ) . alternatively jump C10 bus outside Borough take right past hotel 3 minute . hotel Bermondsey Square , seem like interesting area lot regeneration . antique market Friday morning square . interesting shop / restaurant Bermondsey Street ( also direct route London Bridge ) . also far Borough Market good selection fruit / veg / fish / meat / cheese etc . the hotel interesting decor , obviously lot input graphic designer . room normal size , split diagonal area . desk area occupy part room , bathroom one corner ( walk shower , bath ) , bed occupy rest . 's small fridge milk water , think complementary rather minibar item have charge . room also Apple tv corner . first night could not figure work , ask reception next day , get instruction fine . also get wireless keyboard use free internet access tv . problem get work ( faulty hardware think ) , one receptionist come fix we ( helpful friendly Shynah ( sp ? ) ) . use computer , will either need work enlarge text , sit edge bed close screen read properly . 's internet access , also access application . well tv / radio channel , play dvds cd , plug mp3 player . hotel not gym , deal 37 degree , right next City Hall ( 15 min walk ) . get voucher hotel free use gym . gym good , although girl reception might helpful . fairly quiet Saturday morning . decent amount equipment , although treadmill use reason . plenty cardio , resistance weight . also couple room class , pool , sauna , steamroom , solarium , box ring ( ! ) , health / beauty salon , pilate suite , etc . hotel restaurant / bar call Alfie 's ground floor , seem popular . eat , breakfast . Buffet breakfast ( cereal , bread , cheese , yoghurt , fruit etc ) £ 9.99 , full cooked breakfast , include porridge ( plus one option forget ) £ 15.99 . also individual cook breakfast item could order individually around £ 5 - £ 7 , like kipper , scramble egg , etc . overall pretty good , good service . chance have happy stay . 
 May 17 2009 	 smart stylish hotel 	 comfortable room peaceful location . trendy bar restaurant downstairs locate end Bermondsey Street - number nice pub , restaurant shop . tube + /- 10 - 15 minute walk away , traveller may prefer hotel centrally locate . fine . room also great view London skyline ! 
 may 5 2009 	 Brand new stylish hotel friendly helpful staff 	 stay one night prior London Marathon please . room nice particularly enjoy tv ! ! ! travel young daughter travel cot provide hotel . bathroom shower fine even 12 month old , something aware travel little one might want bath . great location - close London Bridge . 
 May 3 2009 	 lovely hotel modern chic attentive staff 	 recently stay hotel husband 2 child tick box . fabulous trendy room , ideal 2 kid interconnect . modern chic . great location , staff really helpful lovely . breakfast yummy . would definitely recommend . 
 May 12 2009 	 Elegante Tranquilo 
