pretty 	 book package 1 night , two 1 hour massage , breakfast , valet late checkout available website . consider get , would consider good deal . location good . turn right leave hotel Bell Center , couple resto convenience store / gas station . go leave downtown core . bad sketchy location , not like noise , get downtown . Turn leave center city , perfect location someone want stay downtown Old Montreal , different . check fairly early 3:30pm . ask smoking policy non smoking . offer room balcony , upgrade , free charge . perfect ! room suite , great bathroom , kitchenette , etc ... furniture modern stylich . nice . spa good , super luxury nice 12th floor urban spa . pool nice tough hot tub amazing ! ' m Montreal never see nice view outdoor hot tub . great urban getaway . order room service , touch slow everything good deliver class . Valet helpful concierge seem top notch , overhear people make club reservation , etc ... overall hotel nice , new , friendly hip . satisfied really enjoy downtown vacation . pretty much ideal , especially use hot tub ! 
 Cool Great Customer Service 	 hip stylish room , great space bathroom big clean . attention detail wonderful Martin front desk could sweet . definitely back ! 
 Sep 7 2009 	 ok Hotel 4 Stars Hotel Service 	 oh Well iSTt arrive hotel , Front Desk People friendly check , fast , lobby beautiful , excited , .went room , expect great room , 300 $ , price oh well ordinary , style , modern room , cramp feeling , nice bed Somewhat Small Room , tiny living Room , cheap furniture , kind find Target , small kitchenette galley , bathroom Nice , clean , ok accept like , excited complain front friend , well suite hotel find major highway usa , like amerisuite , hotel previously stay california summer , pay $ 79 we , per night , amenity , like gift shop , great breakfast nice lobby entertainment like late open bar , none hotel , find great breakfast place ard corner cora , crowded bar crescent street , next block , blast , hotel part appartment , hear clean lady Time Sharing , hotel , Funny surpse , Hotel even tow , beautiful first , do not Soul , really look like Luxury appartment Building , Big Cities , Bt seriously want go vacation , want feel like vacation , Renting , Sublet Boring Appartment Building Extras , like Gift Shop , Late Dinner Restaurant , Bar Nice Music , None Findng Le Crystal , oh yes beautiful Crystal Chandellier , sadly able compensate , Lack Amenites , 
 Aug 30 2009 	 Sweet Suites 	 visit Montreal least year dividing stay city center Old Montreal . try five hotel choose one base review site desire try yet another Montreal hotel . overall pleased choice . Most room boutique hotel suite . choice deluxe suite layout bedroom locate middle suite without direct access window . glass see though panel open living area . living room / dining area two floor ceiling window make lack outside window bedroom . also kitchenette area , , enough storage space room bathroom . look suite contemporary slight minimalist feel . bathroom spacious nice , little boring side ample area . the area hotel use swimming pool nice . locate fourteenth floor wall glass two side . also outside terrace lounge chair hot tub . small change room nearby shower , sauna . gym area nice big window , enough equipment complete workout . spa also locate level investigate . try drink hotel 11:15pm Saturday night learn possible . surprising disappointing nice hotel size could provide basic service . we also could help notice service hotel friendly . normally complain service even service problem , almost every employee encounter barely friendly . overall enjoy stay property , especially spacious room nice pool . feature important hotel good choice . also right across street Bell Centre happen attend event . 
 Aug 26 2009 	 Sweet Honeymoon Hotel 	 travel Montreal honeymoon . book Hotel Le Crystal base many positive review read not disappoint . hotel nice location downtown , within easy walk plenty restaurant , bar shopping , include Underground City . one small suite , still plenty big enough honeymooning . decor modern clean . bedroom separate living room glass wall . room flat screen tv 's living room nice view city . bathroom huge shower rainshower head regular shower head . maid service excellent . initially trouble air conditioner immediately send service man fix problem . ask additional towel deliver quickly . front desk people friendly helpful , make restaurant reservation request . , hotel great . 
 Aug 25 2009 	 fantastic stay - not want leave ! 	 book [ -- ] .com take chance new hotel . we 3 not room ready right away , little worried thing would go . however , delay brief give access fantastic suite enormous 400 sf patio overlook restaurant patio . room quiet , bathroom incredibly spatious rest room well appoint well lay out . the concierge staff fantastic . good advice restaurant , one even go far arrange pre - diiner cocktail house us first book - nice touch . the location great , staff fantastic , will love room . not overlook one ! ! ! 
 Aug 25 2009 	 great room service excellent pool 	 travel sister young kid , upgrade superior sweet room not quite ready . not huge , bathroom , glass shower , soak tub , generous double vanity , Molton Brown toiletry . decor modern , comfortable interesting . little touch like iPod dock , kitchenette fridge microwave , faux fur throw make we cozy room . saltwater pool gorgeous , glass wall reveal great view Montreal , outdoor hot tub deck heavenly . pool always seem visitor , surprisingly . lobby cool funky , find staff really helpful dinner reservation , parking , etc . , always basket apple front desk , definitely pleased kid . hotel property easy walk distance couple different Metro line , great breakfast place nearby call Eggspectation , couple block north Rue de la Montagne . serve huge cafe au lait fabulous brioche francaise bananas cinnamon . overall , feel hotel lovely , comfortable , modern . great value , really good location , pool huge bonus . 
 Aug 25 2009 	 Fine Hotel five Stars Means 	 go Montreal long weekend 2 child . Hotel Le Crystal excellent location - convenient fantastic restaurant , Old Montreal shopping . hotel offer valet parking , helpful since drive Montreal . stay Deluxe suite - small bedroom , small living room , galley kitchen balcony . want suite two kid ( 10 & amp ; 12 ) share sofa bed wife private bedroom . work fine . decor minimalist - clean , sumptuous . bathroom small , elegant . sink drain properly ( call maintenance , still work poorly ) . balcony cement stoop uncomfortable furniture . however , shower great . service staff extremely attentive , room ready ( take two hour promise ) . compe parking acceptable we . hotel park $ 26 / day . open , unsecured lot across street $ 8 / day . concierge EXCELLENT - give we great restaurant except one . eat : Beaver Hall , Irish Embassy ; Winston Churchill ; Eggspectations , Pain Diore . Skip Trinity ( greek seafood - price , loud ) . valet front desk also attentive . overall experience fine , expect five star hotel Le Crystal 4 good . worth $ 289 / night pay . go Montreal , would choose different hotel . 
 Aug 20 2009 	 nice kink work 	 go Montreal long weekend without child . Hotel Le Crystal excellent location - convenient fantastic restaurant , Old Montreal shopping . hotel offer valet parking , helpful since drive Montreal . stay junior suite - small bedroom , small living room , galley kitchen . decor minimalist - clean , sumptuous . bathroom large , elegant . however , shower great . Hotel Le Crystal two problem - food spa . service staff extremely attentive , food bad city . also , least , spa treatment waste money . young girl friendly talkative , massage leave much desire . go Montreal , would choose different hotel . 
 Aug 16 2009 	 Montreal 's Crown Jewel 	 magnificent property , BEST location service extraordinaire . Walk St. Catherine Crescent St , Bell Center arrange Bellman take & quot ; Old Montreal . & quot ; not get convenient . the nightlife , taxi need . fabulous restaurant , taxi need . sport event , across street . concert , ' m sure & quot ; star ' & quot ; stay . the accommodation superb , internet access free . beautiful spa , excellent fitness equipment ( view ) salt water pool hot tub . outdoor deck view Mont Royal set sun , BYOB.You can not go wrong Crystal , wish 'd franchise could stay worldwide . 
 Aug 15 2009 	 highly recommend 	 book hotel hotwire , website name hotel reveal full payment . pleased learn book Crystal already read positive review . Crystal locate downtown Montreal , opposite Bell Centre . block surround hotel dull short walk shopping street 15 min old town . my room well appoint equip . consist kitchenette , work living room area separate bed room . colour soft natural , maybe tad boring . bedroom living room large flat screen . content ample storage space ipod dock desk . internet free charge work fine . the double bed extremely comfortable narrow . would recommend duos book room twin bed . the health club modern equipment small swimming pool jaccuzzi view , delicious lunch restaurant writing review . major complaint would breakfast buffet limit . breakfast cafe area instead . I would say top choice business traveller . tourist might well choose hotel old town . 
 Aug 12 2009 	 good choice Montreal 	 stay Le Crystal long weekend one two room suite ( 512 ) . room excellent spotless , include two flat screen , comfortable living area bedroom . microwave , dishware , espresso maker room bathroom huge , double sink , stand shower separate tub . staff friendly help we find great sushi spot ( call Zen - Ya highly recommend . be little hard find , worth get inside ) . Angelo 's italian ) also good . park valet $ 26 / day , although outdoor parking across street $ 10 / day not mind open lot . gym roof top great well . think hotel good location top choice , around corner Crescent . definately stay back Montreal . 
 Aug 4 2009 	 good value well 5 star hotel 	 bit surprise rapturous review site - yes , hotel good value money compare city around world , way comparable top 5 star establishment . foyer area rather sterile uninviting , restaurant food quite good breakfast appalling ! freshly squeeze juice ( even Tropicana matter ! ) , meagre selection pastry bad coffee Montreal . city great restaurant shocking , room service well . however , coffee Millesme cafe bad , be worth pay extra getting morning coffee . hotel 's year old , already see sign wear tear - our carpet executice suite rather badly stain , room fill smell smoke , fair staff try rectify . the kitchen area nice , ' m sure bring young family convenient separate shower room / toilet sofa bed livign room area . room spacious ( expensive room bar penthouse suite available ) not exactly kitte luxuriously 's obvious use cheap material build everything . however , spa nice , gym ok , pool area hit miss . Breakfast sorely need improve , staff could little knowledgeable . also turn need later day , want curtain close 4 pm ? LOT curtain ! staff perfectly nice bell boy / valet service good . also free internet useful . not sure would stay , possibly come small family . the area near shop nice department store , montreal charming neighbourhood . 
 Aug 3 2009 	 Ideal 	 Loved , love , love hotel ! location perfect -- block shopping St. Catherine 's 3 4 block Peel metro station . tech - savvy / intrigue , room key power room . loved wetbar w/ microwave mini - fridge . wireless internet unavailable stay ; however , computer downstairs job . staff accommodate ; however , sure press & quot ; Disturb & quot ; button go bed -- housekeeping rang doorbell 3 time ( 10 am ) first morning ! frontdesk staff helpful . trouble unlock safe send technician 5 min resolve issue . early flight valet / bellboy ensure cab waiting take airport . Le Crystal wonderful hotel definitely stay ! 
 Aug 3 2009 	 Great Hotel ..... BEST SERVICE .... everything walk distance 	 come large group get 5 room 4 night . would say , service incredible . one room complain anything ..... trust , group would find something . may family style hotel , spot special weekend need get away . suite , awesome restaurant patio & amp ; DJ . close everything , shop , bar , night club , restaurant , anything need . Montreal great , well spend cash stay LeCrystal , worth . give prop house keep crew , lot work maintain place like other . thank Francais ( Frank ) rest staff . Hope let roudy bunch come back . 
 Jul 28 2009 	 Amazing Accommodations ! 	 stay Le Crystal 4 night amazing time Montreal hotel . staff service top notch . accommodation immaculate stylish without snooty . nothing complain . saltwater pool rooftop jacuzzi great plus ( much welcome walk street Montreal ) ... already miss city hotel ... back ! 
 Jul 27 2009 	 great location Service Rooms ... 	 let us get bad way ... breakfast may bad Montreal . ays Inn quality ... could even eat , third time try . end walk Chez Cora nearby good breakfast town . third stay , room ready check time 2 3 time . recommend get 90 minute check call ahead way see room ready . WOW lame ... otherwise hotel nice . service typical Quebecois trying nice tell really try hard . room clean spacious , executive suite nice . location could well . new bar hotel nice , especially outdoor part summer . expect pay least 30 - 40 % summer winter . order room service help . lame . many restaurant nearby really get eat much possible . I stay , would recommend bring kid age 16 . really mean adult , unlike Loews Vogue cater kid upscale guest well . 
 Jul 26 2009 	 Immaculate ! 	 beautiful hotel heart downtown Montreal . step shop many restaurant . staff friendly , arrive noon let we room right away , appreciate . room immaculate . little kitchen area convenient beautiful , grantie countertop , equip microwave , stove , sink , coffee / espresso / cappucino machine . bedroom separate room , close rest suite slide door . live area nice spacious balcony , furnish table chair sit outside . Bathroom beautiful not bath tub , large shower . would definitely stay ! 
 Jul 22 2009 	 even well expected 	 spend five day Le Crystal July reviewing web site expect comfortable suite amenity . expect sheer pleasure quality hotel . beautiful spacious room separate king bedroom , enormous bath soak tub separate shower , twin sink , storage well beyond ever see hotel , Nepresso machine delight we every morning , wonderful pool spa . joy return evening exploring delight Montreal . make hotel even well quality staff , cheerful , pleasant helpful without cloy . everyone meet : desk staff , valet , waitress breakfast , pool staff especially concierge . staff commend . another note : finish visit dinner europee , truly experience endless series dessert . also delight little restaurant around corner Crescent , Bistro le au Logis , wonderful choice tea fresh , beautifully prepare , korean speciality well adapt western taste . charming service , elegant chef son , intrigue art work . delight ! 
 Jul 20 2009 	 shiny new property come HIGHLY recommend 	 firstly , easily recommend property . suite property price would get nice room similar hotel city . suite stay remind nice executive corporate apartment , believe developer sell within high floor building . several day prior arrival , call request dinner reservation , include late reservation Au Pied de Cochon . pull , really appreciate . an unfortunate event stay hotel 's control . city plan water shut , interfered ability get ready morning . seem like take hour rusty water clear system . give additional appreciation large bathroom large separate enclose shower top notch hardware . toiletry high quality . wish management great assistance . offer two small bottle house label water . lunch downstairs good bargain , okay quality . Location de la Montagne , seem little edge desirable segment street . 
 Jul 15 2009 	 First Class Gorgeous 	 hospitable staff concierge make stay worthwhile . room service excellent quick . bath amenity superb include & quot ; rain shower & quot ; delightful . lot interesting magazine near tv sit area ; bedroom tv also convenient . the 8th floor room utility room next extremely loud wake every single evening ... several time night . disturb negative . big negative ! would stay room daughter do not want repack . Le Crystal locate close several great pub , Rosalies , superb Chez le Mere Michel ... two block great shopping . 
 Jul 10 2009 	 good hotel Montreal -by far ! 	 ' m 100 % clear TripAdvisor ranking work , ' m sure equation take account overall number review . 1 year old , Le Crystal must enough overall review , make mistake , nice hotel city ! travel Montreal least 3 time / year several year . yet stay hotel twice , always room improvement . , . previous review right : high quality bed linen experience anywhere , exceptional service , high class furnishing , bathroom die , quiet suite ever . even door suite quiet- slow closing , completely seal absolutely hallway noise get . pool hot tub area beautiful . location central . perfect . issue may price ; nice hotel around ( although nice ) Gault , Germain ( although need update ) Loews street . manage decent price skyauction , try stay competitive price wise . afford , well go ! ( make sure take Metro walk explore Plateau / Mont Royal area spend time downtown ) . La Colombe duluth- small French Bistro worth trip Montreal ! 
 Jul 5 2009 	 extremely comfortable superb 5 star service 	 upon first glance Le Crystal Hotel , know good stay . outside sleek modern look nice lobby sit relax . front desk staff , bellhop car valet 's right mark everytime . Julien exceptional pleasure check morning true 5 star service . service entire hotel excellent extremely efficient . stay deluxe king suite ( entire hotel suite ) real nice living area couch 2 nice leather chair comfortable view one two flat panel tv 's room . seperate bedroom slide door bed one comfortable ever sleep . stay many fine hotel around world extensive business travel never recall bed confortable . room quiet , thought one stay hotel know hotel close fully book weekend ! suite also Nespresso coffee maker room well stock different coffee 's , espresso tea . small kitchenette area suite stock refridgerator , microwave , plate utensil . we nice view downtown Montreal location stone throw away Bell Center , home Montreal Canadiens hockey team . travel wife 2 young kid love well . eat breakfast hotel restaraunt excellent . location great walk shopping , famed & quot ; uderground & quot ; shopping , restaraunt night life . hotel true 5 star gem miss travel Montreal . 
 Jun 25 2009 	 extremely comfortable excellent restaurant 	 large comfortable room . staff freindly co - operative , although organize efficient one expect 5 star hotel 
 Jun 9 2009 	 Service 	 not think ' ve ever impress hotel ! Hotel Le Crystal exceed expectation ever accommodation ever ! ! ! book hotel incidentally Hotwire since go conference . took & quot ; deal & quot ; 5 star hotel $ 130 / not end 1 bedroom suite ! incredible , unbelievable steal ! ! ! place courteous service . several example : arrive could not seem locate front door . gentleman hotel restaurant tell we door , also quickly grab luggage escort us restaurant hotel . run quickly could not even manage get tip purse quickly enough show gratitude ! forget toothbrush one room within 3 minute . actually , bring 2 ! get blister much walk bandaid room within 5 minute . I want ask question St. Joseph 's Oratory fresh printout website door within 10 minute ( amazing ! ) .Whenever need taxi , make sure one - , within minute ! answer question get around city take metro . outline thing us map . not know answer question , quickly find someone do . we call ask noise occur early morning offerre free upgrade ( not take since already unpacked plenty comfy ) big suite free breakfast - wonderful . apologize down . every request meet courtesy , respect , smile . nothing imposition . people happy whatever need . matter staffperson ask help , immediately act . ask maid toothbrush , waiter direction , restaurant employee door , etc , outside front desk staff concierge . everyone really toe ! also happen pregnant - many request person . point really not feel like wear dressy clothe make face . look casual hotel 's standard - not treat differently . hotel gorgeous . suite generous space , include enormous bathroom shower . two flat screen tv 's . bed super comfy . everything within walking distance ! not feel like walk , metro one block away go everywhere . the issue loud noise associate plumbing occur morning - likely associate people shower . would often start around 6:30am intermittently recur 1.5 hour . loud enough wake . one night happen 3 am , call . just amazing . nothing short . would go back pay twice much still feel get good value . 
 Jun 5 2009 	 man nice place 	 well , forget hotel ... place great ... pricey go vacation forget price . room suit two tv 's one bedroom one living area . like , wife tiff program watch . bring walking shoe , buy 3 day pass metro ... take bus ... driver good ... get please ... see city ... old town must . bad , weird people everywhere . bring mucho money ... unless youi go eat Mc Donalds , food little high ... good luck .... 
 Jun 3 2009 	 's true ! 	 hotel one good ever ! husband stay 3 night may good experience ever . staff nice attentive . every question every concern address . room great . upgrade urban suite Superior suite without even ask . bathroom huge , large shower jack / jill sink . great separate living bedroom area . speak bedroom , bed well Ritz place ever stay . 's pillow top mattress soft sheet great pillow . Jacuzzi deck indoor pool great place relax dinner sightseeing walk around . expensive hotel , get great deal Hotwire . hotel locate English speaking side , walk distance Old Towne , Basilica , underground mall , bar club . great irish bar across street , Old Orchid . mood authentic french meal , Chez La Mère Michel , great restaurant . food delicious service great . 's family own restaurant waiter , Marc , work year . not go Globe restaurant regardless anyone tell . service bad will ever get , worth atmosphere money . go Montreal , Hotel Le Crystal must ! ! ! 
 Jun 1 2009 	 spoil future visit Montreal 	 visit Crystal husband young daughter , another couple . hotel unable provide we side - by - side room request , 4 door apart issue . room beautiful -- describe numerous reviewer , suite , separate living sleeping quarter . ' m mattress snob think mattresse Crystal extremely comfortable . daughter sleep sofa bed , ( 3 ) not bother -- , experience lie reading book night enough convince would not want spend whole night ! ( , would not book hotel room plan sleep sofa bed -- warn picky sleeper use like every sofa bed ever meet ! ) bathroom , rainfall shower soak tub , perfect . nix pool last day daughter , find water temperature bit cool develop cold -- perfectly happy play warm tub instead ! amenity kitchen perfect , sink , plenty space refrigerator leftover , even microwave kettle ( toaster , think ) . not drink coffee , would love cappuccino maker room . husband , 's & quot ; regular coffee & quot ; guy , would like coffee maker make demitasse time . the pool area beautiful , fill light wrap - around window , much large expect . state , would like water temp bit warm , daughter certainly not mind husband not seem either . outdoor hot tub big ever see , wish , , bit warm ( ' m person usually like keep hot tub 100 ) . outside , Canada , air cool enough couple extra degree hot tub would much welcome . the location hotel perfect shopping , convenient Metro go far afield . parking convenient valet staff quick courteous ( aware add $ 26 / day bill parking -- hotel area well ) .On previous visit Montreal stay Hotel de la Montagne Delta . Crystal would seem expensive option good deal available would definitely choose Crystal first future visit , thing equal . 
 May 26 2009 	 Great Holiday Weekend 	 wife spend three night wonderful hotel . spacious suite ( non - fireplace , non - balcony suite ) . really enjoy 2 tv could stay late unwind living area wife sleep bedroom area . the hotel staff friendly helpful . we enjoy rain - head shower soak tub . the expresso machine nice touch mini - bar fridge enough room put leftover later heat - up in - room microwave . everything still new - feel hotel . the pool hot tub seem always busy stay . would nicer stay open little later evening . the negative temperature room . air conditioning claim would go 18 degree celsius would 64 degree fahrenheit . never get cool , especially bedroom . night open two large window living room bed behind wall , breeze never really hit we make sleep little warm we . be type would not mike see breath sleep little tough we . only thing cause leave one point cleanliness bottlecap stay spot hallway entire stay make we think not clean carpet hall . 
 May 19 2009 	 piece Heaven Montreal ! forget rest - stay ! ! 	 stay Hotel Le Crystal week recently , experience great feel compel write review ! hotel reception , hallway , bedroom decorate beautifully . room massive - separate living room , bedroom , kitchen area , massive bathroom ! truly impressed set - up . sofa living room also sofa - bed . kitchen area come kettle , micowave , coffee machine , tea , coffee , cutlery , plate . come handy couple time decide get takeaway relax room evening . 2 large television set ( ! ) - one bedroom , one living room . mattress pillow super comfy - will feel 10 year young waking ! walk - in - shower 2 different shower head , excellent water pressure , large vanity area . the free newspaper door morning nice touch . however , absolute favourite bit hotel spa area 12th floor . open 7am-9pm , use facility inclusive part stay . excellent facility include large hot tub ( still can not stop think ! ) , large swimming pool , 2 sauna , towel , recliner chair . locker change room make thing even easy . also gym open 24/7 . clean incharge area daily amazing - never see man scrub polish repeatedly smile ! germ chance ! leave area immaculate do , would keep come back check it . the front desk staff superbly helpful everything , free internet station downstairs come handy well . term value money - think get way beyond pay . visit Hilton Metropole conference stay , comparison ! ! Hotel Le Crystal blow water - ' m glad choose stay Hotel Le Crystal . , absolutely thrilled , ever montreal , definitely stay again . the location excellent - everything within walking distance . get hotel airport cost $ 25 . take coach service call L'Aerobus . buy ticket booth airport , coach take central bus station . , free shuttle bus service drop Hotel Le Crystal . way back , call one day advance make reservation seat back coach . otherwise take taxi , cost lot more . my dislike hotel restaurant , essentially vegetarian option menu . result , not meal hotel 's restaurant . amazing vegetarian restaurant within 7 minute walk distance hotel call & quot ; Le Commensal & quot ; - must go incredibly delicious , healthy , fill food . finally , think supply & amp ; support canadian Brand toiletry ( shower gel , shampoo etc ) instead Molton Brown London product . go Canada experience Canada , remind london ! ! , 2 minor issue , lush ! ! would happily pay another stay . seriously , forget rest hotels downtown montreal - real gem ! 
 Apr 26 2009 	 Fantasic hotel . everything first class room service 	 stay superior suite Easter weekend . room suite room even well expect . bedroom lounge area separate slide door , LCD tv bedroom lounge sofa small table lounge area . the bathroom enormous twin sink , wide deep bath separate walk shower . there small modern well equip fitness room . pool , sauna rooms deck cold check , look nice . we eat hotel restaurant night arrive rather search somewhere else late , food & amp ; service good hotel bar small nice nightcap . the staff friendly front desk helpful good restaurant recommendation even offer book onward train ticket . very much recommend anyone visit Montreal . 
 Apr 20 2009 	 first class 	 much research husband choose Hotel le Crystal trip Montreal . read review worried choice , however , prepare first class treatment receive . front desk staff friendly gracious . ask question answer not find answer we . suite stay large airy espresso machine variety flavour choose . bathroom huge bed comfortable . not know hotel list top 5 hotel Montreal . great location good staff ever deal life . ( ' ve Walt Disney World time staff excellent ) . stop check let front desk know impressed . go back keep give kind service . 
 Apr 10 2009 	 Best birthday Treat ! 	 stay Le Crystal end March website review ( wonderful ) not outstanding hotel justice . treat begin end - early check - in , chocolate cover strawberry , amazing service , room service request bring champagne glass + china coffee , cake , etc - do extreme professionalism friendliness . staff absolutely well . we birthday - originally give free upgrade Superior Suite , son treat we additional upgrade Deluxe Suite - treat . ten floor incredible view , fabulous sitting room ( 10 people drink hor d'ouevres comfortable ) , lovely mini - kitchen , incredibly comfortable bed luxury bathroom . way , get super rate Expedia . we fun tourist city enjoy couple hour soak roof - top hot tub sun deck - know have able Montreal March ! ! ! not time sample Spa , give tour 's really beautiful . I would recommend hotel heartbeat hope go back . 
 Apr 7 2009 	 beautiful comfortable 	 hotel room impeccable - great style , clean , chic , functional . actually stay twice early 2008 love time . cleanliness : absolutely spotless everywhere , include gym ( great way since great view state art machine ) .service : polite courteous front desk bellboy . location : locate right downtown core easy walk everywhere , St. Catherine 's St Bell Center ( right across street ! ) .value : expensive worth every penny room wonderful comfortable stylish . bathrobe great touch ! room : ' ve say , fantastic . never stay nice hotel ' ve stay share fairmont equivalent hotel . overall : would return recommend everyone - make sure be willing take hit wallet ! 
 Mar 26 2009 	 Honeymoon Le Hotel Crystal 	 hotel beautiful . service staff impeccable . go way make room perfect honeymoon . claudine front desk angel James Valet new consierge help we every place want see . would stay Crystal . 
 Mar 24 2009 	 absolutely fabulous . 	 Le Crystal absolutely perfect . three day sister mother girl weekend officially make retreat hotel Montréal . ' stay anywhere else on . first , guest service outstanding . guy front desk trip help we yway . flight arrive early ( 7:30 a.m. ) Montréal arrive hotel early . expect check , leave luggage perhaps freshen little . provide pass pool spa 12th floor use lady change room get ready day shopping . leave front desk ask cell number could call room ready . say would around 1 p.m . call 11:30 a.m. ! still Sainte Catherine ' ( one block away Le Crystal ) . make way back hotel around 1:30 p.m. check in . our room great . superior king suite . huge soaker tube bathroom nice shower complete suisse rain shower head . find room cosy perfect three lady get away weekend . we visit outdoor rooftop hot tub every day . Jacuzzi ice cake beautiful hotel . tip : March sun hit hot tub 3 p.m. 4 p.m . 
 Mar 22 2009 	 beautiful modern hotel happy not one pay . 	 stay 3 friend , one suite ( think hotl suite ... might wrong ) . friend 's prom , father get we room could good time 4 we together . hotel build last year show . 's simplicity add . outdoor spa 12th floor offer great view city . 
 Mar 9 2009 	 great hotel great location 	 get hotel Hotwire steal . great hotel , location wonderful , walk everything , good resto near . room lovely , low category , still two room , two tv 's , bath shower . eat hotel , bring breakfast we small fridge , microwave , kettle dish etc . free WIFI , great pool hot tub area . , clean . Loved Molton Brown toiletry . bed bed great quality . would stay agin heartbeat . much nice Fairmont Queen Eloizabeth street . staff friendly helpful , issue fridge fix time . 
