good 	 Silverton great place headquarter tour Las Vegas area sight . close strip excellent interstate access , facility carry Bass Pro Shop theme resort . room tastefully decorate , quite comfortable , plush . little noise room fresh . us nonsmokers nice retreat casino . casino lot fun several restaurant , beautiful saltwater aquarium entrance . stay three time return ambiance good value Vegas . 
 great aesthetic 	 casino 15 minute strip . the theme take place original . different theme throughout casino comfortable place . music choice fun louder somewhat drown sound slot machine . seat always comfy , restaurant good friendly staff . player 's club decent - offering free night 's stay next time visit , big benefit . high speed internet $ 10 - dont pay . take laptop Starbucks free wi - fi . room basic , big perk , wall pretty thin , bed great , enough pillow . first place lose $ 40 playing crap : ( 
 Dec 12 2008 	 Pros Cons 	 return 4 night Silverton . 3 room book , one parent , one brother , one husband I.Pros : beautiful huge lobby , stunning massive aquarium , Pro Bass Shop incredible , casino large large enough get lose , casino lot game choice , bed comfortable nice linen , toiletry product nice , room big average room decor nice . play slot , cocktail waitress around constantly take free drink order .... nice . & quot ; Twin Creeks & quot ; Steakhouse exceptional , one nice dinner ever , excellent staff , food amazing .... aware closed Sundays Mondays . check friendly little souvenir shop 's clerk . large convenient Starbuck 's locate hotel , well pizza / hamburger place impeccably clean invite , friendly staff . casino ventilation quite good never get smokey . con : complain housekeeping 1 minute upon enter room bathroom actually dirty .... toilet dirty , garbage garbage , etc . three bathroom good shape , need recaulke around toilet , new grout floor tile work , shower / tub dingy floor shower slimy .... ICK ! floor uneven area quite strange . & quot ; Sundance Grill & quot ; restaurant bad ridiculous ; unfriendly bore staff terrible food quality ! season Buffet Sunday Bellini Brunch nice , regular week buffet breakfast pathetic ( egg , bacon , sausage , french toast , traditional breakfast food , instead egg roll , salad , pizza , perhaps want 10 am ? ) .... buffet grubby , food subpar . alcoholic drink throughout entire hotel casino outrageously price ( $ 45 U.S margarita 2 rye coke ! ! ) room part quiet ... advise room adjoining door another room , hear WORD WORD people room say ( fun super early bird like next we ) . front door hotel room need replace , damage one way another . Bartenders Mermaids Lounge could use class friendliness . location poor want nightlife strip ..... great location want away strip want quieter yet still fun . do not expect great shuttle service ..... offer 3 shuttle day Ceasar 's Palace ( 11 am , 5 pm 10 pm ) . figure get back Silverton . never use shuttle think time inconvenient . cab strip cost $ 22 $ 25 one way . shuttle airport .... cab airport $ 20.atm machine hotel charge $ 22 fee per transaction .... yes read right ... make sure get cash somewhere else . note : important ! ! stay , go get Discovery Club card within casino .... usually not bother thing gimmick , zero hitch .... give amazing drink food discount buffet half price card . another important note : 3 minute away new & quot ; SouthPoint & quot ; hotel casino .... gorgeous , massive , Silverado Steakhouse serve we nice meal EVER restaurant ..... 12 oz . lobster tails broil perfection , amazing prime rib , roasted asparagus decadent white wine hollandaise sauce , delicious salad prepared table side , excellent / professional / friendly waiter staff . so , pro con hotel ...... honest stay Paris another familiar strip . Paris lovely stay , Monte Carlo . aladdin amazing stay well , call Planet Hollywood look loud we . enjoy Vegas ! ! ! ! 
 Nov 24 2008 	 Decent stay year ... 	 3 night spend , noticed new place ( parking garage still finish ) , be go serious problem . tub / shower dingy looking , bed hard , floor not feel entirely level , drywall tape line show . spend bar fridge safe tv' - most old hotel upgrade flat screen , bar / downstairs . restaurant finish , one operating take hour send food we , due foolishness order 10 pm shift change . staff force pleasantness not fight among , coupon discount book like many hotel offer . price right though , spend $ 50 night , review would harsher ... : ) credit , fish tank coolest part downstairs , mermaid lady visit night . supply sexy coconut / lime shampoo love much . would likely give another try , hopefully finish next time go , room already build go need remodelling . 
 Nov 4 2008 	 Totally Ridiculous 	 Silverton website , post airport shuttle schedule . bf arrive airport call hotel shuttle , deny fact even shuttle . click link see http : //www.silvertoncasino.com / categories / FB349186 - B829 - 9F3C - DB1446F6F439E8D7 / shuttle_schedule.htm 
 Oct 6 2008 	 never ! 	 stay Silverton 2 night September ' 08 . trip last minute not expect nice room . group consist 3 adult 2 kid ( 2 3 ) . room ok . however , look wall window a / c loud . trust shuttle service ! run like 4 time day ! ! impossible get taxis hotel , wait hour twice 2 day ! finally staff nice enough give we ride ! friend stay Oasis RV park shuttle service Silverton , RV park nicer hotel ! would not recommend hotel family small child . highlight kids huge fish tank lobby real mermaid . restaurant ok Bass Pro shop nice . bad part stay leave hotel noticed cash ( several hundred dollar ) steal room . know not leave still well hide one certainly look ! ! hotel investigate course nothing find ! ! 
 Oct 3 2008 	 could bad 	 hotel recommend neighbor regular customer , book five day 49.per day , room dark gloomy marginally clean.i mention housekeeping nothing done.aft two day play conciderable amount decide stay another two day go desk quote price 290 . per night extra two day feel amount play give already would get compe room , least casino rate casino delt regular casino patron last 40 year . ask see host , man manager call without doubt rude casino employee ever encounter . tell would leave immediatly feel little patronage , would allow insisting would pay night ev en leave , approx 3 pm time.they charge entire five day front stay night , play another casino , move another hotel remain four day stay next morning , still wait refund promise unused days.i never stay , allow anyone know book room casino . 
 Sep 26 2008 	 go back 	 stay many property 's , local strip past . first time Silverton . stay 3 dayshad fantastic time . Great Hotel . wonderfully nice people . got town early , 10AM , get right room . the bed die . good night sleep ever hotel . thick plush pillowtop matress , perfect pillow , nice linen . plush towel bath , oversized . I would not turn free stay & quot ; fancy high price & quot ; strip resort , pocket pay bill , Silverton choice on . great mexican restaurant . impressed . coffee shop par . buffet typical buffet . good decent food . WONDERFUL dessert . just overall perfect stay . thank Silverton ! 
 Sep 26 2008 	 little like original Strip hotel 	 hotel - casino little bit like original hotel Strip , be couple mile south . 's 4 story tall big parking lot around -- room special like early day ! ( got & quot ; half - price & quot ; special plus $ 75 rebate gas Expedia , work less $ 15 per day 4 day , include taxis ! ! ! ) hotel give we coupon good breakfast discount , . sign player ' club get we discountson buffet well . the casino large clean air not smokyeven busy . play game less many large hotel ( 50 cent roulette chip , example ) .Our room nice view limit third floor . overall , enjoy stay plan return . 
 Sep 24 2008 	 surprisingly disappoint 	 though husband stop Silverton Lodge eat Sundance grill way town never stay Hotel . normally stay Southpoint Golden Nugget . time get deal Expedia decide give try . not know people write review stay past wherever must good find positive review Silverton way . Buffet , room service expect . booking easy , check - in fast , staff curious 's end . state eat Sundance grill always please portion price , stay different . buffet mediocre good ! ! ! food long , vegetable limp , meat dish dry ( exception whole roast beef ham ) . pricey choice , service slow . order beverage never get waiter come around finished meal see still want . room although clean , dark kind gloomy . view whatsoever , look outside wall casino area . ask room well view tell . 3 room across hallway view fill unpacked . small bathroom well . Maid Service come next morning 8:00 a.m. clean room knock even though disturb sign door . take towel tell bother . ( maybe 's ) return room second night stay actually see baby cockroach scurry across carpet open door . enough . not late may say something . just experience expect turn talk guest not even get good deal room rate . like say ..... disappointed . 
 Sep 6 2008 	 hate ! 	 need place stay one night move Venetian . receive good offer Silverton decide check out . arrive Sunday , 8/31/08 give smoking room [ ashtrays ? ? ? ] 2 queen bed . Room & quot ; rustic & quot ; appearance blurry pic wall . bathroom really small bottle water purchase $ 4.00 ? ? ? ? ? ? bathroom shower curtain filthy mold . bed uncomfortable . call housekeeping 3 time supply ashtray ... response . finally grab casino bring room . 
 Sep 4 2008 	 Excellent Stay ? 	 finish stay Silverton Casino . vegas many time count decide stay Silverton would nice change . valet bit slow depend day event area . Self Park convient decide go route . super target store follow across street . front desk staff nice helpful . able check 900am problem . check give good coupon book expedia . need rental car location . decor rustic disney wilderness lodge theme cool . pool one would find community center . plain , peaceful . room nice , bed comfortable bed ever sleep vegas , ac work great . bathroom problem , small . room two peolple . nice small . bed bath beyond soap lotion nice touch . Mi Casa mexican rest . resort , great , ask special day . save 50 % order way . buffet excellent , expedia coupon allow we eat crab leg $ 9.00 total . great even well $ 9.00 . las night eat Twin Creeks Steak house . place excellent , cost around 120.00 four couple , worth . Bass Pro Shop attach resort go price favarite rifle play Blackjack earn money buy . never stay anywhere Silverton Casino . follow negative encounter location trip . NYNY massive construction go inside , jack hammer loud could delaer talk you . Tony Romas Steak Lobster Fitzgeralds joke , lobster good steak like eatte shoe leather . traffic strip heavy , use I15 skip it . $ $ $ $ $ $ must $ $ $ $ $ $ $ $ $ $ $ $ go see Jersey Boys , buy cheap ticket move close front . great story line , song excellent . the & quot ; F & quot ; word & quot ; GD & quot ; use alot show . show would perfect used language . silverton allow dip & quot ; strip confusion & quot ; retreat private resort peace . country boy Four Seasons . anyone anyquestion email flytoyougirl @ yahoo.com vegas expert , many time know 's don't . 
 Aug 18 2008 	 perfect pleasure stay ! 	 finish 4 night stay Silverton . impress overall . room : room nice comfortable . fancy , clean . t.v . 27 & quot ; , also nothing fancy get job do . room clean , bed pretty comfortable . comfortable home , get job do . although could not get wireless internet work , network cable plug , network connection fast . casino : casino like room , nothing fabulous , get job do . nicely lay lot different option . table game plentiful , though possible person play . play double deck $ 5 blackjack ! poker room pretty bad . actually able play 1 time never enough people play . lot choice casino overly smoky opinion unlike poster say . Hotel Services : valet tad lacking . never busy , take quite bit time ( 15 minute ) average get car . also take time drop car sometimes valet employee around . still much quick get car mega resort not 100 people front , worker work hard , seem little understaffed . room service average , nothing great , price good . iffy night whether would able get food . one night call 1:00 a.m. , nobody answer call front desk . said & quot ; oh must post call back 5 minute & quot ; . 5 minute , 10 minute , 15 minute later call , never able gety anything . business service non existent , want boarding pass print front desk since not business center . dining : eat buffet room service . Buffet good , especially sunday brunch . impressed , $ 16.99 get good buffet unlimited champagne drink like mimosa 's . dinner buffer $ 19.99 get unlimited house wine . say early room service good , unspectacular . good value money . location : really like location . be convenient i-15 . go rent car though , stay . always get rental Vegas , idea would not get one . not would stay . would probably least $ 15 cab ride MGM one way , could get one . never see one front . shuttle , go every 5 hour ? ? ? not know bother , every 5 hour ? be 10 15 minute MGM , could not go every 1 2 hour , not know . think boil run theme hotel , tad understaffe . overall : really like hotel . know mention lot negative thing hotel , would definitely stay . pay $ 40 night include tax , price would not stay anywhere else . problem , room clean , employee friendly food good . also really like location , make sure get rental car . stay Venetian Signature MGM Grand las two time Vegas . place obviously not nice . money , definitely great . wife come back Vegas February , stay . 
 Jun 27 2008 	 good stay 	 stay 6/7 6/14 4th floor . room : clean comfortable . bathroom little tight 2 people ( even 1 ) . Maid service excellent . pool : outside area construction open . decent size , crowd . hot tub nice feature well . gym : nice small workout room outside casino . essential : treadmill , bike , elliptical , weight . casino : bit smoky side nice . standard game . slot relatively loose good luck table . dining : coffee shop well . service fair food appeal . Buffet OK . mexican restaurant good . extra : Bass Pro Shop aquarium awesome ! overall , hotel excellent budget option stay Strip . 
 Jun 13 2008 	 stay many time 	 stay Silverton year , since rental car . it be small hotel , ( Vegas ) locate I15 short drive Blue Diamond . nice room probably average , clean . ( watch bill check , charge bottled water never use $ 4 bottle , not happen time ) nice casino several resturant . real good coffee shop type resturant , good Buffet . casino tight ! day especially strip ! well luck elsewhere , enjoy stay . Bass Pro always fun walk around since walk casino . the hugh salt water fish tank great . expand casino , construction go , not big deal . I stay . sometimes room rate change week , call , web rate usually high . 
 Jun 10 2008 	 great Room Convenient location 	 stay two night Silverton Hotel Casino . Las Vegas concert , not want pay price Strip hotel . pay $ 75 night pleased . room nice clean , love Bath Body work amenity . parking abundant never walk far room . enjoy shop Bass Pro Shops attach Hotel . love convenient location . minute Strip , far enough miss crowd . Premium outlet close great shopping deal . would definitely stay . 
 May 7 2008 	 Mermaids Silverton Casino 	 not stay Silverton . meet friend . stay Bellagio . go ! ! LOVED Silverton , everyone everything food gambling comfretable . 5 $ table crap even Saturdays . place new rustic feel . new vegas price . go get little old town feel . check money casino show . blast ! check Mermaids tank ! ! ! ! ! ! ! ! ! 
 Apr 30 2008 	 Great Place stay Vegas without Hype 	 go vegas see def leppard palm . palm due cost -- -way expensive stay ! , since interested gambling , want clean , comfortable , inexpensive place stay trip . last trip vegas & quot ; gamble & quot ; & quot ; riviera & quot ; prove bet lose . ( see review place ) anyway , decide take chance silverton , really glad ! silverton easy get ( 3 mile south start main strip ) , walk one end place get room -- -usually casino seem walk length casino ( drop cash ) way room . room exceptionally clean ! , though response yet , email silverton ask brand bed -- -- comfortable night sleep age ! ( would really like purchase brand stock hotel house ) not time hang around busy go show , see aquarium really nice think also & quot ; mermaid & quot ; show daily . drawback silverton would shower flow -- -it need pressure . room cost we $ 78.00 change -- - $ 1.00 motel 6 charging -- -i would stay anytime . people deal check - in pleasant treat we friendliness respect . next time come vegas would definately stay silverton -- prove nice place . 
 Apr 22 2008 	 would recommend 	 first floor , non - smoking room due quantity smoke casino , everything room smell smoky hit smoke soon leave room . the pool close construction progress , relax pool question . would much considerate Silverton would inform we ahead time this . the shuttle strip run every 5 hour , plan ahead fly be consider rental car . no public access computer / internet bring laptop plan additional $ 11.49 day want check e - mail . know ' m touch thing , $ 4 warm bottled water seem bit excessive , too . we stay 3 night . room service first night make bed -- not even empty garbage . second night appear clean room . I ' m try think anything positive report ' m trouble . since ' m big gambler , can not really comment ' gaming experience ' . 
 Mar 30 2008 	 small hotel away strip 	 go group people uk . have problem , reserve room depart uk , get they . Diffficult get somewhere eat evening , buffet close 9 pm , eat place hotel could cope due low staff number . mexican well freindly . build work outside could use pool . notify arrive . all staff seem sad unhelpful area . 
 Mar 30 2008 	 Great Buffet 	 stay visit casino . I really like casino . Bass Pro shop connect casino . win look around there . they daily fish feeding fun . the buffet good reasonable price . lunch $ 8.99 . 
 Mar 26 2008 	 Gambling Silverton 	 not stay hotel , everyone go casino hotel room , want talk bit casino . husband discover Silverton last October look free Craps class . turn get day week wrong , $ 3 Craps table 1 afternoon , decide could afford throw money learn new game . since back three time play Craps Roulette , let tell , Silverton far friendly , entertain dealer casino . dealer take plenty time explain bet process place odd , everytime since first day continue learn dealer casino 's play . husband not frequent large , expensive casino due budget , always look $ 5 table , even weekend evening , Silverton enough $ 5 table get on . I highly recomment let lady gentleman Silverton teach play crap look something new learn Sin City . 
 Feb 28 2008 	 good off - strip hotel casino 	 great hotel not want strip , great stay sport enthusiast . there Bass Pro Shop connect hotel ( look like lodge ) , casino also host huge fish tank . diver feed fish host describe different fish habit . several Orange County Choppers also display . our room look like picture link TA web site , service excellent . small hotel ( 4 floor ) comparison large strip hotel add relaxed less congested casino . the Seasons buffet 24 hour restaurant numerous selection , food good . for change pace stay away strip , hotel consider next trip Vegas . 
 Feb 4 2008 	 great ! 	 actually find place accident , nice ! restaurant pretty reasonably price Vegas . offer complimentary wireless internet almost unheard . also offer complimentary shuttle service airport strip . 's right south strip actually near outlet mall killer store . 's also attach Bass Pro Shop , guy outdoorsman , watch . nice stay , although think ventilation system little mess smelled like smoke part night room , turn heat , smokey smell leave . 
 Jan 28 2008 	 bad could well 	 room good wall not much sound proof hear noisy neighbor . like room smoky - casino permeation . casino - casino nice - 5 $ table . crap dealer well train miss bet - place wrong - not hear tell lean quite often , much see dice bounce arm . unacceptable . watch . 
 Jan 24 2008 	 Great away strip 	 must car stay . price good consider CES ( US $ 100 per night ) queue check - in . one problem request email telephone call directly reservation NON - smoking room fail deliver . receptionist recommend call day request NON - smoking room . get smoking room level 2 surprisingly not smell smoke not change room . the room big enough . hot water good everything else place . wireless internet problem call technician turn 20 min even almost 1 am . however , look computer say & quot ; sorry ... 's technical problem server . try tomorrow fix hopefully & quot ; leave . could tell wire connection hide side tv could plugged get work . overall clean room . casino friendly enough lot youngish guy play make sure everyone know play . even fight play poker quickly sort sean manager kick two guy quite efficiently correctly . welcome Las Vegas ! location ok car . easy self - parking close Las Vegas Car Rental Centre . overall ... excellent stay likely stay . atmosphere local make good change strip downtown . 
 Nov 19 2007 	 great stay 	 stay 1 night Silverton . room 4095 . great view oh comfortable bed . nice decor ... rustic clean . a / C keep room nice cool . room safe , iron / board , fridge work well . quiet night near elevator . staff pleasant friendly . great buffet ... good food attractive dining room . although far south end strip , car get problem . change entrance way bit confusing first get hang quickly . definitely stay . 
 Nov 6 2007 	 Disappointing Stay 	 Silverton lodge theme small hotel - casino south main Las Vegas area . though room refurbish couple year ago , seem plumbing attend . non - smoking room 4th ( top ) floor parking lot / freeway view . wall dark brown , brown carpeting , brown bedspread , brown drapery , result dimly light interior . sad look petrify plant stand next television cabinet huge picture bear stare we lay bed . wall air conditioning / heating unit beneath window noisy could not sleep leave on . the room bathroom clean , shower never work efficiently even though maintenance instal new shower head replace old leaky one . water pressure little light sprinkle . the casino not seem pay well could see , experience . continuous background & quot ; soul & quot ; music casino seem place rustic theme . employee pleasant helpful . security practically non - existant . parking plentiful . however - recent road & quot ; improvement & quot ; result maze - like , confuse entrance freeway . when many attractive , competitively price , hotel / casino area ( e.g . South Point across freeway brand new Sun Coast Summerlin ) , likely return stay even free night . 
 Nov 1 2007 	 outdoors theme extremely comfortable atmosphere 	 Silverton minute South Strip extremely comfortable . outdoors theme connect Bass Pro Shop . room nice , contemporary , richly do . ' m fancy hoidy - toidy guy , theme fit personality . casino crowd strip everyone nice -- fellow gambler staff . 
 Oct 26 2007 	 great value 	 stay Silverton one night staying timeshare . the hotel recently renovate lodge theme . room clean decorate nicely . leave timeshare come back gamble eat buffett . slot looser strip , drink cheap , less crowded . also $ 5 blackjack table seem exist strip anymore . eat thewine steak buffet $ 19.95 wine , ofcourse food , could eat . wine cheap rotgut expect food really good . dissadvantage see Silverton course strip . cab sure cost toget strip . 
 Oct 4 2007 	 Loved Silverton ! ! ! ! 	 enough room say GREAT stay Silverton Casino . first arrive early ( 11 ) ask could check early , check sure enough & quot ; problem & quot ; say room ready . wow ! ! could not believe . keep get well , pool quiet relax , plenty chair towel . gambling , great small ( compare vegas mega casino ) complete casino ( Sports book , table game plenty slot ) . server great well , always friendly quick get drink . food Saturday night buffet top line . think staying remember , casino strip ( be 5 minute drive ) keep mind well worth . oh yeah top ask late check ( get little pool time ) , problem able check 1pm . 
