beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Nov 12 2009 	 great experience - back 	 stunning art deco hotel great location – within walk distance 5th Avenue , Grand Central , Central Park Macys . bedroom decorative standard public space ( would hard ) spacious comfortable room three . staff fantastic – friendly courteous . clean staff constantly duty throughout hotel pay great attention detail . restaurant hotel little pricey - ' keen Peacock Alley Oscars real treat breakfast steak Bull & amp ; Bear delicious ! real pleasure stay hotel full history – ' definitely back ! 
 Nov 11 2009 	 still charme ! 	 last March not - so - good stay Westin New York @ Times Square , decide stay last night Waldorf Astoria New York . check - in upgrade one one Bedroom Suites really nice , classic , luxurious fibe hotel know . breakfast voucher starbuck hotel special , rest hotel really undescribly beautiful ! 
 Nov 5 2009 	 everything expect ! 	 visit , last stay Waldorf - Astoria May 2007 . visit , give large , clean comfortable room . staff helpful efficient . room service prompt , housekeep diligent , front desk business center staff handle every request promptly correctly . everything absolutely perfect complaint all . well , one . not try take elevator 11:30 noon , everyone 's try check . location perfect ; far enough away 5th Avenue 's really noisy night , close enough walk lot major attraction . 's also subway station right across street . 
 Nov 2 2009 	 Classic New York Hotel 	 beautiful hotel , love lobby , ballroom , atmosphere breakfast . 
 Oct 27 2009 	 dirty old bedroom need refurb . 	 pick hotel family break . foyer hotel grand , checkin slow poor . give key two room go lift get floor come . like 1930s bed breakfast . paint dull paper hang wall bed dirty bathroom old dirty . complain reception staff want know . lot shout get move , well state . would recomend hotel . 
 Oct 25 2009 	 Decrepit suite 	 could believe suite . make reservation 2 month advance request large suite . suite large , . 2 1980 tv 's , flat screen , complain , put flat screen , work . electrical work room need upgrading . bathroom tile come apart , shower look like motel 6 . still New York , since move Pierre . management really know run hotel . disgusted . 
 Oct 23 2009 	 Perfect Location 	 Waldorf Astoria live 's reputation world renowne hotel . moment enter hotel aware service receive . room lovely city view offer everything could possibly require . decor traditional English vibe love . main pro hotel 's location easy walk distance Grand Central Station , Central Park , Fifth Avenue Times Square . Waldorf Astoria well worth pay . pure luxury ! starbuck lobby entrance another bonus go every morning . chance try many guest recommend Sunday Brunch would definitely sample go back . service fantastic check desk doorman . ignore negative review stay Waldorf ! 
 oct 22 2009 	 old world elegance modern convenience 	 travel New York frequently business stay Waldorf often possible . room quite spacious ( especially New York standard ! ) , well decorate , comfortable . adore food -- -the cheesecake miss -- service top notch . month back , room service somehow lose order ; within minute realize mistake , Waldorf send kitchen manager personally apologize entire meal compe ( extras throw ) . overall , one favorite New York . 
 oct 22 2009 	 Disappointing 	 book Waldorf Astoria New York 4 night last leg family holiday America research hotel website particular guest room look lovely photo describe & quot ; luxurious guest room & quot ; . also describe & quot ; cheerful bedroom oversize marble bathroom give room delightful ambience & quot ; .We arrive late Sunday evening , check go one restaurant hotel meal extremely pricey ( expect ) restaurant staff almost point rude - & quot ; unparelled hospitality service & quot ; promise hotel website . on return back room notice look little bit tired want make New York 's sight really use room sleep bathe last day spend time room packing start notice thing . example , net curtain window flithy , valance bed hole stain , paint peel bathroom , sealant hang bath / shower , toilet seat loose ( careful position sit ! ) vent bathroom full dirt must take month accumulate . there 10 us party mean book 5 room 4 night book pay 5 month advance . time booking also upgrade room . ' m sure nice room hotel - apparently President stay Waldorf Presidential Suite go New York ' m assume be quite nice room ! - unfortunately would seem none party nice room return discuss hotel appear similar problem room . sister law would not even put bare foot carpet room seem dirty upgrade room - would get not upgrade ? ? ? arrive hotel go main reception strike elegance opulence main area hotel unfortunately not continue guest room allocate . third hotel stay trip America not issue two hotel stay ( first San Francisco second Las Vegas ) neither reputation Waldorf Astoria . unfortunately seem hotel trading - past reputation definitely not live expectation certainly would not return . 
 Oct 21 2009 	 bad stay ever travel world 	 room ready travel Europe make special request early check month advance . tell change public bathroom lobby reach walk clothe shoe . abrupt angry black man concierge desk tell we change take luggage .. ! fling open lobby change shoe ! ! crude rude .. suppose luxury hotel .. room .. farth end hallway city view wall . luggage bring room sandwich purchase prior check go . hope whoever ate enjoy lunch . tub almost completely plug permanent ring tub belie always run slow . take shower stand other shower water . Managment say call would send plumber fix . phone WORKING ... may call .. also come back room midnight early check fly NY . plumber go work morning hour sit bed tiny cramp room wait shower ? ? ? wait room .. ? ? friend Europe say good impression leave american luxury hotel staff ... always think Americans proper professional . see not . & quot ; tell embarrassing remain .. first impression never remove ... think happen Waldorf Astoria NYC Park Avenue .... shame . 
 Oct 20 2009 	 Excellent Room 	 stay 7th floor , Park Ave side find room spotless . could room redone lately flat screen tv excellent condition . stay past always great room . business trip location always perfect walking theater , rock - center , shop etc . lobby always busy check took long like large hotel . 
 Oct 20 2009 	 outstanding 	 meet good friend parent NY middle tour across Canada stay amazing hotel ! first time new york , amazing location starbuck restaurant bar hotel minute walk time square definitely great choice . spacious bedroom ensuite , lcd tv , radio / alarm : ) would definitely recommend 
 Oct 18 2009 	 Resting laurel 	 ' m afraid stay Waldorf much marked check - in experience . book pay superior king room 6 month arrival . check 7 pm . receptionist find book quickly allocate room . however , hand we key , quickly mention & quot ; Queen room & quot ; . point book King room . she look slightly ashamed go back computer find we king room . at point , remind booked king superior room . point , admit king superior room leave . could explain room allocate . could upgrade room could offer we king deluxe . she try palm we say difference deluxe superior room save size . charge much deluxe ? ! offer we $ 50 credit would stay deluxe room . protest , say would upgrade room second day stay . I know may sound ' m whinge get $ 50 credit upgrade remainder stay . however , much feel Waldorf try pull fast one . rather upfront overbooking , try give we inferior room one book . not push hard reach compromise . hotel never apologise . leave two week since complete questionnaire making point , not respond I . we not one problem - guy next we check queue give treatment . we allocate small suite second night onwards . nice sized room sofa , desk flat screen tv . lovely touch digital radio alarm clock . bed comfy save pillow way soft UK taste . on downside , room quite dark . bathroom desperate need updating - paper peeling wall , water take age heat , bath shallow shower showerhead fix wall rather riser rail . the main part hotel beautiful less public area seem need real good clean spruce . decor & quot ; olde worlde & quot ; clean time ! find service bar slow good quality . drink extremely expensive . go across 50th old church well service quality . food price - want steak , go Smith + Wollensky Lexington 49th . the lady report problem prostitue right ! whilst not disruption , hotel bar use hooker pick hotel guest . tolerate hotel . practice not blatant , spot mile ! 
 Oct 16 2009 	 stay Hell 	 Auntie stay 3 night Waldorf terrible . the room grand , bed lovely , service good could sleep due people next room . talk one sale assistant Saks - realise go next door ! ! ! ! ! Waldorf allow Call Girls guest 's room - night awoken couple 's scream , headboard bang bedroom wall hotel slam Call Girl finish business . nightmare . complain check - manager want know . would never ever stay . 
 Oct 15 2009 	 amazing hotel clean 	 stay one night - amazing time . anniversary . room clean beautiful , staff absolutely helpful . would definitly recommend stay come ny ! 
 Oct 15 2009 	 good value service need update 	 book suite two night stay pleasantly surprised upgrade one bedroom foyer , huge living room , bathroom . room good bone ( super high ceiling , nice moulding ) , really need new decor . bathroom old small . toilet paper dispenser rusty , paint chip door moulding , etc . good news $ 465 / night , relatively good deal NYC , would happy receive upgrade huge 1 br . room service alarmingly expensive ( $ 25 steak sandwich ) service overall excellent attentive . dark lobby checkin take place outdate dire need renovation . say , however , place renovate , price would skyrocket St. Regis height . overall , think good value NYC . 
 Oct 13 2009 	 sadden performance iconic historical hotel . 	 husband & amp ; stayed & amp ; love every moment share hotel include restaurant . time , room dirty , service slow , food marginal drink poor . disappoint . back . 
 Oct 13 2009 	 beautiful hotel 	 beautiful hotel perfect location visit New York ! walk distance short cab ride attraction : Financial District , Island boat ride , SoHo , Madison Ave . , St . Patrick 's Cathedral , etc . accomodation nice service good . 
 Oct 13 2009 	 stay afford 	 nearly not stay Waldorf review trip advisor mistake would . ditto Raffles Singapore . Forgive rave , either people like whinge look negative . something tiny sometimes go wrong . get enjoy everything else . grand old hotel experience afford . anyone stay run - of - the - mill five - star hotel , place truly different . ' ve mean write something long time stay Waldorf much fun many poor review . Ignore give go . 
 Oct 12 2009 	 find someplace else stay 	 ' ve stay Waldorf 30 year stay heartbreaking ! cut staff quality would expect Motel 8 . room dirty dusty , glass enough dust write name . superb linen replace cheap linen pillow nothing air ! Bull Bear way - over - price portion quality food . speak limo driver , say hear complaint people stay recently . be bad see wonderful place go top bottom short amount time ! strongly suggest try old Meat Packing District one hotel NYC 
 Oct 12 2009 	 old time elegance modern day appeal 	 first trip New York end stay Waldorf Astoria get engaged stay famous landmark hotel perfect way end perfect trip . room lovely view Park Avenue 's beautifully decorate tree way avenue amazing . highly suggest sunday brunch Peacock Lounge , good brunch ever anywhere never experience anything like since . check - in quick efficient , even though long queue due busy time year . day check , kindly hold bag order we take last minute sight - seeing . return Waldorf second stay February 2007 not dissapointe , everything great first time around . tip , request transfer driver / taxi driver , drop & quot ; check - in & quot ; entrance , front hotel Park Avenue , drag bag stairs foyer get check - in counter . arrive hotel guest check - in entrance , concierge mark bag store , time check - in get room , bag already wait . doorman also go extra mile , hail cab guest , even ask we going tell cab driver take we . doorman even call Madison Square Garden us check time game start ! compare five - star hotel city , feel Waldorf offer way value money ... not make like anymore ! 
 Oct 11 2009 	 Beautiful Romantic 	 truly wonderful experience . lot shopping , great food wine .. right around every corner . beautiful room comfy beds~ 
 Oct 11 2009 	 worth . hide behind brand name .. 	 travel Waldorf expectation comfort luxury , definitely surprised ordinary room ( even flat screen ) . room need renovation urgently . hotel everything except elegant hotel . lobby like New York Penn Station . lobby wait least 25 minute cup coffee . hotel need complete renovation like Plaza . hide behind legacy . sure first last time stay . positive side hotel 's location . two block Saks 5th . 
 oct 9 2009 	 Nice rate 	 beautiful lobby crowd noisy . take 30 min get luggage room . room small curtain ( sheer ) room dirty , black bottom . view a / c unit . price pay least view street . bartender Peacock Alley great attentive . would stay . attach steak house way overprice food marginal . chair broken ask new one waiter take break one put another table give new one .. would hope one else misfortune sit break chair . 
 oct 9 2009 	 Waldorf Astoria fabulous hotel ! 	 moment step cab service first class . Gus , doorman , friendly funny . people warm helpful . room get big expected bed comfortable . hotel live name ... Grand , elegant , first class service . friend never eat restaurant overprice ( especially room service ) . however , problem many place eat . go starbuck right side hotel . will pay half price compare one hotel . would definitely stay ! ! ! ! 
 Oct 8 2009 	 wonderful 16th Birthday Celebration Waldorf 	 recently treat daughter fabulous stay Waldorf Astoria 16th Birthday ! magical place turn 16 , hotel staff treat we like royalty ! hotel room beautiful excellent view New York City . location hotel make easy we get around whole city . would strongly recommend stay anyone , especially travel city without man . feel safe hotel . 
 Oct 8 2009 	 Old World Elegance 	 daughter really want stay wish , . truly wonderful experience - sort throw back old day luxury service . room happen onto rooftop area overlook Park Avenue enjoy watch Park Avenue come alive morning . everyone , doormen housekeeping staff wonderfully friendly , albeit little formal , truly enjoy stay . 
 oct 8 2009 	 quite hope 	 stay Waldorf Towers section Waldorf = Astoria couple night early August pretty disappointed experience . although main lobby beautiful , get floor , hallway unbelievably date carpeting smell like not replace decade . sadly , room not much well . whole place need overhaul , give price ask ( thankfully not bad we use point ) , guest deserve well . additionally , continental breakfast include Waldorf Towers , room serve pathetic . loud window unit provide air conditioning , service leave much desire -- one point pleasure listening manager actually yell one team . really need see / hear kind thing ? 
 Oct 8 2009 	 worth history 	 viste New York June year wife 's 40th birthday , surprise book Waldorf Astoria . arrival delighted choice , proceed look historic picture etc , reception excellent efficient . allocate corner room overlook Park Avenue church etc , huge , comfiest bed ever . experience stay Waldorf , good time wander around place look picture etc . its cheap , would not expect drink hotel order breakfast room wife 's birthday ( £ 110 ) stay , worth experience . 
 Oct 6 2009 	 great location 	 stay hotel 2 day honeymoon . the staff reception give we free upgrade tower honeymooner : - ) great start ! free morning buffet tower okay , nothing extreordinary - hey be free . great location maybe good value money . think pay lot money brand Waldorf Astoria . 
 Oct 5 2009 	 Great Dissapointment 	 travel sister NY spend two day worldwide - famous Hotel Astoria , sister & quot ; Dream life & quot ; . experience disappointing begonning end : long wait upon check , room ( book superiour ! ) quite bad condition ( bathroom forniture cello - tape ! ) really clean ( specially bathroom ) , lady make turndown service come without anything , breakfast leave table go back reception ask & quot ; breakfast voucher & quot ; never tell . upon departure go pick luggage ourselfs ... write letter management leave contact detail never get back we ... 
 Oct 5 2009 	 good hotel ever 	 good hotel ever , like dream ... room ! 
 Oct 5 2009 	 old tired hotel room badly need upgrading 	 arrival - transit NYC 22nd Aug 2009 stay night . be long , wld definitely change hotel . past 1 am arrive hotel . taxi drive hotel driveway , & quot ; & quot ; hotel . little uncomfortable , lady traveler need take & quot ; date & quot ; elevator alone hotel lobby . hotel lobby probably impressive area . check - in - A'lthou " early " hr , be queue abt 5~6pax waiting check - in . tired tell smoking room leave although ask non - smoking one reservation . agree wit advisor service staff v rude . statement put plainly & quot ; hotel full , u ' want room , fine , other wait queue . & quot ; leave queue rest frustration . re - queued & amp ; plead wit another staff 's simply much , lady wander street hour look another hotel . much hassle & amp ; talk manager , manage get non - smoking room . time check , OMG , 2.30am ! room - expect , be date . window look air - well be not much see . stale smell , tv huge boxed - up type , & amp ; u give key open fridge . ' complimentary bottled water u think u use drink tap water , make sure u buy bottle fr airport head hotel . consider room rate , bedroom slipper provide rem bring own . bathroom - small wit box - up mirror like see movie 60 's . simply space wash basin put personal item . late shower , search high & amp ; low hairdryer bathroom & amp ; dresser table without much success & amp ; decide go bed wit semi - wet hair . next morning , find hang side wall walk - in closet . least cotton wool / pad & amp ; cotton bud provide . experience wit US hotels dun provide tooth brush tooth paste rem bring . hope someone read tis - wit strict water / gel rule air plane , wld help tooth brush n paste provide . food - long night , ( early morning ? ) , brkf Oscars . terribly expensive . american brkf - toast , two egg cook choice wit either ham bacon sausage , cup juice & amp ; cup coffee tea cost US $ 28 without tax . even buffet style . know tis NYC must expensive ? ? lunch Pier reasonably price . also find Metro cafe near hotel u cheap toast , cake & amp ; coffee . bed - good enough night 's rest . check - out - long queue . either hotel badly under - staff really really v busy . all say , tis hotel definitely see well day . also within walk distance tourist attraction & amp ; sub - way . $ , suggest u homework & amp ; consult wit advisor check hotel nearby . 
 Sep 27 2009 	 Old Class Style 	 stay three night conference . much prefer style new property , nice treat experience taste old luxury . hotel clean , still feel old ... ( old furnishing , smell , etc ) . think maybe update hotel , furnishing , would likely return . overall , service good , location great food delicious . 
 Sep 27 2009 	 truly horrible .... never return 	 stay many year ago ( 2000 ) treat mother 's birthday absolutely wonderful . ' ve back since 2003 clear thing head downhill . however , year mother return New York ask could stay hotel . since would read Hilton introduce Waldorf - Astoria Collection ( wrongly ) assume would invest flagship hotel . case , check dreadful give single room . complain call room tell reception manager busy deal complaint . go reception threaten make fuss lobby something wa not sort find we large room , still one have book . labour day weekend US Open tennis hotel pack . clearly customer service go window . new room much large horribly old , tired dirty . even verge dangerous carpet threadbare mother slip several time . nothing update change since original stay 2000 . flower arrangement remove even carpet public space dirty . shame fabulous grande dame . save grace bed still comfortable . however , doubt Hilton plan change either presumably positive factor go couple year time . service laughable .... mix room , promise additional foldaway bed never arrive complimentary bottle cheap champagne deliver room apology .... except not we . mother address Mr Mrs ... query poor confused chap simply pick tray walk back room . dreadful actually funny ... fill feedback form suprise ' ve hear nothing Hilton . stay away .... hear Kitano much well option , especially cleanliness high list priority . 
 Sep 27 2009 	 wonderful experience Waldorf Towers 	 hotel truly get pay . last visit get good price room regular part hotel . great room , right line pay . visit decide splurge get suite room tower . tower hotel within hotel separate private lobby check elevator . room 3 time rate pay regular hotel , worth we . reviewer complain deal line & quot ; regular people & quot ; hotel pay extra money stay tower side . can not choose cheap room expect line much expensive . suite extremely roomy beautiful . bathroom gorgeous . Tower 's room include continental breakfast excellent well do . staff extremely helpful never wait anything tower lobby . next time go back New York stay Waldorf Towers , place like it . the time please receive spotty rude service Friday Saturday evening lobby bar Peacock Alley . pre dinner cocktail ignore evening waiter . drink empty 10 minute come back offer another . terrible place especially one . 
 Sep 24 2009 	 Old school style 	 25 thought WA might bit old school we , actually , good way . old school luxury great classic feel . would recommend anyone want great service great location . suite huge living room , walk wardrobe massive bedroom . bathroom bite small compare rest suite overall clean well present . 
 Sep 24 2009 	 Grand - great location 	 beautiful hotel . large hotel rather impersonnal . room look air - con machine quite noisy . room hot could not open window ! can not really complain though get amazing on - line deal excellent value whatever . could not afford breakfast hotel usual Starbucks foyer - seem popular choise many people stay hotel ! Glad stay . 
 Sep 24 2009 	 Old Lady Still Mojo 	 likely well , nice , upscale hotel 2009 NYC ? sure . , , name Waldorf - Astoria . feel history moment walk lobby realize someplace special . famed hotel still charm . standard room pleasant , decent size , functional even lacking & quot ; oh , wow & quot ; atmosphere lobby . close many sight sound Big Apple ... St. Bart 's Church , St. Patrick 's Cathedral , shopping , Times Square within easy safe walking distance . service first class . recommend nightcap Harry 's Bar lobby retire evening . Frank Sinatra tune play softly background , would half excpect ' ol Blue Eyes come walk door . room price reasonable economy competitive lodging environment . 
 Sep 24 2009 	 memorable NYC experience 	 decide go New York last minute want experience city many treasure one weekend . Waldorf perfect way . get great deal Travelocity . room little noisy close elevator , still luxurious comfortable . simply admire lobby reception , feel like elegantly travel back time . regret would order $ 8 ice tea lunch Oscar 's ; guess , 's part NYC experience . overall , love hotel many amenity . highly recommend ! 
 Sep 22 2009 	 Class timeless 	 hi , wonderful day Waldorf , service one would expect superb , Toni [ silver haired master knowledge ] know everything anything need know , room superior 16th floor excellent , 2 large bed superb large screen tv . we definately back . 
 Sep 20 2009 	 iconic hotel pay name 	 original Waldorf Astoria glamorous place gorgeous one could expect . Bull Bear Peacock Alley ritzy classy , room one would expect price . my friend stay one night , maybe not chance fully experience , really not love room . old small . AC not work , someone come room 2am use special wand open window slightly help . course , room clean , it . I understand pay opportunity say stay Waldorf , definitely worth respect . lunch Peacock Alley , martini cost entree . couple drink Bull Bear happy hour come back friend around midnight . great we , would gladly go back Bull Bear alone . check hassle , room not ready almost time us dinner , inconvenient , line checkout next morning long well . bad , internet not free ! overall , great able stay iconic location , probably would not . would rather spend amount large room quieter atmosphere . 
 Sep 19 2009 	 fantastic iconic hotel great location 	 high expectation Waldorf Astoria disappoint . fortunate upgrade suite , luxurious huge . room beautifully furnish clean . whilst bathroom fairly small comparison room provide everything need . the hotel lobby reception impressive level service reception concierge high . one word warn ... order room service price ridiculous , UK use extra service charge never expensive fairly ordinary pizza ! location enable we walk area interest subway nearby go slightly . hotel recommend diner nearby ( Comfort Diner ) breakfast , really enjoy - huge portion lot choice . 
 Sep 18 2009 	 tired depress hotel worth avoid 	 stay Waldorf week business rather depress experience . feel like ballroom conference facility room attach think . level staff service terrible , quite simply rude . room well standard hotel price : little dirty wear , pathetic tv internet , poor bathroom , stale smell . breakfast lousy overprice , bar ridiculously expensive . location obviously great though , nice able say stay Waldorf , will not enjoy experience much time . 
 Sep 17 2009 	 not hesitate stay Waldorf . 	 great old lady New York one stay least . hotel really great , lobby time warp wonderful art deco past , warm pleasant . room big time view simply spectacular . find clean ( Waldorf 7 8 time ) , big , smart Waldorf people always eager please guest . it position big plus one within walk distance major attraction good shopping town . Bull Bear Inagiku restaurant good altho ' expensive feel worth it . if ask whether would like take upgrade option hesitate ! ! ! worth . 
 Sep 14 2009 	 chronically understaffe 	 stay three night US Open 2009 . expect good thing , forget spoil great hotel Asia . hotel ok - room ok ( standard room nothing exciting ) . hotel old - show . air conditioning work well , glass room dirty check , bathroom average . hotel great location - right middle thing NYC - far anywhere . worst everything level service . queue EVERYWHERE . take 20 min chekc , 15 min get speak concierge , 20 min order breakfast another 20 first drink arrive ! FYI , breakfast buffet US $ 45 - tip ! ! ! obvious severely cut back staff . see one time & quot ; grand old hotel & quot ; underinvestment recently - clearly enough staff number guest hotel . 
 Sep 10 2009 	 absolutely amazing ! 	 hotel locate east side New York Lexington Avenue Park Avenue ideal spot . close grand central station , block fifth avenue , walk distance central park times square . service excellent . room spacious want . bed comfortable ! huge tv load channel . bathroom lovely . amazing view chrysler building room . room air conditioning could adjust temerature prefer . never meal hotel drink bar twice , service bar excellent time . amazing hotel would definitley stay . 
 Sep 9 2009 	 GREAT grand hotel ! 	 fabulous hotel bring back good - old day luxury pamper soon walk door . elegant impressive , room comfortable nicely appoint , without lavish . one side low water pressure , hotel large , expect . excellent stay excellent town ! 
 Sep 9 2009 	 old world glamour 	 stay New York never complete without visit hotel . old world glamour , warmth hospitality Waldorf about . incredible lobby , comfortable room . there sense history hotel . we get chance see ballroom beautiful . the location fantastic . overall good experience . 
 Sep 6 2009 	 amazing stay New York 	 stay Waldorf Astoria 2 night Deluxe Room . hotel grand lobby beautiful , first impression wow . room grand , size roomy lovely large bathroom large flat screen tv . staff friendly give free early check late check excellent . another bonus free wireless internet main lobby . hint Starbucks hotel , advice use starbuck , 3 min walk away 35 % less price . Als depend far ahead book well room rate , find April August good rate . otherwise glorious old hotel much character . 
 Sep 5 2009 	 Amazing ! ! ! 	 officially fall love NYC . Waldorf = Astoria awesome . 
 Sep 2 2009 	 even close luxury hotel operation 	 stay away , watch credit card charge Peacock Alley Rest . save receiptsno exhaust fan bathroom . can not survive past reputation today 's market . small room 
