good 	 wish 3.5 option overall rating hotel . 4 seem high , 3 low . this hotel much op be describe . find good value . pro : large room also clean , lot closet space , light - block window shade , good bed good quality linen , friendly multi - lingual staff , good location ( altho personally prefer west side easy get around ) , excellent access computer printers- think may 8 stations- WIFI fast dependable . con : really could use another bath half - bath ( 3 woman 1 man ) , Breakfast much- yogurt , cottage cheese , coffee , juice , rather dry pastry .. probably one bad & quot ; continental breakfast & quot ; anywhere . Noise- street noise bother much , daughter husband comment . old daughter say , & quot ; mom , noisiest place ' ve stay NY & quot ; . sure problem street front really busy street , seem great deal honk hour . think might annoy , ask room face street . we try ' Mint & quot ; , eat establishment connect hotel- impressed . my husband , two 20 - something daugther , visit NYC look way avoid 2 hotel room $ 275 - $ 325 / night room weekend Thanksgiving . the San Carlos suite 2 queen bedroom pullout sleeper LR , along small & quot ; kitchenette & quot ; ( microwave , sink , refrigerator utensil ) $ 300 / night . review TA favorable , book 3 night . thank member helpful review hotel . accurate review ! save we hundred dollar 2 separate room without sacrifice much way comfort space . 
 Jan 14 2009 	 San Carlos 	 return New York first time visitor city , say , ill back , yes hotel San Carlos staff dream come true , read review hotel prior departure , fully recommend one visit Big Apple . the Location great , reception staff doorman fact staff could helpful , go back , stay , hotel would recommend one visit New York . travel party 3 wife daughter , smoking room , request , become rare day age , room great bed great , facility room , great , amenity hotel also top notch , area safe New York mean , area shop restaurant close far walk main attraction , grab taxi door staff arrange cheap . say apart well do San Carlos make trip Scotland experience never forget , warm friendly people credit hotel New Yorkers see future that s promise . 
 Jan 10 2009 	 handy hotel central location 	 stay 4 night route New Zealand Ft Lauderdale pick cruise . we choose hotel becasue location good sized room fact serve complimentary continental breakfast . we , expensive hotel stay trip weak NZ dollar- ( hotel charge rate NZ would give entire suite harbour view , balcony full buffet breakfast . ) digress ! arrive night check smooth . the room quite big Manhattan hotel nicely appoint . heap floor space put suitcase purchase . hotel great spot- handy subway station one block Rockefeller centre 5th Ave shop . as review state continental breakfast poor let hotel . plastic plate , paper cup plastic cutlery make hotel seem cheap . it hard put simple nice breakfast . also disposable cutlery plate etc really good environment- especially light global drive go green . surely proper knife fork china plate dishwasher would environmentally friendly ? ? suggestion breakfast food : bowl fruit freshchoice 3 stew / can fruit choice cereal / muesli yougurtsa good selection bread make toast- pastriesplatter slice cheese , tomato , hamselcetion spread eg jam , peanut butter , marmitetea coffeethis easy cost effective . we choose go Pret Manger breakfast expericence first morning 's food offer ! breakfast really enjoy stay , complimentary use computer level 2 excellent . we would probably stay breakfast improve . 
 Dec 12 2008 	 nice hotel - extra large suite ! 	 recently stay San Carlos 1st time read Trip Advisor review . experience excellent . book Executive Suite HUGE - 400 square foot . kitchenette ( microwave & amp ; fridge ) , living area sleeper sofa separate ( open ) sleeping area . employee friendly helpful . complimentary breakfast full fresh pastry hot coffee , tea OJ . computer lounge 2nd floor nice feature . room 11th floor face 50th . definitely noisy , be NYC ! stay Library last visit vibe definitely cool , likely choose San Carlos room size alone . 
 Dec 2 2008 	 Great Staff great room would recommend 	 arrive use Supershuttle San Carlos Hotel right away know going look . porter help we bag , staff full holiday cheer answer constant question . the room 2 queen bed small bathroom . well decorate enough space purchase ! ! turn - down service never enough chocolate leave pillow ! ! also strange reason bin never empty , room little time bother we . the breakfast basic include fill we till lunch , croissant , muffin yoghurt , orange juice , tea , coffee various small danish pastry . breakfast area huge may wait table . the staff answer question great night sleep due quiet room . would recommend hotel . stay NYC five time definitely friendly hotel . oh also free internet access second floor mean could book seat flight home check email . 
 Nov 30 2008 	 Swear San Carlos Hotel ! 	 husband check San Carlos stay four night Hotel Elysee . prefer San Carlos hand . 7th floor suite spacious , clean , well appoint . hotel staff exceptionally welcome make we feel like family . location excellent -- 1/2 block east Waldorf Astoria close subway , restaurant shop . pass breakfast instead enjoy nearby ldiner local frequent . great time San Carlos wish spend entire week . owner also introduce absolutely delightful . can not wait return ! 
 Oct 24 2008 	 Decent Hotel many problem 	 spouse arrive San Carlos We d night 2 - night stay . check tell & quot ; upgrade well room & quot ; , whatever mean - pleased . arrive 4th floor immediately could smell stale smoke . overlook assume room would fine , also smell badly stale smoke . think room NYC non - smoking , apparently wrong give air purifier functioning room , well ashtray top drawer nightsand . try deal hour , finally ask new room . tell bell captain would right move we . 20 minute pack , still bell captain , finally go downstairs ask key new room , head back sans bell captain help we . spouse relocate promised & quot ; comparable room & quot ; 6th floor . unfortunately get downgrade King Queen , also handicapped room disgust tile bathroom floor visible dirt crack . make matter worse , open toilet find someone else 's waste - unflushed ! flushed , quickly realize issue , clog . immediately water start run top floor - call front desk . Staff show wet / dry vac get rid water , feel back head would use bathroom fecie spill floor . one perk 10 minute fiasco receive platter wine snack apology hotel . positive note hotel include location , free wireless , second floor business center / lounge area 6 working computer . hotel much large San Carlos , see one two computer hotel expect guest share . wa welcome sight see 6 option available . in short , bad experience keep stay really enjoyable . hope one time issue bad luck . 
 Oct 19 2008 	 Great Manhatten hotel 	 love everything hotel , breakfast , staff , location , cleanliness room . nice amenity coffee pot , microwave , iron . second floor even computer guest use . great able check - in air flight print boarding pass ahead time . New York hotel pleasure , although costly . would highly recommend hotel . 
 Oct 19 2008 	 Perfect Location Wonderful New York City Experience 	 Perfect location wonderful New York City experience . hotel staff friendly helpful . make we feel comfortable easy enjoy trip . room spacious furnishing seem new . room clean arrive maintain way stay . continental breakfast convenient . even hot milk coffee , way like . request cheerfully handle hotel staff clearly enjoy work San Carlos . we definitely stay recommend San Carlos friend . 
 Oct 17 2008 	 bit shaky start overall comfortable relax boutique hotel 	 husband arrive Sunday afternoon ( 3 pm ) . not recall see doorman / doorwoman greet we ( biggie ) time . problem check - in , though detect bit & quot ; stuffy & quot ; attitude one front desk clerk . sure . time experience attitude . time communicate front desk , whether person phone , problem . guess everyone bad day . we get key settle room fourth floor . room size decent , must say ( hear hotel room really small NYC ; reserve room king - size bed ) . ok , , put , & quot ; housekeeping & quot ; issue need address . preface follow say : ' m kind & quot ; anal retentive & quot ; come bath towel , bathrobe , etc . dark stain rug ( perhaps carpet cleaning would trick ) . also , get bed evening , bed sheet rip . hang clothe closet , two San Carlos hotel bathrobe hang clearly need throw . stain rip . finally , next morning go get shower , find one towel bar soap stick . ew ! call housekeeping , someone promptly bring fresh , warm towel replace one room . leave go sight - see morning , leave couple note , ask new bathrobe use ( wound use , think perhaps next guest might want one not nasty ) well bed sheet not tear . get back evening , request honor , give extra Aveda amenity mint pillow . well do ! bed comfortable shower great ! sleep like rock ( room pretty quiet ) . Loved Aveda product ! not realize make mouthwash , too . the complimentary breakfast pretty good ( ok , not hot breakfast , muffin , pastry , yogurt , cottage cheese , bagel , fruit , juice coffee .. want ? ! ) . one morning not make breakfast ; wound go Morningstar Tavern breakfast ( well couple meal ... menu enormous , price fairly reasonable ) . hotel also conveniently locate near subway lot attraction . time leave , Luis , bellman / doorman , helpful . help luggage hail we cab Penn Station . 
 Sep 14 2008 	 Expensive Pleasures 	 's easy find good hotel New York City fit budget - splurge bit couple night New York . check not 3 pm arrive early day . staff helpful held bag go sight seeing . hotel locate right near Rockefeller Center 15 minute walk Times Square . room high floor reduce noise level make easy sleep night . we suite , since couple friend join we second night city . king size bed also fold bed sofa . service great , particular , order take - out deliver room ( late night ) , service manager accompany delivery man room , make sure safe . little thing like make we feel comfortable stay . the room also come robe ... unusual thing be always nice perk . furnishing modern comfortable & amp ; request , dvd player buy room will set you . it nice place , , get pay ... 
 Aug 11 2008 	 good business hotel apart breakfast 	 colleague book San Carlos 3 day business trip NY . welcome quick check - in , great location , large room , efficient service . room nice , mean cheap . overall , impressed , breakfast , . hotel serve appalling & quot ; continental & quot ; breakfast . stay lovely room think smart hotel , yet come breakfast 40 guest cramp windowless room serve awful pastry ever ( colleague verify ! ) , enough seat terrible plastic plate cup , yuk , shame . I would probably try one hotel street next time , stay San Carlos would skip breakfast . think management review breakfast situtation poor not think offer hotel favour . 
 Aug 10 2008 	 Good Location - Great Hotel 	 great location , nice two room suite good facility . helpful staff , basic continental breakfast 
 Aug 5 2008 	 great experience 	 great time New York . San Carlos great place come back long day sight see shopping . staff could courteous . pleasant surprise greet name receive prompt gracious service . 
 Aug 4 2008 	 sorry average 	 ( family 3 18 year old daughter ) stay San Carlos July 2008 . choose special deal give 3rd night free 3 day suite book course positive view Tripadvisor . however , must say San Carlos not meet high expectation set positive view . typical boutique hotel even 5 50 meter radius hotel ( fact stay Affinia50 opposite San Carlos last year prefer ) . San Carlos bad nothing really special price pay . yes , complimentary continental breakfast include windowless corner room limit offering beat basic 2 star airport hotel . maybe bad disappointment service . not overly friendly ask everything rather service offer . also disappointing first day receptionist sell we helicopter tour reason & quot ; really get commission . help we make living & quot ; . hate service people see customer make live rather make customer happy . left really bad taste whole place shame . will not back . 
 Jul 29 2008 	 average experience 	 location hotel fantastic , near metro station Middletown East . walk distance UN , Time Square , Rockerfeller Center , Empire State Building , 5th Avenue , etc . the room get great . first floor view ventilation exit . , direct light room . beside , room big New York standard . the breakfast great . toast pastry , tasty . the good point hotel free Wifi access free computer internet connection . 
 Jul 12 2008 	 great hotel 	 sixth time NY , first time San Carlos . four adult travel , take advantage third night free offer suite San Carlos give we quite save two separate room . suite great large sitting room . staff hotel friendly accommodate free breakfast bonus . british would good kettle similar room , apart complaint great stay San Carlos . location good within easy walk distance many attraction Hop Hop bus stop around corner . forgot ask high room , noise night - fault thinking advance . fortunately tired not make much difference . air conditioning , way , excellent - climate control efficient well quiet , compare other experience New York . would highly recommend hotel . 
 Jun 28 2008 	 lovely hotel great deal 	 lovely hotel great location . fall love shower -- super - hot water powerful shower head make feel like would spa treatment every time take shower ! hotel really pretty quiet , too . I not much care continental breakfast , picking slim pastry seem stale . could make one little improvement , would call hotel perfect . 
 Jun 21 2008 	 Ride ' the Beast ' ! ! ! ! ! ! ! ! ! ! ! ! ! 	 stay 5 night end May , could fault hotel way . read previous review Tripadvisor upgrade room executive suite , well worth . comment tiredness room disagree really nice . 6th floor could hardly hear noise street . huge queen bed . double sofa bed kid , 3 armchair , 2 big wardrobe , iron board , safe , minibar , tv . also small kitchen area fridge , microwave , utensil etc .. breakfast bar . staff extremely polite helpful . do complimentary breakfast can not comment . go Morning Star Diner morning , 2 min hotel , excellent start day , fantastic place good value . buy New york pass travel save time money . weather ideal time year sightseeing . kid 14 8 one good thing ' the BEAST ' , 30 minute speedboat ride leave pier 83 Circle Line criuse operate . get WET , WET , that s mostly crazy guy run ! Supersoaker water gun water balloon , play loud music , madness ! take around statue Liberty , get bit culture ! ! ! ! 
 May 26 2008 	 nice deal ! would stay . 	 husband , daughter stay San Carlos 4 day , 3 night . Got deal 1 bedroom suite sofabe . pay 2 night get 3rd night free . hotel attractive staff friendly . stay 3rd floor slight problem outside noise night . 
 May 18 2008 	 Best Choice could make ! 	 ' ve NYC many time never stay night- read many review San Carlos Hotel one great review TripAdvisor . Hotel live every expectation ! clean room , large , get free upgrade executive suite . staff wonderful humorous- even advise miny bar rip get goody somewhere else ! great suggestion restaurant give we stop stop instruction get everywhere want go subway . absolutely good hotel price range , review , well expensive . stay wonderful trip 's central location ( 1 block 6 train 1 stop Grand Central ) $ 7 cab fare Times Square . 
 Apr 23 2008 	 San Carlos Hotel : Boutique Luxury East Midtown 	 stay San Carlos Hotel business November 2007 . find service exceptional , room price high ( holiday season ) , breakfast satisfactory . my room small kitchenette , travel vacation , perhaps would use , business trip , walk order get bedroom area . hotel eye detail , enjoy small luxury feel , requirement ' m New York . spend 16 hour outside hotel room average per day , San Carlos would probably nice place actually spend time hotel room , never , be bit lost . 
 Apr 12 2008 	 midtown bargain 	 San Carlos great place stay New York - 's central , safe area room , though huge , pleasant clean . need bear mind stay city building surround buildings- reasonable , go get view , ? one good thing complimentary continental buffet breakfast ( 7 10 am ) - realise really unusual city pastry etc tasty . likely eat huge lunch deli / restaurant ( bear mind NY portion size ! ) need start day . desk staff pleasant - nothing much trouble . really enjoy stay . 
 Apr 11 2008 	 delightful stay ! 	 pleasure stay overnight San Carlos last week ! New York every month , visit famliy , none we ever hear San Carlos ! usually like stay midtown , location , intersection 50th Lexington , central many NY attraction ( although $ 13 cab fare downtown ) . check - in breeze . lobby small , simple , elegant quiet . book Corner Superior Room $ 399 night ( mid week ) find upgrade Corner one bed Room Suite ! Sweet ! ! ! ! ! room ( 701 ) 7th floor . mini kitchenette ( microwave , sink , table , chair , coffeemaker , plate , glass , etc . ) , generous size sitting room , nice size bedroom large queen bed ( maybe small king , could not quite tell ) , full bath ( large NY standard ) 2 generous closet . addition , 2 flat screen tv , fully stock mini - bar Aveda bath product . view 50th St. Lex . great . hear bit street noise 7th floor , light sleeper , disturb I . the bed soft comfortable , bed little hard like . get ready bed , notice little sign nightstand say housekeep various pillow bed topper choose . tired point see pillow top mattress . the room bathroom spotless , common area . never wait minute elevator . room rate include continental breakfast , serve room lobby . breakfast adequate . table take , take cottage cheese , yogurt pastry suite , enjoy . staff encounter super friendly helpful . someone front desk get husband dinner reservation avra evening , call , tell book . not even think conceirge , like say , staff wonderful ! indian restaurant on - site , room service menu limit . room service important , one area hotel seem lack in . as veteran NYC traveler , 100 % recommend San Carlos hotel . 
 Apr 6 2008 	 Manhattan Style UK penny 	 ' ve use number hotel New York area business travel , recently Marriott East Side Lexington Avenue . San Carlos around corner Marriott light year ahead term attitude service . , one good hotel experience ' ve New York . our holiday family trip consist two adult two child ( 11 , 5 ) . book Executive suite well usual huge double bed contain sofa bed , armchair , separate dining area kitchenette . suite extremely well keep provide comfortable base six day holiday . hotel two block away major shop Fifth Avenue block away nearest subway station . concierge service seem team effort hotel believe guest benefit approach . particular Matthew , Quron Jamal excellent . we not hang around breakfast hotel , go instead Morning Star Cafe 2nd Avenue . kid love place , literally road offer good food , quick service set we day activity . the San Carlos wholehearte recommendation New York visit intend stay . 
 Mar 7 2008 	 great place stay . 	 four we stay 4 night end February 2008 . first visit New York not sure expect . not concern . book direct hotel two de luxe bedroom arrival upgrade suite . excellent lounge area separate bedroom , 2 tv , large bathroom , cooking facility . relatively little noise traffiic come pleasant surprise . typical Brits like indulge cook breakfast go walk UK wonder continental breakfast . prove excellent start day . tthe location excellent many sight short walking distance . the staff extermely courteous helpful- nothing much trouble Matthew particular gem ! four we thoroughly enjoy stay hesitation recommend San Carlos great place stay . 
 Feb 17 2008 	 wonderful stay ... 	 really like hotel . decide stay base review read spot . first room small side even NY Queen bed ( book king ) quickly accommodate we move we King room extremely large hotel NY . location perfect , within walk distance St Pat 's Cathedral Radio City Music Hall . room also small fridge , microwave dish / utensil . staff friendly accommodate . overall great experience reasonable price . 
 Feb 14 2008 	 love San Carlos 	 back four night stay one bed suite husband eighteen year old daughter . we delight space cleanliness suite . nice sitting room area comfy sofa bed daughter . two bathroom nice kitchen area handy coffee snack . staff pleasant helpful . continental breakfast fine good choice bread , bun , yogurt , lovely juice tea / coffee . however think would easy supply small packet cereal least yogurt cereal top . the price seem pretty good New York annoying hit $ 60 tax per night check out . overall location hotel great suite comfortable relaxing come back busy day . room front street noise bother we twice early morning . we would return hotel request room back next time . one tip shopping : friend tell we great mall New Jersey call Garden State Plaza . take bus port authority bus terminal . take 40 minute well worth . store New York include Macys much easy walk around busy NY street . also whatever weather stay warm dry ! 
 Feb 11 2008 	 Nice Hotel 	 Enyoed stay , great location free terminal use internet . coffee bagel breakfast . great 
 Feb 11 2008 	 good choice 	 stay San Carlos Hotel three night January . room spacious NYC standard . accommodation clean well keep . coffee pot refrigerator much appreciate . address E. 50th Third Lexington Avenues , San Carlos ideal location . Lexington Ave subway around corner , Rockefeller Center Fifth Ave shopping three block west , Times Square area several block west . wish avoid craziness still feel close Times Square theater district , hotel excellent choice . second floor overlook lobby , San Carlos provide three computer 24/7 . also printer helpful " e - ticket " boarding pass . simply ' leave lap - top home , wireless access throughout hotel . Breakfast San Carlos consist variety bread ( include raisin bread ) , roll bagel toasting , well pastry , yogurt cottage cheese . dark chocolate pastry roll particularly good ! fruit basket usual suspect , . beverage include coffee , tea , orange juice pitcher water . overall , would say San Carlos good choice location accommodation . fashionable place stay NYC , fair price San Carlos lot offer . 
 Feb 5 2008 	 gem ! 	 stay San Carlos business trip 1/15 - 1/18 impressed . year ago stay across street old Plaza 50 Affinia 50 know great location . get great deal one bedroom suite buy two get third night free special . bargain ! room huge great place unwind , stretch , get work do evening . two bathroom , nice kitchenette , ample space . colleague Hilton office W.55th street complain room . , mean , negative comment experience regard continental breakfast . not mind small selection however not good . 's trivial gripe however way would impact decision stay future . back ! 
 Jan 24 2008 	 Location ! location ! location ! 	 hotel good location 50th Lexington . within walk distance great shopping ( Christmas sale ! ) , sight restaurant . need stray block great dinner good restaurant NYC offer . Rockerfeller Center 3 block away , Central Park Times Square bit . hardly need use transportation able walk almost everywhere want go . subway station conveniently locate corner . we stay 1 bedroom apartment 11th floor . space perfect family four . clean , nicely decorate roomy NYC . kid sleep sofa bed living area . kitchenette helpful snack ( jet lag , travel Asia ) continental breakfast downstairs perfect light breakfast eater . downside stay move another room last night bath leak room ( idea ) . staff apologetic good make move easy we . new room 10th floor low ceiling bit darker previous room . attach Indian restaurant & quot ; Mint & quot ; good . try mint paneer whole family love . green lighting bit odd food good . across street good family diner , across corner Waldorf Astoria restaurant , etc . the hotel staff helpful friendly . Matthew bellman particularly wonderful family help we numerous way . really can not say enough pleased choose stay rather large , impersonal hotel chain . back . 
 Jan 24 2008 	 reasonable hotel - cheap 	 difficult one make . book without see mainly excellent review , base friend 's recommendation , go NY . friend stay load times kind go along avoid think else stay . see hotel describe boutique hotel . still 100 % certain really mean , also see Hudson describe boutique term design chalk cheese Hudson hip , cut edge San Carlos traditional new york . stay 3 night September ' 07 . find nothing wrong hotel end stay , ask would stay . answer really . read excellent review hotel disagree anything write reason want return may valid people . feel hotel business orientate hotel . could walk lobby , go lift room without see another guest . occasion see guest - usually corporate businessman . people like fact quiet feel lacked atmosphere character . we 1 bed suite cheap . $ 600 night . even standard room $ 400 night . decor ok . inoffensive luxurious mean certainly hip cut edge . size room good leage seat lounge separate bedroom . air con bit noisy get use . bathroom small could do update . the location good , central Lexington 5th . lobby staff good helpful . therefore summary nothing not like hotel . nothing really love either .... price ( much top price range , seem Deluxe price range ) think expect something bit more . not , would suit other . want hotel buzz , good atmosphere , somewhere hang lobby bit people watch , would look elsewhere . be happy quiet sanctuary bustle NYC , good location , use hotel purely base may well suit . 
