ok 	 stay three night . got really good deal Hotwire can not really complain . tiny room housekeeping . wireless never work despite several request front desk . local friend try telelphone three time tell not register mess plan meet . bathroom great , bed comfy location can not beat . good deal would try something small friendly staff next time . 
 Aug 28 2009 	 good choice location . free internet ! 	 like recent review , find place via Travelzoo ( $ 115 usd / night ) , can not complain regard price new hotel . ' m go repeat thing mention , will mention good value eat : middle - eastern street vendor - sell styrophome container lamb chicken , rice $ 5 . Popeye 's Chicken 40th btw 7th & amp ; 8th Ave - nugget $ 2 - 3 , 3 - piece chicken meal $ 3 . 
 Aug 26 2009 	 neither Great terrible 	 great deal Travelzoo lead we new hotel . would agree thing read TripAdvisor stay disagree other . first , hotel not good street NYC . huge bus terminal ( NY Port Authority ) across street place street would not want take child see , say . never feel unsafe . fact , NYC feel safe throughout ; police officer everywhere , include one two corner 40th St. 8th Ave . , near hotel , almost everytime walk . side , 9th Ave . many good restaurant . also find advantage close Port Authority . inside good place breakfast coffee , subway station , outside taxis time . word , able get good coffee pastry morning travel anywhere city want . also like fact could easily walk theatre district . see two major play 45th St. , five ten minute away . second , service hit miss . employee helpful , not seem responsive request . one thing especially bother we want sheet change first night ( strange hair bed ) , change top sheet . happen twice . finally get sheet change thing . besides , bed , comfortable . must also give hotel credit store baggage free day check . allow we see city night flight . finally , hotel nice new , room small ; bed take space . overall , happy low price pay stay Manhattan ( value money ) , would not happy pay much . 
 Aug 24 2009 	 Nice hotel - do not listen bad review ....... 	 contrary lot people , really like hotel . pro : - location : close ( 1 avenue , 2 block ) away Times Square- price : pay $ 115.00 intro rate , excellent- room : small ( 2 double bed ) . GREAT COMFY bed ! wow ! - nice staff , allow early check - in- good restaurant onsite Cons : - XXX shop street- probation office next door explanation : xxx shop nearby , Manhattan , homeless people liquor store . probation ofice non - descript not know come home read people 's review . must close 4 5 pm , not see anyone near dinnerhour . face , be go New York , go look , smell , appear exactly New York . . ' m happy stay Manhattan $ 150.00 / night . do new hotel , close Times Square bonus ! travel New York want space peaceful surrounding , stay Secaucus , New Jersey . may suitable alternative people . 10 year old not scare phase , comment & quot ; 's lot hobo 's & quot ; , reference NYC in - general . also lot homeless Toronto , ( unfortunately ) lot large city . go four point enjoy ! 
 Aug 24 2009 	 Courteous Staff well appoint room parole division one door 	 clean courteous , 40th 8th , 4 point Sheraton Times Square block Times Square . room clean nicely furnish . careful thing : directly across Port Authority ( multi story bus station ) , one door NY Division Parole . Police present area overall safe . guest noisy hall hear room . awake several time . a / c noisy necessary summer interrupt light sleeper . 3 elevator go top floor . time wait quite get lift . computer available use , internet slow . get great rate , need flexible . 
 Aug 23 2009 	 good hotel - street kind scary 	 always wince bit walk back hotel dark - walk NY Probation Department fortress NEXT door ! help . hotel nice inside , staff good . location good . 
 Aug 21 2009 	 stay away ! ! ! 	 husband never stay ! ten year anniversary . horrible view pigeon poop stain building right across street port Authority transit building . staff completely incompetent . charge room wrong credit card . give card & quot ; incidentals & quot ; assure charge would come day . two time go front desk question . never look information , inexperienced staff assure time , charge would release . act like new freshman high school kid know say . money never come ! ! call later , tell release . call bank ...... ! call back find charge almost entire room & quot ; incidentals & quot ; card . give credit card hotel ( complete stranger ) , expect professional , accurate , know ! try keep track money trip ! ! ! unhappy place . cheap reason . 's card go ... 's principle . lied never check , lie second time never check ... stupid . also , porn shop right next door nasty liquor shop . 
 Aug 18 2009 	 Newer hotel night construction 	 Hotel staff friendly hotel new comfortable . neighborhood sketchy adult store parole build close . get good nightly rate $ 115 / night . however night time construction across street ....... needless say , sleep well , course hotel prewarn . like nice sleep .... please careful ! room service questionable 
 Aug 17 2009 	 good deal Times Square 	 boyfriend get opening offer get room $ 115 per night . first come read reviews hotel , thought would locate sketchy area would freaking go back hotel really late . first arrive Port Authority bus terminal , must say amazing across ( even 5 minute walking ) . area look sketchy ton adult shop , be somehow safe . stay 5 night , every night , walk back hotel , cop corner 8th Avenue 40th Street . , feel unsafe . 1 avenue away Times Square subway station close hotel . can not complain much . we , like normal NYC . would not know would feel like go bunch girlfriend , think long be least two people together , would fine . the room bite tiny , see spider web behind bathroom door . carpet room bit weird , not notice last day , sofa pull bit away wall . 's nothing major . king size bed amazing . not really try wireless , two computer provide hotel lobby really slow . ihome dock room work fine . view stay 3rd floor , due early check - in . not want wait 3 pm . a / c somehow really really loud . point , find A / c bit annoying . whatever , , nothing major . not try restaurant lobby not chance go get drink bar ( although offer 2 - for-1 drink check ) . apparently , open 6 pm ( remember well ) . 
 Aug 16 2009 	 Great Hotel 	 neighborhood safe . would not problem walk outside 2AM . Sure 's shelter across street parole office next door . would not stand front hotel take picture . half block away New York people would recognize . get past grittiness outside door will find gem hotel stay . almost new writing . super comfortable bed . great shower bathroom . slightly small room typical New York . price ( $ 200 ) great place stay . 
 Aug 15 2009 	 get good deal steal 	 stay hotel August 2009 4 night . travel spouse , 22 year old daughter 11 year old son . concerned location especially review read regard hotel 's location since must pass couple adult bookstore parole department . however , location fine . scary people loitering hardly notice parole department . cop usually corner street unusual since times square area . walk quickly hotel even not not think would scary . one bother we . not think issue would concern recommend hotel . , regard hotel , bed comfortable every sleep . room clean feel like New York room good size . not trip lugagge . thing feel mislead fact hotel say give free bottled water . actuality , provide one small 16 oz . bottle per day . not expect provide bottle day four us room , one bottle seem stingy misleading advertise . think two bottle day would make well impression . two people stay room example , could not cough enough water least two bottle ? not want not advertise room come free bottled water . seem like deliberate ploy . overall , get good price , would recommend hotel . TIP : buy ticket tkts booth , count money hand give person behind counter . TKTS clerk steal money counting slide window . MISTAKE ! ! ! ! not take eye moment hand money . 
 Aug 13 2009 	 Poor Location 	 stay hotel weekend , family . arrive city , child early , want check early , go chinatown . arrive hotel , get lose , thank google map , cell phone . rang hotel , get direction , Nicholle speak , clue , give right location , hotel . street hotel , horrible , man work , awful rate R dvd store . take right hotel , end street , subway , New York Times Building , clean large drug store across road . also bus station near , well . short walk Times Square , great . want go Central Park , take sub , quick , dirty .. also go Bronz Zoo , great .. overall may stay , know location .. husband love bed , bathroom small , toiletie great , get bottle water , room , free intnet downstairs ... coffee maker also room , great bedroom slipper . issue , husband also not like go basment , get ice . also think bar tender , Friday night , female , rude , not serve , say serve drink , yet still serve two gentlemen , bar .. Nicholle check , great , knowable , sign , starward perferre guest , explain program . great time , city , love New York . 
 Aug 10 2009 	 clean area surround hotel bit shady 	 although trouble reservation first , take care nice gentleman front desk . allow check early , bonus , head 2:30 pm Broadway show ( walk distance hotel ) .The hotel new , clean well appoint . bed comfortable , bathroom big other see NYC.We nice view room . the area around hotel bit & quot ; shady & quot ; dark , however , feel uncomfortable walk around . still , need clean ! ! overall , would recommend hotel get good price , ( $ 115 introductory rate ) . 
 Aug 10 2009 	 steal location 	 fourth visit NYC husband 's first . stay Upper West Side , take chance Times Square locale fantastic deal offering ( $ 115 / night - - check hotel 's actual website . ) although area definitely & quot ; gritty & quot ; Upper West Side , Times Square subway station give access many line go city . room well appoint , never sleep comfortable bed - kidding . close subway station pharmacy / grocery right corner street purchase snack / map , etc . bus terminal also right , see homeless type , patrolman politely ask move , . terminal , way , ton low cost restaurant snack shop also . be also good know portion Times Square close Sat . night pedestrian fully take magnificence . want close Times Square Broadway , fantastic deal not miss . 
 Aug 9 2009 	 good access subway times square brand new hotel location 	 also get grand opening special 115 dollar taxis 135just times square - problem riff raffbrand spank newonly 8 room per floormy room look greatbigger thought would get new yorkreally much small hilton stay New jerseydesk hookup / cable laptop . not even need use Wi figreat value money would stay away Times Square think .... think would like downtown 40th street access Times square subway - like subway entrance half block hotel ........ c e line side 40th st bus terminalthere also 2 computer public use . 1 working printer could print boarding passsmall fitness centre . not use . not see anyone itstaff : room make nicelythe front desk staff google ....... not know look upi think try hard concern 
 Aug 9 2009 	 Beware Booking online 	 book hotel last minute ( night arrival ) booking.com . also call hotel directly confirm room available tell could book online , room available . arrive hotel tell room we stick NY luggage 10 year old tow . first tell we book October 4th , August ( day arrive ) . produce book confirmation staff change story tell we try call we morning ( way confirm travel hotel ! ) . separate note , would wary staying location , especially young child . hotel surround side & quot ; adult & quot ; store lot seedy character hang around ( even NY ! ) 
 Aug 6 2009 	 mixed feeling 	 stay NYC time different place . other say , location great block times square . however , agree walk 8th St. little shady short ... scary would avoid walk night . two woman alone feel little nervous . often police corner 41st 8th right street . hotel bed comfortable size room fine - stay bigger small . overall service though lack . housekeeping forget restock thing us daily Room service also fail show one occasion forget thing another . ask front desk question two get back airport less helpful . another complaint would air conditioner . terrible ! loud strong . overall would recommend hotel due price $ 115US / night along comfort bed . another tip - eat lunch Schnippers 41st 8th bottom New York Times building . great food ! 
 Jul 29 2009 	 Decent anxious return 	 brand - new hotel locate close 9th Avenue , Port Authority bus station across street , number adult shop block . ongoing construction corner , make noise whenever leave hotel ( plus , negotiate scaffolding ) . pretty block . however , proximity Hell 's Kitchen neighborhood actually wonderful . many great restaurant 9th 10th Avenues , walk Hudson ( rent bicycle , walk along riverfront , visit Intrepid battleship museum ) minute . the hotel nice enough . room clean comfortable . staff , though , not & quot ; go extra mile & quot ; breed . fair , lobby tiny , must tough manage guest small space . in conclusion , decent place stay . get promotional rate use point four - night stay , get good value . not use point , imagine would use Priceline stay somewhere well . 
 Jul 29 2009 	 unlike other complaint ! 	 read review hotel , skeptical completely unwarranted . complain hotel 's location , grow thick skin . hotel great area mean dangerous . yes , couple homeless people vicinity hotel approach friend attempt talk we . area surround hotel great little restaurant bakery , previous reviewer say avoid 9th ave . completely disagree , many great spot ! hotel , clean ! room good size Manhattan bathroom spotless . high floor nice view skyline . staff courteous time nice perk mention fact hotel offer discount parking ( $ 24 per 25 hour ) lot block , someone front desk validate parking ticket . wifi work well throughout stay complimentary water nice touch . , great hotel great location close Times Square directly hussle bustle . definitely worth grand opening special $ 115 / night . 
 Jul 29 2009 	 GREAT HOTEL price right 	 although hotel south side Port Authority Bus Terminal , street safe hassle free . taxis frequent cut street , problem get one quickly . small , clean new hotel easy access out . polite , friendly , courteous staff willing help . room average size NYC hotel , hotel brand new , make comfortable . would recommend hotel single couple . price $ 150 make hotel bargain . 
 Jul 29 2009 	 Good Value Great Location 	 four point Sherton Hotels usually decent quality , good value . Thie brand new hotel , new not Super Shuttle Hotel List . go soon , make sure tell company new Four Points Hotel exact address not get mix four Points hotel New York . get great rate room Grand Opening special promotion . pay $ 125 plus tax per night . could not miss . people say , room small , think 200 sq foot . get 2 queen bed not lot room move . sleep , adequate . complaint size sitting desk room person pass bed back fthe chair . oh , small closet , adequate number shelve drawer storage . location great far proximity Times Square . subway entrance half block walk . time square foot . pass couple Adult Book Stores Probation Office . always police officer corner ( usualy day night ) notice quite police officer times Square visit NYC . would definitely recommend hotel , pay $ 200 per night , check area compare . think Hilton Garden Inn room big price . 
 Jul 27 2009 	 good value clean hotel 	 Hotel good value travelzoo promotion . clean . bar open begin July . location bad review suggest . close subway Times Square . 
 Jul 26 2009 	 Nice Stay 	 stay four point 3 night mid - July . see less favorable review location , little concerned . 2 block time square , & quot ; bad & quot ; area . not feel unsafe time walk hotel . room nice new . little small side , get deal rate , would not complain . overall , great stay . never wait couple minute elevator staff nice helpful . definitely convienant location , since be block subway bus terminal . 
 Jul 23 2009 	 back ; clean affordable 	 stay one night warm week July . aircon shuts room ( motion sensor ) since brand new cool room quickly . shower bathroom spotless lay nicely . complimentary internet bottled water nice amenity ; also ipod docking radio decent sound . king bed room 30th floor nice view Empire State building city general . quiet well decorate . elevator slow peak use time , never 5 minute wait . ice / vend machine basement slightly inconvenient . also fitness center try , try room service lobby lounge . I arrive 12:30 other state room available small lobby full bag , look little shabby . lunch 9th Ave come back around 1:30 give room , nice since check technically 3.as area , fine- Park Avenue , certainly dangerous way . close multiple subway line cab plentiful . airport express bus depart north side PA bus terminal 42nd , cheap way get nyc airport . all clean , affordable hotel great location quick visit New York , major complaint . 
 Jul 20 2009 	 Nice hotel ... tell exact location 	 book 2 room husband 3 boy tell SPG reward operator several thing . first important , hotel locate Times Square , ( across Westin ) . ! area may consider Times Square , much pedestrian traffic reassuring . hotel actually beside NYC bus terminal . back build front view hotel . walk 3 boy dark street look like alley bar , homeless , adult dvd store . feel SAFE walk street ! also hotel connect room , 2 double bed per floor . husband split adult room kid . the bed nice , price great ... feel greatly mislead starwood . definately get pay . place would ever bring kid back . kid please learn mistake stay elsewhere -- 
 Jul 19 2009 	 need time get shape 	 sketchy area , even broad daylight ! value , ( $ 115 intro rate on - line , hear elevator , ) spend cab , walk front Port Authority grab one , none come narrow street . nice bed clean since brand new . housekeeping inconsistent . security , doorman , front desk staff confuse unhelpful . different # soap , towel , coffee cup room day . 3 elevator service entire 33 floor , 8 room . take 15 minute 1 day get . suggest walk low floor . bill upon checkout plus . Felt unsafe go basement get ice . 
