incredibly 	 unbeatable location well bad asset hotel . just across road Victoria Station , situate strategically , especially arrive London Gatwick . drawback ... room ( 4th fl ) face Victoria Station INCREDIBLY noisy night . believe , design , nobody realize close Victoria room , least extent , soundproof . stay 2 nigth . first one barely sleep . get bed several time double check window closed could believe much noise could come room . second night sleep much well ... previously buy earplug . by way , internet connection free , slow . 
 Sep 2 2009 	 ok would stay elsewhere next time . '' 	 Stayed Hesperia London Victoria 5 night 6 year old . London like Victoria Station Area . hotel ok nothing special . good price Expedia fairly modern well appoint room nice . service front desk poor ( expect concierge ) , room service dismal , pool commission ( good 6 year old tow ) . overall , ok spot , particiularly going see Wicked Billy Elliot ( well worth ! ! ! ! ! ) want walk Buckingham Palace , Westminster Area . next time stay theatre district . 
 Aug 8 2009 	 Great Billy Elliott 	 location Hesperia good sightseer particularly people going see & quot ; Billy Elliott & quot ; & quot ; Wicked & quot ; . Victoria Station mere 30 metre hotel entrance ! part spanish hotel group popular destination tourist Spain . the hotel range business facility evidence popular place meeting conference . Wi Fi free quality coverage extend bedroom , would suggest maybe something hotel consider improve . I would describe hotel decor minimalist functional . we stay twin room 4th floor overlook waste compactor Victoria Station , wonderful outlook ! room well stock mini bar , obligatory tea / coffee / chocolate & amp ; mini kettle . iron board hair drier also room . little touch like drink stirr bottle opener thoughtful ( useful ) addition ! room flat screen LCD tv range terrestrial satellite channel include number european language channel cater visit tourist effectively . the bathroom interesting frosted glass door ! decent size shower bath plenty functionality age six footer like ! good range toiletry replenish use . minor gripe bathroom inefficient air extraction system . the bed comfortable , air conditioning efficient little noisy side decor room good , perfect good . room smoking allow . find little surprising . room clean fantastic ! unfortunately swim pool refurbish moment . would useful addition ! local health club use resident well also action hotel . all staff helpful courteous extreme . small bar area hotel good reasonably price menu available . take breakfast day stay find good range cereal , pastry , juice , cold meat , cheese , fresh fruit alongside ' traditional english breakfast ' . range alternative kipper poach egg available additional cost . check - out 12 noon bag storage well organise . hotel would not everyone 's like - modern , minimalist hotel European feel it . some reviewer mention waste compactor voice announcement station disturb . astonish review . perhaps lucky directly opposite compactor not disturb we ! ( old enough become hard hearing yet either ! ) stay hotel next time visit London . 
 Aug 7 2009 	 unexpectedly bad ! 	 read amazing review hotel maybe go hill lately experience awful service last reviewer ! arrive hotel tell overbooke . also happen people front we , guest check we , odd full ! receive deal lastminute.com maybe be true actually deal pay full rate . really rude receptionist v patronising manager , person find . next day taxi re - imburse get car park near hotel lady apologetic bad ! also want take advantage spa hotel send mile away spa . would not bother return worth hassle stress ! 
 Aug 5 2009 	 intentionally overbooke send we elsewhere . rude 	 book stay hotel month advance via lastminute.com get good rate . especially select hotel near event attend also claim fitness centre pool . pool really swing we want spend time relax pool prior go out . when arrive hotel midday ( three hour prior normal check time ) tell fully book go another hotel . upset discuss reception staff go arrive early could enjoy facility . staff not care plan say go elsewhere . when question , manager admit although hotel fully book , guest yet arrive . despite , still leave could room even yet arrive . manager rude keep tell we consider feel situation . twice ask least offer we drink park parking station recommend 10 minute walk away carry luggage hot day . even provide drink ! eventually leave not want tell we send we give card postcode hotel go rush we door taxi . the hotel ok standard Hesperia mean . pool incur extra cost take taxis event . the location hotel ugly well sit right behind passport office Victoria station ; busy , dirty ugly . do book stay hotel 
 Aug 5 2009 	 Disappointed 	 choose stay due 's location night plan old friend . confirm booking night tell ok . arrive tell overbooke 6 couple also turn away another hotel . suppose enjoy spa hotel send we one . apparantly get good deal internet overbook turn away pay full rate . patronise manager , unhelpful , disappointed . 
 Jul 22 2009 	 Excellent London Hotel 	 arrive hotel 11 am morning , reception staff check we straight away ! excellent . executive room big king size bed , dress gown etc . room spacious ( London ) , every amenity possible . 3rd floor overlook Victoria Train Station sleep soundly . good hotel great rate . staff excellent , room good quality one tiny problem egg breakfast busy , small thing . would stay also well connected , lovely staff good room . 
 Jul 16 2009 	 Nice hotel shame waste compactor 	 hotel nice want sleep ask room front . stay two night night midnight waste compactor station across road start work . much sleep ! 
 Jul 12 2009 	 location good great hotel 	 first time vistor London , location excellent . take Gatwick Express Train Gatwick Airport Victoria Station one station 's exit simply cross street hotel ! extremely convenient even luggage ! check agent pleasant helpful , actually thru 5 night stay every staff member encounter great . conceirge gladly help we book hop hop tour show ticket , however mix get we taxi 4AM would suggest need taxi throughout stay , simply cross street Victoria Station taxis always readily available time . within walking distance hotel Buckingham Palace , several souvineer shop [ go street compare price ! ] , great selection restaurant , also several bus stop plus since ride bus often throughout stay . housekeeping never bother we , something always pay attention hotel , always bed make small item organize . room service order first night pretty bad not recommend , although fairly inexpensive . bathroom spacious large sink area , shower tub combination , watch step get tub ! overall fantastic stay , hotel property room clean comfortable aqnd hotel prime location , make first trip London much less stressful much enjoyable . 
 Jul 8 2009 	 Reception staff could well 	 stay hotel bout 2 year ago fair idea expect , although staff bit friendlyI give excutive room 11year old son room ( suite ) could fit we , room nice , slipper , bathrobe , usual bit would expect 4 * hotel . seem slightly dodgy bath tap ( turn leave downwards ) 1 day do not really bother . breakfast staff nice nice selection food . main downside recetion staff , particularly welcoming , friendly seem nothing stare family whenever come , ok fair dress nine attend wedding around corner , come , surely must see people dress ? ! ! ? guest could understand , really annoying recetion staff stop stare , really give , respect flatter , make feel uncomfortable . not sure would stay room also overlook train station , particular occasion fine till 11 pm do not hear anything get back check put thing quite noisy , would hate try work catch sleep long flight 
 Jun 25 2009 	 great location 	 good thing hotel location . locate behind Victoria Station great sightseeing . double room not big , clean bed quite comfortable . overall , nice stay hotel . vegeterian , like we , might find dinner average quite pricey ; not problem lot quality restaurant around . hand , breakfast buffet lovely room service good . staff professional problem . London shopping sightseeing , right hotel . however look luxury hotel experience , might disappoint , good word describe Hesperia London would & quot ; average & quot ; . 
 Jun 23 2009 	 rude unhelpful staff - worth rate 	 make reservation Lastminute.com get well rate advertise via hotel website . Husband turn 1.30 pm long line people wait check , people front we give key make way room however try check informed could not see booking system would ring reservation dept . abrupt lady dark curly hair glass serve we say would not call 2.00pm official check time , point other give room key basically say tough refused help . return 30mins later finally give key room . might feel differently would offer we complimentary coffee wait . the room shabby , dirty stain ceiling tile furniture chip badly worn . also wake 8 am , 10 am clean staff bang door try get clean room . overall one bad experience London hotel would recommend enemy ! 
 Jun 11 2009 	 can not beat location 	 first concerned location - directly across street bustle Victoria Station , however turn hotel 's big asset - incredibly convenient . Victoria Station railroad station also major underground tube stop . ( walk distance Westminster Abbey Chelsea . ) concierge helpful desk staff friendly able . clean staff excellent . travel 15 year old son 6 foot tall . bring extra bed not handle anyone tall - keep mind tall people might sleep extra bed . bathroom modern , clean stocked lot towel . internet service spotty week 's stay able take care business end . hotel seem cater business traveler appreciate numerous plugs electronic equipment ( computer , charger , etc ) . bar restaurant premise although never eat there . as probably know , London quite expensive . find nice affordable ( cheap , however ) restaurant enjoy neighborhood . among favorite Giraffe ( & quot ; California style & quot ; food full bar around corner hotel Wilton Road ) Cyprus Mangal ( middle eastern food ) , also block hotel . food store - Sainsbury 's - street . many coffee shop area . we bite walk laundromat ( term ' lauderette ' England ) use carry - on luggage haul laundry back forth . think quite expensive , way - 3 pound normal wash load , 1 pound detergent 1.5 pound dry load . Pimlico area . regard noise : front hotel immediately opposite Victoria train line recycle area station . would recommend stay high floor request room back hotel . 7th floor face front . sleep fan problem noise even though face station . overall recommend hotel not mind business ambiance . convenient good neighborhood . 
 May 31 2009 	 Superb friendly staff excellent accomodation 	 hotel choose proximity ' Wicked ' ' Billy Elliot . ' mean safe easy stroll theatre venue hotel . upon arrival hotel staff super friendly genuinely welcoming . room spacious clean . air condition essential hot day may efficient quiet . the proximity tube station opposite facilitate easy access whole London hastle free weekend . I worry comment noise , idea complaint make . PA system hear evening station opposite day barely audible . really unfair . 
 May 26 2009 	 Value money 	 stay 4 night , great location beside Vic station . also pleasant 5 -10min walk Buckingham Palace & amp ; St James Park , could stroll major sight . hotel v pleasant , v clean noisey . staff friendly & amp ; helpful . great breakfast , great variety fresh fruit well usual trad breakfast . would stay . 
 May 25 2009 	 excellent location comfortable stay 	 Flew Gatwick airport look convenient location Victoria Station could not choose well - hotel locate across road exit platform 1 . check - in reasonably quick . request quiet room certainly get one - absolutely noise inside outside hotel . comfortable bed . nice bathroom lady toiletry & quot ; pink room & quot ; specifically female traveller . not eat hotel use business leisure facility comment . only minor complaint midday checkout Sunday one person reception - avoidable queue . one excellent restaurant nearby La Poule Au Pot Ebury street - cosy french restaurant , great food friendly staffcertainly recommend hotel would return use Gatwick airport . 
 may 13 2009 	 noisy 	 hotel select pre - pay client choice stay . entire half hotel overlook Victoria Station ! hear every announcement loud speaker - confuse reviewer mention . truly atrocious . ask quiet room side hotel new room right next service elevator strange buzz giant bumble bee sound whenever anyone call elevator - wall paper thin . luckily , bring sleeping pill travel - tonight true test potency . expect noise bust city top . staff pleasant aim please . room freshly decorate spacious . breakfast ok . 
 May 12 2009 	 good hotel 	 Hesperia London beautiful hotel , modern , clean , spacious room friendly service . room look even well website picture , know be quite unusual .. location good , beside Victoria Station , breakfast serve good . downside stay WIFI , work . really satisfied stay certainly come back would recommend . PSA month ago , ' ve spend two night Grosvenor Hotel , practically location cost price , maybe . end review saying & quot ; probably get well place well price & quot ; .. turn right . 
 Apr 29 2009 	 go Gatwick early ... 	 ... choose hotel , near Victoria station . fact , be five minute walk hotel entrance Gatwick express . staff polite , room clean view Victoria station . could not write , nice hotel hotel stay night . though , price London hotel ( 100 euro ) , much well Millenium Gloucester , stay night ago . Aris Alkisti , Athens , Greece 
 Apr 29 2009 	 Great Location Great Hotel 	 Booked room London Marathon relatively close finish . staff could not helpful , not mind upsold upgrade superior room , do well fact cost extra £ 10 night allow we check 9.30am . room good despite kingsize bed not usual cramp London box . clean well decorate gather recently refurbish . equally corridor rest hotel clean tidy . couple point ; water pressure shower not good tv station jumble around annoying . not use breakfast facility , £ 30 2 thought tad expensive fry although buffet style . bar pleasant enough . although sightseeing close ( walk distance ) relevant site course right opposite Victoria Train Station . not use spa gym . would definitely stay , affordable bit 4 Star luxury . 
 Apr 22 2009 	 convenient location good value . 	 hotel locate behind tube / train station Victora Station . upon arrival , bar / restaurant quite busy number business meeting take place . later stay try bar unimpressed reheated appetizer present . we check find adequate room , much less expect cost . attempt use pool discover close Fridays , however try next day . small indoor pool jacuzzi set next fitness center , 3 - 4 machine . jacuzzi luke warm shower cold . complain go room shower , discover water heating issue affect whole hotel . complain second time tell hot water would available hour . instead wait , check return . 
 Apr 14 2009 	 Convenient Location 	 Hotel well position next Victoria Station . follow direction Hotel website problem . couple step go sunken reception bit annoying carry luggage . room normal size face front give unpleasant view recycling , rubbish sort area . small amount noise truck come collect rubbish also PA system train station , infrequent bad . hotel seem part spainish chain Sky tv order get european channel , less local channel . look like BBC1 , ITV1 channel 4 . adult channel seem switch night start show montage scene different adult movie form advertising . may offend many people come late , start click channel wonder earth go . additional information , 2 west end theatre close , lot food place Marks Spencers store Bressenden Place across side Station . Bressenden Place also collection point budget tour group call Tracks Travel Hotel reception really good brochure many tour . local bus call C1 go near station Sloan Street close Harrods . swimming pool close renovation . 
 Mar 8 2009 	 18th could not feel luxurious ! 	 6th floor . window overlook Victoria overground station , not hear thing . Windows keep sound . black curtain , great catch sleep day ! breakfast - incredibly fast service every morning , thing miss waitress waiter could not wait help . room incredibly clean condition , great comfy bed , sheet towel change daily even though ask specifically . entrance tube outdoor station literally outside hotel door , Victoria Line direct link king cross Oxford Street . close Billy Elliot Wicked . lack pub club night ; possibly inability find exist . one thing unhappy involved charge extra ' ve even use . mother book two double room per room per night , £ 40 charge credit card even say . fit lock mini - bar charge deposit key ? even touch mini - bar wait refund £ 160 credit credit card . get home around 5 hour ago ' m upset ' m still London ! room service food expensive . 
 Feb 19 2009 	 Great Location beside Victoria Station 	 boyfriend book hotel Valentine 's weekend . arrive hotel 11 pm happy start right beside Victoria train station 2 min walk leave station take Gatwick express . when arrive room bit disappointed bathrobe suppose ( boyfriend book & quot ; pink & quot ; room suppose include bathrobe toiletry ) . call reception say would sort follow day . fairness probably would not use night anyway fact suppose irritate I . the double bed comfortable room clean . bathroom quite basic adequate . bit disappointed hotel claim 4 star 2 showergel / shampoo dispenser ( yes , combine one ! ) attach wall oppose separate bottle add insult injury completely empty ask replacement ! .Our room face train station problem sleep although morning could hear make announcement could not make say . the breakfast buffet excellent cost £ 12 + tax not mention fact tax extra saw bill ... small thing fairness tax usually include price UK ! think staff reception fairly efficient check check out . we problem leave bag hotel day check collect evening evening flight back . overall would probably recommend hotel purely ground location bit disappoint 3star quality expect 4star . 
 Feb 18 2009 	 nothing special good location 	 advertise look like new stylish ... nothing like . double room small , hot whith termostat regulate temperature , old bathroom nothing work properly . breakfast average , nothing special . staff professional , location perfect . defenitely good couple maybe ok business . lesson : trust pic website . 
 Feb 18 2009 	 disappoint 	 book hotel valentine weekend extremely disappointed . first time London attraction great hotel appalling . on arrival reception say pay additional £ 50 deposit would refunded not use anything room not money refund . however , say breakfast fee yet already pay book agent dispute . look keep chase so . the room overlook station work not great view . room compact . check invoice state double room yet order king size room . air con not work . feel someone room go day - possibly clean one drawer leave open not feel safe night . the Reception state pool sauna open 6 pm weekend yet internet site not state . internet site say sightseeing trip day relax pool etc . afterwards plan need back hotel 6.very disappointed would never stay . 
 Jan 15 2009 	 great location 	 stay hotel 4 day . first book Victoria Park Plaza , cancel reservation group 30 people come ! ! book we Hesperia , thank god . staff great ; woman reception give we room straight away ( 9 get ) . room give we great ! 7th floor , great view . bed soooo comfortable , perfect long day walk around London . location perhaps perfect thing hotel . walk distance victoria station ( take we 2 min walk train bus station ! ! ! ) attraction like Big Ben Buckingham palace 15 min walk away : ) breakfast buffet also great . especially ton fruit : ) thing staff ( especially receptionist ) not talk english well . overall , would stay every time ! : ) 
 Jan 1 2009 	 Excellent service 	 really enjoy stay . food excellent , especially pre theatre dinner good quality , plenty choice good value . staff could helpful throughout stay . 
 Nov 22 2008 	 okay 	 stay business 2006 . room plain simple ....... modern take empty think . hotel clean food good standard , though try breakfast . facility good . problem significant work happen Victoria station make difficult sleep . also MacDonalds unload thi lorry 4 am also disturbance . apart formthat good stay . 
 Nov 11 2008 	 bad 's make - like ! : ) 	 boyfriend exhibit V & amp ; halloween need hotel handy get back late night , good base we explore London weekend . book hotel input decision . I travel London alone , go hotel change exhibition . check fine really pleased room - bathroom lovely room decent size . look onto Victoria Station , never bother noise . hotel book taxi V & amp ; problem . return night order room service , expensive ( usually kind hotel ) food lovely . our stay Hesperia great . location really handy . however , one incident leave boyfriend bit perplexed - bring ' smart ' coat scarf wear evening , carry travel bag exhibition Friday night . remember take top bag arrive room put aside . get ready go dinner Saturday night boyfriend could not find coat scarf ( have wear different one day ) . turn room upside find nowhere - ask sure have leave elsewhere ( begin doubt , even though sure see room ) positive not . rang reception say coat scarf - could not tell we find . really puzzle , still positive not leave elsewhere bedroom . would interested know happen anyone else ! Victoria good location . eat Mango Tree , within walk distance take wrong turn get lose ! ! however struggle find somewhere drink afterwards hotel bar .. love weekend London would return hotel - look coat ! 
 Nov 7 2008 	 Fine 	 stay three night last week . hotel locate close apollo theatre would perfect going see Wicked . love area Victoria ; lot happen great bar restaurant . would strongly recommend visit Cardinal centre close . lot nice restaurant . the hotel average honest . room ok , breakfast ok staff ok . nothing excellent opinion suit need . , London mad end spend majority time sightseeing shopping ... well maybe be we ! room small incredibly quiet give location . would strongly recommend ask room rear hotel front look directly onto station . breakfast fine rather strangely organise . bacon sausage one end buffet eggs hash brown brown red sauce plonk middle yoghurt fruit live . strange ! 's plenty staff though never wait 2 minute tea , coffee toast . staff general ... ok . overbrimme personality rude ... bit non descript ask . Noone really stand . hotel however good location lot shop , eatery etc . Victoria station tap . Loved Krispy Kreme donut ! think area exceed expectation hotel didn't . would stay ? truthfully , rate good alternative , probably would not rush back honest . probably cheap alternative . 
 Nov 2 2008 	 Good Value money 	 stay one night short trip London weekend . hotel locate quiet street next Victoria station . room overlook road , hear road nose . room good size , two single bed . want double bed , simply push two bed together . hotel clean relatively modern . hotel good value money , would stay London . 
 Oct 19 2008 	 Visitors Night 	 stay London least one night month usually Jolly St Ermines . expensive last time try Hesperia - never again . it cost £ 153 bed breakfast nothing special room , atmosphere food - usual drab ' could anywhere ' type hotel . what make memorable stay wake 12.30 morning someone enter room put light ! shout - left . rang reception appear member staff come . next morning complain duty manager deal badly , eventually offer ' massive ' £ 7.50 discount disturb night 's sleep intrusion privacy . need not bother - plenty hotel London . 
 Oct 10 2008 	 ok nothing special 	 enjoy stay , think great location within easy walk distance major attraction also extremely easy find leave victoria station . however , although room ok supply we basic need think price pretty standard worth cost . regard service overall pleased room clean every day provide clean towel , also problem hot water expect due complaint read many review . visit London would consider stay hotel cheap rate . 
 Sep 24 2008 	 central hotel would recommend 	 Stayed Hesperia recently family weekend . wonderful central location Bridge place , 5 minute walk Victoria tube station Gatwick Express . walk distance Buckingham Palace many site . room pleasant , normal 3 star . would recommend hotel weekend London . 
 Sep 3 2008 	 ok ..... 	 wife choose hotel across road Victoria Station . spend one night travel Paris Orient Express - WOW ! treat boss Executive Room . Madame chuff extra bathroom goody dress table . Sir somewhat disappointed room - maybe ' m get fussy old age , , example , good 4 star Sofitel Gatwick wherewe stay couple month previously . feel tired could well equip . perhaps evening meal really put we . salmon starter overcook , main couse Lamb Shank suffer fate . even though four guest present take rather long time course appear . wife quite enjoy choice though . - cruel - compare Orient Express would earn 2 10 ! ! however redeem next morning good selection Room Service Continental breakfast extra inclusive cost . could fault efficient friendly Reception Staff . the hotel excellent position get around London - eat elsewhere evening meal ..... Tony Hilary IrelandCheltenhamEngland 
 Aug 31 2008 	 Fabulous Location 	 first time London , book hotel primarly company corporate rate hotel . land Gatwick take express train straight Victoria station ( 30 GBP return per person buy ticket right train ) . exit Platform 1 Victoria station hotel right across street . check - in flawless ( around 4:00 p.m. ) get room 3rd floor ( executive level ) rear hotel . read quite noisy station , request , get . room standard room , king size bed , ( little soft liking , get use ) , tv ( enough channel , english , french , german , arabic ) , mini - bar ( receive complementary water , juice mini - bar , sure standard practice , could executive level ) . coffee tea also include . bathroom regular toiletry , include comb , toothbrush razor cream , hair conditioner , shampoo . bathroom fan water pressure low . breakfast restaurant 10GBP book advance , 17GBP show day . serve weekday 6:30 a.m. 10:30 a.m. weekend 7:00 11:00 a.m. never eat dinner drink restaurant can not comment use facility . also complementary newspaper lobby . not problem check - out ( 10:30 a.m. ) , would nice express check - out option , something hotel could add , especially business traveller . we like hotel location well price , ever visit London , probably stay . would advise people ask room rear , try get executive level 3rd floor . 
 Jul 27 2008 	 hot water 	 Hesperia easy find locate right next Victoria Train Station . check seem take forever , 5 min , ' m sure 4 min not seem actually anything . the room clean tidy usual bobbin London business hotel . room also big ( ish ) LCD tv number free tv channel ( include Adult channel ) . bathroom clean tidy usual complimentary toiletry . however , morning hot water shower , ideal ahead day worth meeting travel ! ! ! breakfast morning well average full hot cold selection include rather nice cold meat cheese ( much well hotel ) .check take half hour central London hotel people place ridiculous . express check facility result 20 min late meeting . one colleague complain hot water situation tell leave queue speak duty manager advise 15 min ( not believe true ! ! ) could offer compensation . duty manager would complete check process leave colleague strand push back front queue . a nice hotel simply would not stop due problem ( not ! ! ) handle ! ! 
 Jul 24 2008 	 Service Disgraceful 	 stay Hesperia alternative truely awful Bromley Court work Bromley couple day . room hotel fine , pretty average really . problem come woke morning find hot water room . call reception query answer . like office worker ( ' m sure many stay hotel ) time sit around room wait see hot water would return , endure cold shower . when advise reception not slight bit interested . explain hot shower pretty basic requirement 4 star hotel suggest refunded amount £ 14.10 , cost round drink appear bill . authority refund small amount call duty manager . when extremely curt duty manager appear look nose explain hot water fifteen minute ( way , LEAST 40 minute ! ) hotel policy refund discount could give unavailable less hour . explain office worker could sit around hour wait see hot water would return . unconcerned reception staff advise nothing could do . as company pay bill reluctantly pay full price room 4 star hotel could even provide hot shower . money would walk invite write ! addition find today overcharge card £ 120.00 could offer explanation receptionist must made mistake . so summary hotel ok , service non - existant anything go wrong expect still pay full price ! 
 Jul 17 2008 	 Decent Central Hotel 	 try number central London hotel appointment near Victoria think would give Hesperia go . read comment however bit apprehensive ' disappoint . the location hotel ideal business traveller tourist alike back right onto Victoria Station . arrive quite late night must say give warm welcome lady reception make nice change London ( Australian may explain ! ) . check quickly take lift room . hotel generally well keep find room clean good order . know people moan decorate actually quite like colour . bit worry noise station . indeed could see Victoria station dirty dustbin Window , pleasant view . noise however ' really problem . hard odd announcement ' keep awake night . whilst arrive late ordered room service . soon become clear despite spanish hotel , rip London tag still apply . £ 12 tiny crayfish wrap £ 4 bottle mineral water ! still okay really take liberty . I also breakfast hotel find quite good plenty choice self service buffet . upon checkout encounter long queue wait twenty minute get serve . partly cause four desk two people serve , good policy busy part day . despite staff member friendly courteous staff encounter . never try leisure facility comment . one final observation make price people come street , region £ 360 per night standard room , ( company pay £ 120 ) worth much ! whole reasonable hotel ideal night London nothing particularly special . 
 Jun 29 2008 	 great hotel 	 stay weekend , see show ( Billy Elliot ) husband book hotel due location train station theater . after read report noise platform station admit dread iam light sleeper . upon arrival expect b turn away 3hrs early check , check problem . I ask receptionist noise level tell would 7th floor sholud ok , offer we room 1st floor thought would better away add street noise stay allocate room . the room nice London say impressed apart weird bathroom door.1- glass , totally frosted either2 - there gap along bottom doorand3 - there lock handle close ! ! good job r marry comfortable ! unpacked could hear announcement , , dread nightime come , however take earplug help . after show tapas ( hot , luke warm ) drink bar , tv silently program awfull , something want see whilst relax bar saturday night , would recommend turn , music ambient . bedtime come ............. sleep , hear nothing , lucky do not need earplug . want sleep well go high hotel . the breakfast good iv ever hotel , lot choice hot cold good quality , take beat anywere inclusive 5 * hotel , impressed . all would totally recommend hotel u r seeing show close . 
 Jun 9 2008 	 4 star rightly 	 partner return weekend London book package show stay . go see musical ' Wicked ' Apollo Theatre Victoria stay Hesperia Victoria Hotel . stay many hotel world , advertise four star reality like two star . Hesperia four star hotel rightly . stay excellent . staff friendly helpful room clean , comfortable contain traveller would likely need weekend stay . hotel decorate contemporary design lounge area downstairs comfortable large leather sofas arm chair . breakfast book part deal genuinely impressed fayre . large selection catering taste food present beautifully cook perfection . hotel small swimming pool , sauna gym like stay active facility excellent condition clean . downside price drink bar - £ 3 small coffee beer nearly £ 5 per small bottle ( mini bar ) probably normal central London hotel . hotel ideally place ; Victoria train tube station short walk away get anywhere London incredibly easy location - highly recommend . 
 Apr 13 2008 	 ok hotel 	 hotel right opposite Victoria Station room front hotel noisy . could clearly hear platform announcement . sleep fine partner keep awake noise . child room rear fine . the room fine central London hotel . nice product . robe . small pool , hot tub gym . hard day shopping pool hot tub welcome . luxurious enjoyable . we eat restaurant . partner order Sea Bream cook . waitress deal quickly efficiently . offer complimentary replacement glass wine . choose fillet steak replace fish . request medium rare well do . however , chocolate fondant gorgeous . breakfast fine reasonable buffet . train tube station opposite convenient another day shopping ! 
