great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Oct 16 2009 	 Loved ! 	 back long weekend Hilton Kensington . stunning hotel . nothing bother staff . find evryone helpful cheery . ' m struggle understand many strange review site . ; underground station ? actually stay certainly not this . restaurant : breakfast ; good service . good food . dinner ; exellent ! food delicious staff ( special mention Chandrahas ! ) exceptional . restaurant alot busy chef quite obviously skilled . yes , room not big ' ve ever stay , be London goodness sake ! Land 's premium ! thank Hilton Kensington wonderful stay ..... hope see soon ! 
 Oct 12 2009 	 Average Hotel 	 hotel conveniently locate Gloucester station ; therefore , travel Heathrow travel tube ( 45 minute ) , convenient location stay . hotel consider 3 star ( 4 star ) . high traffic hotel large tour group stay . long floor , room relatively quiet . check - in / check - out process fast concierge helpful . hotel also near Kensington Park , beautiful . since hotel offer free wifi , go nearby internet cafe access internet . also pharmacy next Gloucester station need buy bottled water . restaurant onsite good menu . husband dinner first night arrive enjoy much ( mussel great ! ) . 
 Oct 8 2009 	 Far Underground Station 	 & quot ; first class & quot ; group tour ; thus big city hotel well locate . 20 minute walk nearest underground station . 
 Oct 7 2009 	 Good Place stay 	 spend three night Hilton . room big clean tidy everything need . door key keep work staff quick sort . do not use facilite eat hotel . really close westfield shopping ! ! ! 
 Sep 28 2009 	 clean comfortable overprice 	 clean hotel decent room , well many cheap hotel stay in . Breakfast overprice , several place nearby ( include Weatherspoons pub ) location good underground . 5 minute walk Shepherds Bush Underground slightly Holland Park . I pay £ 80 per night 4 night ( room ) Travelocity Secret Hotels . realise good deal Hilton , still overprice . would rather stay 2 * 3 * hotel breakfast include . 
 Sep 27 2009 	 Nice Hotel Poor Service 	 Hilton London Kensington nice hotel , nice area , close westfile shopping centre , service bad , still stay hotel ( Room 6009 ) check Oct. 02 , 2009 . first time Hilton Marriott member since 1988 , really miss service Marriott . Hilton Kensington keep call house keepering every day ask finish uncompeleted job room . 
 Sep 26 2009 	 good enough price 	 stay couple night . stay many year ago , hotel much modern now . Hotel Congestion charge zone . problem get Car Park barrier . dealt eventually complete lack charm . room fine price , usually amongst cheap 4 * Hiltons London near new shopping centre , quiet . decent enough breakfast remember less £ 10 per person allocate . 
 Sep 26 2009 	 EXCELLENT hotel whose STAFF look GUESTS EXTREMELY well 	 stay hotel trafalgar tour 31 August 09 4 day tour 190809 . staff hotel treat extremely well make stay extremely comfortable . customer service impeccable excellent . quite nervous tour 310809 -being alone first visit London . however , concierge , front desk , staff West Eleven restaurant plus cleaner Hotel everything possible make feel comfortable home . Rashid , Sofiane , Khoo other concierge helped choose tour London , teach get around bus even call security police harass beggar near hotel . yet experience wonderful service hotel stay word exceed excellent , would use describe service receive . front desk provide excellent service . arrive Australia Hilton 6:30am 190809 physically collapse long trip . I tell front desk . go way get room 8 am shower sleep collapse . good even receive call see happy room ok . service deserve award award hotel get , first recommend . 
 Sep 25 2009 	 average hotel get good price 	 partner stay Hilton Kensington last weekend pay price £ 148 inc . breakfast ( book direct Hilton website - cheap could find last minute ) say little dissappointe , particularly notice recent review somebody mention pay £ 68 inc . breakfast . our main disappointment size room , read previous review notice people also mention , think bad could , realise get room exactly talk , do not think stay hotel small room , literally box tiny bathroom shower ( bath ) . feel claustrophobic appreciate spend time room , you ve busy day shopping london want relax couple hour go , small pokey room good . would not think size would bothered really ! location hotel pretty good bothered getting tube , shepherds bush tube nearest holland park direction . walk holland park tube nice little bistro's / eat place go . also westfield park literally opposite , really nice shopping centre ( great food place eat ) .The hotel car park underneath seem plently park space safe- cost £ 30 24 hour ( do not forget get ticket stamp check ) think pricey pretty standard hotel parking London . we opt breakfast , pretty good , although que 15 minute bit annoying , still really nice breakfast , everything full english cereal fruit . my overall opinion hotel basically get good price , i.e £ 68 inc breakfast great , would however recommend hotel price pay ( nearly £ 150 inc . b / f ) standard double room , know lot nice hotel money . price pay would rather save money book premier travel inn half price probably big room ! 
 Sep 25 2009 	 BRILLIANT LOCATION 	 hotel brill location , central lovely walk Holland Park Station hotel . room hotel find great place breakfast & quot ; Paisserie Valerie & quot ; short walk hotel . hotel 6 stop central line Oxford Circus one stop away Nottinghill Gate take Portabello Road definitely worth visit . think Hilton Holland Park really lovely place stay would certainly recommend . room nice amentie would expect Hilton hotel . 
 Sep 22 2009 	 great hotel .. would definitely stay 	 husband stay hotel twice , one recent visit London another anniversary . special deal going manage get suite price normal room - brilliant ! hotel relax clean service staff superb . complaint would price dinner ... eat Le gavroche night find get well quality food well price ! although restaurant staff brilliant polite . night , bar downstairs brilliant atmosphere , spend age one night down cocktail . the hotel fantastic location upper class Kensington neighbourhood walkable distance major sight nearby tube station . would definitely stay , ignore bad comment ! 
 Sep 21 2009 	 Excellent location shop til drop ... 	 stay 2 night hotel lovely . clean , staff really helpful , excellent location . right next Westfield Shopping Centre really shop ! could not fault anything . 
 Sep 19 2009 	 great hotel weekend stay 	 stay sightseeing weekend London . comfortable room 5th floor , street noise whole hotel clean smart . good choice food breakfast , staff extremely helpful polite . we pay £ 62 twin room breakfast , great value London ! 
 Sep 17 2009 	 Good Hotel Kensington 	 ' m little confused review wonder stay hotel . great hotel London , even well use certain well - know travel booking service William Shatner spokesman book room . a couple point hotel . 's actually Kensington proper , area Kensington , Notting Hill Shepherd 's Bush . 's 200 yard walk Shepherd 's Bush Underground station , nice , cross two major road get . fortunately , really busy one ( West Cross Route , A3220 ) 's underground tunnel pass , be big deal . room bite small american standard , quite typical european hotel ' ve stay ; room totally fine two people , would bit much . the good : great location , right Central Line London . quiet , well - keep area town . great service - check go smoothly . not room ready we get , like 10 be not expect ready 12:30pm . bad : £ 15 / day internet access ? really ? ' ve see high price , be totally insane . be even wireless , be going pay outrageous price internet access , bring Cat-5 cable . hotel cafe also pricey : coffee , soda muffin run we £ 11 ; walk road would ' ve £ 5 . 
 Sep 16 2009 	 Great Location Service - one Major Design Issue 	 stay Feb 09 attend National Wedding Show . camp twin room one bridesmaid impressed ! room neat clean modern furnishing nice bath/ shower Crabtree & amp ; Evelyn product ( yay ! ) . however one MAJOR DESIGN issue feel hotel address - door ! engineer , understand hotel meet certain regulatory standard regard fire door surely must door equivalent sort soft close cabinet drawer get kitchen ! small family floor think kid separate room parent could hear move corridor bang door late night - pleasant one trying get good night 's sleep long day trade show sightseeing ! breakfast great , long queue Saturday morning not queue long give guest free drink queue . not put negative review nice hotel friendly staff . plus close Central Line tube take bus South Kensington museum walk across traffic island massive shopping mall ( Westfield ) . book expedia smooth check - in check - out except excess tax pay checkout expect anyway state booking expedia & quot ; local charge may apply & quot ; . review mainly post hope member Hilton design team ( whoever contract design build hotel ) read possibly incorporate kind noise reduction feature room door hotel become due refurbishment soon . 
 Sep 14 2009 	 Kurt 	 wife , babysitter , 2 child check Kensington Hilton August stay wonderful Hilton Hotels around world . wife gold member currently gold member ( diamond many year ) . check kindly give front desk clerk name , spell name explain two reservation one wife name one name . lady front desk appear funk ask reservation form . do not understand lady first repeade harsh tone need see reservation form . find unusual usually check hilton pull reservation computer escort executive floor check Hilton Honors check area . lady seem confrontational take time pull travel document show two reservation . later , wife agree front desk need skill deal public . when mention lady front desk would like floor close possible indignant one room would 5th floor 6th floor . year travel family , travel family much normal person , issue get adjoining room even sometimes room close together , rarely issue floor . figure would deal floor separation , travel nanny child pose different problem . simply put like child age 7 & amp ; 11 get elevator want go one guest room guest room . finally , turn Hilton Honors lady room problem continue . long check year hotel . finally give room 6th floor close . livable wife would one room babysitter daughter . son would sleep . do not ask , week travel around world anything go . the entire check process set negative tone stay . overall , hotel numerous positive location beautiful Westfield mall convenient location Shephard ' Bush station . also easy pick bus heart London 1/2 hour . the executive floor service locate first floor adjacent primary restaurant . convenient come go day , nice executive floor floor hotel room . staff executive floor nice helpful . the selection breakfast item executive lounge adequate fine . evening selection also acceptable . concierge staff entrance hotel seem concerned offer service bus tour red bus stop across street service probably get service fee vendor provide true concierge help assistance . first stay Hilton back 1975 . not even teenage back . year stay hotel several time , force put property bottom 5 list Hilton property time . if get chance stay property fun past time watch Thai airline crew check check . usually , flight crew come couple small piece luggage , crew come multiple suitcase consist luggage require multiple month trek around globe . Hum , auto part bag ? 
 Sep 13 2009 	 Awesome Location ! 	 hotel convenient Westfield Mall offer incredible shopping free Wi - fi . mall variety restaurant choose , although favor Gourment Burger Kitchen . hotel convenient Shepard 's Bush Undergroud 94 148 bus route stop right hotel . route go hotel Marble Arch , Oxford Street , Picadilly Cirus , go heart London . good experience hotel one exception , main concierge attendent short time . last day , female standing check - in area answer question guest seem friendly professional . breakfast plentiful favorful . overall , great experience . 
 Sep 7 2009 	 slow resolving overcharge issue 	 sister law stay Kensington Hilton period 12 day June - night departure finalise bill nothing owe . 3 am departure morning bill slip door say owe money . went sort tell Reception staff would speak account person get fix , find arrive back Australia credit card charge AUD $ 500 . try get charge reverse since 14th July 2009 getting run around , tell several occasion respond within 3 business day . 8 week track still positive response anyone . hope not treat guest like - Rachid Concierge desk fantastic , breakfast bar staff great , reception staff need training able undersand account side bill . overall stay great , overcharge make stay disappointing . 
 Sep 6 2009 	 check - in staff need training customer service 	 stay Hotel 2 night generally Hotel os ok , situated within minute walk Shepherds Bush station Westfield shopping centre . hotel clean room make service excellent . downside charge internet access within room £ 15 per day use cable ( wireless ) . also internet access ground floor bar cost £ 4 per 15 minute . rip ! do not open touch minibar unless want charge even want look . ( maybe hotel similar , new one ) . also bottle mineral water price £ 3.50 room joke consider bottle counter breakfast people take away free ? not get wrong , quite happy pay service etc . feel Hotel try every way get money people . and main downer wife check staff . slight problem booking , despite reservation make least three week early . try explain young , non - english inexperienced staff member unnecessary draw trauma . young lad try ask supervisor pass , ( rather stern face job - worth woman ) , advice dismiss question look contemptuously we move patrol territory ! eventually problem leave unresolved despite , check anyway approach concierge ask advice . man completely different deal problem efficiently without fuss great relief ! sum , hotel clean , good location overall enjoyable stay . just watch bill ! add enjoyment make sure sit table give good view breakfast room . enjoy chaos staff try keep demand guest ( one guest stand breakfast bar holding bowl full cereal ask several member staff milk dispenser run out - he last see wait patiently outside kitchen least 5 minute ! ) 
 Aug 31 2009 	 good place stay london 	 stay business many time hotel.i always welcome friendly competent staff feel comfortable london hotelholland park quite close centre next door good shopping areatravel central london easy , time hotel quiet areaI always ask room backThe restaurant first class many good eating place nearby Notting HillWhy stay noisy centre pay twice much 
 Aug 8 2009 	 good ' ve see well Hilton 	 stay number Hilton 's UK abroad not quite usual standard ( room wise ) - say though get good deal Londontown.com ( £ 215 3 night ) can not really complain . have pay room get would not happy though . grant standard room , however carpet shabby , wardrobe door would not shut , rust bathroom ( could go ) - little thing , would expect Hilton . otherwise room clean bed comfortable . staff excellent - moment arrive moment leave could not enough we pleasant friendly . definitely 5 star service . breakfast good - plenty choose food always freshly cook . I personally really like location - close Westfield Shopping Centre reasonably close Shepherds Bush Holland Park tube station ( 5 minute walk ) .one thing would say will need use internet bring laptop - ' ve get laptop get internet access 24 hour £ 15 . want use computer charge £ 5 per 15 minute . want use internet hour ( not bring laptop ) imagine would cost . walk Shepherds Bush 's load internet shop charge £ 1 per hour . would probably go back , next time would definitely opt executive room . 
 Aug 7 2009 	 request twin get double . 	 take family member short 2 night break . request twin bed room obvious reason . hotel reception say double room leave would ask housekeeping make another bed room . bed hospital / camping bed . come 1 piece someone body hair cover . hotel seem struggle room come later , several people lie luggage reception . breakfast great . hot food cold overcook . find location okay . short walk shepherds bush underground station . would stay . overall overpriced welcoming . 
 Aug 6 2009 	 nice service Food 	 stay wonderful hotel 3 day totally pleased . I find book hotel Luxury Group directly everything went smoothly begin . 
 Aug 4 2009 	 suit fine 	 good location shop , transport , place eat . pleasant room . near park well . food okay . 
 Aug 4 2009 	 business 	 Hilton Kensington well locate . across hotel bus stop Hop on - Hop tourist bus stop regular bus ( take 194 street shopping Picadilly ) , 5 minute away bus station tube station . right behind new grand mall ' posh ' shop Chanel Beers regular store like Marks & amp ; spencer . plenty restaurant well . several pub near ( Belushi next corner favorite mine : live music , drink special crazy people watch ) .The lounge executive floor make trip . breakfast staff leave little want food good plentiful ( empty tray refill , minute patience ) , afternoon tea simple evening happy hour & amp ; snack pretty much make meal day . staff prompt attentive . receive flower birthday inquire vase housekeeping . bring two pick within minute thoughtfully bring scissor could cut flower . the concierge desk phenomenal ! great advice service arrange cab , theater ticket advice go . down side : executive , bed full queen little hard uncomfortable . not forget mini fridge empty automate registry ( sticker door tell we clear see read ) . lobby rest room nasty ; clean often look ? overall stay make trip easy , get around meeting , incredibly fun well , surprise dessert birthday ! look forward go London , work toward make hotel place stay . 
 Aug 4 2009 	 overall good experience 	 book 2 night stay request quiet room top floor . arrive Heathrow 1100 expect room ready , however book room gold card member nice immediate access lounge staff attentive . unfortunately issue previous guest checking room whilst everyone else get access room , get 1500 swap we another room rather original allocate . room 6028 nice quiet ice machine outside door . we enjoy breakfast lounge glad could get queue dining room long . breakfast range adequate , though food hot be . evening refreshment Executive Lounge pleasant , good range nice young lady come round speak everyone 15 minute drink take away check people want one drink - often hotel whip stuff away lose track time miss outRooms clean bed usual -i find Hilton bed comfortable one indeed good . elsewhere read well use Holland Park Tube station luggage , way , long walk stair negotatiate station lift fact Shepherds Bush station near whilst escalator easy negotiate step free 5 minute walk - go right across road avoid step roundabout . although roundaboaut big , pedestrian crossing good . we find concierge little dismissive we ask direction restaurant book recommendation other . think annoyed let handle booking give we correct direction convince indeed want eatyes return hotel come back London price right 
 Aug 2 2009 	 Mixed Feelings ( Breakfast ! ) 	 stay hilton 2 night , staff friendly helpful . room o.k . quite night 7th floor . disappointing part breakfast first morning , go 9.45 find queue 30 40 people ! decide go walk , come back 1hour later walk straight restaurant find -- -- cold porridge , cold scrambled egg , rock hard bacon plate also servery messy ! find Hilton , disappointed . speak food manager sort something next morning , even aware hotel busy . overall good stay . 
 Aug 2 2009 	 Great Hotel good breakfast ! 	 stay 1 night July partner go see westend show . hotel great . 15 min walk Holland park tube station . offer breakfast reduce rate £ 10 , breakfast great . really nice stay . 
 Aug 2 2009 	 good hotel especially get upgrade 	 stay hotel five day clean , comfortable service good . husband Hilton Rewards member receive room upgrade upon request check . give we complimentary breakfast , access executive lounge , mean complimentary afternoon tea happy hour , well free internet hotel computer lounge . the room decent size . bed clean comfortable . bathroom large clean . internet room extra . this big hotel many guest come go . location , near Holland Park , edge lovely residential area one side gigantic shopping mall tube station . centrally locate value get , especially upgrade , make worthwhile . purchase Oyster card tube find fast reliable way transverse London easily . we flight book Luton airport 6 am morning . airport 50 minute drive outside London . ask concierge option travel hour distance . tell option hire car 185 Euros . know another way look Rick Steve 's England book - not travel England without - find Green Line Coach bus 13 Euros person . take taxi Victoria Station catch . bottom line ; concierge either not know choose tell it . other one experience , staff helpful friendly . 
 Jul 27 2009 	 not expect Kensington 	 stay one night Hilton London Kensington , find name mislead expect close centre London rather Shepherd 's Bush ! recently stay Hilton Gateshead expect similar standard hotel , sadly fall far short . room adequate nothing little small side . Breakfast expect standard seem shortage staff . serve spoon rather tong make pick sausage bacon quite difficult many guest comment . certainly look central location next visit London . expensive pay £ 135.internet access £ 15 per day , think exhorbitant . 
 Jul 26 2009 	 great location Westfield shopping centre 	 friend see Russell Brand Hammersmith Apollo want somewhere venue Westfield Centre go shop next day . hotel easy get central london use tube . short walk shepherd 's bush station . receptionist friendly hotel room decor modern clean . bed comfortable bathroom clean plenty towel ( always plus 2 girl stay together ! ) . decide quick bite show hotel bar . bar staff mix we fab cocktail food pricey nice . hotel get we cab quickly even return show late drinking bar . staff speak helpful friendly . good show , good stay , good shopping ! 
 Jul 25 2009 	 Great Hotel - back 	 travel widely stay many top hotel service hotel second none . every phone call reception immediate response despite fact middle busy summer season . son 's problem t.v . delt manner minute . check flawless , bag room service arrive time . breakfast fast efficient . pot coffee arrive within one minute order every morning without fail . impression good team work flat make sure every person well look . gripe room service dinner arrive quite hot enough although waiter chatty professional . hotel working engine stay really enjoyable result . always feel good come back evening long day . medium price busy London hotel not come well . 
 Jul 24 2009 	 poor excuse Hilton 	 disapointe hotel . Holland Park lovely area London , mix Hilton name expect far deliver . think hotel overprice particularly average hotel . ' ve never stay Hilton , base upon , will not stay one . room basic clean , great breakfast please one night . 
