contemporary 	 husband spend three night Andaz redemption Hyatt Gold Passport point , happy stay . offer coffee tea upon arrival . reservation order ( request early check - in book room ) non - traditional check - in process relatively seamless quick . early early check - in request , give we option wait room - with - a - view request ready take similar room ready internally - face - take ready , internally - face room . we enjoy sleek style lobby , traditional styling internal area hotel 1901 restaurant . decor room also sleek contemporary , bit dark taste window look internally hotel & quot ; courtyard & quot ; atrium ( know ahead time ) .The room clean , bed comfortable . bath okay ; shower 's water temp would fluctuate quite frequently seem lose heat shower progress . also , regular outlet bathroom except face shaver - provide hairdryer hideaway mirror vanity desk , would prefer option dry hair bathroom ; husband shave head electric head shaver bedroom instead bath . hear , little neighbor wall room ; noise hear hallway - door closing , clink glass / bottle housekeeping cart , etc . not overwhelming bother . compare hotel ' ve stay U.S. , turndown service pretty late evening - close 9pm . we not use workout facility , take tour impressed . gym relatively spacious , cardio equipment weight . steam room also , addition treatment room associate spa . the staff interact friendly helpful , provide information food attraction local area area London . we find hotel conveniently locate , right next Liverpool tube station short walk Spitalfields Market , St Paul 's Cathedral , London Bridge , etc . not fully realize area right around hotel mostly business - orient , shop eatery open later evening weekend . doubly - surprised hear Andaz 's restaurant also close weekend ( sushi place Catch ) . George pub open weekend , enjoy pint ambiance . Friday evening , late night dessert coffee / tea Andaz 's Eastway - sticky toffee pudding banana dish fantastic . we would definitely stay Andaz next trip London . 
 elegant hotel helpful staff . lay back feel . 	 spend 1 night andaz thoroughly enjoy stay . moment walk feel special , relaxed speedy personnal check process . room well appoint add bonus free minibar consist water , juice snack welcome surprise . bed comfortable room clean tidy . would recommend hotel perfect stay london 
 Oct 18 2009 	 modern clean hotel great location . 	 first time Liverpool St. area . many shop / restaurant around hotel tube right . however , may want ask direction get station , go wrong exit find difficult first time find hotel since quite way exit Liverpool St. station . room good size one person , single bed , friend double room size little tight , really happy room . nice desk , great flat screen tv . mini fridge lot water juice , replenish daily . 
 Oct 15 2009 	 Loud Water System -- solid London hotel 	 Andaz Hyatt lot thing right . be chic . beautiful lounge area 1st floor always desert night -- pleasant evening one night laptop . many restaurant choose within hotel -- love 1901 . great service . the minibar free , breakfast include , two place plug american power cord . two complaint : # 1 -- pipe / water system deafening . seem like whenever someone hotel flush toilet , entire sink make massive suck noise pipe sound like be rush water . REALLY LOUD . # 2 iron ironing board . ' ve also stay Waldorf Hilton , provide , really nice business trip . 
 Oct 13 2009 	 wonderful weekend 	 stay wonderful hotel weekend go wedding . welcome , comfort total warmth staff everything one could wish . room large comfortable quite unique view across Liverpool Street Station . could put find fascinating station noise enter room . 's five star hotel deserve . 
 Oct 13 2009 	 excellent hotel experiance ; ) 	 great staff , great service . choose Andaz due location . fly to / fm stansted comfortable locate close Liverpool Street Station . really enjoy Hospitality staff . request early check - in arrival . problem , get room 10.00 - minute refreshment registration . spacious room , nice bar resturant . let sommerlier 1901 guide we trough dinner excellent wine . highly reccomendable . thank , Joris ; ) 
 Oct 11 2009 	 terrible experience lose personal belonging 	 hotel locate prime location convenient London transportation network , service provide totally unacceptable 5 star hotel star rate hotel matter . book system serious problem do not confirm book time . fax send email , system show make 3 seperate booking 6 - day stay , mean need move around room . there large function hall 2nd floor , room third floor clearly hear go . noise annoying night party go on . to big shocking , lose face wash stay . apparently housekeep attend check thru belong decide & quot ; put away & quot ; one facewash . recommend . 
 oct 8 2009 	 Best Hotel London 	 Andaz one kind place ! 6 restaurant , 2 bar , service always smile ! amazing lobby ! room huge high ceiling big bathroom free minibar ! ! ton tv channel confortable bed industry ! every time go London stay Andaz ! 
 Oct 7 2009 	 nice ! 	 stay last month ; lovely big room , bit dark - ever anywhere suitable room put make - up ? sure check experience - nice idea , though lead bit stand around try check . not many place sit wait . we eat friend smithfield , great location . the hotel several bar , 's pity none open return 11.30 , need night cap - room service not atmosphere . lovely big clean bathroom , proper hairdryer ( pet hate - one keep finger button ) big towel . pricey breakfast - go back Smithfields ! 
 Oct 1 2009 	 excellent check check 	 hotel wonderful checking express check . bag carry , settle comfortable chair offer drink ( lovely welcome cup coffee ) check come us - luxury . obtain cheap weekend deal , quality service unwavering . room simple , luxurious ; bathroom spotless dress gown slipper able fit plus size ! slight side bathroom height / depth bath make slippy dismount shower careful affair . dine 1901 restaurant Saturday night not lovely meal long time . service truely excellent throughout commend staff enough - chambermaid ( friendly helpful ) maitre ' ( far snooty ) make welcome . would recommend hotel anyone . 
 Sep 27 2009 	 Fantastic 	 Fantastic service , fantastic room , overall stay - ' ve guess - fantastic . 
 Sep 25 2009 	 fantastic hotel decent location 	 Beautiful business hotel hip city location . close Shoreditch house , Boundary Brick lane / spitalfield ... maybe close . night time ghost town , though liverpool street station guarantee bit foot traffic late . great business city next time cash Hyatt point london holiday , think stick west end uber - touristy hyatt . still , amazing hotel plan hang City / east end . bed way firm ( ' m spoil starwood dream bed ) room stylish beautiful . PS , trust photo . room clean look like . 
 Sep 24 2009 	 amazing hotel ... luxury value . 	 hotel amazing great price . modern architectural piece art since see actual Londoners stand line tour hotel . great check process sit relax come ... coffee snack . Room modern , clean amazing place doc ipod . mini bar free restock . also , hotel PERFECT location . favorite place stay London back . 
 Sep 22 2009 	 Fab hotel excellent loacation ! 	 one comfortable bed ever sleep ! ! great service check check . located load great restaurant bar well around corner Brick Lane Spittlefields market - must see , Sunday 's good ! decor great amenity . free internet room complimentary mini bar definitely well receive . definitely go back recommend ! ! 
 Sep 22 2009 	 lovely unusual hotel . 	 excellant location , staff extremely helpful cleanliness exceptional . lovely complimentary mini bar bath product . 
 Sep 21 2009 	 Enjoy hotel avoid SPA .... 	 Good locate connect . hotel nice look excellent hygiene . clean shinny . food room service enjoyble . like everything ... SPA ! price dearer Claridge 's Berkeley ( OMG ) , not deliver . room next gym high music volume train run every minute , can not peace relaxation . even feel vibration train ! service not good either . , enjoy hotel pocket favour find another place massage treatment . 
 Sep 17 2009 	 live hotel would ..... really 	 , kind guy travel three week month every kind imaginable hotel every continent ; good , bad , ugly sometimes , intolerable . certify hotel snob virtually live . discover Andaz & quot ; accident & quot ; ; London full average dumpy place pose four star hotel , unexpected week work , force go TripAdvisor recommendation , site unseen , choose Andaz ranking , high end practical , modern , uncluttered concept . Hyatt Platinum member hear ; apparently one LA another open NYC : check - in desk , business hip classy , substantial without hype , customer - centric concept ; renovate loft feel ( original building hospital , hotel take Hyatt year back create first Andaz ) . location ( literally right Liverpool Street train station ) one benefit easy access rest London , bit 's beginning . literally & quot ; live & quot ; London , hotel , find something displeased ! look staid , classical , antiquish traditional hotel service usual & quot ; 's & quot ; , stuffiness rip extra 's , will not hotel . Andaz be do away desk check - in 's ( know , stand line 15 min right turn , front desk person pick phone someone apparently important call his / her room ? .. yeah ) well , guy figure . call answer back office equally qualified attentive staff . front desk actually really not even front desk , group well coif suited ( think GQ meet Walls Street ) chic competent looking & quot ; Andaz host & quot ; hold nifty hand hold computer ( call computers- tiny ! ) find booking , call name , check haul luggage room ( person ! ) wait ... walk , never stand .... actually seat lounge area host approach . civilized affair without contrive precious . get room really fast not fight service . they figure internet mini - bar thing : give customer free ( even build cost somehow ) customner love come back , especially rest service good . & quot ; free & quot ; ... great quality ... fast internet , good quality mini - bar food that s replenish . room would expect : high ceiling , slightly different configuration , clean line & quot ; chic modern & quot ; solid - think convert loft , decorate tasteful minimalist Manhattan . nothing Ikea . Spotless smell noise . sound proof ... clean whistle . the hallway quiet smell nice , neutral ; food perfumy smell . tell place always clean keep high standard . bed top quality , dreamy , high count thread sheet ; bathroom large original fixture tastefully update . high end , quality bath /shower product want bring home : jojoba butter moisturizer .. etc .. gender neutral without perfume ; really good stuff bring home occasion . room soft tone blue , red dark wood ( light wood sixth floor new wing ) cool red chair actually love sit reading . .. oh ... desk chair actually functional ( do not love hotel desk actually intend anyone actually work hotel room ? ) guy right . work 6 hour straight , often phone client London , ergonomic chair , right sized space modern desk fast fuss internet need . , space airy , clean ( fanatic one ) maybe bit masculine , feel like nothing spare : tasteful , modern minimalism without austerity , short - live fadism and/or cheapness cut cornersfinal note : gym great .. everything need right low level restaurant .... gym space actually use kind temple well renovate : late equipment , sauna , massage available trainer etc .... always spacious , crowded , open want . use everyday . seem always someone clean place , almost compulsively , be kind want hotel , not ? , do not think . Book ; will not sorry . & quot ; team leader & quot ; host nice guy look straight eye can not enough ; Andaz host global team young woman man lend really nice , & quot ; cosmopolitan efficient feel place . lot banker week wedding weekend , ( sorry sound kid - phobic ) never scream kid run around , work travel work . feel like guy would write & quot ; Fast Company & quot ; & quot ; Business Week & quot ; ; listen customer right ; also disrupt hotel guest service model way bank , customer centric lip - service like competitor , way design check - in whole guest experience literally time walk . come London want & quot ; reasonable London & quot ; hotel ( pay anywhere $ US200 - 450 per night ) rest , work , exercise , good access rest London , peace mind get treat really well without pretension , pushiness exorbitance , place . and yeah , would live live hotel . go . Andaz place . trust . Book them 
 Sep 16 2009 	 great hotel service . Next Liverpool St station 	 hotel next door Liverpool St Station Tube make easy get around . 's straight shot Heathrow not hard connect . Heathrow Express definitely good way get airport . local train take far long . Andaz locate financial / banking section city 's perhaps convenient sightseeing . hotel staff great . try line last minute ticket Wimbledon bend backwards help we . room , huge , nice , new clean . well appoint appear build remodel last year . bathtub oddly high make hard enter exit . careful grab towel heater slip since be rather hot . withstand height shower good water pressure bathroom well appoint . there be decent size gym basement . half dozen treadmill , free weight , machine , yoga mat , fit ball good selection equipment . lift weight run around London 's sight . there several restaurant hotel eat . look good though . be also & amp ; simply food market across street great selection . somewhat like organic 7 - 11 wine . need States . we book room point believe 's fairly expensive . course , London pricey . all Andaz great have highly recommend . 
 Sep 15 2009 	 great stay 	 lovely modern hotel great bed . book birthday treat disappoint . real advantage right outside Liverpool St station . weekend Spittalfield market worth visit many place eat breakfast need . wait 25 minute cook breakfast cook food go gripe . would definitely stay . 
 Sep 13 2009 	 horrible horrible reception employee 	 upon arrival greet smile . , withe minute , reception employee try overcharge we stay . book triple room bookings.com , clearly say taxis include , still reception people try add taxis total . lot & quot ; polite & quot ; dispute , try charge we 3rd person . realise could not , valid contract , deny entry room ( previously say ready we ) , noon ( normal check time ) . room clean nothing great . bathroom clean also . 3rd person sleep roll - away bed . Location FAR END central London -- convinient shopping sightseeing . Metro station however right next hotel , real problem . big shock repeatedly ask map City London , give tiny A5 size map area surround hotel . upon check , stand next reception notice drawer full large folded map - the kind hotel around globe provide customer ! ! ! ! nice TOUCH : mini bar stock 3 bottle juice , cookie , choc cover nuts daily , free charge . 
 Sep 6 2009 	 Best Hotel London- Fantastic 	 stay hotel 3 night August Bank Holiday weekend . professional friendly service receive staff hotel fantastic minute arrive minute leave . arrival show seat offer complimentary tea coffee . we check guy laptop . 's reception desk hotel ! whole check experience welcome informal refreshing change hotel . we allocate two adjoining room stay even though arrive early room ready . the room spacious well appoint complimentary mini bar mineral water , fruit juice granola bar . Bose Pod dock station room also greatly appreciate . bed comfotable noise level room minimal . we decide explore area , reach entrance realise rain quite heavily . problem , one staff quickly appear 4 umbrella , typical service hotel . breakfast 1901 restaurant plentiful excellent quality . even though buffet style , cook breakfast good ' cook order ' many 5 star establishment . parent sample restaurant one evening impressed quality food . the room grand staff excel themselves . when next return London , stay Andaz . good hotel stayed stay many 5 star hotel ! customer service second none ! go afternoon tea Ritz whilst customer service , whilst good come standard Andaz .. not get service like anymore ! ! thank management staff great stay ! ! 
 Sep 3 2009 	 great location nice room try hard 	 wife stay Andaz one night August guest Hyatt visit London regularly probably bit cynical . lovely stay hotel great location , outside Liverpool Street station . Andaz pitch trendy hip hotel equally trendy hip Shoreditch area . well 21 bit lose I . anyway review : check innow Andaz not usual check desk instead stylish people stand around laptop , check remotely . so approach one stylish people , subsequently tell smoking room request not available actually room not available still clean ! not problem plan come back hotel later . I , however , feel fobbed stylish person one go back ask another stylish person , time helpful lady . suspect smoking room available . the roomsour room fine . clean nice fixture fitting would expect decent hotelyou request pre load i - pod room ( see hip ) fit BOSE speaker system leave credit card detail charge £ 400 nick it . the bathroom equally nice water system make heck noise . you free soft drink mini bar pitch healthy mini bar - contain 2 bottle water , 2 bottle apple juice one museli bar . great selection , particularly not like apple juice nice touch . we not try overpriced breakfast Pret road . overall good hotel great location feel try hard get right time . 
 Aug 29 2009 	 nice hip hotel like Andaz business area 	 sleek modern , unique approach provide accomodation . pleasure stay second time , nice first . plus hotel becoming surround lot happen place , isolate business district . plus stay weekend do . and great fly night room ready 9 even though check not afternoon . nice . love . 
 Aug 28 2009 	 Lovely Hotel 	 stay Andaz Hyatt Liverpool street 3 night . the hotel well locate , right next Liverpool train station connect stansted airport , tube national railway . also get bus Oxford street major sightseeing ! ! hotel beautiful well design . the room spacious , short utility like ipod dock , lcd tv , wifi free internet free healthy mini bar . thing bit weird , someone flash toilette , hear loud bathroom , either come next room another floor . the breakfast good problem . 
 Aug 27 2009 	 Great Hotel 	 great hotel . stay king size room comfortable bed ever . bathroom excellent amenity heat towel rack good size bath . Breakfast excellent include price book roomex.com . free snack bar include . would stay without hesitation . 
 Aug 24 2009 	 Wonderful Hotel ! ! ! 	 miss chance stay excellent hotel . may little expensive totally worth . coviniently locate City London , underground station adjacent building . safe , helpful , good . especially fly Stansted Airport , hop train hop hotel 's front door ! ! excellent big room spend liitle extra ( always upgrade hotel room something big experience good hotel offer ) , clean , contemporary , nice bathroom , ipod blast ( powerful output ! ! ) , LCD treat ! satisfied serve breakfast nearby restaurant never hungry ! cafe , restaurant , supermarket around corner . shopping also treat excellent street market nearby . 
 Aug 19 2009 	 Loved Andaz ! 	 stay two night weekend really enjoy stay . check - in unusual staff come lap top , efficient woman nice . upgrade we Hyatt member get corner room top floor , escort we . great size London hotel . modern , sleek clean reasonable sized bathroom . bed bed one good ever sleep must find buy one home . sleep like baby ! room service prompt tasty , complimentary water , juice granola bar delightful touch . bathroom amenity also good feel like get plush experience 120 pound night . location extremely convenient right outside Liverpool street station . even see Liverpool Football Team stay hotel ! staff helpful friendly , bit pretense . ' ve stay Hoxton time find luxurious , spacious high - end price . enjoy definitely back . well do , Andaz ! 
 Aug 18 2009 	 fantastic room 	 really big , nice room ( upgrade suite ) super convenient location . service little slow time fantastic time . 1/2 block Liverpool St station . several pub quick food area . will stay . 
 Aug 17 2009 	 Modern Addition London Scene 	 arrive early morning flight Australia hope room would available . alas , although request , nothing available . clerk check generally helpful spent time try find room . could pay upgrade decline . ask could use shower Fitness Centre say option ( suggest really want freshen beyond ) . int end find vacant room low rate book . fear enter proverbial London shoebox sized room pleasantly surprised find room comparable size city . internal window look central space suspect make room lot quieter near busy street well Liverpool Station . the room modern tastefully decorate comfortable king size bed . inclusion & quot ; healthy mini bar & quot ; complimentary juice water nice touch . also , free internet also great bonus . Fitness Centre also reasonable well equip . as gripe , air conditioning never seem make room cool reverse hot water never seem get hot ! overall hotel reasonably high standard room improvement . would certainly stay . proximity station central London excellent . 
 Aug 13 2009 	 Excelent modern hotel 	 like modern hotel , place stay . huge corner room , flat screen tv , Bose iPod docing station mini bar complementary juice water comfortable , huge bed . hotel conveniently locate Liverpool trainstation , allow get everywhere quickly especially helpfull , want take Stensted Express airport . would always come back ! 
 Aug 7 2009 	 Excellent hotel 	 upon arrive Andaz , greet lobby check remotely , hotel well locate beautifully decorate inside . suite world huge bedroom parlor well appoint bathroom . staff warm , friendly extremely helpful . ala carte breakfast excellent great service . conveniently locate next Liverpool St. Station London 's famous curry row . 
 Aug 4 2009 	 Clean Modern Questionable Service 	 fairly new hotel modern , minimalistic design . nice price include internet drink fridge . rate really bad considering 's London . great especially travel elsewhere Liverpool station . however , choice entertainment food limit . importantly , understand staff 's service behavior stay . the strange thing experience hotel treatment luggage service staff . check July 24 early afternoon get great corner room . check , leave luggage room go city tour . come back evening , belonging go . check front desk , tell remove stuff think luggage leave previous guest . sound unreasonble since check day room clean . would call assistance lugguage leave previous guest room . fact take stuff stay without ask odd . besides , name tag luggage know belong person check in . the strange treatment end . next morning around 9 still bed , hear person try scan key card get room play door knob . look peekhole see person uniform ( hotel staff ) door try get . point : person never KNOCKED DOOR . open door quite upset behavior . staff apologize tell check lock . check ? nothing wrong lock key . treatment luggage inappropriate . really doubt lock key need examine , not inform guest try least knock DOOR . sound like common - sense ? well , staff surely not show understand it . I lose anything stay lose trust security . it be shame like design facility . 
 Aug 3 2009 	 lovely breakfast shame customer service 	 Booked hotel via lastminute.com , surprise hotel 5 star . pay 143 / queen room breakfast , rack rate not far hotel 's website . good location . room small , quite stylish . free healthy mini - bar internet , 24hr free ! check - in bit free - desk . breakfast fantastic , lovely surround excellent everything ! check - out awful , spoil hotel Line Manager , Alex , trying charge we one teenage daughter . hold we half hour , totally spoil whole stay . room book 2 adult per room , trying charge we breakfast ! stay calm , we run around try prove ... go check , grudgingly come back let we ! book accurate , 2 adult room . beware ! 
 Jul 27 2009 	 Excellent hotel vacation stay 	 recently return visit London one week stay Andaz Hotel . ( two adult one 11 - year old child ) stay open suite plan . purpose stay family vacation . overall , really enjoy stay Andaz . plan return next stay London . highly recommend hotel . customer service really important we pleased service provide Andaz staff member interact . staff member quick responsive whenever call assistance ( extra towel , etc . ) open suite plan quite spacious . provide sleeping area ( true king size bed ) , work desk area , sit area ( large sofa ottoman ) , small eating area nice sized bathroom . room include two LCD television ( one sleeping area one sit area ) ; safe ; mini - refrigerator ; two wardrobe . room second floor corner , extensive window ( overlook Bishopsgate Liverpool Street ) , well vault ( least 20 foot ) ceiling . hotel whole room particular clean . absolutely issue cleanliness period one week stay . we find room fairly quiet , even location second floor . hear outside noise first Friday night , every night quiet . occasional sound street traffic siren , noticeable . hotel room certain characteristic might awkward unusual visitor expect . , read review , surprised concern . additionally , check , hotel staff member offer show room demonstrate & quot ; unique & quot ; feature . take advantage . numerous reviewer comment greeting / check - in ( lack formal check - in desk ) . really see issue . promptly greet assist upon arrival . high traffic time , easy see could become difficult hotel staff keep arrive first . , Andaz seem respond provide extra staff member . operate light room , insert key card electronic device attach wall inside entry way . room 's main lighting control ( switch ) also locate inside door . secondary control sleep area side bed . peculiar annoyance , though , light control within bathroom . bathroom 's light control room 's main switch ( inside entry ) . Peculiar annoying , get use it . we particularly like location hotel - immediately next door Liverpool Street station . within minute leave hotel able pick breakfast inside station ( one many choice ) hop one major tube line . nearby ( within quick walking distance ) Old Spitalfields Market several option dinner . one important note . plan arrive check - in time , highly recommend call confirm availability hotel . year travel US , never issue arrive early obtaining room . read Andaz review , notice several reviewer ( include we ) encounter issue . case , flight arrive early expect , bag first chute shuttle leave within 30 minute arrival . result , arrive hotel around 9:30 . hotel book night room initially assign we available , current guest check yet . however , work hotel agent make arrangement assign we another room , vacant , ready . offer access gym spa ( freshen up / change clothe ) hold bag . choose wait room make ready . wait , provide drink cookie hotel agent came frequently give we update , take awhile room prepare . certainly would prefer roll straight hotel room , reality early post check - in time , confirm availability hand . quite pleased service receive check - in , despite delay obtain room . we eat restaurant , offer review . receive express check - out information everything exactly . always prefer check person quickly pleasantly assist well . choose hotel part affiliation Hyatt , prefer within US . sure expect base mix previous review . hotel easily meet exceed expecation . really enjoy stay easily stay future . 
 Jul 21 2009 	 Modern hotel outstanding service 	 initial review hotel go average couple issue hotel go beyond try resolve make sure stay good one . check early morning trans - atlantic flight New York room not available . hotel give access fitness club actually great private shower change room welcome overnight flight . head late morning meeting , offer room become availabe although high floor initially request reservation . despite well judgement , decide take second floor room give little time least unpack download email leave day . come regret decision night quite bit street noise ( people yell bar around Liverpool station ) well interior noise people get elevator ( room two elevator ) . ask switch room next day hotel accomodate despite sell . unfortunately move room air conditioning control break swelter . call front desk say would engineer fix room temperature central control give twenty minute . thirty minute , still uncomfortabley hot send engineer room work problem go gym work . come back room hour later room relatively cool light stop work . engineer come quickly try fix problem front desk apologetic ( especially since fourth fifth call front desk ) . engineer obviously good help eventually fix problem another fifteem minute . basically less text book case Murphy 's Law everything eventually fine . the hotel manager came speak personally next day check - out apologize give card tell contact directly next stay London would sure take care . good job overall service recovery ... hotel , public space great room clean modern . bathroom probably good feature room oversize well appoint . location not favorite easy get around since Liverpool tube train station right around corner . definitely ask room high floor though away elevator . 
 Jul 20 2009 	 absolute ripoff - fool website pic 	 website look amazing whole place absolute rip . pay £ 130 one night pokey room well would get Travelodge alot cheap . be like put funky facade old hotel bother improve be beyond reception . get bad try eat something . order bowl fruit room estimate around £ 6 charge £ 11 2 apple , 1 pear , 1 banana wrinkly grape . order 2 sandwich . , aware price assume would around £ 8 , imagine shocked geta bill £ 33.95 two average sandwich . £ 33 believe ? feel like idiot checking would never imagine wildest dream hotel company would blatantly rip people . assume hotel ( central business London ) prey business people tourist . ashamed practice go country . tourist - stay away place . get much well quality value money elsewhere . London great hotel excellent food service reasonable price place avoid cost . 
 Jul 19 2009 	 Great Hotel bit Trendy 	 hotel great weekend rate look gorgeous book spite bit far action . the building really quite beautiful do nice job renovation . note , check bit chaotic . busy arrive issue even offer drink checking . check difficult ans really line staff really hand full try figure next . wrong traditional front desk ? also , note , real bell staff could see . the elevator bite slow upstairs really happy choose hotel . do modern style without cold . bed great large . iPod dock nice touch . small refrigerator build wall hold complementary water , fruit juice snack . well yet , space cheese salad buy & amp ; across street . want bath house . good strong air conditioning - important big window room overlook noisy street could open night . close , room quiet . we use restaurant bar look bit trendy taste order beer room service one night . price reasonable service quick . service overall good . lot issue seem come odd check in / check process . the hotel close Tower Tower Bridge really suit business . get lively area use tube locate hotel . shop Liverpool Street Station around corner handy . rest area fairly quite weekend . the hotel expensive weekday . navigate odd lobby process not mind stay City , good place weekend stay . 
 Jul 15 2009 	 nice place - shame staff check - in ! 	 arrive fairly hot & amp ; bother long car journey eventually find unremarkable entrance . doorman , help luggage . check arrangement shambolic . staff I.D . hand hold computer say help give personal service . may true person , rubbish several group wait check . semblance queue sit , sit . check one poor woman wait hour half still could not get room . we complaint restaurant bill - it take age find someone willing take responsibility . say guest service manager would pass problem day staff . Guess happen next morning ? one faint idea talk . check time - again huge wait £ 80 & quot ; unknown & quot ; amount bill . manager find eventually appear idea deal complaint be - to give we comment form . they also want charge £ 30 per day valet parking possible park street week end £ 2.00 ( go Finsbury Circus , 5 min walk ) oh , shower leak ! 
 Jul 12 2009 	 definitely 5 star service 	 although hotel look quite modern fashionable not good memory . feel like soon book room credit card charge give damn you . especially pay room rate 200 £ without breakfast . already check feel put reception lady . stuff foreign seem skilled excellent customer service . stay two friend book room 3 . room small extra camping bed put short uncomfortable . breakfast nice beautiful Hall . hotel locate right finance quarter around courner station . 
 Jul 8 2009 	 wow ! 	 stylish , comfortable 5 star hotel next liverpool street station . room spatious well appoint lot drink / snack ... wait ... free ... unheard UK ! . room entertainment/ music jukebook / film / internet excellent . service slick friendly unlike London five star establishment frankly stuffy pompous . the choice restaurant / bar huge include japanese restaurant , fish restaurant etc . spa gym site . highly recommend . 
