reasonable 	 boyfriend occasionally go city small get away . first time stay comfort inn . price reasonable service horrible , guy front desk look like not know . disappointed & quot ; city view & quot ; see window another building room small , lot space we put belonging . light break . overall room rather clean.i would advise couple want spend anniversary . would spend money stay hotel instead . parking lot small hard move vehicle , reasonably price . 26 dollar . pretty cheap parking city . 
 Jul 21 2009 	 Clean Hotel great view excellent breakfst 	 stay Comfort Inn one night month . hotel right Lombard Street , crooked street San Fran . family check noon , room ready we . first thing see incredible view Golden Gate Bridge window . able walk , mean , Lombard street , quite work . walk Fisherman 's Warf short distance hotel , well Ghiradelli square , breakfast plentiful , good selection meet need variety . head breakfast area early ( 7:30 ) miss crowd . even waffle maker , delight teen group . parking tight , not try get large vehicle . Comfort Inn clean , bit date , however spotless unpleasant smell . lobby nicely furnish street level . recommend good place stay family . 
 Jul 15 2009 	 good hotel beware phone scam ! 	 start trip around California stay hotel , book suite bridge view get exactly ask . handicap suite think difference normal suite low bathtub . the suite good size clean little noisy noise Lombard Street , decor little old nothing could not deal with . on first day be wake telephone ring someone claim front desk ask we credit card detail , claim not swipe properly . decline offer go reception staff not seem alarmed explain anyone call room external line punching room number . anyone stay please careful , staff seem aware scam whilst talk amongst thought put notice room , not know do since . breakfast good selection buffet item , bread , muffin make waffle . coffee completely undrinkable , also tea juice . 
 Jul 7 2009 	 pefectly good hotel 	 stay three night enjoy . parking $ 26 night , unreasonable SF , lot inside secure . location excellent . 's bit walk Wharf , near enough , close bus cable car route . staff friendly recommend restaurant tour . breakfast little crowded peak time , food good . 
 Jul 5 2009 	 Central Location 	 great hotel park car walk take transit . area safe problem , walk Fishermens Warf movie theater . far parking go , tight fit small car . however , cost park , $ 26 US night good value hotel parking could see , complaint . would definatly stay . 
 Jul 4 2009 	 Great Hotel 	 stay hotel two night prior cruise Alaska . staff hospitable check - in smooth great 18 hour flight Australia . room comfortable clean good view city 10th floor . Breakfast include quite good , word advice , get breakfast room early fill quickly . would certainly recommend establishment . 
 Jun 28 2009 	 incredible value heart San Francisco 	 many week research nice convenient place stay , Comfort Inn Bay garner appeal due favorable feedback receive regard location , service quality vast range offer amenity . stay 2 night hotel really find delightful facility perfectly suited look productive sightseeing many tourist activity . far luxury accommodation certain aspect hotel 's interior show age , would fault review highlight attribute make Comfort Inn truly stand among many neighboring competitor . one high rise construction vicinity Comfort Inn Bay take special pride allow many guest enjoy truly beautiful view one San Francisco 's iconic landmark , Golden Gate Bridge , outside window upper floor room . view truly nothing short spectacular guarantee keep glue window give immediate inspiration nice composition first picture San Francisco Bay . first image Golden Gate Bridge , marvel 20th century engineering achievement full fascinating history , stay long leave . hotel be another credit conveniently locate one centerpiece intersection San Francisco , corner Van Ness Avenue Lombard Street . corner get busy car pedestrian traffic , neither overbear particularly noisy hotel guest inside room due solid soundproof window construction . however , really close proximity major San Francisco landmark greatly benefit Comfort Inn Bay hence help seal deal casual tourist look within walk distance many popular establishment . historic Ghirardelli Square vibrant shopping scene north - eastern side hotel colorful upbeat ambience Fisherman 's Wharf area bite plenty activity near waterfront stretch adjoining pier , ' ve get within mere 10 - 20 minute walk hotel 's entrance . pleasant walk north - west , 20 - 25 minute get beautiful Palace Fine Arts green mile close explore grandeur Golden Gate Bridge . course mesmerize San Francisco landscape renowne unusually steep slope would not complete without celebrate & quot ; crookedest & quot ; region Lombard Street , literally 3 block directly east Comfort Inn Bay . I feel service provide facility quite admirable give scale class hotel . even though request early check - in immediately fulfil upon arrival ( specifically request well advance ) , observe concierge personnel act utmost professionalism resolve oversight within 20 minute already enjoy gorgeous scenery San Francisco Bay comfort upper floor room window . size room adequate , furnishing bit date though well maintain ; importantly bed mattresse notably comfortable floor utterly clean . extent various amenity guest service offer Comfort Inn Bay another dealbreaker consider great value hotel stay include hassle - free car parking complimentary breakfast , conveniently provide deserve good mention . free breakfast run daily 6:00 - 10:00am may deluxe decidedly well one would expect chain hotel kind . breakfast staff work hard replenish yummy pastry , english muffin , white & amp ; wheat choice bread , fresh fruit ( apple orange ) , hard boil egg , cereal , oatmeal , coffee , tea , well juice ( apple orange ) . top , could even indulge make waffle use one 2 waffle maker machine available breakfast area . genuinely feel quality service breakfast room splendid , yet another example distinction hotel go . even though stay fell weekend hotel near maximum capacity hear , pleasantly surprised always able get seat breakfast hour morning . San Francisco first destination part 10 - day long road trip journey along California coast , Arizona , Nevada . mind , among thing look accommodation secure parking facility . research conducted show hotel parking San Francisco generally anything affordable average per night rate approach $ 40- $ 50 range . Comfort Inn Bay miracle yet manage impress provide great bargain parking , $ 26 / night + tax ( around $ 29.85 total ) . parking lot consist 3 - level underground garage fundamentally suffer low clearance narrow turning radius . lack space severe move spot well navigate one level next garage strenuous drill . other already note , extra careful bring anything large mid - size class vehicle irrespective parking skill . elevator service parking garage run upper level , believe 's 15 - minute time limit parking intend simply leave car check - in procedure . say , lot luggage would suggest briefly park car unloading purpose move one two level final overnight parking . work detail rental vehicle pickup hear many local advise use car San Francisco , decide leave errand last day stay . admittedly , happy find good parking spot street San Francisco exceedingly difficult time consume . pay particular attention street parking course sightseeing could hardly ever spot vacant parking space even one manage meter . already car would still strongly advise leave behind hotel 's garage use city 's excellent public transportation system include bus , trolley , metro , street car , world famous cable car get around . by virtue distinct range benefit provide Comfort Inn Bay manage accomplish abundance tourist activity 2 day . start Mr. Toad 's 3 - hour & quot ; Postcard San Francisco & quot ; tour early afternoon follow relax stroll along Fisherman 's Wharf district , still allow plenty time capture spectacular shot beautiful city , even zealous photographer . 2nd day stay , would not really trip San Francisco board one many Bay cruise take along world famous San Francisco Bay include short memorable swing magnificent Golden Gate Bridge . among many thrill San Francisco another one stand cable car ride along Powell - Mason line , make easily possible close proximity Comfort Inn Bay . one end line convenient 15 - minute ride , bring heart San Francisco 's Union Square district know snappy ambience diverse shopping scene . genuine lover zesty city life high profile business shopping center find plenty . decide round city transit experience get taste San Francisco metro trolley , cheap efficient helping get back hotel . day slowly begin retreat take rental leisurely drive Golden Gate Bridge charming town Sausalito truly remarkable scenery delicious dinner & quot ; Horizons & quot ; . watch sun set around San Francisco Bay restaurant deck Sausalito gaze seagull make round Angel Island Alcatraz absolutely breathtake make perfect way wrap visit ravish part world . first destination road trip along southwestern U.S. , San Francisco leave dazzle incredibly inspire . owe Comfort Inn Bay helping effectively materialize ambition explore city scope charm . impression plenty ' m convinced still among yet surpass . 
 Jun 25 2009 	 Reasonable Hotel 	 stay part holiday package . hotel staff friendly reception staff helpful apart tell we wrong bus get one day ! bit nightmare ! room ok size happy space 2 adult 3 adult would tight space . bathroom bite small - could close door easily ! breakfast nightmare enough table try different timing every time table fill people wait choice breakfast great honest . location ok would nicer near North Beach / Fisherman 's Wharf . would recommend provide get similar price hotel nearer Wharf area . good free wi - fi internet though ! 
 May 12 2009 	 lovely clean quiet far North Beach wharf 	 great hotel cheap parking . quiet nice view ( 11th floor ) well train staff . problem sink makeup area DARK . light Dim ! good value free breakfast . make waffle ( 2 minute ) fruit , danish , hard boil egg , cream cheese , e muffin , juice . nice eating area . take taxi every , $ 6.80 ride North Beach Wharf . 
 Apr 28 2009 	 really Glad Stayed 	 stay last fall four night -- first time San Francisco ( SFO ) . Sorry be take awhile get review do -- feel compel express favorable opinion facility . choose hotel several possibility area , glad . would definitely go back another visit SFO.We 7th floor ( mid - range price ) great view Bay & amp ; Bridge ( need go high floor ) . everything room fine -- complaint -- price right . bed heavenly -- absolutely good ' ve hotel , remember . staff helpful friendly . our appreciated service restaurant recommendation Sunday arrive . want something & quot ; San Francisco - ish & quot ; , expensive first night -- good meal relaxed , informal environment . one desk lady suggest & quot ; Polkers Gourmet Burgers & quot ; Polk Street near Russian Hill . great -- want : SFO neighborhood restaurant good , tasty basic food . tourist ( amongst many local ) -- feel like definitely SFO . get back hotel , get first taste ride Metro Bus System -- find easy use ...... especially since many bus line go past near Comfort Inn . mention location ? hotel great location -- perfect , corner Van Ness Lombard . the breakfast room busy morning , also large , many table . want breakfast -- adequate constantly attend maintain one person . the negative parking situation -- be negative almost SFO hotel , even . parking garage , tight -- ramp space narrow ( cost $ 26 per night ) . 's do - able -- Impala . unless be go far downtown , will not use car anyway . Metro Bus System work fine , anywhere want go downtown area . we glad stay -- feel like home four night . & quot ; leave heart San Francisco ! & quot ; 
 Apr 25 2009 	 horrible hotel worker acusser 	 3 people room . soon get , get ready bed go bedwe could hear noises wall nightand yet , say move people next we ( make noise ) pay back moneyeven go , elevator bell go , accussed usthe elevator quite bad breakfast say eat BUFFET , terrible , go lunch could not bare eat it.i recommend never stay hotel ! good thing , view golden gate bridge ! 
 Apr 17 2009 	 Good Location Expensive Parking Elevator Service Garage . 	 yes , hotel present good value give 's proximity fisherman 's wharf , couple thing know book room . first , elevator service parking garage . major inconvenience especially consider cost nearly $ 30.00 day tax park . second , not bother pay extra bridge view & quot ; upper level & quot ; . & quot ; low & quot ; bridge view room good view , well price . 
 Mar 31 2009 	 Wake view Golden Gate 	 town look college . need place last minute pick one price location . quite thrilled wake bay view ! room look city . breakfast room downstairs fill happy traveler . waffle maker , cold cereal , hard boil egg , bread , coffee , juice . daily parking steep , room reasonable matter . close cable car ! ! 
 Mar 30 2009 	 Brilliant Hotel 	 totally recommend hotel . good location near Fishermans Wharf ( 15 min walk ) . room comfortable clean , good power shower plenty towel . Maid come every day excellent job . good continental breakfast , see free could not complain , get busy 8.30am 9.30am always get table . front desk staff helpful , book we taxi back airport stretch limo turn , finish holiday nicely . downside alot around hotel , one pub right opposite hotel next near probably fishermans wharf , always feel safe walking night though . brilliant hotel . 
 Mar 27 2009 	 good hotel 	 stay 2nights part tour western america.it comfortable hotel . bed right . room big enough plenty storage clean . bathroom clean good size.the thing dissapointe breakfast , be not much choice , though could much like . would stay ideally situate sightseeing san francisco 
 Mar 22 2009 	 great basic hotel 	 stay one evening free stay use Choice Hotel point , great value we . check quick easy , friendly staff . room nice roomy clean nice view Golden Gate Bridge . within easy walk distance Fisherman 's Wharf area . bed comfortable , room quiet . free breakfast good , great , lot high fat , high calorie option , would liked see something healthy , be free ... check also quick easy . 
 Mar 10 2009 	 good deal area 	 typical Comfort Inn , nothing special . great deal location San Francisco . use parking garage , not bad price city , $ 26 per night in / out priv . arrive check - in time need leave car till 4 pm day check extra charge . warn , though , tight garage . could barely get . room clean view Golden Gate Bridge . typical breakfast , english muffin , cereal , waffle , orange apple . convenient bus stop within walking distance Fisherman 's Wharf Ghiradelli Square , not mind walk 5 6 block . feel safe , even walk night . 
 Mar 9 2009 	 Great get even well 	 stay 2 week Feb / March 2009 thoroughly enjoy stay . the room , Bridge Bay view twin , spacious , comfortable , well appoint immaculately clean . two queen bed .tv , lot wardrobe storage space free internet access . bathroom compact .... bath great power - shower abundance fresh towel every day . Housekeeping Thelma perfectionist standard . Breakfast ( include price ) good . cold buffet muffin , cereal juice etc .. also make hot porridge , toast waffle . food constantly replenish room keep clean tidyfront desk staff friendly , approachable , knowledgeable always willing go extra mile ensure guest great experience . Mark Jean outstanding respect , tove night shift . indeed front desk staff excellent . hotel well locate close Fisherman 's Wharf ( 10 min . walk ) well service 45,49 30 bus take almost anywhere within city . this second stay hotel , , wonderful . can not wait return . would hesitation recommendind hotel absolutely anybody . price San Francisco amazingly low product high standard . 
 Mar 4 2009 	 not stay . bed BUGS ! ! 	 absolutely disgusting place ! first , were'nt give correct room reserve ( two double bed instead two queen bed ) . second , remnant old , dry blood one pillow nearly make puke ! eventually move we different room big bed time , infest bite BED BUGS . yes , folk , be exactly say .... bed BUGS ! ! ! truly disgusting something short would expect Third World country . still , week trip , ' m suffer itchy , red , swollen welt little critter leave body . would never recommend place anyone ! ! ! can not even stress issue enough . needless say , file complaint Department Health San Francisco . warn ! ! ! 
 Feb 21 2009 	 comfortable hotel beautiful view 	 double room clean & amp ; beautiful view Golden Gate bridge . Front desk staff helpful . continental breakfast adequate , waffle & amp ; many bread . we use public transit whole 5 day . bus stop within one block hotel . fair number restaurant within walk distance . the hotel quiet . 
 Feb 13 2009 	 Nice Place Stay 	 review place come CA , not book arrival . Met traveler along way recommend . stay four motel SF . far reasonable cost wise well quality . clean , comfortable , safe . cheaper parking place . bit walk wharf , far think . bus take within block motel . breakfast typical continental breakfast , great . staff friendly helpful . computer guest use , although room internet connection available . not room view , stay one night want watch cost . parking locate motel tight fit , well parking street pay exorbatant rate . 
 Feb 8 2009 	 great location near Fisherman 's wharf 	 hotel excellent location , see previous review . good value money , clean , fair sized room , usual facility friendly staff . breakfast , waffle machine , toaster , microwave well buffet cereal , fruit pastry . plenty restaurant / cafe within walking distance , fact restaurant matter . price qote Trip advisor much high pay - look several website - get 2/3rds quote price here . we car , public transport ( include famous cable car ) good , get everywhere need without car . surprisingly quiet location . 
 Jan 19 2009 	 Good Location 	 good thing hotel location ; previously note , be short walk Fisherman 's Wharf shop , restaurant bar . large room 2 double bed , wonderful view Golden Gate Bridge tea coffee make facility . room , however , smell cigarette , unable open window clear , window curtain pretty dirty . breakfast adequate , nothing special , find staff pleasant helpful . , price location , feel excellent value money . 
 Jan 12 2009 	 fantastic view golden gate 	 stay three night , price hotel quite good , find location good . room clean little bit old fashioned . great view room high level window dirty . staff ok . deal two different lady one quite rude opposite extremely helpful .i would happy stay san francisco . 
 Dec 28 2008 	 basic great stay 	 stay hotel weekend March , find hotel , staff room fine . gripe charge car park be not tell book , charge probably less parking street . location hotel great , 10 min walk fisherman wharf , etc . also easy access city centre airport . room , bed bathroom clean view Golden Gate Bridge . breakfast basic limited seating , budget hotel fine . choice OJ , tea coffee , bagel , pastry , toast , muffin ( delicious ) cereal , fruit waffle ( love ! ) would recommend hotel budget do not mind stay . would definately return . 
 Dec 17 2008 	 not stay bad Customer Service ever 	 Hotel average , stuff rude unfriendly . beware hidden cost like charge safe whether use . also completely rob phone charge . make emergency phone call wallet steal charge $ 51 2 minute phonecall international land line , rip hotel standard . ask justify extortionate amount , staff manager rude . would recommend hotel anyone 
 Dec 12 2008 	 Comfortable Friendly good location 	 Comfort Inn Bay exactly hope would book . well locate view wonderful . staff extremely friendly , helpful knowledgable make stay pleasant . room spacious , clean comfortable ; really enjoy stay , stay : - ) 
 Nov 27 2008 	 good lone traveller 	 find staff quite unfriendly - agree review certainly go way help- sigh annoyance give ask help make local call . the room adequate- noisy . keep awake snore room next door- yes wall thin ! bathroom use next door- lovely ! plus people go past door night- whole place seem badly build peace quiet . breakfast adequate- nothing exciting ' m afraid . the cost safe- try one . like other have sign room whilst jet lag . check tell pay safe room- not ask use . sign it- $ 1.75 per day plus tax . read form , state $ 1.75 plus tax- offer entitle charge daily rate stipulate . get away pay right ! ! single traveller good location meal venture . although road appear safe , not feel comfortable dark . restaurant attach hotel , loss eat etc . daily excursion fine- walk pier 15 min . would recommend stay there- unfriendly staff , noisy , average room little nightlife surround area . seem keen charge every little thing . as extra- happily book taxi airport- agreement firm , also cost fortune- $ 35 one way . shuttle bus excellent value cost $ 16 way , door door . 
 Nov 24 2008 	 great place stay 	 stay hotel first - timer San Francisco would highly recommend go back again . the location Van Ness avenue within walk distance Fisherman 's Wharf cheap bus ride away Golden Gate Bridge . what really make stay great apart decent sized room staff member call Sharon , go way help we organise daily trip ( eg get Golden Gate Bridge US $ 1.50 - bus ! ! ) provide handy recommendation possible activity might interest we . otherwise , staff perform job adequately largely indifferent request question . guy could courtesy training , stay , make sure ask Sharon definitely look . 
 Nov 23 2008 	 good hotel 	 hotel really good . near Fisherman´s Wharf , crookedest part Lombard Street CableCar stop . hotel staff friendly , room big clean . recommend hotel , ever go back San Francisco probably stay near Union Square ( restaurant , shopping ... ) 
 Nov 16 2008 	 great value money 	 stay 6 night Nov 2008 . upgrade arrival ( think $ 30 plus tax per night ) get room high floor bay view - definitely worth . room large two double bed plus seating area . comfortable always clean . decor bit date , ' ve stay far bad 4 star hotel . the hotel busy junction , worth either get high floor room back . otherwise , location great bus close , cable car 10 min walk away Fisherman 's Wharf 10 - 15 min walk . the breakfast adequate . think people forget COMPLIMENTARY expect egg bacon freshly cook every morning . never problem get table . coffee available day breakfast room . the car park tight glad someone guide . cost $ 22 per night compare car park SF , be cheap . btw , Hertz Avis office Fisherman 's Wharf 15 min walk away . you pay safe whether use . way , not tell charge , ask initial something cheecke , tired jet - lag . contrary hotel 's website , computer kiosk guest use , want check - in line flight home , internet cafe 3 block along Van Ness cheap . there great italian cafe / restaurant road Lombard - cheap ( SF ) , fresh food license alcohol . this cheap hotel stay get excellent value money . want 5 star , stay Ritz Carlton pay price . would definitely stay . 
 Nov 6 2008 	 scruffy old great view 	 room really clean : mold around window bathroom , burst curtain , ditry carpet old worn accommodation . Def . need facelift cleaning . staff kind rude pay roomsafe , doesn´t matter use . breakfast kind ok , waitress keep remove food plate breakfast - hour . maid wake we around 7a.m . clean room also spend usd 30 parking hotel garage . altogehter dirty expensive hotel , bad service great view Golden Gate Bridge . us def . never come back hotel . ( one star hotel , second star view ) 
 Oct 24 2008 	 nice room good value s.fran 	 good value San Francisco . good location crookediest street , fishermans wharf tram . room large seperate bedroom sofa bed living area , large bathroom view golden gate bridge . breakfast good make waffle , toast , roll , danish , cheese , fruit , cereal , juice , tea , coffee help . make good start day . would definitely stay . car park narrow glad space . 
 Oct 14 2008 	 good value money 	 daughter stay hotel three night fly Hawaii . read previous review expect anything great . arrive midday ten hour flight UK . reception staff exceptionally friendly helpful , offer book tour we arrange taxi back airport . offer advice go get . upgrade room high floor view Golden Gate bridge two large queen sized bed . room good size everything clean . soon sort make way Fisherman 's Wharf short walk moderate hill . next morning breakfast , yes , bit crowded people come go time could get seat share someone else . breakfast adequate pastry , egg , muffin , toast , etc coffee good . find ample start we day . bed comfy hotel supply shampoo , etc . think area good close proximity Fisherman 's Wharf glad pick hotel . would recommend hotel perfectly adequate , sleep ! would stay ever visit SF . 
 Oct 6 2008 	 nice room great view 	 first , first trip SF , pay extra charge upper floor view Golden Gate Bridge . even be little foggy , still great view surround area . room little small place stay trip , upscale , clean extremely comfortable . midwest , balk price research rhotel area - find reasonably price comparison . view 10th floor room incredible ! Golden Gate Bridge , Alcatraz , ocean , etc . beautiful ! bus stop one block away . ( walk three block Lombard catch cable car - not .... think going die ! talk steep ! ! ) hotel staff courteous helpful . hotel pleasant stay . however ! ..... car park secure , also ridiculously small . drive Kia still take we 2 - 3 tie make corner . anything compact car lot difficulty navigate full - sized vehicle forget ! privilege parking rat maze cost $ 26 per day . let we keep car 4 pm even though check 11 . 
 Sep 25 2008 	 pretty good fairly price 	 good reason stay Comfort Inn , since 's bad price reasonable SF . location great want see great SF area . when arrive could park car next front door able get bag easily ( park later ) .The check - in fast although staff happy bunch , courteous enough . the room 6th floor good view Bridge , order . end hall way next rather noisy ice machine , could hear room . explain ' do unplug machine ' sign . tempt though . the bed soft enough , bath room clean , find sticky carpet near window since somebody drop soda we . report , remain sticky three day . parking hotel garage bit challenge anything compact . prepare . the hotel drive distance scenic Lombard Street walk distance Bay ( without steep hill ) .We found lot restaurant Chestnut close , many motel find well . not skip Mel 's diner Lombard hearty breakfast . sure , place could well . thing encounter biggie . would choose Comfort Inn go back San Francisco . three good night 's sleep . 
 Sep 14 2008 	 get pay ! ! 	 stay comfort inn 26th aug 4 night ..... read review expect worst ! ! mainly american reviewer ! ! ! anyway .... reception staff find friendly , helpful , room 9th floor ... sadly golden gate view hey ! mean sit room day ! ! kingsize bed comfy room clean , agree come breakfast time quick get seat ! ! choice not great cereal , toast , english muffin ! ! hard boil egg ! ! selection pastry ! coffee alot well place 's pay san fran ! ! yes small area amount guest stay ! ! something ! ! good location 15 min walk downhill ! ! wharf area onwards pier 39 ! ! would advise get cab back tho uphill ! ! great base 4/5 day trip ..... downtown one evening I m glad stay away quiter area ! ! 
 Aug 28 2008 	 not disappoint 	 friend stay hotel recently wonderful time ! room double plenty big two people . wonderful view Golden Gate Bridge ( room 907 ) , 2 block & quot ; Crookedest Street , & quot ; 6 - 8 block Fisherman 's Wharf . , think great location . bus line run right front hotel , really nice . pro : friendly staff , clean room , comfortable bed , good shower pressure , free internet room . con : deluxe continental breakfast leave something desire . make - your - own waffle really good , thing offer hard boil egg , toast , 2 kind cereal , danish ( kind every day ) , fresh apple orange . would prefer little selection , free probably save $ 10 day breakfast restaurant . otherwise , perfectly happy . not car park , seem big complaint , ask odd - number room decent view . take BART bus ( luggage ) hotel . not recommend ! 5 block BART bus stop — hard navigate luggage , take we 1 1/2 hour get hotel plane land . hotel offer shuttle back airport $ 45 total , take deal ride home . take 1/2 hour get we airport . I would stay . 
 Aug 24 2008 	 avoid want feel good stay fran . 	 car park rat hole help several large suitcase stair negotiate lift . on arrival check wait room prepare along twenty traveler , sit although open plan dining area free one suggest could sit there.10 minute check time late -4pm - we insist give room wait long . the lady desk brusque treat everyone manner , like school child pay guest . the room adequate feel clean window give golden gate bridge view filthy . the pillow need tip bin . the breakfast -include price , make hope , $ 26 charge park per night viable prospect , toaster break , waffle maker queue batter , coffee awful staff spend time put table note , obviously anxious tip , rather refill vital breakfast item . we give try get breakfast . the location adequate overrate several out hang corner street opposite . 
 Aug 23 2008 	 Average Comfort 	 stay husband teenage daughter end July 3 night first stop around world tour . the hotel convenient view Fishermans ' Wharf , crooked road get tram . the room give wonderful view Golden Gate Bridge complaint regard size cleanliness . the big problem breakfast time ! run 9.30 everyone head 9 am arrve time . breakfast room large enough hold everyone & quot ; overflow & quot ; reception area . one morning end eat sofas , hope table would turn eventually . breakfast buffet pleasant enough , bit scramble amongst guest ( have arrive time ! ! ) Comfort Inn - need sort extension ! anyway , nice hotel price , head early breakfast ! ! 
