Clean 	 husband book Rooms Manor experience really good . sister parent also . even ask , check - in , give we adjoining room . room clean comfortable . room locate ground floor - parking basically front manor . Circus Circus offerre really good buffet meal - 20 usd whole day ( breakfast , lunch dinner ) also offer eat prime rib 13 usd . well worth it . we stay 2 night really great time . probably one cheap hotel facility great . 
 disaster 	 daughter family stay 4 night Circus , Circus Las Vegas . total disappoint past experience . normal amenity i.e. , refrig . , Microwave cost extra per day , room clean , elevator break , walk flight stair get room . talk desk receptionist Supervisor unprofessional sympathic . & quot ; kid friendly & quot ; advertised family set prior year staff rude instance . ever recommend staff Circus , Circus Las Vegas . many family attend football tournament . next year stay elsewhere . 
 cheap ... 	 Somewhat way & quot ; strip & quot ; . price right though like clown , well will love place . room pretty basic , date . room quiet . Shower floor uneven feel somewhat odd ... not know would stay pinch , 's bad choice Vegas hotel . 
 Nov 17 2009 	 kid love stay circus circus like 's casino . 	 two kid . plane trip another family kid could take care turn turn enjoy show play casino . trip awesome .. could not well four kid . Circus Circus perfect place stay kid go vegas without waste money sleep .... 's Veagas . 
 Nov 17 2009 	 LAS VEGAS 	 really great hotel family kid , lose ride dome , buffet store inside hotel pretty good price , easy transportation get access hotels strip price good 
 Nov 17 2009 	 great place stay 	 circus circus hotel medicore . manor room price 5 - 10 $ less tower room really part & quot ; circus circus & quot ; . 300 foot away across street good luck walk way front desk locate tower manor room . go next time , would much rather prefer tower room though little expensive . the room manor kind okay great . job need place sleep take shower . not stay hotel want spend quality time honeymoon . look something really cheap place fine . the free circus show Casino pretty good give & quot ; free & quot ; . casino upscale . smoke really get 2 a.m morning . not think system place control smoke 
 Nov 14 2009 	 16 pounds/ $ 30 night hotel fine ! ! ! ! 	 book 4 night Circus Circus Mid September 09 . 4 Scottish & amp ; 1 canadian road trip travel Alberta , Canada head back California Coast Las Vegas one main stopping point trip . visit Vegas first time read mixed review hotel Vegas decide stop read review & amp ; book Circus Circus . cheap price per night party 5 ; two couple 1 opt 3 room . check -in greet polite straight point receptionist allocate 3 room Skyrise tower 17th floor think . room go pleasantly surprised room clean , good decorative order , modern tv clean bathroom basic amenity . spend many hotel night North America Europe work 4 & amp ; 5 star hotel side atlantic , room price pay per night get complaint we ! ! service everyday good standard . not encounter problem hotel , free car - parking , buffet restaurant -ok fancy do not fancy walk heat somewhere want quick breakfast dinner fine . casino machine other shop fancy cheap souvenir look that s get . Swimming Pool big someone want spend day pool might bit bored small area . Fitness Centre well equip . the hotel location 5 - 15 minute walk Caesars Palace , Mirage , Fashion Mall , Treasure Island & amp ; Wynn hotel etc - problem walk . recommendation Las Vegas -- see Love Show Mirage - fantasticTake Taxi Fremont Street experience eat Golden Gate Casino cheap old fashioned Vegas experience ! peppermill restaurant 5 min walk Circus Circus ( take right opposite side ) glass low rise building open 24 hour - fancy great food & amp ; drink pancake hot crispy chicken wrap recommend ! ! enjoy 
 Nov 11 2009 	 Walmart Resort ..... 	 let fair say service cleanliness good . personally could get past parent expose thi child smoke , intoxicate slutty dress woman , kid wait thi parent stop gambling , barage pornographic material litter strip every street corner , include one right front call family friendly resort , poor air quality smoker . conscious parent even think bring child Las Vegas , would . hotel date room desperatly need update . say , service good clean . 
 Nov 11 2009 	 dirty NOISY POOR service - need SAY ! 	 husband stay hotel 2 night September 2009 . book room available lodge away main hotel . room like cardboard box , could hear people room side , we , outside window not get much sleep . bed clean corridor lead room dirty , air conditioner noisy , staff unfriendly . book give credit card detail ask initial 3 place sign bottom checkin sheet . check 2 day later notice charge telephone call every day . query person desk show initialled agree charge daily phonecalls even not use phone ? ? ? ? ? object tell initial charge tell mean lady tell nothing could would initial . get angry walk away staff laugh ! warn anyone plan stay Circus Circus Hotel Las Vegas , careful initial check . stay hotel even last hotel earth certainly would not recommend anyone . 
 Nov 10 2009 	 WONDERFUL trip 	 partner take Las Vegas 50th birthday fabulous time . read bad review hotel arrive bit wary . however need worried . arrive 5 pm evening give relevant information hotel , include map useful . initially give smoking room soon tell neither we smoke change . 28th floor tower great view towards Freemont . room spacious plenty room store clothe . ask extra pillow arrive within hour . towel change every day room keep spotless . fussy eater hotel provide everything quick snack full meal . day , eat , buffet tremendous value $ 20 . run 7 10 pm allow evening snack require . consist food various region breakfast ( could 4 course require ) dinner ( never stay lunch take fruit roll morning take we ) include carvery style section turkey , beef ham . admittedly much choice potato veg also comprehensive salad bar could utilise . soup start , salad bar , various dessert ice cream machine , fresh fruit , drink , cake / pastry . really know people expect buffet satisfied . plenty reasonably price choice food throughout hotel include McDonalds Subway . play slot Casino little else way entertainment . also take advantage 3 - day bus pass obtain right outside hotel allow endless travel strip . retirm home Business Centre hotel arrange boarding pass three return flight home also contact limo company take we back airport . admittedly $ 6 charge give we great peace mind enjoy last day . hotel may glamour hotels strip find atmosphere relax staff friendly helpfu . would hesitation recommend hotel anyone . 
 Nov 7 2009 	 Good Deal 	 30 buck night ...... strip ...... steak house amazing ........ buffet terrible , bad ever . clean , comfy , stay cheap circus circus partie everywhere else . 
 Nov 4 2009 	 Hotel lot old show kids age love entertainment 	 able book great price air hotel family four Circus Circus Las Vegas , April 2009 . 4th time Vegas , 1st time kid . the hotel one old hotel strip - show . front desk nice check service area terrible . request fridge upon check numerous call , send room close midnight next day . fyi - fridge beat loud unplugged hour . room say update even nice room comparison cheap hotel strip . hotel strip mean convenient location . shuttle pickup almost right outside hotel get early otherwise will stand line long time . double deuce great way get around line long every stop . pay little cab not wait long . thing like Circus Cirucs - McDonalds , Activities kid agesdislike - hotel ( need makeover ) , location 
 Nov 3 2009 	 one many vegas trip 	 lot plan go ! great place ! Loose Slots great Service ! 
 Nov 2 2009 	 EAT BUFFET ! ! ! ! however ... 	 reason eat buffet 9 pm like ! ! ! Friday night meet family late dinner decide want eat buffet serve shrimp . well , not burn raw , selection small appetizing ! turkey good stuck . since close time shut half buffet . parton seat close side couple other side food serve . could tell everyone want go home ... one pick plate stack 6 7 high table . disgusting .... however , stay strip get great price three night ! $ 159.00 . not expect much price ... room clean great housekeeping , clean well every day . room old need bright light bulb clean bed comfortable . ( 15th floor Main Tower ) first night gamble 4 walk away money start continued rest weekend . great stay , buffet really complaint . 
 Nov 2 2009 	 indoor theme park 's mediocre hotel . 	 usual room USA huge average asian size like we . room facility per normal , nothing spectacular compare hotels ASEAN & amp ; far east . theme park within huge dome solely build uniqueness . frankly , many type ride available could one day joy child spend . plenty restaurant food so - so , could well , & amp ; cheap hotel Strip . depending need family , would recommend hotel whose kid enjoy thrill ride . 
 Nov 2 2009 	 Hotel service hostel price 	 expect little - especially price pay ( around 20 euro per person per night ) , suprise : large clean room 33rd floor perfectly clean every day ( fresh towel , new soap & amp ; shampoo every day well ) . Room look recently renovate good bed & amp ; large LCD - television . sure , 's luxury Strip - superhotel , price hostel european city , not expect . would certainly recommend place . 
 Nov 1 2009 	 Stayed hotel update ! 	 travel Vegas leisure trip husband , Brother & amp ; sister - in - law day R & amp ; R. Circus Circus good location end strip old town . afab time , stay 5 year ago , hotel update look good . value room great space view tower room . many shop bargain . will stay . 
 Oct 31 2009 	 Value Money - yeah right 	 Front house service invent mean drag chain , wait close 1 hour check ( 20 couple front we ) , discover room set 2 . send message room service request extra towel 4 room go day . come back room 6 hour later discover extra towel send , call another 3 time 3 hour period finally get towel , put hand tip ...... typical place . food ' k Note hotel , go put slot machine green zone ( area child walk ) child stop watch not start harrasse , not ever call bother sister 
 Oct 28 2009 	 TIREDBUT FRIENDLY CHEAP 	 ask move arrival.1st room 1 lamp ouy 3 work , swower rail faulty.room old tired tower , ask new room , much better.staff great , cc budget fussy.get multi day bus pass , great value , everyone pack bus friendly chatty 
 Oct 28 2009 	 Sub Average ... 	 spend six night hotel . stay price one cheap . get pay . long line wait check Monday evening arrive . finally check , discover can not use bell cart bring thing car lot hotel room , least 10 - 15 minute walk depend room . use bell person expect tip . work . find tv channel , cable , HBO free . internet free , anywhere , use credit card pay , true almost place Vegas strip . food cheap like use . Buffet be anywhere $ 8 - 12 plate . McDonalds everywhere , include Circus Circus hotel . check , walk around hotel , find Adventuredome pool close 6 pm . entertainment evening hotel consist bar , casino . even midway trapeeze / circus act end early . pool small , lack compare hotel area . right next road get view traffic . upgrade room basic tower $ 5 night , upgrade yet , bed uncomfortable , could feel every spring bed . call extra pillow housekeeping say restriction pillow run low . next day go Adventuredome find water log ride close repair . remain closed rest trip . price room bed sleep . spend remainder trip elsewhere strip . 
 Oct 27 2009 	 oh Circus Circus ! 	 stay friend five night October 09.a recent reviewer hotel seem think tripadvisor want moan ! . entitle opinion everyone 's experience different , valid . hotel clearly see well day need major revamp . come country ban smoke public place number year lifetime non smoker totally concur stink await walk door . hotel along strip allow smoking seem able remove smell efficiently . my & quot ; non smoking & quot ; room not much well hotel child cater big way . hotel definitely family look Blackpool Pleasure Beach pier one roof . ( UK tripadvisor know mean ) . popular everyone hotel blurb not make clear . as other , check - in tiresome take 45 minute . get desk process quick enough welcome long flight . manor room across road . well Super 8 Motel standard . small fridge available open door stink never use it . the room clean every day fresh towel toiletry . bathroom typical type hotel . never eat $ 20 buffet ; MacDonalds next door definitely less wait least know get . bar service pretty basic happy hour 2 1 good value . at weekend , family arrive big time although allow casino floor , kid tend run beserk around perimeter . understand attraction Circus Circus kid . light , noise , excitement , circus act , funfair etc ... get drift . get impression whole theme place bit outdated . ( Clowns , trapeze artiste , funfair ride etc ) definitely family friendly hotel prepare accept cheap price low standard call & quot ; value money & quot ; will not go wrong . get pay , say . however hotel suffer year lack investment far behind major hotel strip . low expectation , use place place sleep , plenty enjoy around rest strip great time . depend type family , parent either love hate place . couple could find well deal elsewhere . would return ? ( second trip Las Vegas third visit US year ) ; Las Vegas , definitely , hotel . place see well day need catch 21st century instead live hey day thirty year ago . maybe coincidence one friend stay we diagnose bed bug bite return home . enjoy last rate flatten replace long , close major refurbishnment . Viva Las Vegas ! 
 Oct 25 2009 	 Gay Friendly 	 Partner check room nice view StripI need pick mail enquire Staff member make number Anti gay comment co - worker Smirk face . comment direct we make we feel un welcome . the next night eat buffet . unless death wish not eat BUFFET GET food POISIONING like ! ! ! ! complain quality food Staff rude say expect Buffet . we great time Vegas return another visit stay . 
 Oct 25 2009 	 disappointed 	 service hospitality leave lot desire . instead deal complaint , give list excuse instead . particular room like Motel 8 quality tell new section . several elevator not work correctly . pay stay particular hotel could not get decent parking . overall big disappointment like say , & quot ; get Pay & quot ; . 
 Oct 24 2009 	 Circus Circus - Value Buck 	 book hotel part charter package 4 night , 5 day , flight , come less $ 500 per person . arrive , long check line little annoying , arrive around 10 am , usual check - in time 2 pm . still , eventually add staff , room within half hour . nice room ! give West Tower , walk , nice spacious , flat screen tv , marble sink wall shower . definitely look remodel , even though hallway look kind like old apartment . couple day , not even care ! like fact north strip , like suburb , away excessive noise crowd main Strip area . not plan spending entire day Circus Circus , adequate need . clean staff really nice leave we extra thing ask . Circus buffet hit miss . want fancy dining , be go wrong place . want enough food stuff still good quality , $ 20 day buffet purchase steal , consider meal least $ 11 . not want eat , would recommend McDonalds , good food ever . not bother pay WiFi , go fancy McDonads next door , use free WiFi . 's Starbucks Paradise Sahara 10 minute walk north . casino general smokey , Circus Circus not bad . make $ 100 penny machine first day , treat ! overall , like atmosphere place . ' m fancy , shiny hotel . place fine visit play casino , seem posh taste . nice quiet room , could even take quiet nap afternoon . not take advantage Adventure Dome , can not comment ride anything else there . we Grand Canyon tour , pre - book via internet , nice Circus Circus one hotel bus pull , pick drop end long day . I definitely check place ! 
 Oct 23 2009 	 Yuck ! 	 get great package deal reason get hotel . buffet disgusting husband nauceous remainder day eat food . morning would wake stuff nose think room seem dusty . great place stay want cheap trip Vegas otherwise spend money stay somewhere else . 
 Oct 23 2009 	 Customer Service good value money great place 	 Circus Circus las vegas .... wow great place that s locate heart thing ..... fanatastic casino ... roulette ! People walk life rich / poor / family / couple / romance ... somthe eveyone ! big buffet style breaffast every morning helpfull friendly staff .... get chance go go go Pictures way ..... 
 oct 22 2009 	 circus circus great las vegas hotel kid kid heart 	 really great hotel room may old decent place sleep casino totally awesome adventuredome theme park great everyone midway games pizzeria good food I ve ever taste i d recommend anyone travel las vegas stay circus circus hotel 
 Oct 17 2009 	 real good 	 choose Circus Circus price . sometimes get pay . request quiet room . tell outside room quieter tower room . get sound like motocross race track night . noise chain saw use holloween freight dome . curtain shut well block bright light . neighbor tv set go right thru wall . want quiet room night entertainment , Circus Circus place stay . 
 Oct 12 2009 	 well worth price pay 	 stay circus circus 4 night begin october 2009.arrive quite late night ast delay flight due weather jfk airport new york . atleast do not cue reception . room loverly , large , 2 big double bed do not know need one . the hotel little bit way main strip bus stop outside hotel use holiday 7 $ 24 hour . disapointe find fair ground inside hotel open wkend do not get see . do not really use hotel facilitys time spend main strip use posh hotel facilitys.weather warm wear short day , even night time be not cold . watch couple show , american superstar really good micheal jackson look alike excelent lion king really good . get ticket one many tix booth last minute show , half price.will defo go vegas . 
 Oct 12 2009 	 good place stay kid 	 locate strip , hotel crowd visit Feb ' 09 , room good clean . bed nice comfortable . good place stay especially go come back hotel sleep day sightseeing . activity child enjoy . overall pleasant stress free stay . 
 Oct 11 2009 	 good value money 	 stay Circus Circus 3 night last leg honeymoon . certainly value money . situate bottom end Strip far Downdown . public bus stop outside get day pass ( 24 hour ) $ 7 . arrive Las Vegas 6am-10pm good book shuttle service cost $ 7 pp way airport hotel . arrive midnight get taxi cost we $ 34 . little disappointed fairground be not open 3 night . hotel staff helpful friendly . eat buffet restraunt cost $ 20 day pass . 
 Oct 11 2009 	 Place stay- ok 	 room fine - make sure specify & quot ; no - smoking & quot ; room get . change room non - smoking without problem . the hotel casino / restaurant area smoky , find hard tolerate - go gamble casino . its location strip main hotel casino , bus go strip stop right . rate good , however . book 4 night 1 free . there McDonald 's close cheap breakfast place sell half - price show ticket . overall stay ok , hate smoke - fill casino area . 
 Oct 11 2009 	 great hotel great price 	 stay hotel night week come back weekend . check bag concierge 2 stay , first day free ! stay different room 2 stays- room spacious , clean beautiful . friend comfortable queen size bed . we order fridge room promptly deliver . check - in check - out fast efficient , pleanty parking . the hotel locate towards end strip- easy avoid traffic taking highway one end strip . 
 oct 9 2009 	 would stay ! 	 room extra ... even coffee pot hair dryer ( guess extra ) blow cold air . Buffet bad ' ve ever vega ... ever ! ! 
 oct 9 2009 	 cordial accomidating 	 arrive , get free upgrade room , bring we refrigerator make sure everything need 
 Oct 9 2009 	 get life moaner 	 hi first time vaga stay real awful hotel call circus circus well that s lead believe get lot like moan read review hotel leave home ready change hotel adopt attitude awwww well & quot ; go vagas sit hotel room hahahahaha hotel great real value money never click lady whilst privy see hotel room say circus great value money anyone go future worried hotel get standard well & quot ; book 3star hotel expect Ceasors palace eejit room quiet apart friend snore hotel spead huge area interesting finding way eventually location short bus trip ( without traffic 4 min & quot ; say traffic 15 min ) fine get meet local hahahahahah anyway hotel fine & quot ; afford Ceasors & quot ; happily stay hope ease worry already read moaner page 
 Oct 8 2009 	 good value money 	 room good . free circus act pretty good . lot entertainment kid . 
 Oct 8 2009 	 excellent value great kid 	 great time Circus Circus . be little old overall clean , good location , excellent value . 11yr old 20yr old boy enjoy Adventuredome park . stay include 2 - 1 ticket , another excellent value . buffet uninspired , 2 - 1 coupon excellent value . hitch trip checkin - take probably close hour line not seem move . room individual AC unit mount window pretty loud , get use . room clean cozy . circus area really need update free show entertain . room cheap leave vacant day visit Grand Canyon . 
 Oct 8 2009 	 excellent hotel fast check - in great room 	 great view , room make everyday evan & quot ; leave 11:00 , check simple fast , evan somebody nebraska could ( ) , ask tower room , swimming pool accross street via walk way . 
 oct 8 2009 	 good family kid ! 	 stay young child great time . lot ! Buffet okay . food choice good picky eater . 
 Oct 8 2009 	 Great Value $ $ $ 	 great value $ $ $ ... lot Kids ! fun hotel ! 
 Oct 8 2009 	 Circus Circus fun place stay ... great kid 	 look great value lot ... circus circus ! great location strip ... kid ... never really leave property ... mcdonald right next door ! fun lot adventure within hotel ! staff really nice ... great value $ $ $ ! 
 Oct 8 2009 	 Understand get pay ! ! 	 research decide take chance ! take tip tired stay west tower remodel room ask non smoking room . checked really late get send smoking room smoking floor . smoke not understand disgust non smoker feels devour entire hallway room smell like cigarette smoke . nice politely ask move another room guess ? non smoking room ! ! thankfully someone read honeymoon nice person upgrade we honeymoon suite one ever stay room honeymooner opt well hotel ! comfortable , big happy rest trip . free circus act cool . lot kid weekend week . hotel bit difficult navigate . overall awesome stay ' m budget may take risk stay will know ' m get . vegas start gamble book room Circus Circus ! 
 Oct 7 2009 	 Overrun bad service 	 say place bad service would overstate . friend book couple ticket see FrightDome opening night Oct 2 , 2009 . issue get ticket print ahead time tell would need get . explain email confirmation number still say would honor . got runaround ask cell # call back & quot ; look it . & quot ; never get call back . finally able get ticket call booth online , arrive hotel cab sign advertisement anywhere get FrightDome . ask many employee response , & quot ; FrightDome ? & quot ; also purchase & quot ; fast pass & quot ; feature suppose get fast line . complete joke nothing get $ 15 . People regular ticket allow attraction fast pass holder . really good attitude among staff working attraction , many barely speak English . completely unorganized , poorly plan event . potential really great , miss mark completely . Circus Circus , reading , well get act together see fate Dunes , Landmark Sands . stay Circus Circus , experience North Strip , doubt ever . 
 Oct 7 2009 	 food average room decent . 	 stay Room 343 3rd floor . carpet look worn need replace . not see security patrolling room . door hard lock sometimes would pop open . slam make sure lock . food okay . regret booking room . stay Treasure Island . 
 Oct 6 2009 	 FIRST VEGAS EXPEIRIENCE let DONW 	 first Vegas trip friend budget . search several good deal cheapest one hotel strip Circus . check : 2 people work deal check in out . turn lady behind desk helpful answer accommodation . queen size bed switch we room two queen price . extra $ 1 day phone charge . room decent size room look pool part strip . maid nice give we extra towel pillow . long walk get elevator . go every shop slot / table air fill much cigarette smoke feel inhale pack day . hotel family orient kid run rampage drink 100 oz soda pop parent gambling college fund away . nice area ride carnival game along really cool free acrobatic show . buffet deal eat day $ 20 ( lunch dinner ) food bland good lack flavor . add six new dish dinner thing lunch . planning go see rest hotel strongly recommend purchase deuce bus pass . $ 15 3 day unlimited . Circus family great ton thing kid . couple money save hotel enjoy good dinner strip grand canyon trip . friends- room bed , shower strip end need . 
 Oct 6 2009 	 bad cost considering 's Vegas 	 stay 2 night manage find discount rate $ 24 per night , make whole experience bearable . Sunrise Tower not easy find way shabby room OK . frill cost not expect . charge $ 11.99 internet not use facility would also cost : would put cost room considerably . pool area wonderful , well worth stay . notice phone charge automatically put bill ask take , since not use phone ! need sharp eye . buffet good price Subway charge way have pay week travel , 21 state , cost nearly twice much . end Vegas get bit leave behind enjoy time , would not stay long anyway . ' ve stay basic place Vegas past ok . 
 Oct 3 2009 	 perfectly Acceptable Place Stay 	 worried say least read many pretty awful review site departure arrival chaos long line check - in although appeared room available skyrise casino tower upgrade we west tower room . room disable one bath huge walk shower , large comfortable bed , flat screen tv comfortable chair table . still little worried quality room friend join we day would unlikely receive upgrade room skyrise tower whilst little annoying get perfectly clean comfortable could happily stay full 10 day . 2 pool area adequately equip comfortable although not much time spend , jacuzzi 's wonderfully warm bar serve drink snack whilst play music . first arrive think hotel stone 's throw away action strip day later blister foot tell otherwise , due scale hotel everything look lot near actually friend arrive pretty much take taxi 's everywhere good value blast deuce bus always full mean 30 minute wait board crawl along strip 's traffic not really option first attempt ! one disappointment lack lounge bar seem possible drink sit middle casino although case many hotel . good hotel vegas budget although next time will try save little splash one favourite strip . 
 Oct 3 2009 	 cheap strip 	 know well hotel strip , one cheap ! book room West Tower think do last couple year . ask room good view , get , 34th floor . room clean comfortable £ 17 night we ( mon - thur rate ) , quite happy . monorail bit walk heat Hilton , deuce bus regular cheap - bit crowded . the good thing Circus Circus - Slots Fun right doorstep ! ! 50c roulette , $ 3 crap $ 2 blackjack ! ! budget want stay strip , think 's good choice , although hear really bad report manor room , personally stay can not comment , budget stretch , go West Tower . 
 Oct 3 2009 	 great time great price 	 stay te manor idea anyone complain . 2 bed , fridge , room clean arrive keep clean stay . room color t.v . NBC CBS FOX FOX News Cnnn News TBS ... maybe ... bathroom adaquit size . iron ironing board ... else want price ? ? ? ? poker room clean curtious . food buffet acceptable always hot . $ 20 day u eat defiantly impressed . check line little long service people friendly accomadating . would defiantly return another trip ..... unless hit lotto , would probably try somthe fancyer .... : } ( sorry pic .. happen Vegas stay Vegas ) 
 Oct 3 2009 	 another good trip 	 3rd visit Circus , Circus good trip . yes check queue long staff desk work efficiantly get we quickly could . upgrade ( ) West Tower Room lovely newly refurbish comfortable . the Buffet reasonable eat , breakfast good , evening dinner quite good . the pool always good sit morning hot stay . always find staff friendly , do not take notice negative review . worried first time go review never problem . yes , busy weekend family go Adventure Dome harm anyone . not like child would book stay ! love see kid face come away arm full toy etc . another enjoyable stay . tip - trip Laughlin book $ 5 trip shop casino area . bargain month / year . get coach trip small town Colorado River 3 4 casino free buffet throw ! ! lovely day . pick 8 am back 6 pm . also good price show 1/2 price bureau hotel . do not believe negative review , people never please ! ! ! 
 oct 2 2009 	 good vaue price 	 stay fridaynight look cheap nice hotel LV . pay 75 $ + tax ( bad weekend ) mention honeymoon . give we nice room , nice room ( 14814 ) ! big open , flat - screen tv clean quiet . could ask anything else . a great option look cheap hotel LV . 
 Sep 30 2009 	 Lock door inside 	 early morning last night , wake clicking noise jump see someone open door . close right away could hear open wrong room . mistake forgot lock door inside , key card open room really scary . that mistake think time room , someone open room easily . key card completely safe thought . not know really happen rate hotel incident . other , everything fine . 
 Sep 30 2009 	 believe pay 100 dollar ! 	 make reservation expedia Circus Circus hope stay night real hotel strip . instead , put we Manor room , bad travelodge / super8 / motel6 . available less pay dump . and already dislike clown ... unless guarantee room tower , steer far away . 
