room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Sep 16 2009 	 oh Dear Poor Hotel ! 	 title say ! wife stay end August 2009 last leg honeymoon . hotel real disappointment . reception area look part staff particularly friendly forthcoming . corridor room smell awful , musty cross stale air hair remove cream ! realise standard room obviously go small New York standard tiny . enough room fit suitcase foot bed squeeze around . sink ( return ) actually locate next bed - although may say en - suite ! bathroom okay consist toilet shower , could done decorate grout tile look worn contain black bit . first night wife try use sink find water would go plug hole . use good plunge skill manage use plug empty water , however upon greet surge black soap scum , muck hair rise plug hole frankly disgusting . mess take eternity sink come ! previous occupant room clean notice incredible . give hotel credit follow morning reception immediately get handyman fix problem . location hotel great . 30th Street mean two block away subway close 5th Ave , Madison Ave Empire State Building . checkout concierge try arrange we use transport LaGuardia Airport cost $ 45 dollar insist cab would expensive - . yellow taxi cost we $ 25 - beware ! end day standard room basic hotel much somewhere would want get back hurry ! 
 Sep 15 2009 	 could not fault 	 stay hotel 4 night first week september . lovely location round corner empire state building Macy 's . nice restaurant opposite , & quot ; Crooked Knife & quot ; great worn want eat hotel one night . lovely Margaritas white wine sangria food excellent . staff hotel lovely helpful . room adequate bathroom , spacious . tv stick channel 22 hey , care ? not watch tv . right ? want good base friendly street , near attraction , subway restaurant bar , could lot bad . 
 Sep 13 2009 	 fantastic hotel remember 3 star rate 	 thirty thirty hotel great hotel . nervous staying , read review hotel . 9th floor room 917 , room need , somewhere sleep , shower get ready go . clean everyday , leave new towel bed linen everyday . perfect ( fact stay Savoy hotel London close matching ) . hotel staff helpful we . arrive could check tell we leave case first look city . great get first taste big apple . location hotel great , middle everything . feel safe walk hotel late night . end stay hotel provide private taxi we take we airport , provide hotel fee $ 25 , save we money . negative thing think air conditioning bit loud hay least work hot holiday . thirty thirty hotel fantastic hotel make first holiday abroad good holiday ever , thank thirty thirty 
 Sep 11 2009 	 stay . $ 417 / night dingy miniscule room dark room / hall 	 stay hotel nothing leave entire city 2 night stay original hotel lose reservation . thing hotel go location . lighting room dim put makeup window . everything cramp sub par . forgot shampoo get shower HALF bottle hotel shampoo . YUCK ! carry pepper spray travel one stay hand every time leave room . price sinful ! ! ! ! ! ! ! recieve . never ! 
 Sep 7 2009 	 great location know reserve . 	 hotel great , fairly quiet location , mix restaurant , small shop many apartment , close Empire State building , Union Square , Grand central station , 3 block subway trip point Manhattan site NY . front desk helpful , sure know reserve . find Labor Day special internet , standard queen room include full complimentary breakfast Zana 's restaurant next door . porter take we room discover two twin room small college dorm room . say porter call front desk , put husband phone . take wrangle show printout reservation put we upgrade king room , tell we one night would move next day . next day arrive different front desk help tell we keep king extra charge . typical amenity , toiletry , hair dryer , iron safe . seem minority English speak guest . eastern European include Russian , Czech Republic , german etc . loved laughter congeniality present lobby two work elevator . ( third work ) porter help pleasant . staff Zana 's next door excellent enjoy three breakfast ( return front desk free voucher ) . beautiful weather open front window table feel like outside comfort quiet indoor . if want midst noise / hustle / bustle Times Square , hotel . need great base sightseeing , be great . enjoy trip New York , wear comfortable walk shoe ! 
 Sep 6 2009 	 Brilliant Stay - exceed Expectations ! 	 Girlfriend stay Thirty Thirty 5 night first week September 09 thoroughly enjoy stay . read review dread go must say think place Fantastic find hard understand anyone could bad time . room large expect large bathroom lovely big shower , digital TV 28 channel , safe , phone , air con etc . surprised nice 3 * NYC hotel . the hotel clean inviting , pleasant enough staff field query well could feel secure safe . get room clean twice spotless cleaner in . the location brilliant - main avenue ( 5th & amp ; Madison ) nice quiet 5 min walk Empire State - less 10 min Macy 's 15mins Time sqaure - walk time square night feel totally comfortable surrounding . 2 street 28th street subway connect part city think excellent - $ 2.25 fare . overall would recommend hotel everyone - book room summer sale week 40 % value money outstanding . feel holiday good make fully believe Hotel Thirty Thirty help we wonderful week NYC . 
 Sep 4 2009 	 okay 	 stay Thirty Thirty hotel Feb year . go really nervous expect . upon arrive little wait see people check . staff pleasent formal . get room tiny , hotel room New York , especially price . the room clean , bath shower , spotless . bed comfortable . main thing hotel location , really easy get everything . first timer New York , able walk pretty much anything real plus . planning go back would look stay another hotel little comfortable . would reccomend hotel anyone budget not look fancy hotel . negative , room right next elevator , constant noise , bad except school trip 25 teenager corridor ! honest though , kind drown ! 
 Sep 4 2009 	 alot well expect 	 Got say pleasently suprise hotel . read review go worried might get . vist feel fair make comment . arrive ask room next , receptionist could accomodate time say could sort next day . room husband young son get fantastic , 2 big window , coffee machine , cooker etc . room small 2 single bed look next building . say bathroom big 1 night . linin clean room . day 2 go reception although get room right next get one hall floor , boy fot great room husband get one double . big enough need , clean , although shower good room , space window . location hotel great 3 block leave Empire state building , fantastic . hotel staff nice girl bar good remember drink every time wnet . nice place outside sit eat / drink ( although eat hotel ) lot good eat place around find deli end street right come front door , recommend someone trip adviser . good little italian also around corner go left building right , look run abit food great nice people . would definately recommend hotel 
 Sep 3 2009 	 Brilliant location 	 visit New York extended family stay Thirty Thirty Hotel . drop pick airport friend drop hotel . first impression average hotel . service good , problem staff reception . lobby basic one two gift shop inside . two room , two single bed . room simple basic size , slightly small , could fit wardrobe , two bed bedside table . bathroom nice decent shower lot space . go July , temperature boiling , unfortunately windows not open safety reason presume , would leave air con day would leave room cool night time . location good part hotel , five minute walk everything ton cafe coffee house nearby get breakfast morning . overall , hotel average , nothing boast , location perfect . , feel spend time New York not hotel stay , long decent place sleep night , good deal . 
 Sep 3 2009 	 Fine Hotel not know fuss ! 	 read review go holiday scared first , hotel absolutely fine ! arrival , staff really nice & amp ; welcome . hotel room clean & amp ; absolutely insect ! bed comfortable & amp ; t.v . good ( many channel ) . hotel central . within walking distance Times Square , Empire State Building , Central Park Madison Square Gardens . listen negative review ! hotel brilliant money pay ! ! ! 
 Aug 29 2009 	 Cockroaches 	 DIsgusting . stay summer part honeymoon . enter room first time know have make mistake . tiny room really noisy ancient air conditioning work could turn . tv remote would work . Carpet vacuum , thick dust windowcill . toothpaste splash tile around bathroom sink , dirty floor tile grime around corner bath . final straw cockroach - bathroom , drawer bedside cabinet window . good thing baby cockroache . feel sorry staying month will fully grow ! doubt hotel anything . would never recommend . fact make never want go back New York ! ! 
 Aug 25 2009 	 absolutely awful . ruin holiday 	 room disgusting ; tiny dirty . request upgrade deny employee authorise ( manager ) . request leave system upgrade manager inform we ok . not . three day later , room flood even though fiancé tell reception problem toilet 12.45pm . fiancé see room 8 pm later tell flood occur 1.30pm plumber go room we complain roof leak . plumber tell 10 cm water room may cause throw wipe toilet . inform manager back home never problem . prohibit must sign dustbin provide . ' either . ( manage speak manager plumber next day Ms Katia ( manager ) , leave 5 pm despite problem , think wrong . would speak phone colleague phone let we wait till next day ) . put another room ; bad first one . offer upgrade never get Ms Katia system return hotel follow day . ask laundry bill say must ask superior let know , . last day Ms Katia cold , unpleasant sarcastic . ask leave yet check - out 11 am ( 1 pm ) , whether request late check . would request one know checkout time . ' Ms Katia see one , since look computer ? say could leave right away want ; week bad ' matter . ignore . ' expect much class , expect cleanliness , decent room , much well customer service politeness . receive none . 
 Aug 24 2009 	 Water rain bathroom ceiling 	 stay 6 night , choose hotel location despite mixed review TripAdvisor . first night tell arrival type room would book not available , therefore would ' upgrade ' big room . room nice spacious ... however also tell would need check big room morning check move room would actually book . overheard guest reception tell thing , wonder whether do regularly see room actually book , might want pay extra put back big room . last night , guest room we take shower , cause water bathroom rain bathroom ceiling . Rang reception inform , meet unconcerned response . tell fully book ask change room , offer free breakfast recompense . try receive refund final night . personally feel likely hotel area offer well value money service Thirty Thirty Hotel . would stay . 
