security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Nov 6 2009 	 wonderful front desk staff manager 	 check smooth room ready 4 pm . manager , Ilona , extremely helpful . advice people board pay upgrade king executive : n't ! ! face Lincoln Centre construction going - night ! ! NYC city never sleep ! could sleep next morning downgrade King superior $ 30 surcharge . room slightly small quiet nice . I picky customer concerned review read . room pricelime city pack marathon . the location excellent many delicious restaurant lovely shop nearby . the room redone bed bed excellent , flat screen tv , small bathroom - close door sit toilet , great shower minimal storage place . closet inadequate- divide half lengthwise coat etc hang . first room safe closet second safe floor bedside table . the room dark wall paper brown lighting great . summary , comfortable , clean , hotel great location , great staff . would notbe first choice , would fearful long interior , high room . second room 8 floor . refund $ 50 . sleepless delux king . 
 Nov 5 2009 	 horrible ! 	 strongly advise stay Empire Hotel ! specifically ask hotel staff booking room room could two double bed assure problem , although arrive tell & quot ; standard room & quot ; one bed . hence pay extra $ 140 stay upgrade room include two bed tell staff otherwise . not service disgraceful whole stay , front desk staff concierge treat horribly feel like problem ask simple direction around New York . room small crowded bathroom big enough . think book hotel , please look around accommodation ! 
 Oct 31 2009 	 COMPASSION 	 plan stay Empire Hotel weekend NYC family celebrate Halloween run NY Marathon . seven year old son come swine flu fever 103 . call hotel immediately @ 6:30am tell could check night son swine flu . manager duty say & quot ; compassion lose $ 420 revenue busy weekend year . & quot ; explain could bring son infect everyone train hotel , manager say would fine , go refund money ! needless say , Amtrak , NY Marathon everyone else refund money . 
 Oct 30 2009 	 Fabulous Location 	 stay Empire 4 night October . the location hotel , other mention , fantastic - Starbucks chemist next door , restaurant across street 5 minute walk Columbus Circle . the hotel twin bed 's standard room , travel friend partner would need superior room room . room small expect city , would struggle sharing room ! air conditioning unit deafen good job not warm ! room come large tv iPod dock - view restrict - want stare window day ( fuss ! ) ask high floor street view ! bathroom gorgeous - rainfall shower great product - shower door break one door rest open - sure reviewer shower manage get water floor ! sink would drain 1st day let reception know fix immediately . the roof top bar popular local , honest find little lacking atmosphere get well cocktail cheap Landmarc Time Warner centre 5 minute away . the lounge bar cool relaxed lovely decor helpful staff . the restaurant ( Ed 's Chowder House ) one nice place eat stay - fantastic staff food reasonable price . we would stay lucky share room 
 Oct 29 2009 	 great Stay 	 recent business trip New York , company book Empire . not familiar hotel course come TripAdvisor.com check . read review quite worried . I arrive NY early expect call ask time would able check . person speak friendly say would able give room right away . arrive , front desk equally friendly helpful . night desk staff not quite welcome still bad . I book junior suite can not comment size room , plenty big enough well appoint . cleanliness clean . spotless - clean . not lot closet space will not find thing like iron hair dryer either . the room large king size bed great pillow nice linen . wall front bed large flat panel television . channel horrible reception still watchable . find happen lot hotel rather annoying .. bathroom large shower ( door ) . not really like raise wooden plank floor shower . can not imagine clean properly ( although look clean ) . bathroom sink look good , not drain well distance faucet bottom sink barely give enough room wash hand . cool expose steel beam middle room . yes , hear street noise room ' ve never NY hotel room not . certainly not loud enough keep awake . muffle noise adjacent room , nothing bad not go late . someone comment hall dark dingy not agree . yes , dark color scheme new clean . might everyone taste . the hotel really great , safe area . everything need close locate two subway stop . maybe ' m lucky stay great have certainly stay would reccomend friend . 
 oct 22 2009 	 bad hotel ever stay 	 bad hotel ever stay ! BARELY 3 Star hotel – like 2 Star . lobby trendy hip look , minute leave space feel like sro building . hallway narrow dreary room less 200 sq . foot . complain , tell actually " large " size . bathroom shower ( tub ) , place put toiletry except small recessed shelf , wall floor cover fake - wood laminate . dry blood mattress cover . 
 Oct 21 2009 	 dissapointe 	 stay 4 day superior 2 double bed room . room small limited area closet . air stuffy , try run air conditioner . never could get cool air , instead hot air want . engineer try service cool air . open window hear constant street noises traffic . husband wear ear plugs night entire stay . one shower door miss make floor soggy . walk wet towel every time use sink shower room small . use bottle top keep sink stopper elevate water drain fast enough . well enjoy proximity Lincoln Center . unless snow , stay Empire Hotel next time . 
 Oct 21 2009 	 great location tiny room . 	 wife select Empire weekend getaway without kid , research TripAdvisor . love location room - & quot ; single & quot ; & quot ; queen express & quot ; - ridiculously small view whatsoever . not care sleep shower there . the room nicely appoint though , clean . room service prompt good , include turn - down service every night . notice debate Trip Advisor shower . love shower , even though create somewhat puddle bathroom floor . hey , ai not bathroom ! hope able upgrade king room . call hotel staff early week stay indicate king available . time get however , upgrade available . disappoint understandable . 
 Oct 17 2009 	 disappointing 	 stay Empire Saturday Sunday . room tiny . stay lot NYC hotel one small room ever ! bathroom horror ! husband take drain get sink drain . wait 8 minute hot water sink shower ! ! ! ! ! ! place put bathroom essential . rooftop bar could not get wait go early 5:30 pm . could not get drink milk , Heineiken , go pay husband fill tab room information tell could not pay way cash credit card . lot great hotel NYC one . 
 Oct 17 2009 	 pleasant stay 	 admit terrified negative comment , arrive prejudgment vanish ! girlfriend check 19:00 ( plane arrive ) , diane front desk welcome we warmly , lend we european / US adapter free , lower deposit $ $ $ .... get we room 4th floor ( smoke one ) beatufull view opera square outside . room great . queen size one ( think 's low option ) plenty room near bed , desk sit sofa , tv , nice bath . shower take problem operate . room service polite , never botherd we ( & quot ; privacy please & quot ; sign door hang ) everything near hotel , first day foot ( low manhattan ) .there even film Sex city 2 last day trip hotel lobby / cafe . Doorman let we cut que hotel key show rooftop , nice place upthere , not expect waiter fly table smile . still feel welcome there.bellboy help we bag , call taxi etc ... like tip buck nice gesture bar perhaps make stay even friendly ... stay 11 day , want romantic atmosphere since girlfriend , fully satisfied ! stay ever return NYC 
 Oct 16 2009 	 cozy comfortable . 	 book Priceline $ 200 / night happy result . love area - block Central Park many restaurant shop subway within surround block . room ( Queen Standard ) small long be polite need get around roomate not problem ! sleep well - bed duvet extremely comfortable room quiet cozy feel . grant , be high maintenance people quick complain , certainly nothing complain . enjoy stay . 
 oct 8 2009 	 QUAINT NEW YORK CITY 	 Empire Hotel pleseant minute walk lobby . theme leopard print everywhere . dark decor , comfortable lounge area lot comfy seating . room TINY . believe small room ever stay , size stateroom cruiss ship . NYC . would stay . 
 Oct 7 2009 	 not let Negative Reviews Scare 	 book room Priceline $ 200 US / night , phone upgrade Deluxe King extra $ 50 night . upon arrival , tell stay Queen standard . desk clerk believe call upgrade , room type book available . offer we Superior King ( one class book ) , not totally sell . offer we Deluxe Double double upgrade price . take really happy : super - roomy space , couch , coffee table , arm chair , desk two comfortable bed overlook Lincoln Center . walk - in closet full bath ( none funky half shower keep read ) . post room rate $ 709 night — Yikes ! — but hotel 's online site $ 419 mid- $ 500 . room clean spacious , never hassle early housekeeping , doormen friendly location could not beat : subway stop two block away either side , two block Central Park , Starbucks breakfast next door , free wi - fi hotel ( although signal weak room furtherest away router , visible elevator area ) . overall , wonderful time , even construction noise Lincoln Center renovation . get deal room — and upgrade it — . $ 250 / night room total steal NYC standard . 
 oct 4 2009 	 Poor 4star hotel good location 	 wife stay Empire Hotel 8 night ouf first leg honeymoon . book superior hotel even though suppose honeymooner place we 3rd floor . ask room high floor propose we basic room 5th floor face backyiard . anyway prefer first bit large even though noise road significant louder . room elegantly furnish big plasma tv , mini bar safe . closet almost non - existent bathroom small well equip famous bath amenity . pool rooftop small even try . bar rooftop popular every night could see many young people wait line elevator . good part hotel location . close 2 metro station , opposite Lincoln Centre Arts 2 - 3 block away Central Park . neighbourhood fabulous many elegant restaurant cozy cafe . I would stay due facility around hotel . 
 Oct 1 2009 	 hotel great . not know people talk . 	 must stay different hotel people return 3 night stay Empire Hotel absolutely wonderful time ! travel delay call hotel ahead tell would arrive late . courteous informed already room ready set aside . even let brother , arrive hour early , room request would not wait lobby . not require move whole reservation credit card like hotel would . think nice . arrive hotel go inside find valet , midnight Sunday . find , apologetic take care car promptly . room clean comfortable . double suite . 2 queen bed alcove small couch . huge neat freak germ - a - phobe room seem clean . bathroom little funky , shower door seem kind stupid , along wood plank flooring , rainfall shower head make . think big complaint would bathroom poorly light . hard shave stuff . overall ample size reasonable part Manhattan . pay $ 371 night suite . know may seem like lot guess people , new york ! want giant hotel room 100 buck night go St Louis weekend ! housekeeping great . turn service every night . not disturb we sleep even call schedule time come clean room afternoon one day . rooftop bar okay . kind wannabe yuppie hipster Vegas - type club . really style , great view west side . yes , drink overprice ... ... New York . basically mid - town ( close enough ) . go pay premium . want cheap drink , head Hell 's kitchen . find beer 3 4 buck . not expect sit 3 block north Columbus circle get $ 5 martinis.i agree pool dumb . tiny tiny tiny . photographer great job make look big . anyone expect olympic size pool roof nyc hotel dumb . location : perfect ! 3 block subway . 2 block park . easy 20 minute stroll times square . never hard catch cab front need . overall would recommend hotel anyone . staff friendly location great ! 
 Sep 29 2009 	 take custom elsewhere unless want treat like second class citizen ! 	 return 5 night stay agree negative comment - never ! ! travel friend 16mth old son visit friend New York room we stay . book hotel last minute pay odd really ( £ 300 per room per night two superior double double ) availability city end Sept really tight . everyone right - great location end ' m afraid . arrive delay flight poor son desperate get bed tell room type book available would take standard room nothing . actually story change every 2 second tell various tale 3 people front desk - room available dirty could clean late , room available would send alternative hotel , book standard room despite confirmation paperwork travel agent , pay advance would need pay credit card , despite travel agent confirmation etc , . etc . go good 20 minute friend get upset baby become quite distressed tiredness . even annoyingly , happen , guest turn check superior room even though have tell none available . point reception staff , guy appear Duty Manager become quite aggressive rude informing booking block not ( whatever mean ) leave we feel single particularly awful treatment . eventually agree take 2 standard room proviso change superior next day get room mine small cot need son could not fit whilst door friend 's room open bed space walk round ! really like cupboard . point join wail son sit corridor crying . Bell Boy lovely go back reception see could do , reappear one lady reception take living room suite arrange & quot ; put & quot ; bring - least , son , crib case could fit ! ! ! ! eventually get right room describe several othere , still small , clean noisy , road ancient air con system thump , thump night club roof ! . discover hotel block $ 2000 credit card & quot ; incidentals & quot ; leave much available credit shopping , eat etc . think go order room service - lobster champagne ! terrible hotel , staff bad attitude consideration guest - take money elsewhere ! 
 Sep 28 2009 	 could much well 	 unfortunately , room small , rather dirty get one without city view , be like cave ! be probably well next elevator hear door night long ! ! ! take shower mean flood bathroom . and forget cleaning staff ; think be thereeveryone must wake ... 7.45 .... not answer , will come ! ! ! Rooftop bar fun lively . least ..... 
 Sep 28 2009 	 poor check service downgrade honeymooner ! 	 first stop head Bahamas . stay hotel 4 night . book trip Perfect Escapes guarantee upgrade offer . booking confirm upgrade availability hotel via email - email back confirm availability deluxe kingsize junior kingsize suite . on arrival ( get attention someone desk - not even acknowledge presence ! ) allocate kingsize deluxe room - explain upgrade produce documentation prove entitle say email correspondence - tell person long work hotel none room available would either room 2 double kingsize deluxe . explain honeymoon want request receive apology gesture goodwill . ust tell go back 7 am follow morning would see could allocate another room time - ask could not automatically apparently not possible ! ! go back follow morning , give room produce book info . leave suitcase move room ready thing safe not want leave room - tell would hold not money jewellery ! take thing tell n't facility would not fit safe ! hassle feel troubling - customer service good - not stay expect treat value guest ! room fine , nicely decorate - deluxe king small expect review - suite room huge mean . bed really comfy room decorate nicely . hassle wait iron board deliver every time need . also coffee make facility room . rooftop nice look photo need bit tidy - go look daylight . large queue private party evening . lobby bar available day film Gossip Girl - apparently Sex City week later ! close Central Park tube station would stay close Times Square next time . because hassle receive would recommend hotel other available New York . 
 Sep 27 2009 	 great place stay 	 many hotel like depend pay - lucky get stay 3 night , get 1 free - bring average night stay good price ( comparison rest new york anyway ) ... modern boutique style hotel , room small ( new york ) nicely decorate clean . pool roof small , really quick refresh rather olympic training . bar area around nice though seem enough room .. use base sight seeing - plan round pool bar day place . staff little matter fact say , help we need . I d pay full price romantic trip i d disappoint , nice place come back day new york perfect . great location . central park 5 minute ... time square 20 min .... walk . want great breakfast lunch head straight hotel 10 min walk ahead upto lanskys jewish deli 235 columbus - really well price lot local , great service wide variety breakfast .. 
 Sep 24 2009 	 look Good Great Location ... could well ! ! ! 	 party 8 we travel celebrate 40th birthday ... book flight hotel virgin holidays ... want treat ourselfs enjoy stay luxury hotel . party first NY visit , rest we third . read review leave little worried choice ! arrival check - in confusion booking , book one standard room 3 superior room ... hotel we book 4 standard ! quite insistant produce booking letter virgin comfirming choice ! tell room put $ 100 night deposit five night ... one couple bring VISA travel money card ... would meant hotel would tie $ 500 spending money ... ! luckly one party put charge credit card they . , , , please aware ... standard hotel policy ... feel Virgin warn we booked pay ! ! sort say reception staff helpful understanding especially Samantha Peter . wait hour two room really problem ... go next door Starbucks coffee relaxed reception area hotel comfortable . I double double superior room 7th floor overlook Broadway ... two bed beautifully make though big room clean nicely decorate ... bathroom tiny , clean everything work fine , waterfall shower lovely l'octaine beauty product feel like touch luxury . a / c work fine , though could hear street traffic noice , expect ny ... buy ear plug ! also little hang starage space room , enough we ! good thing hotel bed pillow ... amazingly comfortable ... oh missing ! something else really like hotel bedroom 11 floor 4 lift , arrive quickly ... last stay NY Shereton Towers 42nd floor .... often wait 10 - 20mins lift ! ! ! also feel safe hotel always one two securiety guy always smile open door , bell guy door always smile hello ask could anything . go roof terrace look warm evening imagine nice relaxing place chill ... honest time use ! next good thing hotel location , upper west side great . walk north Columbus Ave great diner place eat ... much cheap well mid - town . also nice slow 30 min stroll Times Square ( could easily do 15mins quick pace lol ) lot thing seem happen hotel , one day film Gossip Girl ( never see ! ) security even tight place full crew extra ... could tell call star shoot lol find exciting fun , understand other would ! Danny DeVito also party one night , day leave get ready fashion show ! overall understand negitive comment place ... 2 room change , 1 wrong bed size , 1 2nd floor overlook main entrance , friend say noise unberable ... could hear folk talk street ! issue resovle reception staff , offer alternative room without question . really enjoy vibe hotel love stay ... company make great holiday ! would recomme hotel location bed ! worth money ? ? ? ? well do not think would pay full price place ( £ 250-£400 night ) get good internet deal would easily stay . finally would like stress folk great location ... already plan next visit NY plan stay Upper West Side ... great neighbour hood , great vibe different feeling Mid -Town ... try , will not disapointe ! ! ! 
 Sep 23 2009 	 never . 	 thing hotel go excellent location right Lincoln Center bell hop extremely nice helpful . step inside hotel , however , different story . front office staff definitely air & quot ; be lucky staying & quot ; - hotel 's * * nice . fact , could not escape pervade mildew smell room - due , ' m sure , design shower . 's half glass panel , half expose , 's wood panel wood floor . be pretty , totally functional 's fan bathroom - 's moisture go heavy curtain paint show sign mildew bathroom door frame . also , dust everywhere - beware allergy . think get , however , total lack customer service - call front desk get password internet , said & quot ; thank & quot ; good person end phone could muster & quot ; uh huh & quot ; . & quot ; be welcome & quot ; , & quot ; pleasure & quot ; , nothing . also , upon checkout , front desk person seem totally unconcerned fact check confirm room prepay corporate system . & quot ; well , not & quot ; response along blank stare . suppose 4 - star hotel ? not think . never . 
 Sep 20 2009 	 well comparably price hotel 	 's NYC ... people average slightly average travel budget , expect old building , cramp room , high rate . Empire 's quality average , base previous hotel experience NYC . room 2 queen . room size ok , although bathroom tiny . building 's common area room clean , front desk staff polite efficient , elevator AC work , location perfect ... nice neighborhood , close Central Park , Lincoln Center , two subway stop . interesting , kind 60 retro new throughout . valet really friendly , offer great neighborhood breakfast spot we . would go back . downside - room heavily fragrance type carpet clean air freshener , open window deal street noise . iron ironing board not time order wait one , go wrinkle clothe . concierge duty late afternoon sour , annoyed look face , enough keep we approach . 
 Sep 18 2009 	 ok 	 1 . front desk - if hotel replace & quot ; United easy check airport machine & quot ; , result.2 . room service - I expect . service come room twice one day , question piece hair leave brush , still sit side toilet 3 day ? 3 . design -no second door showerno hook normal level hang travel design cosmetic bag . one - very high ! little make mirror high , ` use . ` 5.4both pull shelf always out - no magnet keep inside . fun , especially room big one . sink - very tricky design girl want wash face , take make , etc - very hard . one thing love bed - good investment ! swim tiny pool useful love exercise , do . location good . by way - very annoying girl exercise fitness room alone - the male staff come inside time 15 minutes- what - clean something - ok , fine , take apple , drink water , & quot ; clean & quot ; walk across check something inside . ok , may 4 time , trust inner feeling - no comment . in general personal little touch ( word , look , greeting ) feel hotel ` staying . first last . 
 Sep 16 2009 	 Staff management 	 say hotel really nice nice room nice front desk people . come group 6 people enjoy NYC . upon check hotel leave luggage hotel front desk tell us problem . go business return get luggage get 2 people group leave claim tag . security guy shady say least write note yellow sticky note say investigate that s . ask security guy paper say taht lose luggage anything claim fact indeed lose luggage say ability produce type paper do not like call cop file lose bag report . say wait friend file claim security another happy couple lose luggage eventually find original bag rip bell boy decide put stuff inanother bag different color . respond client well tell bag grey red . client tell yes grey untill rip decide put red bag . fact rip original bag also make comment client bag say be not describe . unprofessional people work hotel front desk people . want pay 4 star hotel get treatment would rather stay another hotel . 
 Sep 16 2009 	 Great Location ! 	 dread arrive hotel read review pleasantly surprised . arrive 1.30pm & amp ; room ready straight way . yes room small . 2 double bed & amp ; 2 we . & quot ; wardrobe & quot ; rail hanger & amp ; curtain door be not end world . thing lack coffee facility use Starbucks around corner rather pay hotel ( Sprite rooftop pool $ 8 + tax gratutity - rip ) . do not spend lot time sightseeing holiday . min walk Columbus Circle Subway & amp ; Central Park , 10 min walk 5th Ave , 20 min Times Square . Gossip Girl film whilst do not affect we spend day US open saying would not know Gossip Girls fall ! ! : - ) do not use separate roof top bar simply do not time & amp ; prefer eat / drink different place Manhatten . like hotel & amp ; hip / trendy vibe . probably would not stay next trip NY ( & amp ; ! ) would may stay low Greenwich Village / Chelsea area . 
 Sep 15 2009 	 great value get priceline . pay full price 	 return 7 night trip NYC San Francisco . grow outside Manhattan want stay neighborhood hotel . pay 200.00 per night priceline.com . would pay rack rate . say , find hotel fine . front desk nice doorman always friendly . lot go ny last week , Walter Cronkite memorial across street Lincoln Center President , US Open , Fashion Week 9/11 hotel fully book file Gossip Girl . we end pay 50 night upgrade hotel 7 day bit worried small room long . actually give we double upgrade single upgrade price . room view large l shape 2 bed . make nice extra walking room place hang not bed . the room clean spotless , be old building ( use part Fordham University ) find lobby bit 80 's current color . line outside club bit odd type crowd expect hip club . local crowd . the complaint read housekeeping come early true , except hotel lot business customer week room usually empty 9 . weekend disturb . housekeeping staff keep room clean replenished towel etc . also great perk free wireless internet , helpful stay 5 star hotel charge 12 - 15 dollar wireless . again , 3 star hotel sure great neighborhood . take advantage park head 70 's upper west side . the hotel not part vacation experience okay . 
