warning 	 reception staff polite , demoralised constant barrage unhappy customer complaint demand money back . the dining room seem know training , like start morning chaos . the location good local bus route underground , quite square . the reception area clean need date , however reception area confront heavily stain carpet poorly maintain state hotel . the room date poor state , broken furniture , door lock break well number thing , linen clean however general state room can not say feel home comfortable room . the bad dangerous fault opening draw bed dangle draw live electric , uninsulated real threat life . Cant say ever complain anything really ruin break stay , cheap hotel strike owner hotel take guest ride continue time get away , clearly do not care . they staff hotel people probably never day training obviously do not care either , think that s probably feel sorry ! ! ! ! 
 wait basil faulty appear 	 read review think can not bad ? stay hotel slate . boy wrong . book weekend away friend see show , book 3 double room , check , go room find twin room , go back recieption ask double , long time come back say hotel fully book could not move room ( manager speak finish 2.pm ) , hey let spoil weekend . back room go.then list started.musty smelly room towel , one room , open bed side cabinet live electrical wire tape together , breakfast joke dirty table ask waitress 4 time clear away dirty plate , even one else , full english breakfast six we order time come 1 time , wait 40 min last breakfast appear.when get egg bacon stone cold , knife fork , join que receiption complain.i ' ve stay much well hostel around world place.deffo stay here.had room 219 , 205 & amp ; 124.have take picture live wire forward H.S.E 
 Aug 2 2009 	 do not 	 book cheap theatre deal get hotel , read review booking think can not bad oh yes , get basement room , smell dampness , constant door banging , smell kithchen , complain get move fourth floor room much well still one starbrekafast do not bother bread roll , coffee fo bella italia 9 be beuatiful breakfast fiver 
 Jul 26 2009 	 Floods Famines London 	 family four - parent , sister . assign room basement . shower flood . room boiling - open window not help basement room see wall open window . breakfast 's easily scene witness news report famine - although well dress healthy look individual - hoard people swarm towards bread basket bread . lucky arrive breakfast room refill bread basket find bread . not , mill around bread basket refill , could 5 minute upwards . would find bread repeat procedure orange juice / coffee / tea / hot choc . breakfast fill ... get feel feed fight food pay for . we stay one star hotel Paris well service . enough say . 
 Jul 25 2009 	 Basic - ok 	 good location near Circle & amp ; district tube line access many London site . room basic ok . continental breakfast lot bread roll , even bread roll . cold meat fruit . room first floor . guest leave luggage luggage room prior checkin checkout . still good time London . 
 Jul 17 2009 	 Location plus 	 hotel unacceptable standard . motel 6 luxurious compare place . benefit location . accommodation basic ( paper mat bathroom ? ? ? ) , & quot ; continental breakfast & quot ; consist bread jam . AC unfortunately get London heat wave . least offer we fan . staff seem interested addressing issue . price high offer . accross street friend stay much well room . 
 Jul 16 2009 	 good place stay . 	 room size prison cell , ground , heatwave , a / c , tell reception keep window closed security concern . Woken numerous time night due constant slamming door . glad leave . never stay . 
 Jul 15 2009 	 cheap basic average hotel 	 stay 2nd floor , room generally clean basic . warm water tap shower defect . breakfast sober ok ; brown white bread roll , jam , coffee , tea chocolate milk , orange juice . location great ! bayswater certainly good location London stay , also near 2 subway station shopping mall . staff generally helpful kind , seem somewhat distant . 's old hotel , room corridor small . good hotel need cheap hotel city centre , sleep night . 24h desk feel secure . good hotel elderly disabled people , like enjoy luxury . young demand guest , perfect . get pay . 
 Jul 14 2009 	 stay anywhere 	 arrive Bayswater Inn , give room basement hard find small window . room extremely warm air movement . toilet handle squirt water flush take 10 minute refill . hardware sink spin around turn water . compaine manager , tell good room available . ask discount room , miraculously come another room - basement toilet still take 10 minute fill . tell 's plumbling work nothing could do . we tell would go elsewhere since plumbing work properly air movement . mean time , tell upstairs room airconditione . interestingly , come another room upstairs much large toilet work . however , airconditione say funnel shape cloud swarm insect middle bed could shoo window . refuse refund money . keep mind two daugher backpack around Europe stay hostel 2 week come bad place . plus one Peace Corps third world country use less adequate accomodation think unacceptable . go street cheap hotel work toilet well breakfast . 
 Jul 6 2009 	 Thought good 	 read recent review concerned stay hotel . pleasantly surprised . room nice need breakfast complimentary breakfast helped roll jam waitress bring 4 slice toast ask . £ 20 everything adequate could pay bit big breakfast want . altogether reasonable place stay London pleasant staff . 
 Jun 24 2009 	 come back 	 Breakfast ok bread lover . Room / Bathroom / Corridor clean . Bathroom get hot water water pressure adequate . towel clean , hair blower ( dryer ) available surprise , even kettle . 5 min Bayswater Station , 10 Hyde Park / Queensway , 15 Paddington . Good Location . 
 Jun 9 2009 	 nearly bad bad review describe . 	 friend book hotel part package , read review Tripadvisor , expect bad . however , pleasantly surprised . room bathroom clean perfectly acceptable absolutely sign mold bathroom carpet other experience . room 4th floor ( 3rd floor G.B . ) lovely view church . room quiet , except people stay hotel allow door slam shut whenever came go . location great , quiet neighborhood yet 5 min . walk wonderful restaurant cafe Bayswater Bayswater tube stop . could see basement room could abyssmal store luggage tiny room across basement room ... much breakfast -- tea , coffee , juice , roll jam able supplement scramble egg 2 pound . staff good day , helpful cheerful , bad day , ho hum . wish refrigerator AC room , overall , perfectly fine place stay good value money . 
 Jun 8 2009 	 's 3 star hotel like say 	 get back London yesterday write review already . experience not bad review ' ve read . stay Room 19 family 3 single bed . window look wall . tell stay Hostel , would not disappoint . however , tell 3 star hotel , expect 3 star hotel amenity . idea hotel like Bayswater Inn classify 3 star hotel ' ve stay many 3 star hotel lifetime , Bayswater inn bad 3 STAR hotel ' ve ever stay in . to review hotel HOSTEL , issue . HOSTEL everything would ' ve expect . to review hotel 3 star Hotel , many issue . first , heck bed ? kind plastic cover ? tv remote barely work . bath mat piece paper foot print . hand towel , regular bath towel . room small 3 suitcase barely enough room walk around without pretend be obstacle course . on top , AC . luckily cold 3 night AC not require . breakfast , think least get free egg contintental breakfast . continental breakfast ' ve ever serve bun , Orange Juice , Water , Jam Butter . everything else pay . seriously , pay get 3 star rating , nice part whole complex freaken Lobby , rest hotel dump . way 3 star hotel , even close . stay 3 star hotel week Dubai stay bayswater , 3 star hotel Dubai feel like 5 star hotel . absolutely ridiculous . stay hotel expect 3 star service / amenite thoroughly disappoint feel rip . expect Hostel atmosphere / amenity / service , mean stay . 's central many area 's cozy enough get need hostel , be sleep SHOWER . 
 Jun 8 2009 	 nice staff shame polystrene cup 	 book travel agent , cost 150 pound per night room 2 adult , 4 year old one baby , corridor smealt musty , bathroom papper bath mat safety rail bath , bathroome clean daily do not get fresh towel daily stay 5 day , sheet change daily bed make daily .carpet be not hover daily .but thing upset tea coffee faclitite , cheap real cup polysterene one .that leke hot water . buy whilst stay . good note nice area reception satff lovely .the staff make hotel . 
 May 8 2009 	 breakfast big joke ! 	 mom spend 6 night hotel . book travel agency Sweden ask get room low ground ( souterrain ) , possible . unfortunately , arrive , still turn room . first could not find room , ask staff . appear room situate corridor sign say & quot ; Staff & quot ; . wonder could not find ! room small hot . could hardly move . top mattress kind plastic cover . make rustle morning wake totally sweaty . bath mat small piece paper avail . handtowel , bodytowel . one day become clean towel , brown stain one ! disgusting ! could not remove stain laundry , give guest ? also disturb buzz sound wall . seem occur everytime someone bathroom , last around 10 - 15 minute . terrible smell pass corridor , bad one we almost vomit . be use many kind smell , really disgusting . clean product . the absolute bad thing breakfast . order continental breakfast . consist : coffee , tea , juice , soft french bread ( almost wet inside ) marmalade . ! thing , much , pay extra . big joke ! never satisfy enough buy something extra eat store nearby . however , staff friendly helpful , hotel situate nice area . still would not recommend hotel . 's low standard 3 star hotel . 's worth 2 star . Jenny Eva Sweden 
 Apr 14 2009 	 horrible 	 first night stay , send another hotel - stay . return , give ' basement suite ' - musty , noisey , cramp . view window concrete shaft . bathroom window treatment . wash clothe , hand towel , bath mat paper , three towel two little bar soap . continental breakfast consist plain roll , butter , jam , water , OJ , coffee , tea , hot chocolate . would never stay . thank goodness place book find another hotel rest trip . 
 Apr 6 2009 	 cheap good location 	 close Baywater Tube semi - touristy area couple block away quiet safe . - lot cheap eatery nearby . 's inside Zone 1 , mean 's fast get around london . go expect hostel type condition will please ! ( lot space , good shower pressure , t.v . quiet room , breakfast include - sure though , never go ! ) . 
 Mar 18 2009 	 nice friendly hotel 	 stay room 424 , 12 - 17 march 2009 . would read review site apprehensive . turn , stay wondeful . hotel locate Bayswater , short stroll portobello market , tubestation . neighbourhood lively , lot restaurant pub . hotel clean , staff friendly breakfast adequate . not noisy , although another family stay floor make nuisance ( let hyperactive kid play hallway ) . bed little soft liking , sleep well anyway . Room clean every day , small function bathroom . two internet terminal lounge ( 1 pound twenty minute ) . 's smoke - free hotel , smoker go outside . use ashtray mount gate , lot guest not . cig butts clean pavement daily basis . guest use stair hotel entrance personal smoke lounge , swift kick soon remedie that . London wonderful city , could much bad stay centrally locate friendly priced hotel . would recommend . stay . 
 Mar 17 2009 	 Excellent ! ! ! 	 see many negative review regard Bayswater Inn , not look forward stay one bit . although soon arrive sure stay go pleasant . smell Mildew non existant , bathroom sleep quarter adequately clean . bit clean freak able walk around room sock , show pretty sorted room . hotel staff nice enough ( although english person sight ) . view room lovely overlook square . clean sheet , radio tv facility bonus ! minor problem encounter ..... Breakfast , worth get for . some people problem toilet paper , soft enough delicate behindNo lock bathroom door . but whole good hotel stay would definately recommend friend ! ! ! Matt , James Luke - room 126 ( York , UK ) 
 Mar 2 2009 	 stay 	 , fiance stay 2nights arrive get give room low ground floor view another room , get 3 single bed instead double bed night constantly loud footstep we backwards forwards mean do not sleep well . tell booked hotel recently refurbish room new flat screen tv 's really nice see sign refurbishment . also room right next door maid staff room 6 am could hear chat . luckily enough London fantastic do not let ruin weekend impressed like hostel hotel go bk hotel . 
 Mar 1 2009 	 Hotel 3 small star 	 hotel good location , nice square , good value , clean , small room . overall think 2 star Hotel . 
 Feb 16 2009 	 non - existent customer care ( reservation honour ) 	 not book hotel . hotel dishonour lateroom reservation arrival , late night - leave without accommodation . hotel process bank card pre - authorisation incorrectly ( check bank ) . hotel manager say cancel reservation would show documentation support claim ( check Laterooms receive cancellation hotel ) . hotel refuse discuss complaint Laterooms telephone . the hotel management blame , despite evidence show simply make series mistake . deceitful incompetent - sure recipe failure customer disappointment . 
 Feb 10 2009 	 cheap 	 pay hotel quite happy . location fantastic , short walk Bayswater Tube also heap restaurant , pub convenient shopping . the room stay room move . simply furnish include television adequate coffee make facility . bathroom small warm 's radiator , room adjustable one well . room middle building view window exciting , however shower sleep ! breakfast simple breadroll , butter jam able take many want . also basic coffee , tea , hot chocolate , juice water . quite adequate last us lunch time . the staff reception not inclinde say good morning unless say first not outwardly rude . real problem they . all hotel cheap , basic quite adequate spend day sight seeing ! would recommend anyone budget London see sight . 
 Feb 5 2009 	 Hideous Hotel . 	 stay ! family get suck hotel thru Virgin Vacations ( airfare & amp ; hotel package deal ) time look bayswater trip advisor , late . kinda know get , be 2cent anyway . as everyone else say .... completely ( 4/5 ) rude & amp ; unhelpful staff . breakfast JOKE . mildew smell room & amp ; hallway , can not even describe . toilet seat connect toilet , hang hinge . Windows would open . BEDS ! might uncomfortable thing ever sleep . camping mountain comfy . shower clog fill right knee everytime flood bathroom floor . remote television tape wrap around keep together ( hilarious ) . towel smell dirty . ask housekeeping staff make bed ( bring sheet want everyday ) yet proceed take 50 lb suitcase bed make anyway . yes , tube close not make anything . be pretty much want get right . moral story ...... not even think consider INN reason . 
 Jan 31 2009 	 bayswater Inn Hotel 	 firstly would advise anyone read ! stay Baywater Inn Hotel . usually one write poor review however definately make exception would like warn people benefit . look hotel London think good option personaly price low ( £ 20.00 night ) review adverage , however arrive hotel staff unhelpful . be not start problem . stay hotel boyfriend cople friend , stay one night do not make much fuss , however would long would not case . booking tell boyfriend would double be not case give 2 single . ask politely amend long wait room change . another reason unsure room due unlockable door make feel unsafe . room change quite happy room double do not seem problem ( boy wrong ) . unpack bag leave hotel evening . return room overwelme bad smell possibly imagine , obviously cover enter room previously first arrive fresh smell air freshner . smell intense gag nearly vomit ( appologise graffic need warn condition ) . explain receptionist give air freshner ( barely enough one spray room ) tell use open window . shocked smell clearly stay . try make smell be not last problem . bed cover dirty clearly have not change . point tired get rest sleep top cover way would subjected sleeping cover . stay clothe wear concerned cleanlyness bed , however leg wernt covered wear short . wake 1 am sound someone try open bedroom door , alarming think people would try enter room sleep . 7 am door open use key closed , however could someone leave woke door closing . hard enough try sleep first time door try open point could not stay long . boyfriend leave soon could , stay breakfast bread roll orange juce point would not anything keep we there . also leave hotel notice awful rash apeare leg overnight increadibly ichy sore . worried appear whislt stay bayswater Inn hotel . even couple day stay rash still leg still cause discomfort . please sake stay bayswater Inn Hotel make sure take something block nose sleep bag . 
 Jan 29 2009 	 convenient location wonderlodge 	 like Bayswater Inn : 1.5 block Tube , quiet area , okay price , luggage storage , pharmacy restaurant every kind 1 block away , two block grayline tour bus stop . what not like : bed , breakfast , desk staff , oldness interior . , okay we not like spend much lodging . like time . 
 Jan 27 2009 	 get London 50 euro 	 ok , hotel pay much get really good deal money spend good food . London inexpensive city want save money.the shower small , want open shower door leave bathroom open door come walk shower . yes , everything old , clean cheap , yes , service hell.but find hotel London pay 50 euro bed toilet include room rate . if pay 49 euro think sleep park bench . 
 Jan 12 2009 	 bad Hotel ever stayed 	 stay well hotel locate third world country ! hotel bull - doze . I will sum ...... dirty towel , paper floor mat , polystyrene cup , drafty single - glaze window , faulty wiring , dirty wall , poor tv reception , uncomfortable bed , 1970 's decor furniture , dust dirt cake surface , mouldy bathroom suit ....... could go .......... would thoroughly recommend pay little bit extra find somewhere else . I pay £ 40 extra last year stay Waldorf ....... needless say much much well . if stay ........ good luck . 
 Jan 9 2009 	 get pay ! 	 Breakfast not exciting . website say breakfast include forget say include : piece bread , jam water , orange juice , tea coffee . want traditional english breakfast extra fee . get stick basement . not satisfy place comfortable . night hear noise around , toilet flush , people walk random door slam . toilet room okay . hot water one night another day little hot water . toilet also take couple attempt flush ... lift terrible could not find stair . lift one occasion actually stop would not open . manage get be never happen . advice patient . the people friendly not problem room service . make bed every day . get pay ! 
 Dec 29 2008 	 Average London Hotel 	 's easy find hotel sign prominent direction website clear . case need clear direction , reach hotel take Tube Bayswater station ( take direction Edgeware Road Platform 2 Earl 's Court ) , turn leave exit , leave reach square . alternatively go Queensway station , far either . when reach , lady receptionist quite rude , helpful enough tell need help luggage padlock . male receptionist much friendly . we triple room even though book double , room adequate size . bit small , decent . breakfast horrible reviewer point . bread roll coffee tea . all , guess 's quite decent inn , think 's suitable get 2 star instead 3 . 
 Dec 27 2008 	 DUMP ! ! ! ! ! 	 could give hotel minus figure would ! ! first - extremely rude staff , delay we check shout phone supplier , ask personal information need ( request passport number refuse give ) . second , extremely small , poorly design room . bed slop wall , side oversized headboard . also paper thin wall ! ! able listen next room tv word word night ! people check rougly 12:30am laugh scream corridoor , countlessly slam door . girlfriend brief stint hall residence uni quieter ! ! bathroom disgusting . nothing seem touch clean ! & amp ; partner staying night leave early flight would find somewhere else stay . never feel caustrophobic life.how place get 3 star never know . hotel disgrace ! ! ! ! ! ! ! 
 Oct 29 2008 	 shocking place stay thank Flight Centre 	 hotel toilet not flush floor slop . hotel foot high head floor slop . dirty kettle , break tv remote . breakfast include joke ! singe type bread roll , must ask want toast , rest coffee , OJ , tap water . want must pay . good part book double receive 3 single explain book double say sorry room leave . room road not tell management basement not low ground ! lift must push letter B ( could stand basement ? not not read LG low ground ! ) . not get fool photo , great Photoshop work . good room hotel area inside front door turn around leave . thank Flight Centre . please stay ! London beautiful not upset staying place like . pop sleep tablet could sleep go explore around London next day . fake review ! 
 Oct 19 2008 	 Hated Hotel 	 book hotel Gate1 Travel . go & quot ; C & quot ; class still expect well . tell first hand ' m complainer although reveiw make sound like . staff rude give bad advise . think get kick - back tour London tell we one particular tour would bring we back hotel not . Continental Breakfast consist roll jam , coffee / tea show card order get pleasure eating . one day forgot card room person guard & quot ; continental breakfast & quot ; act like have commit crime . lobby far less impressive picture . , bad part , toilet bathroom close heat / air pipe sit sideways keep getting burn . , first , think pipe towel warm later tell heating system . diabetic hard time healing leg / foot book hotel . tub little easy get one London could actually see mold ceiling around . overall , hotel smell bad , musty . thing say good hotel bed somewhat comfortable like dress table room . 
 Oct 19 2008 	 get clean Sheets ? 	 young girl embark think week girlfriend school trip . quite fool outside bayswater Inn , really judge book 's cover , assume go nice , cozy hotel , even lobby quite nice . get key room 24 ( que horror music ) . stand 20 mintue wait elevator decide come pick . boarding elevator , stop make screech noise , break , luckily . room not organize order seem though , have step maze . big pink maze . little help friend find room close side little area . leave hallway ( smell disgusting ) , arrive think go favourite place night , see blood sheet , mold floor window . idea change immediately . after complain sheet , tell 's ink . 16 year ink never quite colour . leave one towel three girl faucet name TRICKS . facuet barely work spun circle rarely give warm cold water look . think nice warm shower ? find water scold hot , bath would not drain , shower water knee . shower use three girl paper mat soak right , sink otherflowing , bath overflow floor soak leak pipe . Mmmm ever downer trip . trip absolutly flawless except Bayswater Inn , be good location , one te bad place ' ve ever reside . recomend hotel anyone , unless like man window door dead bolt . bayswater Inn , place , would return send anyone , please take advice find well stay ! 
 Oct 18 2008 	 want relive Stephen king ` ` shine . '' 	 past October 9 - 16 travel London England 25 student High School 3 womderful teacher . trip organize EF Tours acredite pleasing tour company . trip honestly good experience ' ve ever 16 year - old . England certainly beautiful country . although always reminder perfection exist , be swan black spot thi wing . black spot Bayswater Inn . order review understand one must believe hold predujice complaint result high - matienence . accustomed blood sheet tap fosset 360 's mean enjoy stay farth thing form lap luxury . will start entry hotel elevator 's agenda may make one wait 5 minute kick gear . level hotel wood borde upon glass elevator . basement go two girl , other group scattereed throughout floor hotel depite request together . basement maze pink find room turn key find humble home . yes , time key work times key not even neccessary : jiggle handle right way waste even need key room 24 . deadbolt hold hope . the television work , radio work , 75 % light work . one take 3 minute flicker settle constent glow . one teacher room zero electricity , apparently fuse box play order gain light room . blood blanket . blood . really easy overlook ? say . bring reception claim not blood . 16 year old female ' m well aware blood blanket look like . even not blood get stained blanket ? never bring new blanket ? 3 phone call visit front desk ? one teacher two bed room give we blanket . one use give padding spring protrude mattress . next day : bloody blanket back . although sheet change stain chocolate become constent companion throughout week . interesting affair seem man watch girl another room change window , man window . window not lock . 3 am teacher show teh receptionist easy get window outside . receptionist give teacher mop bucket full rubber band , plaster scotch tape scatter screw driver screw mess . tell teacher could fix really bother . . teacher not sure action take , police call ? receptionist think , not . tour guide , room lovely hotel not saty obvious reason , become aware call police morning . next day request mateniance do room ; check lock window . not do . find maid go stuff find extra towle hide suitcase . not amiable ask towel . 1 towel per person , us girl like one hair . teacher student stealthly borrow extra maid find put bag day . bathroom big one see . european bathroom naturally small aware . tap not attachte sink : 360 's , toilet stubborn light , bath tub drain issue . light bulb fall untouched socket water run wall add mold plaster along floor . lack safety , cleanliness rudeness exhibit staff establishment show standard hotel . many people say like & quot ; shine . & quot ; ' m sure would go far , certainly black spot swan vacation . 
 Oct 9 2008 	 get single star ? ? ? 	 Paper bath mat . yes , be right - paper ! ! ! quality ! ! room absolutey filthy ! glass lipstick stain still clearly rim 3 day ! ! ! ! breakfast ..... help 3 basket full STALE roll , tea & amp ; coffee UHT milk ..... & quot ; ! ! staff rude physically possible . security non - existent . find Youth Hostels luxurious , will still think place DUMP ! ! ! ! 
 Oct 4 2008 	 not go ! 	 begin ? fully aware accommodation London outrageously expensive get pay . however stay range budget accommodation London include university student accommodation , youth hostel B & amp ; Bs hotel far bad . single room locate basement small two suitcase cover entire floor . shower toilet locate cupboard ! room also locate next room full pipe hear evey flush every toilet every turn every tap ... night . not even bother stay breakfast judge hygene room certain would end dysentry eat . carpet room dirty dare walk carpet bare foot case foot stick floor ! budget recommend look hostel alternative flush money toilet stay hotel . 
 Sep 15 2008 	 stay basement . 	 relative Norway stay hotel . come check find lady reception abrupt unhelpful . aunty 76 cousin suffer Asthma alarm show damp smelly basement room . complain informed room available . however , threaten leave request refund show semi- respectable room upstairs . 
 Aug 28 2008 	 check pronto 	 arrival large que check one member staff attendance unhelpfull & amp ; fraught . whilst wait check husband go bathroom horrify see run state , toilet seat break badly stained grouting . go bathroom & amp ; sink crack , soap paper towel , toilet seat broken & amp ; first impression . allocate room 4th floor , door key difficult manouver take several minute open door , enter sink floor uneven , bathroom dirty date look like tap , plug hole never clean since instal . floor tile grubby & amp ; grout black grime . bar windows make room even small be . the furnishing date & amp ; break nothing match curtain green bed orange & amp ; red , throw smell stale & amp ; cost per night £ 100 . give polestyrene cup & amp ; plastic spoon . drink . continental breakfast include price , consist bread roll choice apricot strawberry jam , tea - urn contain orange juice & amp ; choice tea coffee hot chocolate . find alternative accommodation & amp ; check 
 Aug 27 2008 	 really good hotel money pay 	 really nice hotel want see city.i think important thing notice hotel , really 5 minute walk bayswater underground station,7 Queensway underground station really nice area , safe lot nice place eat something good.the hotel look good go think defenetly good money ' ve spend , compare hotel london . as suggest traveller room 4th floor , really quiet.maybe thing improve : dimension bed room ( little tiny doubble ) breakfast ( really basic , want smt well go ) really enjoie hotel will reccomend anyone not intend spend whole day look 5 stars.the 24 hour reception work well enough allow we go home time without problems.hope will find useful , nice trip 
 Aug 21 2008 	 Fine 	 stay 3 friend college . american , male student , not expect whole lot , place sleep shower stay London provide . front desk staff ( except late - night man ) extremely friendly ( woman talk we regularly 10 + minute ) , bartender hotel bar . extremely convienant tube well Paddington Station rail trip , would definatly recommend hotel like - minded traveler . cleaner room home , comfortable enough , basement room seem fine . 
 Aug 1 2008 	 good hotel 	 hotel great . receptioniste night - receptionist , waitress waiter restaurant , cleaning - lady room , friendly helpful . interreste do every day . room every day good clean give fresh towel . the english Breakfast make we every day fresh tasti . when go London , surely stay hotel . thank everyone Hotel pleasant relaxed stay . this hotel wthin 10 min . walk Queensway , nice shops/ restaurants/ pubs/ supermarkets/ internetcafe 's Tube bring easy thtoughout whole London . this Hotel surelly recommandable ! ! ! 
